player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,Season,team_name,league_name,league_country,player_lower,firstname_lower,lastname_lower,firstinitial_lower,league_country_lower,nationality_code,nationality_cleaned,position_grouped
Sergio Asenjo,es ESP,GK,Villarreal,28,1989,23.0,23.0,2070.0,30.0,1.3,89.0,62.0,0.6970000000000001,12.0,3.0,8.0,6.0,26.1,5.0,3.0,2.0,0.0,23.0,1.0,3.0,0.0,32.5,0.32,2.5,0.11,102.0,282.0,36.2,360.0,86.0,52.2,41.5,109.0,86.2,61.3,284.0,24.0,8.5,16.0,0.7,14.3,17/18,Villarreal,La Liga,Spain,sergio asenjo,sergio,asenjo,s,spain,ESP,Spain,Goalkeeper
Mariano Barbosa,ar ARG,GK,Villarreal,33,1984,13.0,12.0,1125.0,14.0,1.12,47.0,34.0,0.723,6.0,3.0,3.0,5.0,41.7,1.0,1.0,0.0,0.0,12.5,0.0,2.0,0.0,13.6,0.27,-0.4,-0.03,35.0,123.0,28.5,190.0,40.0,34.7,34.7,63.0,90.5,62.4,150.0,15.0,10.0,3.0,0.24,13.7,17/18,Villarreal,La Liga,Spain,mariano barbosa,mariano,barbosa,m,spain,ARG,Argentina,Goalkeeper
Oliver Baumann,de GER,GK,Hoffenheim,27,1990,34.0,34.0,3060.0,48.0,1.41,146.0,104.0,0.6920000000000001,15.0,10.0,9.0,10.0,29.4,4.0,3.0,1.0,0.0,34.0,1.0,9.0,3.0,41.2,0.26,-3.8,-0.11,219.0,620.0,35.3,1175.0,173.0,40.8,35.9,230.0,61.3,48.7,311.0,20.0,6.4,37.0,1.09,15.6,17/18,Hoffenheim,Bundesliga,Germany,oliver baumann,oliver,baumann,o,germany,GER,Germany,Goalkeeper
Asmir Begović,ba BIH,GK,Bournemouth,30,1987,38.0,38.0,3420.0,61.0,1.61,173.0,114.0,0.659,11.0,11.0,16.0,6.0,15.8,4.0,2.0,1.0,1.0,38.0,2.0,8.0,0.0,54.6,0.32,-6.4,-0.17,178.0,523.0,34.0,693.0,171.0,50.1,41.9,198.0,88.9,62.8,434.0,34.0,7.8,11.0,0.29,13.2,17/18,Bournemouth,Premier League,England,asmir begovic,asmir,begovic,a,england,BIH,Bosnia and Herzegovina,Goalkeeper
Vid Belec,si SVN,GK,Sampdoria,27,1990,2.0,2.0,180.0,5.0,2.5,15.0,11.0,0.733,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,5.6,0.31,0.6,0.28,9.0,24.0,37.5,70.0,11.0,27.1,26.6,16.0,31.3,36.2,21.0,2.0,9.5,3.0,1.5,13.3,17/18,Sampdoria,Serie A,Italy,vid belec,vid,belec,v,italy,SVN,Slovenia,Goalkeeper
Vid Belec,si SVN,GK,Benevento,27,1990,13.0,13.0,1113.0,32.0,2.59,73.0,51.0,0.603,2.0,0.0,10.0,1.0,7.7,3.0,3.0,0.0,0.0,12.4,1.0,1.0,2.0,24.3,0.31,-0.7,-0.06,63.0,183.0,34.4,259.0,68.0,48.6,40.4,102.0,55.9,46.5,133.0,10.0,7.5,5.0,0.4,12.2,17/18,Benevento,Serie A,Italy,vid belec,vid,belec,v,italy,SVN,Slovenia,Goalkeeper
Diego Benaglio,ch SUI,GK,Monaco,33,1983,3.0,2.0,225.0,0.0,0.0,6.0,6.0,1.0,2.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,1.5,0.24,1.5,0.59,9.0,22.0,40.9,35.0,9.0,40.0,33.7,12.0,66.7,53.8,25.0,1.0,4.0,2.0,0.8,14.7,17/18,Monaco,Ligue 1,France,diego benaglio,diego,benaglio,d,france,SUI,Switzerland,Goalkeeper
Walter Benítez,ar ARG,GK,Nice,24,1993,28.0,28.0,2520.0,36.0,1.29,114.0,83.0,0.711,12.0,8.0,8.0,7.0,25.0,5.0,3.0,2.0,0.0,28.0,1.0,0.0,2.0,35.6,0.28,1.6,0.06,64.0,201.0,31.8,394.0,84.0,26.6,30.3,127.0,75.6,54.4,320.0,17.0,5.3,6.0,0.21,13.0,17/18,Nice,Ligue 1,France,walter benitez,walter,benitez,w,france,ARG,Argentina,Goalkeeper
Etrit Berisha,al ALB,GK,Atalanta,28,1989,31.0,31.0,2790.0,34.0,1.1,99.0,66.0,0.667,13.0,10.0,8.0,8.0,25.8,2.0,1.0,1.0,0.0,31.0,2.0,2.0,0.0,27.3,0.26,-6.7,-0.22,196.0,438.0,44.7,587.0,156.0,42.9,37.8,214.0,86.9,58.9,249.0,14.0,5.6,15.0,0.48,14.3,17/18,Atalanta,Serie A,Italy,etrit berisha,etrit,berisha,e,italy,ALB,Albania,Goalkeeper
Quentin Beunardeau,fr FRA,GK,Metz,23,1994,1.0,0.0,39.0,2.0,4.62,4.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.7,0.43,-0.3,-0.7,6.0,16.0,37.5,16.0,2.0,87.5,50.7,2.0,100.0,71.5,6.0,0.0,0.0,0.0,0.0,13.0,17/18,Metz,Ligue 1,France,quentin beunardeau,quentin,beunardeau,q,france,FRA,France,Goalkeeper
