player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,Season,team_name,league_name,league_country,player_lower,firstname_lower,lastname_lower,firstinitial_lower,league_country_lower,nationality_code,nationality_cleaned,position_grouped
Andrés Prieto,es ESP,GK,Málaga,23,1993,4.0,4.0,360.0,10.0,2.5,18.0,10.0,0.556,0.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,9.2,0.43,-0.8,-0.21,24.0,65.0,36.9,57.0,1.0,75.4,53.9,22.0,100.0,70.3,32.0,4.0,12.5,0.0,0.0,11.5,17/18,Málaga,La Liga,Spain,andres prieto,andres,prieto,a,spain,ESP,Spain,Goalkeeper
Jérôme Prior,fr FRA,GK,Bordeaux,21,1995,2.0,2.0,180.0,3.0,1.5,8.0,5.0,0.625,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.24,-1.0,-0.52,4.0,15.0,26.7,20.0,2.0,55.0,39.8,5.0,80.0,55.8,21.0,1.0,4.8,1.0,0.5,14.1,17/18,Bordeaux,Ligue 1,France,jerome prior,jerome,prior,j,france,FRA,France,Goalkeeper
Christian Puggioni,it ITA,GK,Benevento,36,1981,14.0,14.0,1179.0,26.0,1.98,59.0,37.0,0.644,3.0,1.0,9.0,2.0,14.3,6.0,5.0,0.0,1.0,13.1,0.0,3.0,0.0,23.8,0.34,-2.2,-0.16,81.0,187.0,43.3,326.0,71.0,36.5,34.9,107.0,63.6,46.9,147.0,16.0,10.9,9.0,0.69,14.3,17/18,Benevento,Serie A,Italy,christian puggioni,christian,puggioni,c,italy,ITA,Italy,Goalkeeper
Christian Puggioni,it ITA,GK,Sampdoria,36,1981,9.0,9.0,810.0,12.0,1.33,49.0,40.0,0.816,5.0,2.0,2.0,5.0,55.6,3.0,3.0,0.0,0.0,9.0,0.0,1.0,0.0,15.4,0.27,3.4,0.38,54.0,127.0,42.5,217.0,45.0,43.8,36.9,64.0,50.0,41.2,93.0,10.0,10.8,13.0,1.44,16.6,17/18,Sampdoria,Serie A,Italy,christian puggioni,christian,puggioni,c,italy,ITA,Italy,Goalkeeper
Rafael,br BRA,GK,Cagliari,35,1982,10.0,8.0,794.0,11.0,1.25,39.0,28.0,0.7440000000000001,4.0,2.0,3.0,1.0,12.5,1.0,1.0,0.0,0.0,8.8,0.0,3.0,0.0,14.5,0.35,3.5,0.4,72.0,173.0,41.6,156.0,25.0,64.7,43.9,91.0,79.1,53.2,113.0,10.0,8.8,2.0,0.23,13.1,17/18,Cagliari,Serie A,Italy,rafael,rafael,rafael,r,italy,BRA,Brazil,Goalkeeper
Toño Ramírez,es ESP,GK,Real Sociedad,30,1986,4.0,3.0,316.0,6.0,1.71,11.0,5.0,0.455,1.0,0.0,2.0,1.0,33.3,0.0,0.0,0.0,0.0,3.5,0.0,1.0,0.0,3.5,0.32,-2.5,-0.71,17.0,50.0,34.0,103.0,10.0,35.9,32.2,15.0,86.7,58.4,29.0,1.0,3.4,0.0,0.0,11.7,17/18,Real Sociedad,La Liga,Spain,tono ramirez,tono,ramirez,t,spain,ESP,Spain,Goalkeeper
Pepe Reina,es ESP,GK,Napoli,34,1982,37.0,37.0,3330.0,29.0,0.78,98.0,70.0,0.7240000000000001,28.0,6.0,3.0,18.0,48.6,2.0,2.0,0.0,0.0,37.0,2.0,4.0,0.0,26.2,0.25,-2.8,-0.07,173.0,361.0,47.9,885.0,150.0,30.5,33.3,191.0,47.6,41.7,223.0,10.0,4.5,31.0,0.84,16.7,17/18,Napoli,Serie A,Italy,pepe reina,pepe,reina,p,italy,ESP,Spain,Goalkeeper
Baptiste Reynet,fr FRA,GK,Dijon,26,1990,38.0,38.0,3420.0,73.0,1.92,198.0,139.0,0.687,13.0,9.0,16.0,5.0,13.2,15.0,11.0,3.0,1.0,38.0,2.0,7.0,3.0,74.5,0.32,4.5,0.12,285.0,650.0,43.8,1153.0,171.0,45.8,40.2,182.0,67.0,52.6,446.0,47.0,10.5,48.0,1.26,16.9,17/18,Dijon,Ligue 1,France,baptiste reynet,baptiste,reynet,b,france,FRA,France,Goalkeeper
Sergio Rico,es ESP,GK,Sevilla,23,1993,24.0,23.0,2157.0,39.0,1.63,90.0,54.0,0.6,10.0,4.0,10.0,9.0,39.1,5.0,3.0,1.0,1.0,24.0,1.0,5.0,0.0,32.6,0.32,-6.4,-0.27,93.0,254.0,36.6,411.0,93.0,42.6,36.2,101.0,78.2,56.0,231.0,26.0,11.3,6.0,0.25,12.5,17/18,Sevilla,La Liga,Spain,sergio rico,sergio,rico,s,spain,ESP,Spain,Goalkeeper
Asier Riesgo,es ESP,GK,Eibar,33,1983,1.0,1.0,90.0,1.0,1.0,4.0,3.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.6,0.4,0.6,0.62,10.0,28.0,35.7,19.0,1.0,100.0,60.3,9.0,100.0,67.3,16.0,3.0,18.8,0.0,0.0,7.0,17/18,Eibar,La Liga,Spain,asier riesgo,asier,riesgo,a,spain,ESP,Spain,Goalkeeper
Roberto,es ESP,GK,Málaga,31,1986,34.0,34.0,3060.0,51.0,1.5,144.0,97.0,0.674,5.0,5.0,24.0,6.0,17.6,5.0,4.0,1.0,0.0,34.0,1.0,3.0,0.0,49.0,0.32,-2.0,-0.06,238.0,604.0,39.4,576.0,62.0,69.1,50.5,221.0,93.2,66.4,344.0,37.0,10.8,15.0,0.44,12.5,17/18,Málaga,La Liga,Spain,roberto,roberto,roberto,r,spain,ESP,Spain,Goalkeeper
Sergio Romero,ar ARG,GK,Manchester Utd,30,1987,1.0,1.0,90.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.1,0.29,1.1,1.15,9.0,13.0,69.2,12.0,2.0,66.7,43.8,6.0,83.3,60.7,9.0,1.0,11.1,0.0,0.0,13.0,17/18,Manchester Utd,Premier League,England,sergio romero,sergio,romero,s,england,ARG,Argentina,Goalkeeper
Francesco Rossi,it ITA,GK,Atalanta,26,1991,1.0,0.0,8.0,1.0,11.25,2.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.9,0.46,-0.1,-1.15,1.0,1.0,100.0,3.0,2.0,33.3,29.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,17/18,Atalanta,Serie A,Italy,francesco rossi,francesco,rossi,f,italy,ITA,Italy,Goalkeeper
Rubén,es ESP,GK,La Coruña,33,1984,28.0,27.0,2480.0,58.0,2.1,137.0,83.0,0.591,3.0,10.0,15.0,4.0,14.8,3.0,2.0,1.0,0.0,27.6,3.0,9.0,2.0,49.0,0.34,-7.0,-0.26,112.0,323.0,34.7,377.0,72.0,55.4,43.1,137.0,83.2,62.1,308.0,30.0,9.7,8.0,0.29,13.3,17/18,La Coruña,La Liga,Spain,ruben,ruben,ruben,r,spain,ESP,Spain,Goalkeeper
Stéphane Ruffier,fr FRA,GK,Saint-Étienne,30,1986,35.0,35.0,3113.0,44.0,1.27,150.0,112.0,0.74,14.0,10.0,11.0,12.0,34.3,6.0,5.0,1.0,0.0,34.6,2.0,3.0,1.0,46.0,0.28,3.0,0.09,164.0,465.0,35.3,737.0,90.0,46.8,38.6,151.0,79.5,53.1,359.0,32.0,8.9,15.0,0.43,14.6,17/18,Saint-Étienne,Ligue 1,France,stephane ruffier,stephane,ruffier,s,france,FRA,France,Goalkeeper
Gerónimo Rulli,ar ARG,GK,Real Sociedad,25,1992,26.0,26.0,2340.0,45.0,1.73,100.0,60.0,0.59,10.0,5.0,11.0,6.0,23.1,5.0,4.0,1.0,0.0,26.0,2.0,6.0,1.0,35.7,0.32,-8.3,-0.32,157.0,348.0,45.1,848.0,69.0,36.0,34.8,68.0,63.2,47.3,212.0,24.0,11.3,22.0,0.85,15.7,17/18,Real Sociedad,La Liga,Spain,geronimo rulli,geronimo,rulli,g,spain,ARG,Argentina,Goalkeeper
Mathew Ryan,au AUS,GK,Brighton,25,1992,38.0,38.0,3420.0,54.0,1.42,170.0,120.0,0.688,9.0,13.0,16.0,10.0,26.3,3.0,1.0,2.0,0.0,38.0,1.0,15.0,4.0,54.2,0.31,4.2,0.11,301.0,753.0,40.0,697.0,91.0,71.3,49.1,264.0,97.0,65.4,416.0,24.0,5.8,11.0,0.29,12.5,17/18,Brighton,Premier League,England,mathew ryan,mathew,ryan,m,england,AUS,Australia,Goalkeeper
Mamadou Samassa,ml MLI,GK,Troyes,27,1990,21.0,21.0,1890.0,31.0,1.48,108.0,81.0,0.731,6.0,3.0,12.0,5.0,23.8,3.0,2.0,1.0,0.0,21.0,0.0,4.0,1.0,29.1,0.25,0.1,0.01,92.0,318.0,28.9,380.0,75.0,53.2,43.9,119.0,97.5,65.5,269.0,23.0,8.6,11.0,0.52,15.6,17/18,Troyes,Ligue 1,France,mamadou samassa,mamadou,samassa,m,france,MLI,Mali,Goalkeeper
Brice Samba,fr FRA,GK,Caen,23,1994,4.0,3.0,316.0,4.0,1.14,18.0,15.0,0.833,1.0,1.0,1.0,2.0,66.7,1.0,1.0,0.0,0.0,3.5,0.0,0.0,0.0,5.6,0.27,1.6,0.45,23.0,56.0,41.1,63.0,10.0,57.1,45.3,24.0,83.3,62.3,21.0,0.0,0.0,1.0,0.29,11.4,17/18,Caen,Ligue 1,France,brice samba,brice,samba,b,france,FRA,France,Goalkeeper
Antonio Santurro,it ITA,GK,Bologna,25,1992,1.0,1.0,90.0,1.0,1.0,5.0,4.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.1,0.42,1.1,1.08,10.0,33.0,30.3,29.0,3.0,69.0,54.2,13.0,100.0,62.0,14.0,0.0,0.0,1.0,1.0,10.9,17/18,Bologna,Serie A,Italy,antonio santurro,antonio,santurro,a,italy,ITA,Italy,Goalkeeper
Kasper Schmeichel,dk DEN,GK,Leicester City,30,1986,33.0,33.0,2965.0,47.0,1.43,135.0,90.0,0.659,11.0,10.0,12.0,8.0,24.2,3.0,1.0,2.0,0.0,32.9,3.0,10.0,1.0,39.3,0.28,-6.7,-0.2,258.0,694.0,37.2,739.0,79.0,66.4,49.9,210.0,96.7,72.2,338.0,31.0,9.2,28.0,0.85,15.9,17/18,Leicester City,Premier League,England,kasper schmeichel,kasper,schmeichel,k,england,DEN,Denmark,Goalkeeper
Alexander Schwolow,de GER,GK,Freiburg,25,1992,33.0,33.0,2906.0,53.0,1.64,142.0,97.0,0.655,7.0,11.0,14.0,9.0,27.3,5.0,4.0,0.0,1.0,32.3,1.0,9.0,4.0,44.6,0.3,-4.4,-0.14,319.0,791.0,40.3,1022.0,116.0,52.4,42.7,288.0,88.5,66.0,326.0,19.0,5.8,30.0,0.93,18.2,17/18,Freiburg,Bundesliga,Germany,alexander schwolow,alexander,schwolow,a,germany,GER,Germany,Goalkeeper
Simone Scuffet,it ITA,GK,Udinese,21,1996,6.0,6.0,540.0,11.0,1.83,26.0,16.0,0.5770000000000001,1.0,0.0,5.0,1.0,16.7,1.0,0.0,1.0,0.0,6.0,0.0,2.0,1.0,8.1,0.28,-1.9,-0.32,36.0,99.0,36.4,113.0,20.0,60.2,43.1,36.0,86.1,55.9,52.0,6.0,11.5,1.0,0.17,12.4,17/18,Udinese,Serie A,Italy,simone scuffet,simone,scuffet,s,italy,ITA,Italy,Goalkeeper
Luigi Sepe,it ITA,GK,Napoli,26,1991,1.0,1.0,90.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.28,0.3,0.28,3.0,4.0,75.0,14.0,2.0,14.3,27.7,5.0,40.0,42.0,5.0,1.0,20.0,0.0,0.0,14.5,17/18,Napoli,Serie A,Italy,luigi sepe,luigi,sepe,l,italy,ITA,Italy,Goalkeeper
Marco Silvestri,it ITA,GK,Hellas Verona,26,1991,2.0,2.0,180.0,7.0,3.5,25.0,18.0,0.72,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,7.5,0.3,0.5,0.26,13.0,24.0,54.2,29.0,10.0,31.0,31.9,20.0,75.0,54.0,21.0,2.0,9.5,0.0,0.0,12.3,17/18,Hellas Verona,Serie A,Italy,marco silvestri,marco,silvestri,m,italy,ITA,Italy,Goalkeeper
Tobias Sippel,de GER,GK,M'Gladbach,29,1988,5.0,4.0,435.0,10.0,2.07,24.0,14.0,0.583,1.0,0.0,4.0,1.0,25.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,10.0,0.42,0.0,0.0,34.0,90.0,37.8,148.0,14.0,45.3,41.0,29.0,79.3,58.2,41.0,2.0,4.9,6.0,1.25,18.0,17/18,M'Gladbach,Bundesliga,Germany,tobias sippel,tobias,sippel,t,germany,GER,Germany,Goalkeeper
Salvatore Sirigu,it ITA,GK,Torino,30,1987,37.0,37.0,3330.0,45.0,1.22,160.0,120.0,0.75,12.0,15.0,10.0,10.0,27.0,8.0,5.0,3.0,0.0,37.0,3.0,5.0,0.0,48.5,0.27,3.5,0.1,255.0,571.0,44.7,943.0,185.0,42.0,37.4,270.0,64.8,47.9,399.0,31.0,7.8,34.0,0.92,14.6,17/18,Torino,Serie A,Italy,salvatore sirigu,salvatore,sirigu,s,italy,ITA,Italy,Goalkeeper
Antonio Sivera,es ESP,GK,Alavés,20,1996,1.0,1.0,60.0,1.0,1.5,2.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.3,0.17,0.3,0.47,5.0,10.0,50.0,8.0,2.0,75.0,50.1,4.0,100.0,67.8,5.0,1.0,20.0,0.0,0.0,11.5,17/18,Alavés,La Liga,Spain,antonio sivera,antonio,sivera,a,spain,ESP,Spain,Goalkeeper
Łukasz Skorupski,pl POL,GK,Roma,26,1991,1.0,1.0,90.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.15,0.5,0.46,6.0,12.0,50.0,30.0,11.0,33.3,34.7,6.0,33.3,36.3,10.0,0.0,0.0,1.0,1.0,13.4,17/18,Roma,Serie A,Italy,ukasz skorupski,ukasz,skorupski,u,italy,POL,Poland,Goalkeeper
Yann Sommer,ch SUI,GK,M'Gladbach,28,1988,30.0,30.0,2625.0,42.0,1.44,145.0,106.0,0.738,12.0,8.0,9.0,6.0,20.0,4.0,4.0,0.0,0.0,29.2,0.0,6.0,1.0,40.8,0.27,-0.2,-0.01,199.0,520.0,38.3,986.0,132.0,38.5,35.8,228.0,61.4,48.1,315.0,26.0,8.3,16.0,0.55,13.8,17/18,M'Gladbach,Bundesliga,Germany,yann sommer,yann,sommer,y,germany,SUI,Switzerland,Goalkeeper
David Soria,es ESP,GK,Sevilla,24,1993,15.0,15.0,1263.0,19.0,1.35,57.0,41.0,0.7020000000000001,7.0,3.0,4.0,5.0,33.3,3.0,2.0,0.0,1.0,14.0,0.0,1.0,1.0,17.5,0.29,-0.5,-0.04,51.0,126.0,40.5,228.0,44.0,36.8,33.6,56.0,75.0,52.6,134.0,14.0,10.4,6.0,0.43,14.4,17/18,Sevilla,La Liga,Spain,david soria,david,soria,d,spain,ESP,Spain,Goalkeeper
Stefano Sorrentino,it ITA,GK,Chievo,38,1979,38.0,38.0,3420.0,59.0,1.55,180.0,126.0,0.6940000000000001,10.0,10.0,18.0,7.0,18.4,8.0,4.0,3.0,1.0,38.0,2.0,13.0,4.0,55.6,0.28,0.6,0.01,257.0,653.0,39.4,774.0,170.0,51.0,39.7,361.0,71.5,46.2,434.0,16.0,3.7,14.0,0.37,12.6,17/18,Chievo,Serie A,Italy,stefano sorrentino,stefano,sorrentino,s,italy,ITA,Italy,Goalkeeper
Julián Speroni,ar ARG,GK,Crystal Palace,38,1979,11.0,11.0,990.0,14.0,1.27,40.0,27.0,0.675,3.0,5.0,3.0,2.0,18.2,1.0,1.0,0.0,0.0,11.0,0.0,4.0,0.0,10.9,0.25,-3.1,-0.28,58.0,180.0,32.2,178.0,15.0,71.3,50.0,54.0,98.1,62.0,140.0,8.0,5.7,5.0,0.45,12.0,17/18,Crystal Palace,Premier League,England,julian speroni,julian,speroni,j,england,ARG,Argentina,Goalkeeper
Marco Sportiello,it ITA,GK,Fiorentina,25,1992,37.0,37.0,3202.0,38.0,1.07,134.0,95.0,0.731,16.0,9.0,11.0,14.0,37.8,3.0,2.0,1.0,0.0,35.6,2.0,5.0,0.0,40.8,0.29,2.8,0.08,153.0,394.0,38.8,750.0,185.0,36.8,34.8,235.0,50.2,42.2,318.0,40.0,12.6,11.0,0.31,13.7,17/18,Fiorentina,Serie A,Italy,marco sportiello,marco,sportiello,m,italy,ITA,Italy,Goalkeeper
Tom Starke,de GER,GK,Bayern Munich,36,1981,2.0,2.0,180.0,0.0,0.0,6.0,6.0,1.0,2.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.5,0.25,1.5,0.76,10.0,22.0,45.5,46.0,9.0,34.8,33.3,9.0,66.7,46.7,15.0,2.0,13.3,3.0,1.5,23.6,17/18,Bayern Munich,Bundesliga,Germany,tom starke,tom,starke,t,germany,GER,Germany,Goalkeeper
Thomas Strakosha,al ALB,GK,Lazio,22,1995,38.0,38.0,3420.0,49.0,1.29,153.0,112.0,0.7390000000000001,21.0,9.0,8.0,11.0,28.9,11.0,9.0,1.0,1.0,38.0,2.0,5.0,2.0,51.2,0.29,4.2,0.11,248.0,509.0,48.7,854.0,163.0,45.8,37.9,250.0,47.2,43.2,290.0,12.0,4.1,23.0,0.61,15.2,17/18,Lazio,Serie A,Italy,thomas strakosha,thomas,strakosha,t,italy,ALB,Albania,Goalkeeper
Danijel Subašić,hr CRO,GK,Monaco,32,1984,34.0,34.0,2939.0,41.0,1.26,130.0,94.0,0.715,20.0,8.0,5.0,10.0,29.4,4.0,4.0,0.0,0.0,32.7,1.0,3.0,1.0,38.4,0.27,-1.6,-0.05,117.0,348.0,33.6,503.0,86.0,50.7,42.8,140.0,66.4,53.7,356.0,30.0,8.4,21.0,0.64,15.8,17/18,Monaco,Ligue 1,France,danijel subasic,danijel,subasic,d,france,CRO,Croatia,Goalkeeper
Seydou Sy,sn SEN,GK,Monaco,21,1995,3.0,2.0,256.0,4.0,1.41,16.0,13.0,0.813,2.0,0.0,1.0,1.0,50.0,1.0,1.0,0.0,0.0,2.8,0.0,1.0,0.0,5.3,0.29,1.3,0.47,18.0,47.0,38.3,48.0,9.0,45.8,38.0,27.0,92.6,59.6,40.0,5.0,12.5,0.0,0.0,10.9,17/18,Monaco,Ligue 1,France,seydou sy,seydou,sy,s,france,SEN,Senegal,Goalkeeper
Wojciech Szczęsny,pl POL,GK,Juventus,27,1990,17.0,17.0,1530.0,9.0,0.53,34.0,24.0,0.735,13.0,3.0,1.0,11.0,64.7,0.0,0.0,0.0,0.0,17.0,1.0,2.0,0.0,11.5,0.34,2.5,0.15,107.0,194.0,55.2,354.0,74.0,38.4,36.2,85.0,68.2,49.4,126.0,6.0,4.8,2.0,0.12,12.5,17/18,Juventus,Serie A,Italy,wojciech szczesny,wojciech,szczesny,w,italy,POL,Poland,Goalkeeper
Ciprian Tătărușanu,ro ROU,GK,Nantes,31,1986,37.0,37.0,3330.0,38.0,1.03,133.0,97.0,0.7290000000000001,14.0,10.0,13.0,12.0,32.4,3.0,2.0,0.0,1.0,37.0,0.0,7.0,0.0,31.6,0.23,-6.4,-0.17,157.0,494.0,31.8,657.0,122.0,46.9,40.7,207.0,89.9,64.6,425.0,50.0,11.8,13.0,0.35,13.7,17/18,Nantes,Ligue 1,France,ciprian tatarusanu,ciprian,tatarusanu,c,france,ROU,Romania,Goalkeeper
Marc-André ter Stegen,de GER,GK,Barcelona,25,1992,37.0,37.0,3330.0,28.0,0.76,129.0,103.0,0.7979999999999999,27.0,9.0,1.0,19.0,51.4,2.0,2.0,0.0,0.0,37.0,0.0,1.0,0.0,35.7,0.27,7.7,0.21,147.0,308.0,47.7,917.0,126.0,27.0,30.1,98.0,61.2,47.8,290.0,27.0,9.3,22.0,0.59,15.9,17/18,Barcelona,La Liga,Spain,marc-andre ter stegen,marc-andre,stegen,m,spain,GER,Germany,Goalkeeper
Kevin Trapp,de GER,GK,Paris S-G,27,1990,4.0,4.0,360.0,4.0,1.0,16.0,14.0,0.875,3.0,0.0,1.0,1.0,25.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,6.7,0.33,2.7,0.68,4.0,6.0,66.7,55.0,11.0,10.9,21.5,5.0,0.0,21.4,48.0,3.0,6.3,0.0,0.0,12.3,17/18,Paris S-G,Ligue 1,France,kevin trapp,kevin,trapp,k,france,GER,Germany,Goalkeeper
Philipp Tschauner,de GER,GK,Hannover 96,31,1985,31.0,31.0,2790.0,45.0,1.45,152.0,107.0,0.7170000000000001,9.0,9.0,13.0,5.0,16.1,3.0,2.0,0.0,1.0,31.0,1.0,12.0,0.0,47.5,0.31,2.5,0.08,271.0,579.0,46.8,852.0,150.0,49.3,38.8,252.0,63.1,45.7,297.0,10.0,3.4,21.0,0.68,15.3,17/18,Hannover 96,Bundesliga,Germany,philipp tschauner,philipp,tschauner,p,germany,GER,Germany,Goalkeeper
Przemysław Tytoń,pl POL,GK,La Coruña,30,1987,2.0,1.0,98.0,4.0,3.67,5.0,1.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,2.0,0.0,1.7,0.35,-2.3,-2.11,3.0,12.0,25.0,15.0,1.0,53.3,41.4,7.0,57.1,44.0,11.0,1.0,9.1,1.0,0.93,14.0,17/18,La Coruña,La Liga,Spain,przemysaw tyton,przemysaw,tyton,p,spain,POL,Poland,Goalkeeper
Sven Ulreich,de GER,GK,Bayern Munich,28,1988,29.0,29.0,2610.0,26.0,0.9,79.0,57.0,0.684,23.0,3.0,3.0,12.0,41.4,5.0,1.0,4.0,0.0,29.0,1.0,2.0,3.0,25.0,0.28,2.0,0.07,130.0,337.0,38.6,790.0,139.0,35.2,34.1,136.0,43.4,41.7,168.0,12.0,7.1,25.0,0.86,16.8,17/18,Bayern Munich,Bundesliga,Germany,sven ulreich,sven,ulreich,s,germany,GER,Germany,Goalkeeper
Francis Uzoho,ng NGA,GK,La Coruña,18,1998,2.0,2.0,180.0,2.0,1.0,9.0,8.0,0.889,0.0,1.0,1.0,1.0,50.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.9,0.24,0.9,0.43,10.0,30.0,33.3,26.0,6.0,61.5,46.9,14.0,100.0,61.1,19.0,2.0,10.5,0.0,0.0,13.0,17/18,La Coruña,La Liga,Spain,francis uzoho,francis,uzoho,f,spain,NGA,Nigeria,Goalkeeper
Koke Vegas,es ESP,GK,Levante,21,1995,1.0,1.0,90.0,4.0,4.0,8.0,4.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.6,0.45,-0.4,-0.41,5.0,17.0,29.4,18.0,2.0,66.7,42.3,5.0,100.0,55.6,13.0,0.0,0.0,1.0,1.0,9.8,17/18,Levante,La Liga,Spain,koke vegas,koke,vegas,k,spain,ESP,Spain,Goalkeeper
Rémy Vercoutre,fr FRA,GK,Caen,37,1980,35.0,35.0,3104.0,48.0,1.39,133.0,93.0,0.669,9.0,7.0,18.0,11.0,31.4,4.0,4.0,0.0,0.0,34.5,0.0,6.0,4.0,38.7,0.27,-5.3,-0.15,303.0,657.0,46.1,712.0,74.0,68.7,50.5,176.0,95.5,64.6,360.0,33.0,9.2,17.0,0.49,14.5,17/18,Caen,Ligue 1,France,remy vercoutre,remy,vercoutre,r,france,FRA,France,Goalkeeper
Emiliano Viviano,it ITA,GK,Sampdoria,31,1985,27.0,27.0,2430.0,43.0,1.59,129.0,89.0,0.682,11.0,4.0,12.0,6.0,22.2,6.0,2.0,4.0,0.0,27.0,1.0,5.0,1.0,42.1,0.3,0.1,0.0,182.0,445.0,40.9,606.0,82.0,52.1,41.6,183.0,70.5,53.4,275.0,12.0,4.4,16.0,0.59,15.1,17/18,Sampdoria,Serie A,Italy,emiliano viviano,emiliano,viviano,e,italy,ITA,Italy,Goalkeeper
Michel Vorm,nl NED,GK,Tottenham,33,1983,1.0,1.0,90.0,1.0,1.0,4.0,4.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2,0.04,0.2,0.17,4.0,7.0,57.1,19.0,7.0,26.3,29.3,9.0,22.2,34.1,12.0,0.0,0.0,1.0,1.0,20.5,17/18,Tottenham,Premier League,England,michel vorm,michel,vorm,m,england,NED,Netherlands,Goalkeeper
Roman Weidenfeller,de GER,GK,Dortmund,36,1980,2.0,1.0,91.0,4.0,3.96,7.0,2.0,0.429,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.4,0.49,-0.6,-0.59,4.0,26.0,15.4,34.0,1.0,55.9,40.3,8.0,87.5,60.8,7.0,0.0,0.0,1.0,1.0,17.4,17/18,Dortmund,Bundesliga,Germany,roman weidenfeller,roman,weidenfeller,r,germany,GER,Germany,Goalkeeper
Axel Werner,ar ARG,GK,Atlético Madrid,21,1996,1.0,1.0,90.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.16,0.5,0.47,2.0,10.0,20.0,9.0,1.0,66.7,49.9,4.0,100.0,60.3,12.0,0.0,0.0,0.0,0.0,9.7,17/18,Atlético Madrid,La Liga,Spain,axel werner,axel,werner,a,spain,ARG,Argentina,Goalkeeper
Yoel,es ESP,GK,Eibar,28,1988,1.0,1.0,90.0,1.0,1.0,5.0,5.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8,0.16,0.8,0.8,9.0,25.0,36.0,22.0,1.0,95.5,58.4,4.0,100.0,65.3,13.0,1.0,7.7,3.0,3.0,16.3,17/18,Eibar,La Liga,Spain,yoel,yoel,yoel,y,spain,ESP,Spain,Goalkeeper
Erwin Zelazny,fr FRA,GK,Troyes,25,1991,17.0,17.0,1530.0,28.0,1.65,94.0,68.0,0.723,3.0,3.0,11.0,3.0,17.6,2.0,2.0,0.0,0.0,17.0,0.0,4.0,0.0,25.1,0.26,-2.9,-0.17,118.0,341.0,34.6,396.0,49.0,55.6,44.8,126.0,96.0,65.4,224.0,24.0,10.7,9.0,0.53,15.2,17/18,Troyes,Ligue 1,France,erwin zelazny,erwin,zelazny,e,france,FRA,France,Goalkeeper
