player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
Walter Benítez,ar ARG,GK,Nice,27,1993,2.0,2.0,180.0,1.0,0.5,3.0,3.0,1.0,2.0,0.0,0.0,1.0,50.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.07,0.0,-0.02,10.0,25.0,40.0,73.0,11.0,30.1,29.4,20.0,15.0,23.2,28.0,5.0,17.9,1.0,0.5,12.5
Paul Bernardoni,fr FRA,GK,Angers,23,1997,2.0,2.0,180.0,2.0,1.0,8.0,6.0,0.75,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.4,0.29,0.4,0.18,4.0,11.0,36.4,34.0,13.0,26.5,30.9,7.0,28.6,30.6,11.0,0.0,0.0,0.0,0.0,11.5
Benoît Costil,fr FRA,GK,Bordeaux,33,1987,2.0,2.0,180.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.05,0.1,0.07,19.0,55.0,34.5,65.0,4.0,67.7,48.6,12.0,91.7,65.5,23.0,0.0,0.0,3.0,1.5,13.7
Alfred Gomis,sn SEN,GK,Dijon,26,1993,2.0,2.0,180.0,5.0,2.5,13.0,11.0,0.769,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,5.4,0.28,1.4,0.71,7.0,25.0,28.0,42.0,10.0,26.2,29.9,27.0,51.9,43.9,33.0,3.0,9.1,1.0,0.5,10.0
Eiji Kawashima,jp JPN,GK,Strasbourg,37,1983,2.0,2.0,180.0,5.0,2.5,7.0,4.0,0.571,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,5.1,0.54,0.1,0.04,9.0,16.0,56.3,44.0,8.0,31.8,31.3,12.0,16.7,28.1,14.0,1.0,7.1,2.0,1.0,14.9
Alban Lafont,fr FRA,GK,Nantes,21,1999,2.0,2.0,180.0,1.0,0.5,9.0,8.0,0.889,1.0,1.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.6,0.18,0.6,0.28,7.0,29.0,24.1,42.0,7.0,50.0,44.5,15.0,53.3,44.7,22.0,2.0,9.1,1.0,0.5,13.0
Gautier Larsonneur,fr FRA,GK,Brest,23,1997,2.0,2.0,180.0,7.0,3.5,9.0,2.0,0.222,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.1,0.45,-2.9,-1.46,9.0,20.0,45.0,54.0,8.0,31.5,32.4,12.0,25.0,25.6,11.0,1.0,9.1,2.0,1.0,16.3
Jean-Louis Leca,fr FRA,GK,Lens,34,1985,1.0,1.0,90.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.3,-1.4,-1.41,7.0,14.0,50.0,19.0,3.0,63.2,42.9,3.0,66.7,45.0,3.0,2.0,66.7,0.0,0.0,8.0
Benjamin Lecomte,fr FRA,GK,Monaco,29,1991,2.0,2.0,180.0,2.0,1.0,9.0,7.0,0.778,1.0,1.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.8,0.2,-0.2,-0.12,13.0,30.0,43.3,52.0,8.0,40.4,35.8,20.0,45.0,44.7,15.0,0.0,0.0,5.0,2.5,16.7
Anthony Lopes,pt POR,GK,Lyon,29,1990,1.0,1.0,90.0,1.0,1.0,2.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.25,-0.5,-0.5,5.0,5.0,100.0,25.0,4.0,20.0,25.8,3.0,0.0,19.0,3.0,1.0,33.3,1.0,1.0,26.3
Mike Maignan,fr FRA,GK,Lille,24,1995,2.0,2.0,180.0,1.0,0.5,3.0,2.0,0.667,1.0,1.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.9,0.29,-0.1,-0.07,12.0,41.0,29.3,51.0,12.0,49.0,42.5,17.0,94.1,72.9,18.0,5.0,27.8,0.0,0.0,14.4
Steve Mandanda,fr FRA,GK,Marseille,35,1985,1.0,1.0,90.0,2.0,2.0,4.0,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.4,0.6,0.4,0.4,8.0,27.0,29.6,30.0,11.0,46.7,42.6,14.0,92.9,61.1,20.0,3.0,15.0,0.0,0.0,10.5
Edouard Mendy,sn SEN,GK,Rennes,28,1992,1.0,1.0,90.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.56,-0.4,-0.44,7.0,12.0,58.3,23.0,2.0,43.5,37.9,6.0,33.3,35.2,6.0,1.0,16.7,0.0,0.0,10.0
Jessy Moulin,fr FRA,GK,Saint-Étienne,34,1986,1.0,1.0,90.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.08,0.1,0.08,10.0,16.0,62.5,34.0,6.0,41.2,36.5,5.0,40.0,35.0,10.0,2.0,20.0,1.0,1.0,18.4
Paul Nardi,fr FRA,GK,Lorient,26,1994,2.0,2.0,180.0,3.0,1.5,6.0,3.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.4,0.4,-0.6,-0.31,7.0,14.0,50.0,34.0,11.0,26.5,29.4,13.0,38.5,36.8,13.0,0.0,0.0,2.0,1.0,14.6
Jonas Omlin,ch SUI,GK,Montpellier,26,1994,1.0,1.0,90.0,2.0,2.0,7.0,5.0,0.714,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.4,0.34,1.4,1.41,10.0,23.0,43.5,27.0,6.0,63.0,45.9,7.0,85.7,58.0,5.0,1.0,20.0,2.0,2.0,16.1
Alexandre Oukidja,dz ALG,GK,Metz,32,1988,1.0,1.0,90.0,1.0,1.0,2.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.1,0.54,0.1,0.09,6.0,15.0,40.0,27.0,5.0,51.9,42.7,4.0,25.0,27.0,6.0,1.0,16.7,1.0,1.0,18.6
Predrag Rajković,rs SRB,GK,Reims,24,1995,2.0,2.0,180.0,3.0,1.5,8.0,5.0,0.625,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.2,0.28,-0.8,-0.38,17.0,43.0,39.5,64.0,10.0,42.2,38.9,24.0,66.7,50.8,22.0,0.0,0.0,1.0,0.5,14.8
Baptiste Reynet,fr FRA,GK,Nîmes,29,1990,2.0,2.0,180.0,2.0,1.0,7.0,6.0,0.857,1.0,0.0,1.0,1.0,50.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.9,0.28,0.9,0.43,15.0,39.0,38.5,80.0,8.0,38.8,38.5,9.0,88.9,62.7,10.0,1.0,10.0,6.0,3.0,23.9
Romain Salin,fr FRA,GK,Rennes,36,1984,1.0,1.0,90.0,1.0,1.0,3.0,2.0,0.667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.05,-0.8,-0.85,8.0,17.0,47.1,22.0,4.0,45.5,36.5,13.0,53.8,44.3,9.0,0.0,0.0,2.0,2.0,23.7
