player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
Adrián,es ESP,GK,Liverpool,33-358,1987,2.0,2.0,180.0,9.0,4.5,16.0,7.0,0.438,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,7.1,0.45,-1.9,-0.93,9.0,25.0,36.0,48.0,14.0,37.5,36.0,14.0,50.0,38.7,18.0,2.0,11.1,0.0,0.0,12.3
Alisson,br BRA,GK,Liverpool,28-085,1992,11.0,11.0,990.0,10.0,0.91,31.0,23.0,0.742,8.0,3.0,0.0,3.0,27.3,5.0,2.0,1.0,2.0,11.0,0.0,1.0,0.0,12.3,0.34,2.3,0.21,45.0,103.0,43.7,282.0,45.0,28.4,32.4,62.0,37.1,36.4,64.0,1.0,1.6,12.0,1.09,17.1
Saturnin Allagbé,bj BEN,GK,Dijon,27-034,1993,4.0,4.0,360.0,8.0,2.0,20.0,12.0,0.6,0.0,2.0,2.0,1.0,25.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,6.1,0.3,-1.9,-0.48,20.0,53.0,37.7,103.0,20.0,40.8,35.1,27.0,40.7,34.9,35.0,0.0,0.0,5.0,1.25,16.4
Nícolas Andrade,br BRA,GK,Udinese,32-258,1988,2.0,2.0,180.0,5.0,2.5,7.0,2.0,0.286,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.58,-1.0,-0.48,6.0,13.0,46.2,31.0,5.0,25.8,32.1,9.0,55.6,47.4,16.0,0.0,0.0,0.0,0.0,15.2
Alphonse Areola,fr FRA,GK,Fulham,27-303,1993,13.0,13.0,1170.0,20.0,1.54,67.0,52.0,0.776,2.0,4.0,7.0,2.0,15.4,5.0,5.0,0.0,0.0,13.0,0.0,1.0,0.0,23.3,0.29,3.3,0.25,67.0,167.0,40.1,245.0,60.0,44.5,37.0,88.0,65.9,47.7,126.0,19.0,15.1,6.0,0.46,12.5
Kepa Arrizabalaga,es ESP,GK,Chelsea,26-084,1994,3.0,3.0,270.0,6.0,2.0,14.0,8.0,0.571,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.8,0.34,-1.2,-0.42,21.0,40.0,52.5,79.0,17.0,34.2,32.2,27.0,48.1,40.0,27.0,4.0,14.8,0.0,0.0,14.0
Sergio Asenjo,es ESP,GK,Villarreal,31-181,1989,15.0,15.0,1350.0,15.0,1.0,41.0,31.0,0.707,6.0,8.0,1.0,4.0,26.7,3.0,3.0,0.0,0.0,15.0,0.0,1.0,1.0,11.4,0.21,-1.6,-0.11,88.0,184.0,47.8,430.0,95.0,31.4,34.2,106.0,46.2,40.9,168.0,21.0,12.5,7.0,0.47,12.5
Emil Audero,it ITA,GK,Sampdoria,23-343,1997,14.0,14.0,1260.0,24.0,1.71,61.0,43.0,0.689,5.0,2.0,7.0,1.0,7.1,5.0,5.0,0.0,0.0,14.0,0.0,4.0,1.0,20.1,0.27,-2.9,-0.21,91.0,225.0,40.4,356.0,68.0,46.9,38.4,104.0,55.8,43.0,142.0,11.0,7.7,5.0,0.36,12.2
Édgar Badía,es ESP,GK,Elche,28-318,1992,13.0,13.0,1170.0,16.0,1.23,61.0,47.0,0.77,3.0,6.0,4.0,4.0,30.8,4.0,2.0,1.0,1.0,13.0,0.0,2.0,0.0,18.0,0.26,2.0,0.15,93.0,203.0,45.8,412.0,70.0,32.8,33.0,118.0,57.6,38.7,148.0,10.0,6.8,11.0,0.85,13.5
Oliver Baumann,de GER,GK,Hoffenheim,30-207,1990,12.0,12.0,1080.0,22.0,1.83,60.0,39.0,0.683,4.0,2.0,6.0,0.0,0.0,4.0,3.0,0.0,1.0,12.0,0.0,1.0,0.0,21.2,0.35,0.2,0.02,68.0,178.0,38.2,398.0,59.0,36.4,34.0,90.0,36.7,35.9,101.0,2.0,2.0,17.0,1.55,16.9
