match_minute,match_second,position_x,position_y,play_type,BodyPart,Number_Intervening_Opponents,Number_Intervening_Teammates,Interference_on_Shooter,outcome,position_xM,position_yM,position_xM_r,position_yM_r,position_xM_std,position_yM_std,position_xM_std_r,position_yM_std_r,BodyPartCode,Interference_on_Shooter_Code,isGoal,distance_to_goalM,distance_to_centerM,angle,isFoot,isHead,header_distance_to_goalM,High,Low,Medium
29,54,23.69,4.99,Open Play,Left,4,2,Medium,Missed,29.31,5.001768867924528,-29.31,-5.001768867924528,82.31,39.001768867924525,135.31,73.00176886792453,1,2,0,24.212265317564547,5.001768867924528,11.92200422251791,1,0,0.0,0,0,1
11,33,28.93,-11.22,Open Play,Left,4,1,Low,Missed,24.07,-11.246462264150944,-24.07,11.246462264150944,77.07,22.753537735849058,130.07,56.75353773584906,1,1,0,31.03913358099693,11.246462264150944,21.24346338105367,1,0,0.0,0,1,0
61,25,9.98,-5.24,Open Play,Head,3,1,High,Missed,43.019999999999996,-5.252358490566038,-43.019999999999996,5.252358490566038,96.02,28.74764150943396,149.01999999999998,62.74764150943396,3,3,0,11.277751092900624,5.252358490566038,27.757312860824516,0,1,11.277751092900624,1,0,0
73,45,4.49,-5.74,Open Play,Right,2,0,Low,Missed,48.51,-5.753537735849057,-48.51,5.753537735849057,101.50999999999999,28.246462264150942,154.51,62.24646226415094,2,1,0,7.298170762447198,5.753537735849057,52.03189935253395,1,0,0.0,0,1,0
44,40,7.98,-12.97,Open Play,Right,1,0,Medium,Saved,45.019999999999996,-13.00058962264151,-45.019999999999996,13.00058962264151,98.02,20.99941037735849,151.01999999999998,54.99941037735849,2,2,0,15.254367588868906,13.00058962264151,58.45763544471231,1,0,0.0,0,0,1
85,27,4.74,7.98,Open Play,Head,1,0,Medium,Missed,48.26,7.998820754716981,-48.26,-7.998820754716981,101.25999999999999,41.99882075471698,154.26,75.99882075471697,3,2,0,9.297781104440519,7.998820754716981,59.349554323045574,0,1,9.297781104440519,0,0,1
94,32,16.96,-0.75,Open Play,Left,3,0,Medium,Goal,36.04,-0.7517688679245282,-36.04,0.7517688679245282,89.03999999999999,33.248231132075475,142.04,67.24823113207547,1,2,1,16.97665327533023,0.7517688679245282,2.538031045781175,1,0,0.0,0,0,1
37,40,2.74,-5.99,Open Play,Right,0,1,Low,Saved,50.26,-6.004127358490566,-50.26,6.004127358490566,103.25999999999999,27.995872641509436,156.26,61.995872641509436,2,1,0,6.599783734106361,6.004127358490566,65.47028475147772,1,0,0.0,0,1,0
16,27,15.96,-12.72,Open Play,Right,3,0,Medium,Blocked,37.04,-12.75,-37.04,12.75,90.03999999999999,21.25,143.04,55.25,2,2,0,20.427532890684574,12.75,38.620384558811914,1,0,0.0,0,0,1
48,22,10.23,9.98,Open Play,Right,3,0,High,Blocked,42.769999999999996,10.003537735849056,-42.769999999999996,-10.003537735849056,95.77,44.00353773584906,148.76999999999998,78.00353773584905,2,3,0,14.308167850306907,10.003537735849056,44.35874831395688,1,0,0.0,1,0,0
