,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Vedad Ibisevic,"€ 57,500","€ 2,990,000","€ 3,005,150",F,33,Bosnia-Herzegovina,Hertha Berlin,Bundesliga,2018-2019
1,Salomon Kalou,"€ 53,654","€ 2,790,000","€ 2,804,137",F,32,Cote d'Ivoire,Hertha Berlin,Bundesliga,2018-2019
2,Vladimir Darida,"€ 47,904","€ 2,491,000","€ 2,503,622",M,27,Czech Republic,Hertha Berlin,Bundesliga,2018-2019
3,Fabian Lustenberger,"€ 38,327","€ 1,993,000","€ 2,003,098",D,30,Switzerland,Hertha Berlin,Bundesliga,2018-2019
4,Rune Jarstein,"€ 38,327","€ 1,993,000","€ 2,003,098",K,33,Norway,Hertha Berlin,Bundesliga,2018-2019
5,Marvin Plattenhardt,"€ 28,750","€ 1,495,000","€ 1,502,575",D,26,Germany,Hertha Berlin,Bundesliga,2018-2019
6,Davie Selke,"€ 28,750","€ 1,495,000","€ 1,502,575",F,23,Germany,Hertha Berlin,Bundesliga,2018-2019
7,Marko Grujic,"€ 27,846","€ 1,448,000","€ 1,455,337",M,22,Serbia,Hertha Berlin,Bundesliga,2018-2019
8,Karim Rekik,"€ 23,077","€ 1,200,000","€ 1,206,080",D,23,Netherlands,Hertha Berlin,Bundesliga,2018-2019
9,Niklas Stark,"€ 23,000","€ 1,196,000","€ 1,202,060",D,23,Germany,Hertha Berlin,Bundesliga,2018-2019
10,Per Ciljan Skjelbred,"€ 23,000","€ 1,196,000","€ 1,202,060",M,31,Norway,Hertha Berlin,Bundesliga,2018-2019
11,Valentino Lazaro,"€ 23,000","€ 1,196,000","€ 1,202,060",M,22,Austria,Hertha Berlin,Bundesliga,2018-2019
12,Ondrej Duda,"€ 19,173","€ 997,000","€ 1,002,052",M,23,Slovakia,Hertha Berlin,Bundesliga,2018-2019
13,Arne Maier,"€ 19,173","€ 997,000","€ 1,002,052",M,19,Germany,Hertha Berlin,Bundesliga,2018-2019
14,Thomas Kraft,"€ 19,154","€ 996,000","€ 1,001,047",K,29,Germany,Hertha Berlin,Bundesliga,2018-2019
15,Mathew Leckie,"€ 17,250","€ 897,000","€ 901,545",F,27,Australia,Hertha Berlin,Bundesliga,2018-2019
16,Lukas Klünter,"€ 15,327","€ 797,000","€ 801,038",D,22,Germany,Hertha Berlin,Bundesliga,2018-2019
17,Alexander Esswein,"€ 15,000","€ 780,000","€ 783,952",F,28,Germany,Hertha Berlin,Bundesliga,2018-2019
18,Pascal Köpke,"€ 15,000","€ 780,000","€ 783,952",F,22,Germany,Hertha Berlin,Bundesliga,2018-2019
19,Peter Pekarik,"€ 15,000","€ 780,000","€ 783,952",D,31,Slovakia,Hertha Berlin,Bundesliga,2018-2019
20,Derrick Luckassen,"€ 11,500","€ 598,000","€ 601,030",D,22,Netherlands,Hertha Berlin,Bundesliga,2018-2019
21,Javairô Dilrosun,"€ 9,615","€ 500,000","€ 502,533",F,20,Netherlands,Hertha Berlin,Bundesliga,2018-2019
22,Maximilian Mittelstädt,"€ 8,500","€ 442,000","€ 444,240",D,21,Germany,Hertha Berlin,Bundesliga,2018-2019
23,Julius Kade,"€ 3,827","€ 199,000","€ 200,008",M,19,Germany,Hertha Berlin,Bundesliga,2018-2019
24,Palko Dárdai,"€ 2,865","€ 149,000","€ 149,755",F,19,Germany,Hertha Berlin,Bundesliga,2018-2019
25,Muhammed Kiprit,"€ 2,865","€ 149,000","€ 149,755",F,18,Turkey,Hertha Berlin,Bundesliga,2018-2019
26,Jordan Torunarigha,"€ 2,865","€ 149,000","€ 149,755",D,20,Germany,Hertha Berlin,Bundesliga,2018-2019
27,Florian Baak,"€ 2,865","€ 149,000","€ 149,755",D,19,Germany,Hertha Berlin,Bundesliga,2018-2019
28,Marius Gersbeck,"€ 2,192","€ 114,000","€ 114,578",K,23,Germany,Hertha Berlin,Bundesliga,2018-2019
29,Jonathan Klinsmann,"€ 2,000","€ 104,000","€ 104,527",K,21,United States,Hertha Berlin,Bundesliga,2018-2019
30,Dennis Jastrzembski,"€ 1,913","€ 99,500","€ 100,004",F,18,Germany,Hertha Berlin,Bundesliga,2018-2019
31,Sidney Friede,"€ 1,500","€ 78,000","€ 78,395",M,20,Germany,Hertha Berlin,Bundesliga,2018-2019
32,Dennis Smarsch,€ 577,"€ 30,000","€ 30,152",K,19,Germany,Hertha Berlin,Bundesliga,2018-2019
33,Maurice Covic,€ 404,"€ 21,000","€ 21,106",F,20,Germany,Hertha Berlin,Bundesliga,2018-2019
34,Maximilian Pronichev,€ 0,€ 0,€ 0,F,20,Russia,Hertha Berlin,Bundesliga,2018-2019
35,Panzu Ernesto,€ 0,€ 0,€ 0,D,19,Germany,Hertha Berlin,Bundesliga,2018-2019
