competition,team
EngPr,Watford
EngPr,Chelsea
EngPr,Burnley
EngPr,West Bromwich Albion
EngPr,AFC Bournemouth
EngPr,Southampton
EngPr,Swansea City
EngPr,Crystal Palace
EngPr,Everton
EngPr,Stoke City
EngPr,Manchester City
EngPr,Tottenham Hotspur
EngPr,West Ham United
EngPr,Manchester United
