player_id,player_name,day_of_birth,month_of_birth,year_of_birth,pob,cob,dob,position,height,foot,citizenship,second_citizenship,league_code,season
75554,magnus eriksson,8,4,1990,Solna,Sweden,1990-04-08,midfield - Attacking Midfield,179,left,Sweden,,MLS1,2017
33078,florian jungwirth,27,1,1989,Gräfelfing,Germany,1989-01-27,Defender - Centre-Back,181,right,Germany,,MLS1,2017
39856,chris wondolowski,28,1,1983,"Danville, California",United States,1983-01-28,attack - Centre-Forward,185,right,,Poland,MLS1,2017
562494,danny musovski,30,11,1995,"Henderson, Nevada",United States,1995-11-30,attack - Centre-Forward,183,right,,North Macedonia,MLS1,2017
271724,jimmy ockford,10,6,1992,"Yardley, Pennsylvania",United States,1992-06-10,Defender - Centre-Back,186,right,United States,,MLS1,2017
87268,françois affolter,13,3,1991,Biel,Switzerland,1991-03-13,Defender - Centre-Back,186,right,Switzerland,,MLS1,2017
308005,tommy thompson,15,8,1995,"Hinsdale, Illinois",United States,1995-08-15,Defender - Right-Back,171,right,United States,,MLS1,2017
268280,fatai alashe,21,10,1993,"Southfield, Michigan",United States,1993-10-21,midfield - Defensive Midfield,183,,,Nigeria,MLS1,2017
40117,dominic oduro,13,8,1985,Accra,Ghana,1985-08-13,attack - Right Winger,183,right,,United States,MLS1,2017
182907,paul marie,24,3,1995,Saint-Aubin-des-Bois,France,1995-03-24,Defender - Right-Back,172,right,France,,MLS1,2017
105973,quincy amarikwa,29,10,1987,"Bakersfield, California",United States,1987-10-29,attack - Centre-Forward,175,right,,Nigeria,MLS1,2017
121790,hárold cummings,1,3,1992,Colón,Panama,1992-03-01,Defender - Centre-Back,188,right,Panama,,MLS1,2017
504206,gilbert fuentes,21,2,2002,"Tracy, California",United States,2002-02-21,midfield - Attacking Midfield,162,,,United States,MLS1,2017
225217,joel qwiberg,9,10,1992,Bogotá,Colombia,1992-10-09,Defender - Left-Back,172,,Sweden,,MLS1,2017
336163,jt marcinkowski,9,5,1997,"Alamo, California",United States,1997-05-09,Goalkeeper,185,,,Poland,MLS1,2017
315759,eric calvillo,2,1,1998,"Palmdale, California",United States,1998-01-02,midfield - Central Midfield,170,,,United States,MLS1,2017
