,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Tim Howard,"$ 40,385","$ 2,100,000","$ 2,264,530",K,36,United States,Colorado Rapids,Mls,2016
1,Shkelzen Gashi,"$ 30,288","$ 1,575,000","$ 1,698,398",F,26,Albania,Colorado Rapids,Mls,2016
2,Kevin Doyle,"$ 20,673","$ 1,075,000","$ 1,159,224",F,31,Ireland,Colorado Rapids,Mls,2016
3,Jermaine Jones,"$ 11,538","$ 600,000","$ 647,009",M,33,United States,Colorado Rapids,Mls,2016
4,Sebastien Le Toux,"$ 5,769","$ 300,000","$ 323,504",F,31,France,Colorado Rapids,Mls,2016
5,Dillon Powers,"$ 5,192","$ 270,000","$ 291,154",M,24,United States,Colorado Rapids,Mls,2016
6,Sam Cronin,"$ 4,327","$ 225,000","$ 242,628",M,28,United States,Colorado Rapids,Mls,2016
7,Sean St Ledger,"$ 3,690","$ 191,875","$ 206,908",D,29,Ireland,Colorado Rapids,Mls,2016
8,Zac MacMath,"$ 2,692","$ 140,004","$ 150,973",K,23,United States,Colorado Rapids,Mls,2016
9,Marc Burch,"$ 2,308","$ 120,000","$ 129,402",D,31,United States,Colorado Rapids,Mls,2016
10,Bobby Burling,"$ 2,115","$ 110,000","$ 118,618",D,30,United States,Colorado Rapids,Mls,2016
11,Marco Pappa,"$ 2,115","$ 110,000","$ 118,618",M,27,Guatemala,Colorado Rapids,Mls,2016
12,Zach Pfeffer,"$ 1,942","$ 101,000","$ 108,913",M,20,United States,Colorado Rapids,Mls,2016
13,Marlon Hairston,"$ 1,731","$ 90,000","$ 97,051",D,21,United States,Colorado Rapids,Mls,2016
14,Juan Edgardo Ramirez,"$ 1,635","$ 85,000","$ 91,660",M,22,Argentina,Colorado Rapids,Mls,2016
15,Mekeil Williams,"$ 1,635","$ 85,000","$ 91,660",D,24,Trinidad and Tobago,Colorado Rapids,Mls,2016
16,Caleb Calvert,"$ 1,442","$ 75,000","$ 80,876",F,18,United States,Colorado Rapids,Mls,2016
17,Jared Watts,"$ 1,308","$ 68,000","$ 73,328",D,23,United States,Colorado Rapids,Mls,2016
18,Eric Miller,"$ 1,277","$ 66,413","$ 71,616",D,22,United States,Colorado Rapids,Mls,2016
19,Axel Sjoberg,"$ 1,269","$ 66,000","$ 71,171",D,24,Sweden,Colorado Rapids,Mls,2016
20,Dillon Serna,"$ 1,269","$ 66,000","$ 71,171",M,21,United States,Colorado Rapids,Mls,2016
21,Conor Doyle,"$ 1,269","$ 66,000","$ 71,171",F,23,Ireland,Colorado Rapids,Mls,2016
22,Michael Azira,"$ 1,212","$ 63,000","$ 67,936",M,28,Uganda,Colorado Rapids,Mls,2016
23,John Berner,"$ 1,212","$ 63,000","$ 67,936",K,24,United States,Colorado Rapids,Mls,2016
24,Dominique Badji,"$ 1,028","$ 53,472","$ 57,661",F,22,Senegal,Colorado Rapids,Mls,2016
25,Joseph Greenspan,$ 990,"$ 51,500","$ 55,535",D,23,United States,Colorado Rapids,Mls,2016
26,Dennis Castillo,$ 990,"$ 51,500","$ 55,535",D,22,Costa Rica,Colorado Rapids,Mls,2016
