,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Michael Bradley,"$ 115,385","$ 6,000,000","$ 6,470,086",M,27,United States,Toronto FC,Mls,2016
1,Sebastian Giovinco,"$ 107,692","$ 5,600,000","$ 6,038,747",F,28,Italy,Toronto FC,Mls,2016
2,Jozy Altidore,"$ 92,788","$ 4,825,000","$ 5,203,027",F,25,United States,Toronto FC,Mls,2016
3,Will Johnson,"$ 7,212","$ 375,000","$ 404,380",M,28,Canada,Toronto FC,Mls,2016
4,Drew Moor,"$ 4,519","$ 235,000","$ 253,412",D,31,United States,Toronto FC,Mls,2016
5,Steven Beitashour,"$ 4,423","$ 230,000","$ 248,020",D,28,Iran,Toronto FC,Mls,2016
6,Justin Morrow,"$ 3,846","$ 200,000","$ 215,670",D,27,United States,Toronto FC,Mls,2016
7,Armando Cooper,"$ 3,462","$ 180,000","$ 194,103",M,27,Panama,Toronto FC,Mls,2016
8,Jonathan Osorio,"$ 3,207","$ 166,750","$ 179,814",M,23,Canada,Toronto FC,Mls,2016
9,Benoit Cheyrou,"$ 2,885","$ 150,000","$ 161,752",M,34,France,Toronto FC,Mls,2016
10,Josh Williams,"$ 2,524","$ 131,250","$ 141,533",D,27,United States,Toronto FC,Mls,2016
11,Ashtone Morgan,"$ 2,308","$ 120,000","$ 129,402",D,24,Canada,Toronto FC,Mls,2016
12,Marco Delgado,"$ 1,923","$ 100,000","$ 107,835",M,18,United States,Toronto FC,Mls,2016
13,Clint Irwin,"$ 1,839","$ 95,625","$ 103,117",K,26,United States,Toronto FC,Mls,2016
14,Mark Bloom,"$ 1,817","$ 94,500","$ 101,904",D,27,United States,Toronto FC,Mls,2016
15,Eriq Zavaleta,"$ 1,798","$ 93,500","$ 100,826",D,22,United States,Toronto FC,Mls,2016
16,Jay Chapman,"$ 1,442","$ 75,000","$ 80,876",M,21,Canada,Toronto FC,Mls,2016
17,Jordan Hamilton,"$ 1,272","$ 66,150","$ 71,333",F,19,Canada,Toronto FC,Mls,2016
18,Alex Bono,"$ 1,250","$ 65,000","$ 70,093",K,21,United States,Toronto FC,Mls,2016
19,Quillan Roberts,"$ 1,212","$ 63,000","$ 67,936",K,20,Guyana,Toronto FC,Mls,2016
20,Daniel Lovitz,"$ 1,212","$ 63,000","$ 67,936",M,23,United States,Toronto FC,Mls,2016
21,Chris Mannella,"$ 1,212","$ 63,000","$ 67,936",M,20,Canada,Toronto FC,Mls,2016
22,Tosaint Ricketts,"$ 1,212","$ 63,000","$ 67,936",F,27,Canada,Toronto FC,Mls,2016
23,Clement Simonin,"$ 1,212","$ 63,000","$ 67,936",D,23,France,Toronto FC,Mls,2016
24,Nick Hagglund,"$ 1,212","$ 63,000","$ 67,936",D,22,United States,Toronto FC,Mls,2016
25,Tsubasa Endoh,$ 990,"$ 51,500","$ 55,535",F,21,Japan,Toronto FC,Mls,2016
26,Mo Babouli,$ 990,"$ 51,500","$ 55,535",F,22,Canada,Toronto FC,Mls,2016
