,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Federico Higuain,"$ 22,596","$ 1,175,000","$ 1,267,059",M,30,Argentina,Columbus Crew,Mls,2016
1,Gaston Sauro,"$ 11,250","$ 585,000","$ 630,833",D,25,Argentina,Columbus Crew,Mls,2016
2,Ola Kamara,"$ 8,173","$ 425,000","$ 458,298",F,25,Norway,Columbus Crew,Mls,2016
3,Michael Parkhurst,"$ 5,288","$ 275,000","$ 296,546",D,31,United States,Columbus Crew,Mls,2016
4,Harrison Afful,"$ 5,288","$ 275,000","$ 296,546",D,28,Ghana,Columbus Crew,Mls,2016
5,Ethan Finlay,"$ 4,808","$ 250,000","$ 269,587",M,24,United States,Columbus Crew,Mls,2016
6,Tony Tchani,"$ 4,808","$ 250,000","$ 269,587",M,26,Cameroon,Columbus Crew,Mls,2016
7,Cedrick Mabwati,"$ 4,519","$ 235,000","$ 253,412",M,23,Democratic Republic of Congo,Columbus Crew,Mls,2016
8,Steve Clark,"$ 4,231","$ 220,000","$ 237,236",K,29,United States,Columbus Crew,Mls,2016
9,Nicolai Naess,"$ 3,846","$ 200,004","$ 215,674",D,22,Norway,Columbus Crew,Mls,2016
10,Waylon Francis,"$ 3,846","$ 200,000","$ 215,670",D,24,Costa Rica,Columbus Crew,Mls,2016
11,Justin Meram,"$ 3,365","$ 175,000","$ 188,711",M,26,Iraq,Columbus Crew,Mls,2016
12,Wil Trapp,"$ 2,909","$ 151,250","$ 163,100",M,22,United States,Columbus Crew,Mls,2016
13,Tyson Wahl,"$ 2,212","$ 115,000","$ 124,010",D,31,United States,Columbus Crew,Mls,2016
14,Mohammed Saeid,"$ 2,115","$ 110,000","$ 118,618",M,24,Sweden,Columbus Crew,Mls,2016
15,Hector Jimenez,"$ 2,019","$ 105,000","$ 113,227",M,26,United States,Columbus Crew,Mls,2016
16,Conor Casey,"$ 2,019","$ 105,000","$ 113,227",F,33,United States,Columbus Crew,Mls,2016
17,Zack Steffen,"$ 1,923","$ 100,008","$ 107,843",K,20,United States,Columbus Crew,Mls,2016
18,Corey Ashe,"$ 1,827","$ 95,000","$ 102,443",D,29,United States,Columbus Crew,Mls,2016
19,Ben Swanson,"$ 1,346","$ 70,000","$ 75,484",M,17,United States,Columbus Crew,Mls,2016
20,Adam Jahn,"$ 1,298","$ 67,500","$ 72,788",F,24,United States,Columbus Crew,Mls,2016
21,Chad Barson,"$ 1,212","$ 63,000","$ 67,936",D,24,United States,Columbus Crew,Mls,2016
22,Brad Stuver,"$ 1,212","$ 63,000","$ 67,936",K,24,United States,Columbus Crew,Mls,2016
23,Dilly Duka,"$ 1,202","$ 62,508","$ 67,405",M,25,United States,Columbus Crew,Mls,2016
24,Cristian Martinez,"$ 1,202","$ 62,508","$ 67,405",M,19,Panama,Columbus Crew,Mls,2016
25,Rodrigo Saravia,$ 990,"$ 51,504","$ 55,539",M,22,Guatemala,Columbus Crew,Mls,2016
26,Matt Pacifici,$ 990,"$ 51,500","$ 55,535",K,23,United States,Columbus Crew,Mls,2016
27,Marshall Hollingsworth,$ 990,"$ 51,500","$ 55,535",M,21,United States,Columbus Crew,Mls,2016
