,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Pedro Morales,"$ 23,702","$ 1,232,500","$ 1,329,063",M,30,Chile,Vancouver Whitecaps,Mls,2016
1,Giles Barnes,"$ 13,462","$ 700,000","$ 754,843",F,26,Jamaica,Vancouver Whitecaps,Mls,2016
2,Matias Laba,"$ 10,769","$ 560,000","$ 603,875",M,23,Argentina,Vancouver Whitecaps,Mls,2016
3,David Ousted,"$ 6,923","$ 360,000","$ 388,205",K,30,Denmark,Vancouver Whitecaps,Mls,2016
4,Cristian Techera,"$ 6,154","$ 320,000","$ 345,071",M,23,Uruguay,Vancouver Whitecaps,Mls,2016
5,Masato Kudo,"$ 5,962","$ 310,000","$ 334,288",F,25,Japan,Vancouver Whitecaps,Mls,2016
6,Kendall Waston,"$ 5,769","$ 300,000","$ 323,504",D,27,Costa Rica,Vancouver Whitecaps,Mls,2016
7,Christian Bolanos,"$ 4,808","$ 250,000","$ 269,587",M,31,Costa Rica,Vancouver Whitecaps,Mls,2016
8,Blas Perez,"$ 4,135","$ 215,000","$ 231,845",F,34,Panama,Vancouver Whitecaps,Mls,2016
9,Jordan Harvey,"$ 3,173","$ 165,000","$ 177,927",D,31,United States,Vancouver Whitecaps,Mls,2016
10,Kekuta Manneh,"$ 2,452","$ 127,500","$ 137,489",M,20,United States,Vancouver Whitecaps,Mls,2016
11,Russell Teibert,"$ 2,212","$ 115,000","$ 124,010",M,22,Canada,Vancouver Whitecaps,Mls,2016
12,Jordan Smith,"$ 2,212","$ 115,000","$ 124,010",D,24,Costa Rica,Vancouver Whitecaps,Mls,2016
13,Christian Dean,"$ 2,115","$ 110,000","$ 118,618",D,22,United States,Vancouver Whitecaps,Mls,2016
14,David Edgar,"$ 2,019","$ 105,000","$ 113,227",D,28,Canada,Vancouver Whitecaps,Mls,2016
15,Nicolas Mezquida,"$ 1,692","$ 88,000","$ 94,895",M,23,Uruguay,Vancouver Whitecaps,Mls,2016
16,Erik Hurtado,"$ 1,656","$ 86,092","$ 92,837",F,24,United States,Vancouver Whitecaps,Mls,2016
17,Samuel Adekugbe,"$ 1,346","$ 70,000","$ 75,484",D,19,Canada,Vancouver Whitecaps,Mls,2016
18,Tim Parker,"$ 1,269","$ 66,000","$ 71,171",D,22,United States,Vancouver Whitecaps,Mls,2016
19,Kianz Froese,"$ 1,269","$ 66,000","$ 71,171",M,19,Canada,Vancouver Whitecaps,Mls,2016
20,Marco Carducci,"$ 1,212","$ 63,000","$ 67,936",K,18,Canada,Vancouver Whitecaps,Mls,2016
21,Marco Bustos,"$ 1,202","$ 62,500","$ 67,397",M,19,Canada,Vancouver Whitecaps,Mls,2016
22,Marcel de Jong,"$ 1,202","$ 62,500","$ 67,397",D,28,Canada,Vancouver Whitecaps,Mls,2016
23,Brett Levis,"$ 1,202","$ 62,500","$ 67,397",D,22,Canada,Vancouver Whitecaps,Mls,2016
24,Andrew Jacobson,"$ 1,202","$ 62,500","$ 67,397",M,29,United States,Vancouver Whitecaps,Mls,2016
25,Alphonso Davies,"$ 1,202","$ 62,500","$ 67,397",M,14,Canada,Vancouver Whitecaps,Mls,2016
26,Deybi Flores,"$ 1,202","$ 62,500","$ 67,397",M,19,Honduras,Vancouver Whitecaps,Mls,2016
27,Paolo Tornaghi,"$ 1,202","$ 62,500","$ 67,397",K,27,Italy,Vancouver Whitecaps,Mls,2016
28,Ben McKendry,"$ 1,010","$ 52,500","$ 56,613",M,22,Canada,Vancouver Whitecaps,Mls,2016
29,Fraser Aird,$ 990,"$ 51,500","$ 55,535",D,20,Canada,Vancouver Whitecaps,Mls,2016
30,Cole Seiler,$ 990,"$ 51,500","$ 55,535",D,21,United States,Vancouver Whitecaps,Mls,2016
