,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Kennedy Igboananike,"$ 15,385","$ 800,000","$ 862,678",F,26,Nigeria,Dc United,Mls,2016
1,Alvaro Saborio,"$ 8,077","$ 420,000","$ 452,906",F,33,Costa Rica,Dc United,Mls,2016
2,Marcelo Sarvas,"$ 6,923","$ 360,000","$ 388,205",M,33,Brazil,Dc United,Mls,2016
3,Luciano Acosta,"$ 6,294","$ 327,273","$ 352,914",M,21,Argentina,Dc United,Mls,2016
4,Bill Hamid,"$ 6,250","$ 325,000","$ 350,463",K,24,United States,Dc United,Mls,2016
5,Bobby Boswell,"$ 5,000","$ 260,000","$ 280,370",D,32,United States,Dc United,Mls,2016
6,Chris Rolfe,"$ 4,952","$ 257,500","$ 277,675",F,32,United States,Dc United,Mls,2016
7,Nick DeLeon,"$ 4,519","$ 235,000","$ 253,412",M,24,United States,Dc United,Mls,2016
8,Lloyd Sam,"$ 4,423","$ 230,000","$ 248,020",M,30,Ghana,Dc United,Mls,2016
9,Sean Franklin,"$ 4,327","$ 225,000","$ 242,628",D,30,United States,Dc United,Mls,2016
10,Davy Arnaud,"$ 4,087","$ 212,500","$ 229,149",M,34,United States,Dc United,Mls,2016
11,Patrick Nyarko,"$ 4,038","$ 210,000","$ 226,453",F,29,Ghana,Dc United,Mls,2016
12,Lamar Neagle,"$ 3,558","$ 185,000","$ 199,494",M,28,United States,Dc United,Mls,2016
13,Chris Korb,"$ 2,094","$ 108,900","$ 117,432",D,26,United States,Dc United,Mls,2016
14,Taylor Kemp,"$ 1,923","$ 100,000","$ 107,835",D,24,United States,Dc United,Mls,2016
15,Patrick Mullins,"$ 1,851","$ 96,250","$ 103,791",F,23,United States,Dc United,Mls,2016
16,Kofi Opare,"$ 1,731","$ 90,000","$ 97,051",D,24,United States,Dc United,Mls,2016
17,Steven Birnbaum,"$ 1,661","$ 86,350","$ 93,115",D,24,United States,Dc United,Mls,2016
18,Andrea Mancini,"$ 1,587","$ 82,500","$ 88,964",F,22,Italy,Dc United,Mls,2016
19,Collin Martin,"$ 1,442","$ 75,000","$ 80,876",M,20,United States,Dc United,Mls,2016
20,Jalen Robinson,"$ 1,442","$ 75,000","$ 80,876",D,21,United States,Dc United,Mls,2016
21,Andrew Dykstra,"$ 1,442","$ 75,000","$ 80,876",K,29,United States,Dc United,Mls,2016
22,Jared Jeffrey,"$ 1,378","$ 71,663","$ 77,278",M,25,United States,Dc United,Mls,2016
23,Julian Buescher,"$ 1,346","$ 70,000","$ 75,484",M,23,Germany,Dc United,Mls,2016
24,Charlie Horton,"$ 1,346","$ 70,000","$ 75,484",K,20,United States,Dc United,Mls,2016
25,Miguel Aguilar,"$ 1,212","$ 63,000","$ 67,936",M,21,Mexico,Dc United,Mls,2016
26,Rob Vincent,"$ 1,202","$ 62,508","$ 67,405",M,24,England,Dc United,Mls,2016
27,Luke Mishu,"$ 1,202","$ 62,500","$ 67,397",D,24,United States,Dc United,Mls,2016
28,Travis Worra,"$ 1,028","$ 53,472","$ 57,661",K,22,United States,Dc United,Mls,2016
29,Chris Durkin,$ 990,"$ 51,504","$ 55,539",D,15,United States,Dc United,Mls,2016
30,Alhaji Kamara,$ 990,"$ 51,500","$ 55,535",F,21,Sierra Leone,Dc United,Mls,2016
