,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Kei Kamara,"$ 19,231","$ 1,000,000","$ 1,078,348",F,30,Sierra Leone,Ne Revolution,Mls,2016
1,Xavier Kouassi,"$ 16,154","$ 840,000","$ 905,812",M,27,Cote d'Ivoire,Ne Revolution,Mls,2016
2,Lee Nguyen,"$ 9,615","$ 500,000","$ 539,174",M,28,United States,Ne Revolution,Mls,2016
3,Jose Goncalves,"$ 8,654","$ 450,000","$ 485,256",D,29,Portugal,Ne Revolution,Mls,2016
4,Juan Agudelo,"$ 8,173","$ 425,000","$ 458,298",F,22,United States,Ne Revolution,Mls,2016
5,Gershon Koffie,"$ 4,808","$ 250,000","$ 269,587",M,23,Ghana,Ne Revolution,Mls,2016
6,Teal Bunbury,"$ 3,942","$ 205,000","$ 221,061",F,25,United States,Ne Revolution,Mls,2016
7,Kelyn Rowe,"$ 3,077","$ 160,000","$ 172,536",M,23,United States,Ne Revolution,Mls,2016
8,Andrew Farrell,"$ 2,856","$ 148,500","$ 160,135",D,23,United States,Ne Revolution,Mls,2016
9,Diego Fagundez,"$ 2,788","$ 145,000","$ 156,360",M,20,Uruguay,Ne Revolution,Mls,2016
10,Robert Shuttleworth,"$ 2,644","$ 137,500","$ 148,273",K,22,United States,Ne Revolution,Mls,2016
11,Chris Tierney,"$ 2,404","$ 125,000","$ 134,793",D,29,United States,Ne Revolution,Mls,2016
12,Daigo Kobayashi,"$ 2,308","$ 120,000","$ 129,402",M,32,Japan,Ne Revolution,Mls,2016
13,Je Vaughn Watson,"$ 2,115","$ 110,004","$ 118,623",D,31,Jamaica,Ne Revolution,Mls,2016
14,Darrius Barnes,"$ 2,115","$ 110,000","$ 118,618",D,28,United States,Ne Revolution,Mls,2016
15,Scott Caldwell,"$ 1,923","$ 100,000","$ 107,835",M,24,United States,Ne Revolution,Mls,2016
16,Brad Knighton,"$ 1,656","$ 86,105","$ 92,851",K,30,United States,Ne Revolution,Mls,2016
17,Mamadu Cande,"$ 1,442","$ 75,000","$ 80,876",D,24,Guinea-Bissau,Ne Revolution,Mls,2016
18,London Woodberry,"$ 1,212","$ 63,000","$ 67,936",D,24,United States,Ne Revolution,Mls,2016
19,Donnie Smith,"$ 1,212","$ 63,000","$ 67,936",M,24,United States,Ne Revolution,Mls,2016
20,Cody Cropper,"$ 1,202","$ 62,508","$ 67,405",F,22,United States,Ne Revolution,Mls,2016
21,Zachary Herivaux,"$ 1,202","$ 62,500","$ 67,397",M,19,Haiti,Ne Revolution,Mls,2016
22,Jordan McCrary,"$ 1,202","$ 62,500","$ 67,397",D,21,United States,Ne Revolution,Mls,2016
23,Steve Neumann,"$ 1,202","$ 62,500","$ 67,397",M,23,United States,Ne Revolution,Mls,2016
24,Matt Turner,$ 990,"$ 51,500","$ 55,535",K,21,United States,Ne Revolution,Mls,2016
25,Femi Hollinger Janzen,$ 990,"$ 51,500","$ 55,535",F,21,Benin,Ne Revolution,Mls,2016
