club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Sunderland AFC,David Connolly,29,Centre-Forward,Wigan,£2.07m,in,Summer,2.07,Championship,2006,2006/2007
Sunderland AFC,Tobias Hysén,24,Centre-Forward,Djurgarden,£1.89m,in,Summer,1.89,Championship,2006,2006/2007
Sunderland AFC,Stanislav Varga,33,Centre-Back,Celtic,£1.49m,in,Summer,1.49,Championship,2006,2006/2007
Sunderland AFC,Ross Wallace,21,Right Midfield,Celtic,£1.17m,in,Summer,1.17,Championship,2006,2006/2007
Sunderland AFC,Graham Kavanagh,32,Central Midfield,Wigan,£675Th.,in,Summer,0.675,Championship,2006,2006/2007
Sunderland AFC,William Mocquet,23,Forward,AC Le Havre,£675Th.,in,Summer,0.675,Championship,2006,2006/2007
Sunderland AFC,Clive Clarke,26,Left-Back,West Ham,£585Th.,in,Summer,0.585,Championship,2006,2006/2007
Sunderland AFC,Dwight Yorke,34,Centre-Forward,Sydney FC,£270Th.,in,Summer,0.27,Championship,2006,2006/2007
Sunderland AFC,Robbie Elliott,32,Left-Back,Newcastle,Free transfer,in,Summer,0,Championship,2006,2006/2007
Sunderland AFC,Liam Miller,25,Central Midfield,Man Utd,Free transfer,in,Summer,0,Championship,2006,2006/2007
Sunderland AFC,Lewin Nyatanga,18,Centre-Back,Derby,Loan,in,Summer,0,Championship,2006,2006/2007
Sunderland AFC,Arnau Riera,24,Left Winger,FC Barcelona B,Free transfer,in,Summer,0,Championship,2006,2006/2007
Sunderland AFC,Darren Ward,32,Goalkeeper,Norwich,Free transfer,in,Summer,0,Championship,2006,2006/2007
Sunderland AFC,Kenny Cunningham,35,Centre-Back,Birmingham,Free transfer,in,Summer,0,Championship,2006,2006/2007
Sunderland AFC,Trevor Carson,18,Goalkeeper,Sunderland U18,-,in,Summer,0,Championship,2006,2006/2007
Sunderland AFC,William Mocquet,24,Forward,Bury,"End of loanMay 6, 2007",in,Summer,0,Championship,2006,2006/2007
Sunderland AFC,Kevin Smith,20,Centre-Forward,Dundee FC,"End of loanMay 1, 2007",in,Summer,0,Championship,2006,2006/2007
Sunderland AFC,Julio Arca,25,Central Midfield,Middlesbrough,£2.16m,out,Summer,2.16,Championship,2006,2006/2007
Sunderland AFC,George McCartney,25,Left-Back,West Ham,£1.46m,out,Summer,1.46,Championship,2006,2006/2007
Sunderland AFC,Kelvin Davis,29,Goalkeeper,Southampton,£1.01m,out,Summer,1.01,Championship,2006,2006/2007
Sunderland AFC,Kevin Kyle,25,Centre-Forward,Coventry,£810Th.,out,Summer,0.81,Championship,2006,2006/2007
Sunderland AFC,Neill Collins,22,Centre-Back,Wolves,£203Th.,out,Summer,0.203,Championship,2006,2006/2007
Sunderland AFC,Jon Stead,23,Centre-Forward,Derby,Loan,out,Summer,0,Championship,2006,2006/2007
Sunderland AFC,Kevin Smith,19,Centre-Forward,Wrexham,Loan,out,Summer,0,Championship,2006,2006/2007
Sunderland AFC,Andy Welsh,22,Left Midfield,Leicester,Loan,out,Summer,0,Championship,2006,2006/2007
Sunderland AFC,Clive Clarke,26,Left-Back,Coventry,Loan,out,Summer,0,Championship,2006,2006/2007
Sunderland AFC,Daniel Smith,19,Left-Back,Aberdeen FC,Free transfer,out,Summer,0,Championship,2006,2006/2007
Sunderland AFC,Rory Delap,30,Central Midfield,Stoke City,Loan,out,Summer,0,Championship,2006,2006/2007
Sunderland AFC,Christian Bassila,28,Centre-Back,AE Larisa,Free transfer,out,Summer,0,Championship,2006,2006/2007
Sunderland AFC,Martin Woods,20,Central Midfield,Rotherham,Free transfer,out,Summer,0,Championship,2006,2006/2007
Sunderland AFC,Gary Breen,32,Centre-Back,Wolves,Free transfer,out,Summer,0,Championship,2006,2006/2007
Sunderland AFC,Joe Murphy,24,Goalkeeper,Scunthorpe Utd.,Free transfer,out,Summer,0,Championship,2006,2006/2007
Sunderland AFC,Sean Taylor,20,Midfielder,Career break,-,out,Summer,0,Championship,2006,2006/2007
Sunderland AFC,Danny Simpson,20,Right-Back,Man Utd U23,"End of loanMay 31, 2007",out,Summer,0,Championship,2006,2006/2007
Sunderland AFC,Jonny Evans,19,Centre-Back,Man Utd,"End of loanMay 7, 2007",out,Summer,0,Championship,2006,2006/2007
Sunderland AFC,Anthony Le Tallec,21,Centre-Forward,Liverpool,"End of loanMay 8, 2006",out,Summer,0,Championship,2006,2006/2007
Sunderland AFC,Justin Hoyte,21,Right-Back,Arsenal,"End of loanJun 30, 2006",out,Summer,0,Championship,2006,2006/2007
Birmingham City,Gary McSheffrey,24,Left Winger,Coventry,£5.40m,in,Summer,5.4,Championship,2006,2006/2007
Birmingham City,Cameron Jerome,19,Centre-Forward,Cardiff,£4.01m,in,Summer,4.01,Championship,2006,2006/2007
Birmingham City,Radhi Jaidi,30,Centre-Back,Bolton,£2.93m,in,Summer,2.93,Championship,2006,2006/2007
Birmingham City,Stephen Kelly,22,Right-Back,Spurs,£1.44m,in,Summer,1.44,Championship,2006,2006/2007
Birmingham City,Neil Danns,23,Central Midfield,Colchester Utd.,£1.01m,in,Summer,1.01,Championship,2006,2006/2007
Birmingham City,Sebastian Larsson,21,Central Midfield,Arsenal,Loan,in,Summer,0,Championship,2006,2006/2007
Birmingham City,Nicklas Bendtner,18,Centre-Forward,Arsenal Res.,Loan,in,Summer,0,Championship,2006,2006/2007
Birmingham City,Fabrice Muamba,18,Central Midfield,Arsenal,Loan,in,Summer,0,Championship,2006,2006/2007
Birmingham City,Bruno N'Gotty,35,Centre-Back,Bolton,Free transfer,in,Summer,0,Championship,2006,2006/2007
Birmingham City,Jamie Price,17,Attacking Midfield,Birmingham U18,-,in,Summer,0,Championship,2006,2006/2007
Birmingham City,Sam Oji,21,Centre-Back,Bristol Rovers,"End of loanApr 16, 2007",in,Summer,0,Championship,2006,2006/2007
Birmingham City,Njazi Kuqi,23,Centre-Forward,Peterborough,"End of loanJun 30, 2006",in,Summer,0,Championship,2006,2006/2007
Birmingham City,Jermaine Pennant,23,Right Winger,Liverpool,£8.19m,out,Summer,8.19,Championship,2006,2006/2007
Birmingham City,Emile Heskey,28,Centre-Forward,Wigan,£6.75m,out,Summer,6.75,Championship,2006,2006/2007
Birmingham City,Nick Wright,18,Centre-Forward,Bristol City,Loan,out,Summer,0,Championship,2006,2006/2007
Birmingham City,Adam Legzdins,19,Goalkeeper,Oldham Athletic,Loan,out,Summer,0,Championship,2006,2006/2007
Birmingham City,Peter Till,21,Right Midfield,Leyton Orient,Loan,out,Summer,0,Championship,2006,2006/2007
Birmingham City,Jamie Clapham,30,Left-Back,Wolves,Free transfer,out,Summer,0,Championship,2006,2006/2007
Birmingham City,Mario Melchiot,29,Right-Back,Stade Rennais,Free transfer,out,Summer,0,Championship,2006,2006/2007
Birmingham City,Stan Lazaridis,33,Left Midfield,Perth Glory,Free transfer,out,Summer,0,Championship,2006,2006/2007
Birmingham City,Chris Sutton,33,Centre-Forward,Aston Villa,Free transfer,out,Summer,0,Championship,2006,2006/2007
Birmingham City,Nico Vaesen,36,Goalkeeper,Lierse SK,Free transfer,out,Summer,0,Championship,2006,2006/2007
Birmingham City,Kenny Cunningham,35,Centre-Back,Sunderland,Free transfer,out,Summer,0,Championship,2006,2006/2007
Birmingham City,Jamie Price,19,Centre-Forward,Doncaster,Free transfer,out,Summer,0,Championship,2006,2006/2007
Birmingham City,Carl Motteram,21,Midfielder,Torquay United,Free transfer,out,Summer,0,Championship,2006,2006/2007
Birmingham City,Njazi Kuqi,23,Centre-Forward,FC Groningen,Free transfer,out,Summer,0,Championship,2006,2006/2007
Birmingham City,Alex Bruce,21,Centre-Back,Ipswich,Free transfer,out,Summer,0,Championship,2006,2006/2007
Birmingham City,Sam Alsop,21,Centre-Back,Without Club,-,out,Summer,0,Championship,2006,2006/2007
Birmingham City,Muzzy Izzet,31,Right Midfield,Retired,-,out,Summer,0,Championship,2006,2006/2007
Birmingham City,Nicklas Bendtner,19,Centre-Forward,Arsenal Res.,"End of loanMay 7, 2007",out,Summer,0,Championship,2006,2006/2007
Birmingham City,Gary Dicker,20,Central Midfield,UCD,"End of loanMay 1, 2007",out,Summer,0,Championship,2006,2006/2007
Birmingham City,Fabrice Muamba,19,Central Midfield,Arsenal,"End of loanMay 1, 2007",out,Summer,0,Championship,2006,2006/2007
Birmingham City,Andy Cole,35,Centre-Forward,Portsmouth,"End of loanMay 1, 2007",out,Summer,0,Championship,2006,2006/2007
West Bromwich Albion,Kevin Phillips,33,Centre-Forward,Aston Villa,£945Th.,in,Summer,0.945,Championship,2006,2006/2007
West Bromwich Albion,John Hartson,31,Centre-Forward,Celtic,£675Th.,in,Summer,0.675,Championship,2006,2006/2007
West Bromwich Albion,Paul McShane,20,Centre-Back,Man Utd U23,£450Th.,in,Summer,0.45,Championship,2006,2006/2007
West Bromwich Albion,Luke Steele,21,Goalkeeper,Man Utd,£225Th.,in,Summer,0.225,Championship,2006,2006/2007
West Bromwich Albion,Pascal Zuberbühler,35,Goalkeeper,FC Basel,Free transfer,in,Summer,0,Championship,2006,2006/2007
West Bromwich Albion,Chris Perry,33,Centre-Back,Charlton,Free transfer,in,Summer,0,Championship,2006,2006/2007
West Bromwich Albion,Luke Steele,22,Goalkeeper,Coventry,"End of loanMay 1, 2007",in,Summer,0,Championship,2006,2006/2007
West Bromwich Albion,Luke Daniels,18,Goalkeeper,West Brom U18,-,in,Summer,0,Championship,2006,2006/2007
West Bromwich Albion,Stuart Nicholson,20,Centre-Forward,Bristol Rovers,"End of loanApr 1, 2007",in,Summer,0,Championship,2006,2006/2007
West Bromwich Albion,Steve Watson,33,Right Midfield,Sheff Wed,"End of loanApr 1, 2007",in,Summer,0,Championship,2006,2006/2007
West Bromwich Albion,Junichi Inamoto,26,Defensive Midfield,Galatasaray,£270Th.,out,Summer,0.27,Championship,2006,2006/2007
West Bromwich Albion,Andy Johnson,32,Attacking Midfield,Leicester,Free transfer,out,Summer,0,Championship,2006,2006/2007
West Bromwich Albion,Nwankwo Kanu,29,Centre-Forward,Portsmouth,Free transfer,out,Summer,0,Championship,2006,2006/2007
West Bromwich Albion,Kevin Campbell,36,Centre-Forward,Cardiff,Free transfer,out,Summer,0,Championship,2006,2006/2007
West Bromwich Albion,Tomasz Kuszczak,24,Goalkeeper,Man Utd,Loan,out,Summer,0,Championship,2006,2006/2007
West Bromwich Albion,Sam Sodje,27,Centre-Back,Reading,"End of loanMay 1, 2007",out,Summer,0,Championship,2006,2006/2007
West Bromwich Albion,Jan Kozak,26,Attacking Midfield,Artmedia Brat.,"End of loanJun 30, 2006",out,Summer,0,Championship,2006,2006/2007
Coventry City,Elliott Ward,21,Centre-Back,West Ham,£1.13m,in,Summer,1.13,Championship,2006,2006/2007
Coventry City,Leon McKenzie,28,Centre-Forward,Norwich,£878Th.,in,Summer,0.878,Championship,2006,2006/2007
Coventry City,Kevin Kyle,25,Centre-Forward,Sunderland,£810Th.,in,Summer,0.81,Championship,2006,2006/2007
Coventry City,Chris Birchall,22,Right Midfield,Port Vale,£405Th.,in,Summer,0.405,Championship,2006,2006/2007
Coventry City,David McNamee,25,Right-Back,Livingston FC,£117Th.,in,Summer,0.117,Championship,2006,2006/2007
Coventry City,Luke Steele,21,Goalkeeper,Man Utd,Loan,in,Summer,0,Championship,2006,2006/2007
Coventry City,Clive Clarke,26,Left-Back,Sunderland,Loan,in,Summer,0,Championship,2006,2006/2007
Coventry City,Richard Duffy,21,Centre-Back,Portsmouth,Loan,in,Summer,0,Championship,2006,2006/2007
Coventry City,Adam Virgo,23,Centre-Back,Celtic,Loan,in,Summer,0,Championship,2006,2006/2007
Coventry City,Colin Hawkins,28,Centre-Back,Shelbourne,Free transfer,in,Summer,0,Championship,2006,2006/2007
Coventry City,Rafa,35,Goalkeeper,Real Oviedo,Free transfer,in,Summer,0,Championship,2006,2006/2007
Coventry City,Colin Cameron,33,Central Midfield,Wolves,Free transfer,in,Summer,0,Championship,2006,2006/2007
Coventry City,Jay Tabb,22,Left Midfield,Brentford,Free transfer,in,Summer,0,Championship,2006,2006/2007
Coventry City,Faysal El Idrissi,28,Attacking Midfield,Saarbrücken,Free transfer,in,Summer,0,Championship,2006,2006/2007
Coventry City,Wayne Andrews,28,Forward,Crystal Palace,Free transfer,in,Summer,0,Championship,2006,2006/2007
Coventry City,Andy Marshall,31,Goalkeeper,Millwall,Free transfer,in,Summer,0,Championship,2006,2006/2007
Coventry City,Mikkel Bischoff,24,Centre-Back,Man City,Free transfer,in,Summer,0,Championship,2006,2006/2007
Coventry City,Ryan Lynch,20,Defender,Tamworth,"End of loanMay 1, 2007",in,Summer,0,Championship,2006,2006/2007
Coventry City,Cameron Belford,17,Goalkeeper,Coventry U18,-,in,Summer,0,Championship,2006,2006/2007
Coventry City,Ben Turner,17,Centre-Back,Coventry U18,-,in,Summer,0,Championship,2006,2006/2007
Coventry City,Gary McSheffrey,24,Left Winger,Birmingham,£5.40m,out,Summer,5.4,Championship,2006,2006/2007
Coventry City,James Scowcroft,30,Forward,Crystal Palace,£675Th.,out,Summer,0.675,Championship,2006,2006/2007
Coventry City,Andy Morrell,31,Centre-Forward,Blackpool,Free transfer,out,Summer,0,Championship,2006,2006/2007
Coventry City,Isaac Osbourne,20,Defensive Midfield,Crewe Alexandra,Loan,out,Summer,0,Championship,2006,2006/2007
Coventry City,Andy Whing,22,Right-Back,Brighton,Loan,out,Summer,0,Championship,2006,2006/2007
Coventry City,Ben Turner,18,Centre-Back,Peterborough,Loan,out,Summer,0,Championship,2006,2006/2007
Coventry City,Liam Davis,19,Left-Back,Peterborough,Loan,out,Summer,0,Championship,2006,2006/2007
Coventry City,Claus Bech Jörgensen,30,Attacking Midfield,Blackpool,Free transfer,out,Summer,0,Championship,2006,2006/2007
Coventry City,Jonathan Tuffey,19,Goalkeeper,Partick Thistle,Free transfer,out,Summer,0,Championship,2006,2006/2007
Coventry City,Graham Barrett,24,Centre-Forward,Falkirk FC,Free transfer,out,Summer,0,Championship,2006,2006/2007
Coventry City,Luke Webb,19,Central Midfield,Hereford Utd.,Free transfer,out,Summer,0,Championship,2006,2006/2007
Coventry City,Adrian Williams,34,Centre-Back,Swindon Town,Free transfer,out,Summer,0,Championship,2006,2006/2007
Coventry City,Clayton Ince,33,Goalkeeper,Walsall,Free transfer,out,Summer,0,Championship,2006,2006/2007
Coventry City,Dennis Wise,39,Defensive Midfield,Swindon Town,Free transfer,out,Summer,0,Championship,2006,2006/2007
Coventry City,Richard Shaw,37,Centre-Back,Millwall,Free transfer,out,Summer,0,Championship,2006,2006/2007
Coventry City,Luke Steele,22,Goalkeeper,West Brom,"End of loanMay 1, 2007",out,Summer,0,Championship,2006,2006/2007
Coventry City,Andy Impey,34,Defensive Midfield,Retired,-,out,Summer,0,Championship,2006,2006/2007
Coventry City,Craig Reid,20,Centre-Forward,Without Club,-,out,Summer,0,Championship,2006,2006/2007
Coventry City,Luke Steele,21,Goalkeeper,Man Utd,"End of loanAug 1, 2006",out,Summer,0,Championship,2006,2006/2007
Coventry City,Faysal El Idrissi,28,Attacking Midfield,Without Club,-,out,Summer,0,Championship,2006,2006/2007
Coventry City,Adam Virgo,24,Centre-Back,Celtic,"End of loanMay 1, 2007",out,Summer,0,Championship,2006,2006/2007
Coventry City,Márton Fülöp,23,Goalkeeper,Spurs,"End of loanJun 30, 2006",out,Summer,0,Championship,2006,2006/2007
Crystal Palace,Shefki Kuqi,29,Centre-Forward,Blackburn,£3.38m,in,Summer,3.38,Championship,2006,2006/2007
Crystal Palace,Leon Cort,26,Centre-Back,Hull City,£1.35m,in,Summer,1.35,Championship,2006,2006/2007
Crystal Palace,Scott Flinders,20,Goalkeeper,Barnsley FC,£1.01m,in,Summer,1.01,Championship,2006,2006/2007
Crystal Palace,James Scowcroft,30,Forward,Coventry,£675Th.,in,Summer,0.675,Championship,2006,2006/2007
Crystal Palace,Carl Fletcher,26,Defensive Midfield,West Ham,£540Th.,in,Summer,0.54,Championship,2006,2006/2007
Crystal Palace,Stuart Green,25,Right Winger,Hull City,£108Th.,in,Summer,0.108,Championship,2006,2006/2007
Crystal Palace,Mark Kennedy,30,Left-Back,Wolves,Free transfer,in,Summer,0,Championship,2006,2006/2007
Crystal Palace,Charlie Sheringham,18,Centre-Forward,Ipswich U18,Free transfer,in,Summer,0,Championship,2006,2006/2007
Crystal Palace,Matt Lawrence,32,Centre-Back,Millwall,Free transfer,in,Summer,0,Championship,2006,2006/2007
Crystal Palace,Scott Flinders,20,Goalkeeper,Brighton,"End of loanMay 31, 2007",in,Summer,0,Championship,2006,2006/2007
Crystal Palace,Ryan Hall,18,Left Midfield,Palace U18,-,in,Summer,0,Championship,2006,2006/2007
Crystal Palace,Lewwis Spence,18,Central Midfield,Palace U18,-,in,Summer,0,Championship,2006,2006/2007
Crystal Palace,David Wilkinson,18,Goalkeeper,Palace U18,-,in,Summer,0,Championship,2006,2006/2007
Crystal Palace,Scott Flinders,20,Goalkeeper,Gillingham FC,"End of loanOct 22, 2006",in,Summer,0,Championship,2006,2006/2007
Crystal Palace,Lewis Grabban,18,Centre-Forward,Oldham Athletic,"End of loanOct 10, 2006",in,Summer,0,Championship,2006,2006/2007
Crystal Palace,Andy Johnson,25,Centre-Forward,Everton,£9.90m,out,Summer,9.9,Championship,2006,2006/2007
Crystal Palace,Fitz Hall,25,Centre-Back,Wigan,£4.05m,out,Summer,4.05,Championship,2006,2006/2007
Crystal Palace,Emmerson Boyce,26,Right-Back,Wigan,£1.35m,out,Summer,1.35,Championship,2006,2006/2007
Crystal Palace,Mikele Leigertwood,23,Defensive Midfield,Sheffield Utd.,£675Th.,out,Summer,0.675,Championship,2006,2006/2007
Crystal Palace,Sándor Torghelle,24,Centre-Forward,Panathinaikos,£450Th.,out,Summer,0.45,Championship,2006,2006/2007
Crystal Palace,Sam Togwell,21,Defensive Midfield,Barnsley FC,£68Th.,out,Summer,0.068,Championship,2006,2006/2007
Crystal Palace,Lewis Grabban,18,Centre-Forward,Oldham Athletic,Loan,out,Summer,0,Championship,2006,2006/2007
Crystal Palace,Jon Macken,28,Centre-Forward,Ipswich,Loan,out,Summer,0,Championship,2006,2006/2007
Crystal Palace,Scott Flinders,20,Goalkeeper,Gillingham FC,Loan,out,Summer,0,Championship,2006,2006/2007
Crystal Palace,Lewwis Spence,19,Central Midfield,CP Baltimore,Loan,out,Summer,0,Championship,2006,2006/2007
Crystal Palace,Anthony Popovic,32,Centre-Back,Al-Arabi SC,Free transfer,out,Summer,0,Championship,2006,2006/2007
Crystal Palace,Wayne Andrews,28,Forward,Coventry,Free transfer,out,Summer,0,Championship,2006,2006/2007
Crystal Palace,Aki Riihilahti,29,Defensive Midfield,1.FC K'lautern,Free transfer,out,Summer,0,Championship,2006,2006/2007
Crystal Palace,Charlie Sheringham,18,Centre-Forward,CP Baltimore,Loan,out,Summer,0,Championship,2006,2006/2007
Crystal Palace,Anthony Danze,22,Midfielder,Inglewood Utd,Free transfer,out,Summer,0,Championship,2006,2006/2007
Derby County,Steve Howard,30,Centre-Forward,Luton,£1.44m,in,Summer,1.44,Championship,2006,2006/2007
Derby County,Stephen Pearson,23,Central Midfield,Celtic,£1.01m,in,Summer,1.01,Championship,2006,2006/2007
Derby County,Stephen Bywater,25,Goalkeeper,West Ham,£675Th.,in,Summer,0.675,Championship,2006,2006/2007
Derby County,Dean Leacock,22,Centre-Back,Fulham,£509Th.,in,Summer,0.509,Championship,2006,2006/2007
Derby County,Jon Stead,23,Centre-Forward,Sunderland,Loan,in,Summer,0,Championship,2006,2006/2007
Derby County,Bob Malcolm,25,Centre-Back,Rangers,Free transfer,in,Summer,0,Championship,2006,2006/2007
Derby County,Arturo Lupoli,19,Centre-Forward,Arsenal,Loan,in,Summer,0,Championship,2006,2006/2007
Derby County,Mohammed Camara,31,Left-Back,Celtic,Free transfer,in,Summer,0,Championship,2006,2006/2007
Derby County,Ryan Smith,19,Left Winger,Arsenal,Free transfer,in,Summer,0,Championship,2006,2006/2007
Derby County,Matt Oakley,28,Defensive Midfield,Southampton,Free transfer,in,Summer,0,Championship,2006,2006/2007
Derby County,Lionel Ainsworth,19,Right Midfield,Wycombe,"End of loanApr 10, 2007",in,Summer,0,Championship,2006,2006/2007
Derby County,Lee Camp,22,Goalkeeper,QPR,"End of loanApr 1, 2007",in,Summer,0,Championship,2006,2006/2007
Derby County,Paul Boertien,28,Left-Back,Chesterfield FC,"End of loanApr 1, 2007",in,Summer,0,Championship,2006,2006/2007
Derby County,Steven Cann,18,Goalkeeper,Derby U18,-,in,Summer,0,Championship,2006,2006/2007
Derby County,James Meredith,18,Left-Back,Chesterfield FC,"End of loanApr 1, 2007",in,Summer,0,Championship,2006,2006/2007
Derby County,James Meredith,18,Left-Back,Derby U18,-,in,Summer,0,Championship,2006,2006/2007
Derby County,Theo Streete,18,Centre-Back,Derby U18,-,in,Summer,0,Championship,2006,2006/2007
Derby County,Lewin Nyatanga,18,Centre-Back,Barnsley FC,"End of loanApr 17, 2007",in,Summer,0,Championship,2006,2006/2007
Derby County,Tommy Smith,26,Centre-Forward,Watford,£653Th.,out,Summer,0.653,Championship,2006,2006/2007
Derby County,Iñigo Idiakez,32,Attacking Midfield,Southampton,£338Th.,out,Summer,0.338,Championship,2006,2006/2007
Derby County,Lionel Ainsworth,18,Right Midfield,Bournemouth,Loan,out,Summer,0,Championship,2006,2006/2007
Derby County,James Meredith,18,Left-Back,Cambridge Utd.,Loan,out,Summer,0,Championship,2006,2006/2007
Derby County,Lewin Nyatanga,18,Centre-Back,Sunderland,Loan,out,Summer,0,Championship,2006,2006/2007
Derby County,Theo Streete,18,Centre-Back,Doncaster,Loan,out,Summer,0,Championship,2006,2006/2007
Derby County,Paul Thirlwell,27,Defensive Midfield,Carlisle United,Free transfer,out,Summer,0,Championship,2006,2006/2007
Derby County,Lee Camp,22,Goalkeeper,Norwich,Loan,out,Summer,0,Championship,2006,2006/2007
Derby County,Nathan Doyle,19,Defensive Midfield,Bradford,Loan,out,Summer,0,Championship,2006,2006/2007
Derby County,Lee Holmes,19,Left Winger,Bradford,Loan,out,Summer,0,Championship,2006,2006/2007
Derby County,Kevin Poole,43,Goalkeeper,Burton Albion,Free transfer,out,Summer,0,Championship,2006,2006/2007
Derby County,Pablo Mills,22,Centre-Back,Rotherham,Free transfer,out,Summer,0,Championship,2006,2006/2007
Derby County,Jeff Kenna,35,Right-Back,Kidderminster,Free transfer,out,Summer,0,Championship,2006,2006/2007
Derby County,Tomasz Hajto,33,Centre-Back,LKS Lodz,Free transfer,out,Summer,0,Championship,2006,2006/2007
Derby County,Arturo Lupoli,19,Centre-Forward,Arsenal,"End of loanMay 1, 2007",out,Summer,0,Championship,2006,2006/2007
Derby County,Karl Ashton,17,Centre-Forward,Career break,-,out,Summer,0,Championship,2006,2006/2007
Derby County,Darren Currie,32,Midfielder,Ipswich,"End of loanMay 31, 2007",out,Summer,0,Championship,2006,2006/2007
Leeds United,Kevin Nicholls,27,Right Midfield,Luton,£1.02m,in,Summer,1.02,Championship,2006,2006/2007
Leeds United,Ian Westlake,22,Defensive Midfield,Ipswich,£945Th.,in,Summer,0.945,Championship,2006,2006/2007
Leeds United,David Livermore,26,Central Midfield,Millwall,£540Th.,in,Summer,0.54,Championship,2006,2006/2007
Leeds United,Graham Stack,25,Goalkeeper,Reading,Loan,in,Summer,0,Championship,2006,2006/2007
Leeds United,Adam Johnson,19,Right Winger,Middlesbrough,Loan,in,Summer,0,Championship,2006,2006/2007
Leeds United,Sébastien Carole,23,Right Winger,Brighton,Free transfer,in,Summer,0,Championship,2006,2006/2007
Leeds United,Alan Wright,35,Left-Back,Sheffield Utd.,Loan,in,Summer,0,Championship,2006,2006/2007
