club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Coventry City,Matt Heath,23,Centre-Back,Leicester,£68Th.,in,Summer,0.068,Championship,2005,2005/2006
Coventry City,Youssef Sofiane,21,Centre-Forward,West Ham,Free transfer,in,Summer,0,Championship,2005,2005/2006
Coventry City,James Scowcroft,29,Forward,Leicester,Free transfer,in,Summer,0,Championship,2005,2005/2006
Coventry City,Clayton Ince,32,Goalkeeper,Crewe Alexandra,Free transfer,in,Summer,0,Championship,2005,2005/2006
Coventry City,Lilian Nalis,34,Central Midfield,Sheffield Utd.,Loan,in,Summer,0,Championship,2005,2005/2006
Coventry City,Paul Watson,30,Right-Back,Brighton,Free transfer,in,Summer,0,Championship,2005,2005/2006
Coventry City,Márton Fülöp,22,Goalkeeper,Spurs,Loan,in,Summer,0,Championship,2005,2005/2006
Coventry City,Andy Impey,33,Defensive Midfield,Nottm Forest,Free transfer,in,Summer,0,Championship,2005,2005/2006
Coventry City,Richard Duffy,19,Centre-Back,Portsmouth,Loan,in,Summer,0,Championship,2005,2005/2006
Coventry City,Stephen Bywater,24,Goalkeeper,West Ham,Loan,in,Summer,0,Championship,2005,2005/2006
Coventry City,Willo Flood,20,Central Midfield,Man City,Loan,in,Summer,0,Championship,2005,2005/2006
Coventry City,Jonathan Tuffey,18,Goalkeeper,Coventry U18,-,in,Summer,0,Championship,2005,2005/2006
Coventry City,Ryan Lynch,18,Defender,Coventry U18,-,in,Summer,0,Championship,2005,2005/2006
Coventry City,Graham Barrett,24,Centre-Forward,Livingston FC,"End of loanMay 1, 2006",in,Summer,0,Championship,2005,2005/2006
Coventry City,Luke Webb,18,Central Midfield,Coventry U18,-,in,Summer,0,Championship,2005,2005/2006
Coventry City,Liam Davis,18,Left-Back,Coventry U18,-,in,Summer,0,Championship,2005,2005/2006
Coventry City,Kevin Thornton,18,Central Midfield,Coventry U18,-,in,Summer,0,Championship,2005,2005/2006
Coventry City,Craig Reid,20,Centre-Forward,Tamworth,"End of loanMay 1, 2006",in,Summer,0,Championship,2005,2005/2006
Coventry City,Patrick Suffo,27,Centre-Forward,Odd Grenland,Free transfer,out,Summer,0,Championship,2005,2005/2006
Coventry City,Kevin Pressman,37,Goalkeeper,Mansfield Town,Free transfer,out,Summer,0,Championship,2005,2005/2006
Coventry City,Trevor Benjamin,26,Centre-Forward,Peterborough,Free transfer,out,Summer,0,Championship,2005,2005/2006
Coventry City,Scott Shearer,24,Goalkeeper,Bristol Rovers,Free transfer,out,Summer,0,Championship,2005,2005/2006
Coventry City,Ben Mackey,18,Centre-Forward,Linfield,Free transfer,out,Summer,0,Championship,2005,2005/2006
Coventry City,Steve Staunton,36,Left-Back,Walsall,Free transfer,out,Summer,0,Championship,2005,2005/2006
Coventry City,Adrian Williams,34,Centre-Back,Millwall,Loan,out,Summer,0,Championship,2005,2005/2006
Coventry City,Graham Barrett,23,Centre-Forward,Livingston FC,Loan,out,Summer,0,Championship,2005,2005/2006
Coventry City,Stern John,28,Centre-Forward,Derby,Loan,out,Summer,0,Championship,2005,2005/2006
Coventry City,Richard Duffy,20,Centre-Back,Portsmouth,"End of loanMay 1, 2006",out,Summer,0,Championship,2005,2005/2006
Coventry City,Tim Sherwood,36,Central Midfield,Retired,-,out,Summer,0,Championship,2005,2005/2006
Coventry City,Sean Cooney,21,Defender,Retired,-,out,Summer,0,Championship,2005,2005/2006
Coventry City,Stephen Bywater,24,Goalkeeper,West Ham,"End of loanOct 1, 2005",out,Summer,0,Championship,2005,2005/2006
Coventry City,Florent Laville,31,Centre-Back,Bolton,"End of loanJun 30, 2005",out,Summer,0,Championship,2005,2005/2006
Coventry City,Shaun Goater,35,Centre-Forward,Reading,"End of loanJun 30, 2005",out,Summer,0,Championship,2005,2005/2006
Crystal Palace,Clinton Morrison,26,Centre-Forward,Birmingham,£2.70m,in,Summer,2.7,Championship,2005,2005/2006
Crystal Palace,Darren Ward,26,Centre-Back,Millwall,£1.49m,in,Summer,1.49,Championship,2005,2005/2006
Crystal Palace,Jon Macken,27,Centre-Forward,Man City,£900Th.,in,Summer,0.9,Championship,2005,2005/2006
