,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Gaëtan Laborde,"€ 20,692","€ 1,076,000","€ 1,081,127",F,24,France,Montpellier,Ligue 1,2018-2019
1,Souleymane Camara,"€ 16,250","€ 845,000","€ 849,026",F,35,Senegal,Montpellier,Ligue 1,2018-2019
2,Benjamin Lecomte,"€ 16,096","€ 837,000","€ 840,988",K,27,France,Montpellier,Ligue 1,2018-2019
3,Andy Delort,"€ 15,519","€ 807,000","€ 810,845",F,26,Algeria,Montpellier,Ligue 1,2018-2019
4,Paul Lasne,"€ 15,365","€ 799,000","€ 802,807",M,29,France,Montpellier,Ligue 1,2018-2019
5,Pedro Mendes,"€ 14,942","€ 777,000","€ 780,702",D,27,Portugal,Montpellier,Ligue 1,2018-2019
6,Facundo Píriz,"€ 14,231","€ 740,000","€ 743,526",M,28,Uruguay,Montpellier,Ligue 1,2018-2019
7,Daniel Congré,"€ 13,808","€ 718,000","€ 721,421",D,33,France,Montpellier,Ligue 1,2018-2019
8,Hilton,"€ 13,635","€ 709,000","€ 712,378",D,40,Brazil,Montpellier,Ligue 1,2018-2019
9,Mihailo Ristic,"€ 11,019","€ 573,000","€ 575,730",D,22,Serbia,Montpellier,Ligue 1,2018-2019
10,Ambroise Oyongo,"€ 10,654","€ 554,000","€ 556,640",D,27,Cameroon,Montpellier,Ligue 1,2018-2019
11,Keagan Dolly,"€ 9,192","€ 478,000","€ 480,278",F,25,South Africa,Montpellier,Ligue 1,2018-2019
12,Junior Sambia,"€ 9,192","€ 478,000","€ 480,278",M,21,France,Montpellier,Ligue 1,2018-2019
13,Mathías Suárez,"€ 8,212","€ 427,000","€ 429,035",D,22,Uruguay,Montpellier,Ligue 1,2018-2019
14,Petar Skuletic,"€ 8,058","€ 419,000","€ 420,997",F,28,Serbia,Montpellier,Ligue 1,2018-2019
15,Ellyes Skhiri,"€ 8,058","€ 419,000","€ 420,997",M,23,Tunisia,Montpellier,Ligue 1,2018-2019
16,Damien Le Tallec,"€ 8,058","€ 419,000","€ 420,997",D,28,France,Montpellier,Ligue 1,2018-2019
17,Nicolas Cozza,"€ 7,808","€ 406,000","€ 407,935",D,19,France,Montpellier,Ligue 1,2018-2019
18,Ruben Aguilar,"€ 6,904","€ 359,000","€ 360,711",D,25,France,Montpellier,Ligue 1,2018-2019
19,Florent Mollet,"€ 6,904","€ 359,000","€ 360,711",M,26,France,Montpellier,Ligue 1,2018-2019
20,Bilal Boutobba,"€ 4,404","€ 229,000","€ 230,091",F,19,France,Montpellier,Ligue 1,2018-2019
21,Dimitry Bertaud,"€ 3,404","€ 177,000","€ 177,843",K,20,France,Montpellier,Ligue 1,2018-2019
22,Jonathan Ligali,"€ 3,250","€ 169,000","€ 169,805",K,27,France,Montpellier,Ligue 1,2018-2019
23,Bryan Passi,"€ 3,019","€ 157,000","€ 157,748",D,20,France,Montpellier,Ligue 1,2018-2019
24,Killian Sanson,"€ 2,385","€ 124,000","€ 124,591",M,21,France,Montpellier,Ligue 1,2018-2019
25,Amir Adouyev,"€ 2,231","€ 116,000","€ 116,553",M,19,Russia,Montpellier,Ligue 1,2018-2019
26,Jérémie Porsan-Clemente,"€ 1,154","€ 60,000","€ 60,286",D,20,France,Montpellier,Ligue 1,2018-2019
27,Morgan Poaty,€ 0,€ 0,€ 0,D,20,France,Montpellier,Ligue 1,2018-2019
28,Kylian Kaïboué,€ 0,€ 0,€ 0,M,19,France,Montpellier,Ligue 1,2018-2019
29,Isaac Mbenza,€ 0,€ 0,€ 0,F,22,Belgium,Montpellier,Ligue 1,2018-2019
30,Giovanni Sio,€ 0,€ 0,€ 0,F,29,Cote d'Ivoire,Montpellier,Ligue 1,2018-2019
31,Yannis Ammour,€ 0,€ 0,€ 0,F,19,France,Montpellier,Ligue 1,2018-2019
