,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Daniel Didavi,,"€ 40,385","€ 2,100,000",AM,31,,"Jun 30, 2022",1-yr,"€ 2,100,000",Stuttgart,Bundesliga,2021-2022
1,Erik Thommy,,"€ 21,154","€ 1,100,000",LM,27,,"Jun 30, 2022",1-yr,"€ 1,100,000",Stuttgart,Bundesliga,2021-2022
2,Marc Oliver Kempf,,"€ 19,423","€ 1,010,000",CB,26,,"Jun 30, 2022",1-yr,"€ 1,010,000",Stuttgart,Bundesliga,2021-2022
3,Konstantinos Mavropanos,,"€ 14,615","€ 760,000",CB,23,,"Jun 30, 2022",1-yr,"€ 760,000",Stuttgart,Bundesliga,2021-2022
4,Waldemar Anton,,"€ 14,423","€ 750,000",CB,25,,"Jun 30, 2024",3-yrs,"€ 2,250,000",Stuttgart,Bundesliga,2021-2022
5,Pascal Stenzel,,"€ 13,654","€ 710,000",CB,25,,"Jun 30, 2024",3-yrs,"€ 2,130,000",Stuttgart,Bundesliga,2021-2022
6,Wataru Endo,,"€ 12,692","€ 660,000",DM,28,,"Jun 30, 2024",3-yrs,"€ 1,980,000",Stuttgart,Bundesliga,2021-2022
7,Philipp Klement,,"€ 12,500","€ 650,000",AM,28,,"Jun 30, 2023",2-yrs,"€ 1,300,000",Stuttgart,Bundesliga,2021-2022
8,Borna Sosa,,"€ 12,308","€ 640,000",LB,23,,"Jun 30, 2025",4-yrs,"€ 2,560,000",Stuttgart,Bundesliga,2021-2022
9,Nikolas Nartey,,"€ 11,923","€ 620,000",CM,21,,"Jun 30, 2023",2-yrs,"€ 1,240,000",Stuttgart,Bundesliga,2021-2022
10,Silas Wamangituka,,"€ 10,769","€ 560,000",RM,22,,"Jun 30, 2024",3-yrs,"€ 1,680,000",Stuttgart,Bundesliga,2021-2022
11,Fabian Bredlow,,"€ 9,423","€ 490,000",GK,26,,"Jun 30, 2024",3-yrs,"€ 1,470,000",Stuttgart,Bundesliga,2021-2022
12,Atakan Karazor,,"€ 9,038","€ 470,000",DM,24,,"Jun 30, 2023",2-yrs,"€ 940,000",Stuttgart,Bundesliga,2021-2022
13,Sasa Kalajdzic,,"€ 7,500","€ 390,000",CF,24,,"Jun 30, 2023",2-yrs,"€ 780,000",Stuttgart,Bundesliga,2021-2022
14,Philipp Förster,,"€ 7,308","€ 380,000",AM,26,,"Jun 30, 2023",2-yrs,"€ 760,000",Stuttgart,Bundesliga,2021-2022
15,Clinton Mola,,"€ 5,769","€ 300,000",DM,20,,"Jun 30, 2024",3-yrs,"€ 900,000",Stuttgart,Bundesliga,2021-2022
16,Orel Mangala,,"€ 5,192","€ 270,000",DM,23,,"Jun 30, 2024",3-yrs,"€ 810,000",Stuttgart,Bundesliga,2021-2022
17,Omar Marmoush,,"€ 4,423","€ 230,000",CF,22,,"Jun 30, 2022",1-yr,"€ 230,000",Stuttgart,Bundesliga,2021-2022
18,Hamadi Al Ghaddioui,,"€ 4,231","€ 220,000",CF,30,,"Jun 30, 2022",1-yr,"€ 220,000",Stuttgart,Bundesliga,2021-2022
19,Tanguy Coulibaly,,"€ 3,846","€ 200,000",LW,20,,"Jun 30, 2023",2-yrs,"€ 400,000",Stuttgart,Bundesliga,2021-2022
20,Mateo Klimowicz,,"€ 3,846","€ 200,000",AM,21,,"Jun 30, 2024",3-yrs,"€ 600,000",Stuttgart,Bundesliga,2021-2022
21,Roberto Massimo,,"€ 3,654","€ 190,000",RM,20,,"Jun 30, 2023",2-yrs,"€ 380,000",Stuttgart,Bundesliga,2021-2022
22,Lilian Egloff,,€ 577,"€ 30,000",AM,19,,"Jun 30, 2024",3-yrs,"€ 90,000",Stuttgart,Bundesliga,2021-2022
23,Momo Cissé,,€ 385,"€ 20,000",RW,18,,"Jun 30, 2025",4-yrs,"€ 80,000",Stuttgart,Bundesliga,2021-2022
24,Naouirou Ahamada,,€ 385,"€ 20,000",DM,19,,"Jun 30, 2025",4-yrs,"€ 80,000",Stuttgart,Bundesliga,2021-2022
25,Hiroki Ito,,€ 0,€ 0,CB,22,,"Jun 30, 2022",1-yr,€ 0,Stuttgart,Bundesliga,2021-2022
26,Enzo Millot,,€ 0,€ 0,CM,19,,"Jun 30, 2025",4-yrs,€ 0,Stuttgart,Bundesliga,2021-2022
27,Wahid Faghir,,€ 0,€ 0,CF,18,,"Jun 30, 2026",5-yrs,€ 0,Stuttgart,Bundesliga,2021-2022
28,Mohamed Sankoh,,€ 0,€ 0,CF,17,,"Jun 30, 2023",2-yrs,€ 0,Stuttgart,Bundesliga,2021-2022
29,Ömer Beyaz,,€ 0,€ 0,AM,18,,"Jun 30, 2025",4-yrs,€ 0,Stuttgart,Bundesliga,2021-2022
30,Chris Führich,,€ 0,€ 0,RW,23,,"Jun 30, 2025",4-yrs,€ 0,Stuttgart,Bundesliga,2021-2022
31,Florian Müller,,€ 0,€ 0,GK,23,,"Jun 30, 2025",4-yrs,€ 0,Stuttgart,Bundesliga,2021-2022
