,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Patrik Schick,,"€ 65,385","€ 3,400,000",CF,25,,"Jun 30, 2025",4-yrs,"€ 13,600,000",Bayer Leverkusen,Bundesliga,2021-2022
1,Nadiem Amiri,,"€ 61,538","€ 3,200,000",AM,24,,"Jun 30, 2024",3-yrs,"€ 9,600,000",Bayer Leverkusen,Bundesliga,2021-2022
2,Kerem Demirbay,,"€ 61,538","€ 3,200,000",CM,28,,"Jun 30, 2024",3-yrs,"€ 9,600,000",Bayer Leverkusen,Bundesliga,2021-2022
3,Karim Bellarabi,,"€ 50,000","€ 2,600,000",RW,31,,"Jun 30, 2023",2-yrs,"€ 5,200,000",Bayer Leverkusen,Bundesliga,2021-2022
4,Lukas Hradecky,,"€ 46,154","€ 2,400,000",GK,31,,"Jun 30, 2023",2-yrs,"€ 4,800,000",Bayer Leverkusen,Bundesliga,2021-2022
5,Julian Baumgartlinger,,"€ 44,231","€ 2,300,000",DM,33,,"Jun 30, 2022",1-yr,"€ 2,300,000",Bayer Leverkusen,Bundesliga,2021-2022
6,Jeremie Frimpong,,"€ 40,385","€ 2,100,000",RB,20,,"Jun 30, 2025",4-yrs,"€ 8,400,000",Bayer Leverkusen,Bundesliga,2021-2022
7,Daley Sinkgraven,,"€ 38,462","€ 2,000,000",LB,26,,"Jun 30, 2023",2-yrs,"€ 4,000,000",Bayer Leverkusen,Bundesliga,2021-2022
8,Moussa Diaby,,"€ 36,538","€ 1,900,000",LW,22,,"Jun 30, 2025",4-yrs,"€ 7,600,000",Bayer Leverkusen,Bundesliga,2021-2022
9,Exequiel Palacios,,"€ 32,692","€ 1,700,000",CM,22,,"Jun 30, 2025",4-yrs,"€ 6,800,000",Bayer Leverkusen,Bundesliga,2021-2022
10,Jonathan Tah,,"€ 28,846","€ 1,500,000",CB,25,,"Jun 30, 2023",2-yrs,"€ 3,000,000",Bayer Leverkusen,Bundesliga,2021-2022
11,Charles Aránguiz,,"€ 28,846","€ 1,500,000",CM,32,,"Jun 30, 2023",2-yrs,"€ 3,000,000",Bayer Leverkusen,Bundesliga,2021-2022
12,Timothy Fosu-Mensah,,"€ 25,000","€ 1,300,000",RB,23,,"Jun 30, 2024",3-yrs,"€ 3,900,000",Bayer Leverkusen,Bundesliga,2021-2022
13,Paulinho,,"€ 25,000","€ 1,300,000",LW,21,,"Jun 30, 2023",2-yrs,"€ 2,600,000",Bayer Leverkusen,Bundesliga,2021-2022
14,Edmond Tapsoba,,"€ 21,154","€ 1,100,000",CB,22,,"Jun 30, 2026",5-yrs,"€ 5,500,000",Bayer Leverkusen,Bundesliga,2021-2022
15,Joel Pohjanpalo,,"€ 18,077","€ 940,000",CF,26,,"Jun 30, 2022",1-yr,"€ 940,000",Bayer Leverkusen,Bundesliga,2021-2022
16,Panagiotis Retsos,,"€ 17,885","€ 930,000",CB,23,,"Jun 30, 2022",1-yr,"€ 930,000",Bayer Leverkusen,Bundesliga,2021-2022
17,Niklas Lomb,,"€ 5,192","€ 270,000",GK,28,,"Jun 30, 2022",1-yr,"€ 270,000",Bayer Leverkusen,Bundesliga,2021-2022
18,Florian Wirtz,,"€ 3,077","€ 160,000",AM,18,,"Jun 30, 2026",5-yrs,"€ 800,000",Bayer Leverkusen,Bundesliga,2021-2022
19,Zidan Sertdemir,,€ 0,€ 0,CM,16,,"Jun 30, 2024",3-yrs,€ 0,Bayer Leverkusen,Bundesliga,2021-2022
20,Andrey Lunev,,€ 0,€ 0,GK,29,,"Jun 30, 2023",2-yrs,€ 0,Bayer Leverkusen,Bundesliga,2021-2022
21,Emrehan Gedikli,,€ 0,€ 0,CF,18,,"Jun 30, 2022",1-yr,€ 0,Bayer Leverkusen,Bundesliga,2021-2022
22,Lucas Alario,,€ 0,€ 0,CF,28,,"Jun 30, 2024",3-yrs,€ 0,Bayer Leverkusen,Bundesliga,2021-2022
23,Mitchel Bakker,,€ 0,€ 0,LB,21,,"Jun 30, 2025",4-yrs,€ 0,Bayer Leverkusen,Bundesliga,2021-2022
24,Odilon Kossounou,,€ 0,€ 0,CB,20,,"Jun 30, 2026",5-yrs,€ 0,Bayer Leverkusen,Bundesliga,2021-2022
25,Piero Hincapié,,€ 0,€ 0,CB,19,,"Jun 30, 2026",5-yrs,€ 0,Bayer Leverkusen,Bundesliga,2021-2022
26,Robert Andrich,,€ 0,€ 0,CM,26,,"Jun 30, 2026",5-yrs,€ 0,Bayer Leverkusen,Bundesliga,2021-2022
27,Amine Adli,,€ 0,€ 0,SS,21,,"Jun 30, 2026",5-yrs,€ 0,Bayer Leverkusen,Bundesliga,2021-2022
