,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Luca Itter,,"€ 20,192","€ 1,050,000",LB,22,,"Jun 30, 2022",1-yr,"€ 1,050,000",Furth,Bundesliga,2021-2022
1,Paul Seguin,,"€ 17,692","€ 920,000",CM,26,,"Jun 30, 2022",1-yr,"€ 920,000",Furth,Bundesliga,2021-2022
2,Julian Green,,"€ 15,769","€ 820,000",CM,26,,"Jun 30, 2022",1-yr,"€ 820,000",Furth,Bundesliga,2021-2022
3,Sascha Burchert,,"€ 14,808","€ 770,000",GK,31,,"Jun 30, 2022",1-yr,"€ 770,000",Furth,Bundesliga,2021-2022
4,Cedric Itten,,"€ 14,615","€ 760,000",CF,24,,"Jun 30, 2022",1-yr,"€ 760,000",Furth,Bundesliga,2021-2022
5,Havard Nielsen,,"€ 13,462","€ 700,000",CF,28,,"Jun 30, 2022",1-yr,"€ 700,000",Furth,Bundesliga,2021-2022
6,Justin Hoogma,,"€ 9,808","€ 510,000",CB,23,,"Jun 30, 2022",1-yr,"€ 510,000",Furth,Bundesliga,2021-2022
7,Nunoo Sarpei,,"€ 8,462","€ 440,000",DM,23,,"Jun 30, 2022",1-yr,"€ 440,000",Furth,Bundesliga,2021-2022
8,Branimir Hrgota,,"€ 8,077","€ 420,000",CF,28,,"Jun 30, 2024",3-yrs,"€ 1,260,000",Furth,Bundesliga,2021-2022
9,Adrian Fein,,"€ 6,731","€ 350,000",DM,22,,"Jun 30, 2022",1-yr,"€ 350,000",Furth,Bundesliga,2021-2022
10,Simon Asta,,"€ 6,346","€ 330,000",RB,20,,"Jun 30, 2022",1-yr,"€ 330,000",Furth,Bundesliga,2021-2022
11,Marco Meyerhöfer,,"€ 6,154","€ 320,000",RB,25,,"Jun 30, 2025",4-yrs,"€ 1,280,000",Furth,Bundesliga,2021-2022
12,Emil Berggreen,,"€ 5,962","€ 310,000",CF,28,,"Jun 30, 2022",1-yr,"€ 310,000",Furth,Bundesliga,2021-2022
13,Timothy Tillman,,"€ 4,231","€ 220,000",AM,22,,"Jun 30, 2022",1-yr,"€ 220,000",Furth,Bundesliga,2021-2022
14,Maximilian Bauer,,"€ 3,654","€ 190,000",CB,21,,"Jun 30, 2022",1-yr,"€ 190,000",Furth,Bundesliga,2021-2022
15,Marius Funk,,"€ 3,654","€ 190,000",GK,25,,"Jun 30, 2022",1-yr,"€ 190,000",Furth,Bundesliga,2021-2022
16,Leon Schaffran,,"€ 2,885","€ 150,000",GK,23,,"Jun 30, 2024",3-yrs,"€ 450,000",Furth,Bundesliga,2021-2022
17,Jamie Leweling,,"€ 2,885","€ 150,000",SS,20,,"Jun 30, 2024",3-yrs,"€ 450,000",Furth,Bundesliga,2021-2022
18,Abdourahmane Barry,,"€ 2,885","€ 150,000",CB,21,,"Jun 30, 2022",1-yr,"€ 150,000",Furth,Bundesliga,2021-2022
19,Robin Kehr,,"€ 1,154","€ 60,000",CF,21,,"Jun 30, 2022",1-yr,"€ 60,000",Furth,Bundesliga,2021-2022
20,Jessic Ngankam,,€ 962,"€ 50,000",CF,21,,"Jun 30, 2022",1-yr,"€ 50,000",Furth,Bundesliga,2021-2022
21,Dickson Abiama,,€ 769,"€ 40,000",CF,22,,"Jun 30, 2024",3-yrs,"€ 120,000",Furth,Bundesliga,2021-2022
22,Mert-Yusuf Torlak,,€ 0,€ 0,AM,19,,"Jun 30, 2022",1-yr,€ 0,Furth,Bundesliga,2021-2022
23,Nick Viergever,,€ 0,€ 0,CB,32,,"Jun 30, 2023",2-yrs,€ 0,Furth,Bundesliga,2021-2022
24,Nils Seufert,,€ 0,€ 0,CM,24,,"Jun 30, 2024",3-yrs,€ 0,Furth,Bundesliga,2021-2022
25,Jetro Willems,,€ 0,€ 0,LB,27,,"Jun 30, 2023",2-yrs,€ 0,Furth,Bundesliga,2021-2022
26,Jeremy Dudziak,,€ 0,€ 0,AM,26,,"Jun 30, 2024",3-yrs,€ 0,Furth,Bundesliga,2021-2022
27,Max Christiansen,,€ 0,€ 0,CM,24,,"Jun 30, 2023",2-yrs,€ 0,Furth,Bundesliga,2021-2022
28,Gideon Jung,,€ 0,€ 0,CB,26,,"Jun 30, 2023",2-yrs,€ 0,Furth,Bundesliga,2021-2022
29,Sebastian Griesbeck,,€ 0,€ 0,DM,30,,"Jun 30, 2023",2-yrs,€ 0,Furth,Bundesliga,2021-2022
30,Elias Kratzer,,€ 0,€ 0,RB,21,,"Jun 30, 2023",2-yrs,€ 0,Furth,Bundesliga,2021-2022
31,Lasse Schulz,,€ 0,€ 0,GK,18,,"Jun 30, 2022",1-yr,€ 0,Furth,Bundesliga,2021-2022
