,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Kevin Trapp,,"€ 53,846","€ 2,800,000",GK,31,,"Jun 30, 2024",3-yrs,"€ 8,400,000",Eintracht Frankfurt,Bundesliga,2021-2022
1,Filip Kostic,,"€ 51,923","€ 2,700,000",LM,28,,"Jun 30, 2023",2-yrs,"€ 5,400,000",Eintracht Frankfurt,Bundesliga,2021-2022
2,Martin Hinteregger,,"€ 50,577","€ 2,630,000",CB,28,,"Jun 30, 2024",3-yrs,"€ 7,890,000",Eintracht Frankfurt,Bundesliga,2021-2022
3,Amin Younes,,"€ 46,154","€ 2,400,000",AM,28,,"Jun 30, 2022",1-yr,"€ 2,400,000",Eintracht Frankfurt,Bundesliga,2021-2022
4,Sebastian Rode,,"€ 40,385","€ 2,100,000",CM,30,,"Jun 30, 2024",3-yrs,"€ 6,300,000",Eintracht Frankfurt,Bundesliga,2021-2022
5,Djibril Sow,,"€ 39,808","€ 2,070,000",CM,24,,"Jun 30, 2024",3-yrs,"€ 6,210,000",Eintracht Frankfurt,Bundesliga,2021-2022
6,Jens Petter Hauge,,"€ 36,346","€ 1,890,000",LW,21,,"Jun 30, 2022",1-yr,"€ 1,890,000",Eintracht Frankfurt,Bundesliga,2021-2022
7,Almamy Touré,,"€ 32,692","€ 1,700,000",RB,25,,"Jun 30, 2023",2-yrs,"€ 3,400,000",Eintracht Frankfurt,Bundesliga,2021-2022
8,Sam Lammers,,"€ 29,038","€ 1,510,000",CF,24,,"Jun 30, 2022",1-yr,"€ 1,510,000",Eintracht Frankfurt,Bundesliga,2021-2022
9,Erik Durm,,"€ 26,923","€ 1,400,000",RB,29,,"Jun 30, 2023",2-yrs,"€ 2,800,000",Eintracht Frankfurt,Bundesliga,2021-2022
10,Stefan Ilsanker,,"€ 26,923","€ 1,400,000",DM,32,,"Jun 30, 2022",1-yr,"€ 1,400,000",Eintracht Frankfurt,Bundesliga,2021-2022
11,Gonçalo Paciência,,"€ 21,923","€ 1,140,000",CF,27,,"Jun 30, 2023",2-yrs,"€ 2,280,000",Eintracht Frankfurt,Bundesliga,2021-2022
12,Makoto Hasebe,,"€ 19,231","€ 1,000,000",DM,37,,"Jun 30, 2022",1-yr,"€ 1,000,000",Eintracht Frankfurt,Bundesliga,2021-2022
13,Danny da Costa,,"€ 14,038","€ 730,000",RB,28,,"Jun 30, 2022",1-yr,"€ 730,000",Eintracht Frankfurt,Bundesliga,2021-2022
14,Timothy Chandler,,"€ 13,654","€ 710,000",RB,31,,"Jun 30, 2025",4-yrs,"€ 2,840,000",Eintracht Frankfurt,Bundesliga,2021-2022
15,Evan N'Dicka,,"€ 10,000","€ 520,000",CB,22,,"Jun 30, 2023",2-yrs,"€ 1,040,000",Eintracht Frankfurt,Bundesliga,2021-2022
16,Daichi Kamada,,"€ 8,269","€ 430,000",AM,25,,"Jun 30, 2023",2-yrs,"€ 860,000",Eintracht Frankfurt,Bundesliga,2021-2022
17,Ragnar Ache,,"€ 6,731","€ 350,000",CF,23,,"Jun 30, 2025",4-yrs,"€ 1,400,000",Eintracht Frankfurt,Bundesliga,2021-2022
18,Aymen Barkok,,"€ 4,038","€ 210,000",AM,23,,"Jun 30, 2022",1-yr,"€ 210,000",Eintracht Frankfurt,Bundesliga,2021-2022
19,Tuta,,"€ 4,038","€ 210,000",CB,22,,"Jun 30, 2023",2-yrs,"€ 420,000",Eintracht Frankfurt,Bundesliga,2021-2022
20,Ajdin Hrustic,,"€ 3,462","€ 180,000",CM,25,,"Jun 30, 2023",2-yrs,"€ 360,000",Eintracht Frankfurt,Bundesliga,2021-2022
21,Kristijan Jakic,,€ 0,€ 0,DM,24,,"Jun 30, 2022",1-yr,€ 0,Eintracht Frankfurt,Bundesliga,2021-2022
22,Jesper Lindström,,€ 0,€ 0,AM,21,,"Jun 30, 2026",5-yrs,€ 0,Eintracht Frankfurt,Bundesliga,2021-2022
23,Jens Grahl,,€ 0,€ 0,GK,32,,"Jun 30, 2024",3-yrs,€ 0,Eintracht Frankfurt,Bundesliga,2021-2022
24,Martin Pecar,,€ 0,€ 0,LW,19,,"Jun 30, 2023",2-yrs,€ 0,Eintracht Frankfurt,Bundesliga,2021-2022
25,Rafael Borré,,€ 0,€ 0,CF,25,,"Jun 30, 2025",4-yrs,€ 0,Eintracht Frankfurt,Bundesliga,2021-2022
26,Jan Schröder,,€ 0,€ 0,LB,18,,"Jun 30, 2023",2-yrs,€ 0,Eintracht Frankfurt,Bundesliga,2021-2022
27,Gianluca Schäfer,,€ 0,€ 0,LW,18,,"Jun 30, 2022",1-yr,€ 0,Eintracht Frankfurt,Bundesliga,2021-2022
28,Fabio Blanco,,€ 0,€ 0,RW,17,,"Jun 30, 2023",2-yrs,€ 0,Eintracht Frankfurt,Bundesliga,2021-2022
29,Enrique Herrero García,,€ 0,€ 0,CF,16,,"Jun 30, 2025",4-yrs,€ 0,Eintracht Frankfurt,Bundesliga,2021-2022
30,Diant Ramaj,,€ 0,€ 0,GK,19,,"Jun 30, 2024",3-yrs,€ 0,Eintracht Frankfurt,Bundesliga,2021-2022
31,Christopher Lenz,,€ 0,€ 0,LB,26,,"Jun 30, 2024",3-yrs,€ 0,Eintracht Frankfurt,Bundesliga,2021-2022
