,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Marco Reus,,"€ 211,538","€ 11,000,000",AM,32,,"Jun 30, 2023",2-yrs,"€ 22,000,000",Borussia Dortmund,Bundesliga,2021-2022
1,Mats Hummels,,"€ 192,308","€ 10,000,000",CB,32,,"Jun 30, 2022",1-yr,"€ 10,000,000",Borussia Dortmund,Bundesliga,2021-2022
2,Emre Can,,"€ 169,231","€ 8,800,000",DM,27,,"Jun 30, 2024",3-yrs,"€ 26,400,000",Borussia Dortmund,Bundesliga,2021-2022
3,Axel Witsel,,"€ 153,846","€ 8,000,000",DM,32,,"Jun 30, 2022",1-yr,"€ 8,000,000",Borussia Dortmund,Bundesliga,2021-2022
4,Erling Haaland,,"€ 151,923","€ 7,900,000",CF,21,,"Jun 30, 2024",3-yrs,"€ 23,700,000",Borussia Dortmund,Bundesliga,2021-2022
5,Mahmoud Dahoud,,"€ 76,923","€ 4,000,000",CM,25,,"Jun 30, 2023",2-yrs,"€ 8,000,000",Borussia Dortmund,Bundesliga,2021-2022
6,Julian Brandt,,"€ 76,923","€ 4,000,000",AM,25,,"Jun 30, 2024",3-yrs,"€ 12,000,000",Borussia Dortmund,Bundesliga,2021-2022
7,Marcel Schmelzer,,"€ 69,231","€ 3,600,000",LB,33,,"Jun 30, 2022",1-yr,"€ 3,600,000",Borussia Dortmund,Bundesliga,2021-2022
8,Raphaël Guerreiro,,"€ 67,308","€ 3,500,000",LB,27,,"Jun 30, 2023",2-yrs,"€ 7,000,000",Borussia Dortmund,Bundesliga,2021-2022
9,Marius Wolf,,"€ 63,462","€ 3,300,000",RW,26,,"Jun 30, 2024",3-yrs,"€ 9,900,000",Borussia Dortmund,Bundesliga,2021-2022
10,Roman Bürki,,"€ 57,692","€ 3,000,000",GK,30,,"Jun 30, 2023",2-yrs,"€ 6,000,000",Borussia Dortmund,Bundesliga,2021-2022
11,Thomas Meunier,,"€ 50,000","€ 2,600,000",RB,29,,"Jun 30, 2024",3-yrs,"€ 7,800,000",Borussia Dortmund,Bundesliga,2021-2022
12,Manuel Akanji,,"€ 48,077","€ 2,500,000",CB,26,,"Jun 30, 2023",2-yrs,"€ 5,000,000",Borussia Dortmund,Bundesliga,2021-2022
13,Marwin Hitz,,"€ 42,308","€ 2,200,000",GK,33,,"Jun 30, 2023",2-yrs,"€ 4,400,000",Borussia Dortmund,Bundesliga,2021-2022
14,Jude Bellingham,,"€ 30,769","€ 1,600,000",CM,18,,"Jun 30, 2025",4-yrs,"€ 6,400,000",Borussia Dortmund,Bundesliga,2021-2022
15,Thorgan Hazard,,"€ 30,769","€ 1,600,000",LW,28,,"Jun 30, 2024",3-yrs,"€ 4,800,000",Borussia Dortmund,Bundesliga,2021-2022
16,Nico Schulz,,"€ 25,000","€ 1,300,000",LB,28,,"Jun 30, 2024",3-yrs,"€ 3,900,000",Borussia Dortmund,Bundesliga,2021-2022
17,Felix Passlack,,"€ 17,115","€ 890,000",RB,23,,"Jun 30, 2023",2-yrs,"€ 1,780,000",Borussia Dortmund,Bundesliga,2021-2022
18,Mateu Morey Bauzà,,"€ 13,846","€ 720,000",RB,21,,"Jun 30, 2024",3-yrs,"€ 2,160,000",Borussia Dortmund,Bundesliga,2021-2022
19,Reinier,,"€ 10,962","€ 570,000",AM,19,,"Jun 30, 2022",1-yr,"€ 570,000",Borussia Dortmund,Bundesliga,2021-2022
20,Dan-Axel Zagadou,,"€ 4,423","€ 230,000",CB,22,,"Jun 30, 2022",1-yr,"€ 230,000",Borussia Dortmund,Bundesliga,2021-2022
21,Ansgar Knauff,,"€ 3,077","€ 160,000",LW,19,,"Jun 30, 2023",2-yrs,"€ 320,000",Borussia Dortmund,Bundesliga,2021-2022
22,Giovanni Reyna,,"€ 2,500","€ 130,000",AM,18,,"Jun 30, 2025",4-yrs,"€ 520,000",Borussia Dortmund,Bundesliga,2021-2022
23,Tobias Raschl,,"€ 1,538","€ 80,000",CM,21,,"Jun 30, 2022",1-yr,"€ 80,000",Borussia Dortmund,Bundesliga,2021-2022
24,Youssoufa Moukoko,,€ 962,"€ 50,000",CF,16,,"Jun 30, 2023",2-yrs,"€ 100,000",Borussia Dortmund,Bundesliga,2021-2022
25,Luca Unbehaun,,€ 962,"€ 50,000",GK,20,,"Jun 30, 2022",1-yr,"€ 50,000",Borussia Dortmund,Bundesliga,2021-2022
26,Steffen Tigges,,€ 962,"€ 50,000",CF,23,,"Jun 30, 2024",3-yrs,"€ 150,000",Borussia Dortmund,Bundesliga,2021-2022
27,Abdoulaye Kamara,,€ 0,€ 0,DM,16,,"Jun 30, 2022",1-yr,€ 0,Borussia Dortmund,Bundesliga,2021-2022
28,Marin Pongracic,,€ 0,€ 0,CB,23,,"Jun 30, 2022",1-yr,€ 0,Borussia Dortmund,Bundesliga,2021-2022
29,Gregor Kobel,,€ 0,€ 0,GK,23,,"Jun 30, 2026",5-yrs,€ 0,Borussia Dortmund,Bundesliga,2021-2022
30,Donyell Malen,,€ 0,€ 0,CF,22,,"Jun 30, 2026",5-yrs,€ 0,Borussia Dortmund,Bundesliga,2021-2022
31,Soumaïla Coulibaly,,€ 0,€ 0,CB,17,,"Jun 30, 2024",3-yrs,€ 0,Borussia Dortmund,Bundesliga,2021-2022
