,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Maximilian Arnold,,"€ 105,769","€ 5,500,000",CM,27,,"Jun 30, 2026",5-yrs,"€ 27,500,000",Wolfsburg,Bundesliga,2021-2022
1,Xaver Schlager,,"€ 76,923","€ 4,000,000",CM,23,,"Jun 30, 2023",2-yrs,"€ 8,000,000",Wolfsburg,Bundesliga,2021-2022
2,John Anthony Brooks,,"€ 75,962","€ 3,950,000",CB,28,,"Jun 30, 2022",1-yr,"€ 3,950,000",Wolfsburg,Bundesliga,2021-2022
3,Yannick Gerhardt,,"€ 69,231","€ 3,600,000",CM,27,,"Jun 30, 2025",4-yrs,"€ 14,400,000",Wolfsburg,Bundesliga,2021-2022
4,Koen Casteels,,"€ 65,385","€ 3,400,000",GK,29,,"Jun 30, 2024",3-yrs,"€ 10,200,000",Wolfsburg,Bundesliga,2021-2022
5,Josuha Guilavogui,,"€ 63,462","€ 3,300,000",DM,30,,"Jun 30, 2023",2-yrs,"€ 6,600,000",Wolfsburg,Bundesliga,2021-2022
6,Daniel Ginczek,,"€ 61,538","€ 3,200,000",CF,30,,"Jun 30, 2022",1-yr,"€ 3,200,000",Wolfsburg,Bundesliga,2021-2022
7,Kevin Mbabu,,"€ 59,615","€ 3,100,000",RB,26,,"Jun 30, 2023",2-yrs,"€ 6,200,000",Wolfsburg,Bundesliga,2021-2022
8,Wout Weghorst,,"€ 57,692","€ 3,000,000",CF,29,,"Jun 30, 2023",2-yrs,"€ 6,000,000",Wolfsburg,Bundesliga,2021-2022
9,Jérôme Roussillon,,"€ 55,385","€ 2,880,000",LB,28,,"Jun 30, 2023",2-yrs,"€ 5,760,000",Wolfsburg,Bundesliga,2021-2022
10,Admir Mehmedi,,"€ 53,846","€ 2,800,000",SS,30,,"Jun 30, 2022",1-yr,"€ 2,800,000",Wolfsburg,Bundesliga,2021-2022
11,Maximilian Philipp,,"€ 40,385","€ 2,100,000",SS,27,,"Jun 30, 2025",4-yrs,"€ 8,400,000",Wolfsburg,Bundesliga,2021-2022
12,William,,"€ 36,538","€ 1,900,000",RB,26,,"Jun 30, 2022",1-yr,"€ 1,900,000",Wolfsburg,Bundesliga,2021-2022
13,Renato Steffen,,"€ 23,077","€ 1,200,000",LW,29,,"Jun 30, 2023",2-yrs,"€ 2,400,000",Wolfsburg,Bundesliga,2021-2022
14,Pavao Pervan,,"€ 15,385","€ 800,000",GK,33,,"Jun 30, 2022",1-yr,"€ 800,000",Wolfsburg,Bundesliga,2021-2022
15,Ridle Baku,,"€ 11,538","€ 600,000",RW,23,,"Jun 30, 2025",4-yrs,"€ 2,400,000",Wolfsburg,Bundesliga,2021-2022
16,Paulo Otávio,,"€ 9,231","€ 480,000",LB,26,,"Jun 30, 2023",2-yrs,"€ 960,000",Wolfsburg,Bundesliga,2021-2022
17,Maxence Lacroix,,"€ 3,654","€ 190,000",CB,21,,"Jun 30, 2024",3-yrs,"€ 570,000",Wolfsburg,Bundesliga,2021-2022
18,Niklas Klinger,,"€ 1,154","€ 60,000",GK,25,,"Jun 30, 2023",2-yrs,"€ 120,000",Wolfsburg,Bundesliga,2021-2022
19,Bartosz Bialek,,€ 769,"€ 40,000",CF,19,,"Jun 30, 2024",3-yrs,"€ 120,000",Wolfsburg,Bundesliga,2021-2022
20,Sebastiaan Bornauw,,€ 0,€ 0,CB,22,,"Jun 30, 2026",5-yrs,€ 0,Wolfsburg,Bundesliga,2021-2022
21,Aster Vranckx,,€ 0,€ 0,CM,18,,"Jun 30, 2025",4-yrs,€ 0,Wolfsburg,Bundesliga,2021-2022
22,Jannis Lang,,€ 0,€ 0,CB,19,,"Jun 30, 2023",2-yrs,€ 0,Wolfsburg,Bundesliga,2021-2022
23,Anselmo García McNulty,,€ 0,€ 0,CB,18,,"Jun 30, 2024",3-yrs,€ 0,Wolfsburg,Bundesliga,2021-2022
24,Kobe Hernández-Foster,,€ 0,€ 0,LB,19,,"Jun 30, 2022",1-yr,€ 0,Wolfsburg,Bundesliga,2021-2022
25,Felix Nmecha,,€ 0,€ 0,AM,20,,"Jun 30, 2024",3-yrs,€ 0,Wolfsburg,Bundesliga,2021-2022
26,Luca Waldschmidt,,€ 0,€ 0,SS,25,,"Jun 30, 2025",4-yrs,€ 0,Wolfsburg,Bundesliga,2021-2022
27,Lukas Nmecha,,€ 0,€ 0,CF,22,,"Jun 30, 2025",4-yrs,€ 0,Wolfsburg,Bundesliga,2021-2022
28,Marvin Stefaniak,,€ 0,€ 0,AM,26,,"Jun 30, 2022",1-yr,€ 0,Wolfsburg,Bundesliga,2021-2022
29,Dodi Lukébakio,,€ 0,€ 0,RW,23,,"Jun 30, 2022",1-yr,€ 0,Wolfsburg,Bundesliga,2021-2022
30,Micky van de Ven,,€ 0,€ 0,CB,20,,"Jun 30, 2025",4-yrs,€ 0,Wolfsburg,Bundesliga,2021-2022
31,Philipp Schulze,,€ 0,€ 0,GK,18,,"Jun 30, 2023",2-yrs,€ 0,Wolfsburg,Bundesliga,2021-2022
