,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Wissam Ben Yedder,,"€ 150,000","€ 7,800,000",CF,30,Starter,"Jun 30, 2024",4-yrs,"€ 31,200,000",Monaco,Ligue 1,2020-2021
1,Cesc Fàbregas,,"€ 138,462","€ 7,200,000",CM,33,Reserve,"Jun 30, 2022",2-yrs,"€ 14,400,000",Monaco,Ligue 1,2020-2021
2,Gelson Martins,,"€ 69,231","€ 3,600,000",RW,25,Starter,"Jun 30, 2024",4-yrs,"€ 14,400,000",Monaco,Ligue 1,2020-2021
3,Kevin Volland,,"€ 69,231","€ 3,600,000",CF,28,Starter,"Jun 30, 2024",4-yrs,"€ 14,400,000",Monaco,Ligue 1,2020-2021
4,Djibril Sidibé,,"€ 61,731","€ 3,210,000",RB,28,Reserve,"Jun 30, 2022",2-yrs,"€ 6,420,000",Monaco,Ligue 1,2020-2021
5,Benjamin Lecomte,,"€ 59,423","€ 3,090,000",GK,29,Starter,"Jun 30, 2024",4-yrs,"€ 12,360,000",Monaco,Ligue 1,2020-2021
6,Krépin Diatta,,"€ 57,692","€ 3,000,000",RW,21,Reserve,"Jun 30, 2025",5-yrs,"€ 15,000,000",Monaco,Ligue 1,2020-2021
7,Stevan Jovetic,,"€ 47,692","€ 2,480,000",CF,31,Reserve,"Jun 30, 2021",1-yr,"€ 2,480,000",Monaco,Ligue 1,2020-2021
8,Aleksandr Golovin,,"€ 43,654","€ 2,270,000",AM,24,Reserve,"Jun 30, 2024",4-yrs,"€ 9,080,000",Monaco,Ligue 1,2020-2021
9,Caio Henrique,,"€ 42,115","€ 2,190,000",LB,23,Starter,"Jun 30, 2025",5-yrs,"€ 10,950,000",Monaco,Ligue 1,2020-2021
10,Guillermo Maripán,,"€ 26,923","€ 1,400,000",CB,26,Reserve,"Jun 30, 2024",4-yrs,"€ 5,600,000",Monaco,Ligue 1,2020-2021
11,Florentino,,"€ 25,385","€ 1,320,000",DM,21,Reserve,"Jun 30, 2021",1-yr,"€ 1,320,000",Monaco,Ligue 1,2020-2021
12,Radoslaw Majecki,,"€ 23,654","€ 1,230,000",GK,21,Reserve,"Jun 30, 2024",4-yrs,"€ 4,920,000",Monaco,Ligue 1,2020-2021
13,Ruben Aguilar,,"€ 23,462","€ 1,220,000",RB,27,Starter,"Jun 30, 2024",4-yrs,"€ 4,880,000",Monaco,Ligue 1,2020-2021
14,Fodé Ballo-Touré,,"€ 21,731","€ 1,130,000",LB,24,Reserve,"Jun 30, 2023",3-yrs,"€ 3,390,000",Monaco,Ligue 1,2020-2021
15,Aurélien Tchouaméni,,"€ 19,231","€ 1,000,000",DM,21,Starter,"Jun 30, 2024",4-yrs,"€ 4,000,000",Monaco,Ligue 1,2020-2021
16,Pietro Pellegri,,"€ 17,115","€ 890,000",CF,19,Reserve,"Jun 30, 2022",2-yrs,"€ 1,780,000",Monaco,Ligue 1,2020-2021
17,Vito Mannone,,"€ 16,538","€ 860,000",GK,32,Reserve,"Jun 30, 2022",2-yrs,"€ 1,720,000",Monaco,Ligue 1,2020-2021
18,Axel Disasi,,"€ 13,846","€ 720,000",CB,22,Starter,"Jun 30, 2025",5-yrs,"€ 3,600,000",Monaco,Ligue 1,2020-2021
19,Youssef Aït Bennasser,,"€ 12,885","€ 670,000",CM,24,Reserve,"Jun 30, 2021",1-yr,"€ 670,000",Monaco,Ligue 1,2020-2021
20,Willem Geubbels,,"€ 11,538","€ 600,000",LW,19,Reserve,"Jun 30, 2023",3-yrs,"€ 1,800,000",Monaco,Ligue 1,2020-2021
21,Samuel Grandsir,,"€ 11,154","€ 580,000",RW,24,Reserve,"Jun 30, 2023",3-yrs,"€ 1,740,000",Monaco,Ligue 1,2020-2021
22,Benoît Badiashile,,"€ 11,154","€ 580,000",CB,19,Starter,"Jun 30, 2024",4-yrs,"€ 2,320,000",Monaco,Ligue 1,2020-2021
23,Sofiane Diop,,"€ 10,577","€ 550,000",AM,20,Starter,"Jun 30, 2023",3-yrs,"€ 1,650,000",Monaco,Ligue 1,2020-2021
24,Chrislain Matsima,,"€ 7,308","€ 380,000",CB,18,Reserve,"Jun 30, 2025",5-yrs,"€ 1,900,000",Monaco,Ligue 1,2020-2021
25,Youssouf Fofana,,"€ 5,385","€ 280,000",CM,22,Starter,"Jun 30, 2024",4-yrs,"€ 1,120,000",Monaco,Ligue 1,2020-2021
26,Enzo Millot,,€ 769,"€ 40,000",CM,18,Reserve,"Jun 30, 2022",2-yrs,"€ 80,000",Monaco,Ligue 1,2020-2021
27,Eliot Matazo,,€ 769,"€ 40,000",CM,18,Reserve,"Jun 30, 2021",1-yr,"€ 40,000",Monaco,Ligue 1,2020-2021
