,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Bruno Ecuele Manga,,"€ 21,923","€ 1,140,000",CB,32,Starter,"Jun 30, 2022",2-yrs,"€ 2,280,000",Dijon,Ligue 1,2020-2021
1,Yassine Benzia,,"€ 21,923","€ 1,140,000",AM,26,Reserve,"Jun 30, 2023",3-yrs,"€ 3,420,000",Dijon,Ligue 1,2020-2021
2,Didier Ndong,,"€ 18,462","€ 960,000",CM,26,Reserve,"Jun 30, 2023",3-yrs,"€ 2,880,000",Dijon,Ligue 1,2020-2021
3,Pape Cheikh,,"€ 17,500","€ 910,000",CM,23,Reserve,"Jun 30, 2021",1-yr,"€ 910,000",Dijon,Ligue 1,2020-2021
4,Moussa Konaté,,"€ 14,231","€ 740,000",CF,27,Starter,"Jun 30, 2023",3-yrs,"€ 2,220,000",Dijon,Ligue 1,2020-2021
5,Roger Assalé,,"€ 12,115","€ 630,000",CF,27,Reserve,"Jun 30, 2024",4-yrs,"€ 2,520,000",Dijon,Ligue 1,2020-2021
6,Mounir Chouiar,,"€ 11,538","€ 600,000",LW,22,Starter,"Jun 30, 2022",2-yrs,"€ 1,200,000",Dijon,Ligue 1,2020-2021
7,Bersant Celina,,"€ 10,962","€ 570,000",AM,24,Reserve,"Jun 30, 2024",4-yrs,"€ 2,280,000",Dijon,Ligue 1,2020-2021
8,Wesley Lautoa,,"€ 10,192","€ 530,000",CB,33,Starter,"Jun 30, 2021",1-yr,"€ 530,000",Dijon,Ligue 1,2020-2021
9,Fouad Chafik,,"€ 10,192","€ 530,000",RB,34,Starter,"Jun 30, 2021",1-yr,"€ 530,000",Dijon,Ligue 1,2020-2021
10,Jordan Marié,,"€ 8,846","€ 460,000",CM,29,Starter,"Jun 30, 2022",2-yrs,"€ 920,000",Dijon,Ligue 1,2020-2021
11,Anthony Racioppi,,"€ 6,346","€ 330,000",GK,22,Reserve,"Jun 30, 2024",4-yrs,"€ 1,320,000",Dijon,Ligue 1,2020-2021
12,Saturnin Allagbé,,"€ 5,769","€ 300,000",GK,27,Starter,"Jun 30, 2024",4-yrs,"€ 1,200,000",Dijon,Ligue 1,2020-2021
13,Aníbal Chalá,,"€ 5,577","€ 290,000",LB,24,Reserve,"Jun 30, 2021",1-yr,"€ 290,000",Dijon,Ligue 1,2020-2021
14,Mama Baldé,,"€ 3,462","€ 180,000",RW,25,Starter,"Jun 30, 2022",2-yrs,"€ 360,000",Dijon,Ligue 1,2020-2021
15,Frédéric Sammaritano,,"€ 2,885","€ 150,000",AM,34,Reserve,"Jun 30, 2021",1-yr,"€ 150,000",Dijon,Ligue 1,2020-2021
16,Alexandru Dobre,,"€ 2,692","€ 140,000",LW,22,Reserve,"Jun 30, 2024",4-yrs,"€ 560,000",Dijon,Ligue 1,2020-2021
17,Sacha Boey,,"€ 2,308","€ 120,000",RB,20,Starter,"Jun 30, 2021",1-yr,"€ 120,000",Dijon,Ligue 1,2020-2021
18,Arthur Zagre,,"€ 2,115","€ 110,000",LB,19,Reserve,"Jun 30, 2021",1-yr,"€ 110,000",Dijon,Ligue 1,2020-2021
19,Jonathan Panzo,,"€ 2,115","€ 110,000",CB,20,Starter,"Jun 30, 2023",3-yrs,"€ 330,000",Dijon,Ligue 1,2020-2021
20,Ngonda Muzinga,,"€ 1,154","€ 60,000",LB,26,Reserve,"Jun 30, 2021",1-yr,"€ 60,000",Dijon,Ligue 1,2020-2021
21,Éric Ebimbe,,€ 962,"€ 50,000",RW,20,Starter,"Jun 30, 2021",1-yr,"€ 50,000",Dijon,Ligue 1,2020-2021
22,Senou Coulibaly,,€ 769,"€ 40,000",CB,26,Reserve,"Jun 30, 2023",3-yrs,"€ 120,000",Dijon,Ligue 1,2020-2021
23,Ahmad Ngouyamsa,,€ 577,"€ 30,000",RB,20,Reserve,"Jun 30, 2022",2-yrs,"€ 60,000",Dijon,Ligue 1,2020-2021
24,Wilitty Younoussa,,€ 577,"€ 30,000",DM,19,Reserve,"Jun 30, 2022",2-yrs,"€ 60,000",Dijon,Ligue 1,2020-2021
25,Amir Arli,,€ 385,"€ 20,000",AM,18,Reserve,"Jun 30, 2021",1-yr,"€ 20,000",Dijon,Ligue 1,2020-2021
26,Lévi Ntumba,,€ 385,"€ 20,000",GK,20,Reserve,"Jun 30, 2021",1-yr,"€ 20,000",Dijon,Ligue 1,2020-2021
