,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Neymar,,"€ 1,049,038","€ 54,550,000",LW,28,Starter,"Jun 30, 2025",5-yrs,"€ 272,750,000",Psg,Ligue 1,2020-2021
1,Kylian Mbappé,,"€ 484,231","€ 25,180,000",CF,22,Starter,"Jun 30, 2022",2-yrs,"€ 50,360,000",Psg,Ligue 1,2020-2021
2,Marquinhos,,"€ 276,923","€ 14,400,000",CB,26,Starter,"Jun 30, 2024",4-yrs,"€ 57,600,000",Psg,Ligue 1,2020-2021
3,Marco Verratti,,"€ 276,923","€ 14,400,000",CM,28,Reserve,"Jun 30, 2024",4-yrs,"€ 57,600,000",Psg,Ligue 1,2020-2021
4,Ángel Di María,,"€ 253,846","€ 13,200,000",RW,33,Reserve,"Jun 30, 2021",1-yr,"€ 13,200,000",Psg,Ligue 1,2020-2021
5,Keylor Navas,,"€ 230,769","€ 12,000,000",GK,34,Starter,"Jun 30, 2024",4-yrs,"€ 48,000,000",Psg,Ligue 1,2020-2021
6,Mauro Icardi,,"€ 184,615","€ 9,600,000",CF,27,Reserve,"Jun 30, 2024",4-yrs,"€ 38,400,000",Psg,Ligue 1,2020-2021
7,Leandro Paredes,,"€ 173,077","€ 9,000,000",DM,26,Reserve,"Jun 30, 2023",3-yrs,"€ 27,000,000",Psg,Ligue 1,2020-2021
8,Juan Bernat,,"€ 161,538","€ 8,400,000",LB,27,Reserve,"Jun 30, 2025",5-yrs,"€ 42,000,000",Psg,Ligue 1,2020-2021
9,Presnel Kimpembe,,"€ 154,615","€ 8,040,000",CB,25,Starter,"Jun 30, 2024",4-yrs,"€ 32,160,000",Psg,Ligue 1,2020-2021
10,Ander Herrera,,"€ 150,000","€ 7,800,000",CM,31,Starter,"Jun 30, 2024",4-yrs,"€ 31,200,000",Psg,Ligue 1,2020-2021
11,Julian Draxler,,"€ 138,462","€ 7,200,000",AM,27,Reserve,"Jun 30, 2024",4-yrs,"€ 28,800,000",Psg,Ligue 1,2020-2021
12,Idrissa Gueye,,"€ 115,385","€ 6,000,000",DM,31,Starter,"Jun 30, 2023",3-yrs,"€ 18,000,000",Psg,Ligue 1,2020-2021
13,Abdou Diallo,,"€ 103,846","€ 5,400,000",CB,24,Reserve,"Jun 30, 2024",4-yrs,"€ 21,600,000",Psg,Ligue 1,2020-2021
14,Layvin Kurzawa,,"€ 103,846","€ 5,400,000",LB,28,Reserve,"Jun 30, 2024",4-yrs,"€ 21,600,000",Psg,Ligue 1,2020-2021
15,Pablo Sarabia,,"€ 103,846","€ 5,400,000",RW,28,Starter,"Jun 30, 2024",4-yrs,"€ 21,600,000",Psg,Ligue 1,2020-2021
16,Alessandro Florenzi,,"€ 100,962","€ 5,250,000",RB,29,Starter,"Jun 30, 2021",1-yr,"€ 5,250,000",Psg,Ligue 1,2020-2021
17,Thilo Kehrer,,"€ 94,615","€ 4,920,000",CB,24,Reserve,"Jun 30, 2023",3-yrs,"€ 14,760,000",Psg,Ligue 1,2020-2021
18,Rafinha,,"€ 62,500","€ 3,250,000",CM,27,Starter,"Jun 30, 2023",3-yrs,"€ 9,750,000",Psg,Ligue 1,2020-2021
19,Sergio Rico,,"€ 39,423","€ 2,050,000",GK,27,Reserve,"Jun 30, 2024",4-yrs,"€ 8,200,000",Psg,Ligue 1,2020-2021
20,Danilo Pereira,,"€ 30,192","€ 1,570,000",DM,29,Reserve,"Jun 30, 2021",1-yr,"€ 1,570,000",Psg,Ligue 1,2020-2021
21,Colin Dagba,,"€ 11,346","€ 590,000",RB,22,Reserve,"Jun 30, 2024",4-yrs,"€ 2,360,000",Psg,Ligue 1,2020-2021
22,Alexandre Letellier,,"€ 10,962","€ 570,000",GK,30,Reserve,"Jun 30, 2022",2-yrs,"€ 1,140,000",Psg,Ligue 1,2020-2021
23,Timothée Pembélé,,"€ 8,269","€ 430,000",CB,18,Reserve,"Jun 30, 2024",4-yrs,"€ 1,720,000",Psg,Ligue 1,2020-2021
24,Denis Franchi,,"€ 7,115","€ 370,000",GK,18,Reserve,"Jun 30, 2023",3-yrs,"€ 1,110,000",Psg,Ligue 1,2020-2021
25,Mathyas Randriamamy,,"€ 7,115","€ 370,000",GK,17,Reserve,"Jun 30, 2021",1-yr,"€ 370,000",Psg,Ligue 1,2020-2021
26,Mitchel Bakker,,"€ 7,115","€ 370,000",LB,20,Starter,"Jun 30, 2023",3-yrs,"€ 1,110,000",Psg,Ligue 1,2020-2021
27,Yanis Saidani,,"€ 7,115","€ 370,000",GK,19,Reserve,"Jun 30, 2021",1-yr,"€ 370,000",Psg,Ligue 1,2020-2021
28,Maxen Kapo,,€ 577,"€ 30,000",DM,20,Reserve,"Jun 30, 2022",2-yrs,"€ 60,000",Psg,Ligue 1,2020-2021
29,Kays Ruiz-Atil,,€ 385,"€ 20,000",CM,18,Reserve,"Jun 30, 2021",1-yr,"€ 20,000",Psg,Ligue 1,2020-2021
