,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Dimitri Payet,,"€ 115,385","€ 6,000,000",LW,33,Reserve,"Jun 30, 2024",4-yrs,"€ 24,000,000",Marseille,Ligue 1,2020-2021
1,Florian Thauvin,,"€ 97,308","€ 5,060,000",RW,28,Starter,"Jun 30, 2021",1-yr,"€ 5,060,000",Marseille,Ligue 1,2020-2021
2,Arkadiusz Milik,,"€ 92,308","€ 4,800,000",CF,26,Reserve,"Jun 30, 2022",2-yrs,"€ 9,600,000",Marseille,Ligue 1,2020-2021
3,Valère Germain,,"€ 76,154","€ 3,960,000",CF,30,Reserve,"Jun 30, 2021",1-yr,"€ 3,960,000",Marseille,Ligue 1,2020-2021
4,Steve Mandanda,,"€ 69,231","€ 3,600,000",GK,35,Starter,"Jun 30, 2024",4-yrs,"€ 14,400,000",Marseille,Ligue 1,2020-2021
5,Darío Benedetto,,"€ 59,615","€ 3,100,000",CF,30,Starter,"Jun 30, 2023",3-yrs,"€ 9,300,000",Marseille,Ligue 1,2020-2021
6,Duje Caleta-Car,,"€ 38,846","€ 2,020,000",CB,24,Starter,"Jun 30, 2023",3-yrs,"€ 6,060,000",Marseille,Ligue 1,2020-2021
7,Valentin Rongier,,"€ 33,077","€ 1,720,000",CM,26,Starter,"Jun 30, 2024",4-yrs,"€ 6,880,000",Marseille,Ligue 1,2020-2021
8,Pol Lirola,,"€ 31,346","€ 1,630,000",RB,23,Reserve,"Jun 30, 2021",1-yr,"€ 1,630,000",Marseille,Ligue 1,2020-2021
9,Boubacar Kamara,,"€ 27,692","€ 1,440,000",DM,21,Starter,"Jun 30, 2022",2-yrs,"€ 2,880,000",Marseille,Ligue 1,2020-2021
10,Michaël Cuisance,,"€ 21,731","€ 1,130,000",CM,21,Starter,"Jun 30, 2021",1-yr,"€ 1,130,000",Marseille,Ligue 1,2020-2021
11,Hiroki Sakai,,"€ 21,154","€ 1,100,000",RB,30,Starter,"Jun 30, 2022",2-yrs,"€ 2,200,000",Marseille,Ligue 1,2020-2021
12,Jordan Amavi,,"€ 19,615","€ 1,020,000",LB,26,Starter,"Jun 30, 2025",5-yrs,"€ 5,100,000",Marseille,Ligue 1,2020-2021
13,Leonardo Balerdi,,"€ 19,038","€ 990,000",CB,22,Starter,"Jun 30, 2021",1-yr,"€ 990,000",Marseille,Ligue 1,2020-2021
14,Luis Henrique,,"€ 17,115","€ 890,000",LW,19,Reserve,"Jun 30, 2025",5-yrs,"€ 4,450,000",Marseille,Ligue 1,2020-2021
15,Olivier Ntcham,,"€ 16,731","€ 870,000",CM,24,Reserve,"Jun 30, 2021",1-yr,"€ 870,000",Marseille,Ligue 1,2020-2021
16,Franco Tongya,,"€ 15,385","€ 800,000",AM,18,Reserve,"Jun 30, 2025",5-yrs,"€ 4,000,000",Marseille,Ligue 1,2020-2021
17,Álvaro González,,"€ 12,692","€ 660,000",CB,31,Starter,"Jun 30, 2024",4-yrs,"€ 2,640,000",Marseille,Ligue 1,2020-2021
18,Yohann Pelé,,"€ 11,154","€ 580,000",GK,38,Reserve,"Jun 30, 2021",1-yr,"€ 580,000",Marseille,Ligue 1,2020-2021
19,Yuto Nagatomo,,"€ 5,192","€ 270,000",LB,34,Reserve,"Jun 30, 2021",1-yr,"€ 270,000",Marseille,Ligue 1,2020-2021
20,Saîf-Eddine Khaoui,,"€ 4,038","€ 210,000",AM,25,Reserve,"Jun 30, 2021",1-yr,"€ 210,000",Marseille,Ligue 1,2020-2021
21,Pape Gueye,,"€ 2,692","€ 140,000",DM,22,Reserve,"Jun 30, 2024",4-yrs,"€ 560,000",Marseille,Ligue 1,2020-2021
22,Lucas Perrin,,"€ 1,923","€ 100,000",CB,22,Reserve,"Jun 30, 2023",3-yrs,"€ 300,000",Marseille,Ligue 1,2020-2021
23,Alexandre Phliponeau,,"€ 1,923","€ 100,000",DM,21,Reserve,"Jun 30, 2022",2-yrs,"€ 200,000",Marseille,Ligue 1,2020-2021
24,Christopher Rocchia,,"€ 1,923","€ 100,000",LB,23,Reserve,"Jun 30, 2021",1-yr,"€ 100,000",Marseille,Ligue 1,2020-2021
25,Nassim Ahmed,,"€ 1,923","€ 100,000",DM,20,Reserve,"Jun 30, 2023",3-yrs,"€ 300,000",Marseille,Ligue 1,2020-2021
26,Simon Ngapandouetnbu,,"€ 1,538","€ 80,000",GK,17,Reserve,"Jun 30, 2022",2-yrs,"€ 160,000",Marseille,Ligue 1,2020-2021
27,Ugo Bertelli,,"€ 1,538","€ 80,000",CM,17,Reserve,"Jun 30, 2023",3-yrs,"€ 240,000",Marseille,Ligue 1,2020-2021
28,Richecard Richard,,"€ 1,538","€ 80,000",RB,18,Reserve,"Jun 30, 2023",3-yrs,"€ 240,000",Marseille,Ligue 1,2020-2021
29,Aaron Kamardin,,"€ 1,538","€ 80,000",CB,18,Reserve,"Jun 30, 2023",3-yrs,"€ 240,000",Marseille,Ligue 1,2020-2021
30,Jorès Rahou,,"€ 1,538","€ 80,000",AM,18,Reserve,"Jun 30, 2023",3-yrs,"€ 240,000",Marseille,Ligue 1,2020-2021
31,Cheick Souaré,,"€ 1,538","€ 80,000",CM,18,Reserve,"Jun 30, 2023",3-yrs,"€ 240,000",Marseille,Ligue 1,2020-2021
