,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,Jamie Vardy,"£ 140,000","£ 7,280,000","£ 7,352,035",F,31,England,Leicester,Premier League,2018-2019
1,Kasper Schmeichel,"£ 130,000","£ 6,760,000","£ 6,826,889",K,31,Denmark,Leicester,Premier League,2018-2019
2,Harry Maguire,"£ 90,000","£ 4,680,000","£ 4,726,308",D,25,England,Leicester,Premier League,2018-2019
3,Adrien Silva,"£ 85,000","£ 4,420,000","£ 4,463,735",M,29,Portugal,Leicester,Premier League,2018-2019
4,Jonny Evans,"£ 80,000","£ 4,160,000","£ 4,201,163",D,30,Northern Ireland,Leicester,Premier League,2018-2019
5,Wilfred Ndidi,"£ 75,000","£ 3,900,000","£ 3,938,590",M,21,Nigeria,Leicester,Premier League,2018-2019
6,Ricardo Pereira,"£ 70,000","£ 3,640,000","£ 3,676,017",D,24,Portugal,Leicester,Premier League,2018-2019
7,Ben Chilwell,"£ 65,000","£ 3,380,000","£ 3,413,445",D,21,England,Leicester,Premier League,2018-2019
8,Kelechi Iheanacho,"£ 60,000","£ 3,120,000","£ 3,150,872",F,21,Nigeria,Leicester,Premier League,2018-2019
9,Wes Morgan,"£ 60,000","£ 3,120,000","£ 3,150,872",D,34,Jamaica,Leicester,Premier League,2018-2019
10,James Maddison,"£ 55,000","£ 2,860,000","£ 2,888,299",M,21,England,Leicester,Premier League,2018-2019
11,Vicente Iborra,"£ 55,000","£ 2,860,000","£ 2,888,299",M,30,Spain,Leicester,Premier League,2018-2019
12,Demarai Gray,"£ 55,000","£ 2,860,000","£ 2,888,299",F,22,England,Leicester,Premier League,2018-2019
13,Christian Fuchs,"£ 50,000","£ 2,600,000","£ 2,625,727",D,32,Austria,Leicester,Premier League,2018-2019
14,Nampalys Mendy,"£ 50,000","£ 2,600,000","£ 2,625,727",M,26,France,Leicester,Premier League,2018-2019
15,Danny Simpson,"£ 45,000","£ 2,340,000","£ 2,363,154",D,31,England,Leicester,Premier League,2018-2019
16,Rachid Ghezzal,"£ 45,000","£ 2,340,000","£ 2,363,154",F,26,Algeria,Leicester,Premier League,2018-2019
17,Marc Albrighton,"£ 45,000","£ 2,340,000","£ 2,363,154",M,28,England,Leicester,Premier League,2018-2019
18,Caglar Söyüncü,"£ 45,000","£ 2,340,000","£ 2,363,154",D,22,Turkey,Leicester,Premier League,2018-2019
19,Andy King,"£ 40,000","£ 2,080,000","£ 2,100,581",M,29,Wales,Leicester,Premier League,2018-2019
20,Shinji Okazaki,"£ 35,000","£ 1,820,000","£ 1,838,009",F,32,Japan,Leicester,Premier League,2018-2019
21,Youri Tielemans,"£ 33,038","£ 1,718,000","£ 1,734,999",M,21,Belgium,Leicester,Premier League,2018-2019
22,Matty James,"£ 32,000","£ 1,664,000","£ 1,680,465",M,26,England,Leicester,Premier League,2018-2019
23,Eldin Jakupovic,"£ 23,000","£ 1,196,000","£ 1,207,834",K,33,Switzerland,Leicester,Premier League,2018-2019
24,Daniel Amartey,"£ 21,000","£ 1,092,000","£ 1,102,805",M,23,Ghana,Leicester,Premier League,2018-2019
25,Danny Ward,"£ 20,000","£ 1,040,000","£ 1,050,291",K,25,Wales,Leicester,Premier League,2018-2019
26,Fousseni Diabaté,"£ 15,000","£ 780,000","£ 787,718",F,22,Mali,Leicester,Premier League,2018-2019
27,Harvey Barnes,"£ 10,000","£ 520,000","£ 525,145",M,20,England,Leicester,Premier League,2018-2019
28,Hamza Choudhury,"£ 7,500","£ 390,000","£ 393,859",M,20,England,Leicester,Premier League,2018-2019
29,Callum Elder,£ 0,£ 0,£ 0,D,23,Australia,Leicester,Premier League,2018-2019
30,Islam Slimani,£ 0,£ 0,£ 0,F,30,Algeria,Leicester,Premier League,2018-2019
31,Bartosz Kapustka,£ 0,£ 0,£ 0,M,21,Poland,Leicester,Premier League,2018-2019
32,Josh Knight,£ 0,£ 0,£ 0,D,20,England,Leicester,Premier League,2018-2019
33,Leonardo Ulloa,£ 0,£ 0,£ 0,F,31,Argentina,Leicester,Premier League,2018-2019
34,George Thomas,£ 0,£ 0,£ 0,F,21,Wales,Leicester,Premier League,2018-2019
35,Filip Benkovic,£ 0,£ 0,£ 0,D,20,Croatia,Leicester,Premier League,2018-2019
36,Davide Lorenzo,£ 0,£ 0,£ 0,F,24,Italy,Leicester,Premier League,2018-2019
37,Thakgalo Leshabela,£ 0,£ 0,£ 0,M,18,South Africa,Leicester,Premier League,2018-2019
