,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,Martín Montoya,"£ 50,000","£ 2,600,000","£ 2,625,727",D,27,Spain,Brighton,Premier League,2018-2019
1,Pascal Groß,"£ 50,000","£ 2,600,000","£ 2,625,727",M,27,Germany,Brighton,Premier League,2018-2019
2,Alireza Jahanbakhsh,"£ 50,000","£ 2,600,000","£ 2,625,727",F,24,Iran,Brighton,Premier League,2018-2019
3,José Izquierdo,"£ 45,000","£ 2,340,000","£ 2,363,154",F,25,Colombia,Brighton,Premier League,2018-2019
4,Davy Pröpper,"£ 45,000","£ 2,340,000","£ 2,363,154",M,26,Netherlands,Brighton,Premier League,2018-2019
5,Lewis Dunk,"£ 45,000","£ 2,340,000","£ 2,363,154",D,26,England,Brighton,Premier League,2018-2019
6,Jürgen Locadia,"£ 45,000","£ 2,340,000","£ 2,363,154",F,24,Netherlands,Brighton,Premier League,2018-2019
7,Shane Duffy,"£ 40,000","£ 2,080,000","£ 2,100,581",D,26,Ireland,Brighton,Premier League,2018-2019
8,Florin Andone,"£ 40,000","£ 2,080,000","£ 2,100,581",F,25,Romania,Brighton,Premier League,2018-2019
9,Mathew Ryan,"£ 35,000","£ 1,820,000","£ 1,838,009",K,26,Australia,Brighton,Premier League,2018-2019
10,Anthony Knockaert,"£ 35,000","£ 1,820,000","£ 1,838,009",F,26,France,Brighton,Premier League,2018-2019
11,Ezequiel Schelotto,"£ 32,000","£ 1,664,000","£ 1,680,465",D,29,Italy,Brighton,Premier League,2018-2019
12,Solly March,"£ 30,000","£ 1,560,000","£ 1,575,436",M,23,England,Brighton,Premier League,2018-2019
13,Bruno,"£ 30,000","£ 1,560,000","£ 1,575,436",D,37,Spain,Brighton,Premier League,2018-2019
14,Dale Stephens,"£ 30,000","£ 1,560,000","£ 1,575,436",M,28,England,Brighton,Premier League,2018-2019
15,Glenn Murray,"£ 30,000","£ 1,560,000","£ 1,575,436",F,34,England,Brighton,Premier League,2018-2019
16,Markus Suttner,"£ 25,000","£ 1,300,000","£ 1,312,863",D,31,Austria,Brighton,Premier League,2018-2019
17,Bernardo,"£ 25,000","£ 1,300,000","£ 1,312,863",D,23,Brazil,Brighton,Premier League,2018-2019
18,Yves Bissouma,"£ 25,000","£ 1,300,000","£ 1,312,863",M,21,Mali,Brighton,Premier League,2018-2019
19,Beram Kayal,"£ 25,000","£ 1,300,000","£ 1,312,863",M,30,Israel,Brighton,Premier League,2018-2019
20,Gaëtan Bong,"£ 20,192","£ 1,050,000","£ 1,060,390",D,30,Cameroon,Brighton,Premier League,2018-2019
21,Leon Balogun,"£ 18,096","£ 941,000","£ 950,311",D,30,Nigeria,Brighton,Premier League,2018-2019
22,David Button,"£ 16,000","£ 832,000","£ 840,233",K,29,England,Brighton,Premier League,2018-2019
23,Jason Steele,"£ 16,000","£ 832,000","£ 840,233",K,27,England,Brighton,Premier League,2018-2019
24,Dan Burn,"£ 16,000","£ 832,000","£ 840,233",D,26,England,Brighton,Premier League,2018-2019
25,Viktor Gyökeres,"£ 3,000","£ 156,000","£ 157,544",F,20,Sweden,Brighton,Premier League,2018-2019
26,Will Collar,"£ 1,000","£ 52,000","£ 52,515",M,21,England,Brighton,Premier League,2018-2019
27,Jayson Molumby,£ 692,"£ 36,000","£ 36,356",M,18,Ireland,Brighton,Premier League,2018-2019
28,Max Sanders,£ 500,"£ 26,000","£ 26,257",M,19,England,Brighton,Premier League,2018-2019
29,Percy Tau,£ 0,£ 0,£ 0,F,24,South Africa,Brighton,Premier League,2018-2019
30,Richie Towell,£ 0,£ 0,£ 0,M,26,Ireland,Brighton,Premier League,2018-2019
31,Robert Sánchez,£ 0,£ 0,£ 0,K,20,Spain,Brighton,Premier League,2018-2019
32,Alexis Mac Allister,£ 0,£ 0,£ 0,M,19,Argentina,Brighton,Premier League,2018-2019
33,Aaron Connolly,£ 0,£ 0,£ 0,F,18,Ireland,Brighton,Premier League,2018-2019
34,Tomer Hemed,£ 0,£ 0,£ 0,F,31,Israel,Brighton,Premier League,2018-2019
35,Tudor Baluta,£ 0,£ 0,£ 0,M,19,Romania,Brighton,Premier League,2018-2019
36,Leo Östigard,£ 0,£ 0,£ 0,D,18,Norway,Brighton,Premier League,2018-2019
37,Jan Mlakar,£ 0,£ 0,£ 0,F,19,Slovenia,Brighton,Premier League,2018-2019
38,Christian Walton,£ 0,£ 0,£ 0,K,22,England,Brighton,Premier League,2018-2019
39,Ben White,£ 0,£ 0,£ 0,D,20,England,Brighton,Premier League,2018-2019
40,Ben Barclay,£ 0,£ 0,£ 0,D,21,England,Brighton,Premier League,2018-2019
