,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,Rui Patrício,"£ 100,000","£ 5,200,000","£ 5,251,453",K,30,Portugal,Wolverhampton,Premier League,2018-2019
1,João Moutinho,"£ 100,000","£ 5,200,000","£ 5,251,453",M,31,Portugal,Wolverhampton,Premier League,2018-2019
2,Diogo Jota,"£ 55,000","£ 2,860,000","£ 2,888,299",F,21,Portugal,Wolverhampton,Premier League,2018-2019
3,Rúben Neves,"£ 50,000","£ 2,600,000","£ 2,625,727",M,21,Portugal,Wolverhampton,Premier League,2018-2019
4,Adama Traoré,"£ 43,000","£ 2,236,000","£ 2,258,125",F,22,Spain,Wolverhampton,Premier League,2018-2019
5,Raúl Jiménez,"£ 41,231","£ 2,144,000","£ 2,165,215",F,27,Mexico,Wolverhampton,Premier League,2018-2019
6,Willy Boly,"£ 40,000","£ 2,080,000","£ 2,100,581",D,27,France,Wolverhampton,Premier League,2018-2019
7,Leander Dendoncker,"£ 37,923","£ 1,972,000","£ 1,991,513",M,23,Belgium,Wolverhampton,Premier League,2018-2019
8,John Ruddy,"£ 35,000","£ 1,820,000","£ 1,838,009",K,31,England,Wolverhampton,Premier League,2018-2019
9,Léo Bonatini,"£ 35,000","£ 1,820,000","£ 1,838,009",F,24,Brazil,Wolverhampton,Premier League,2018-2019
10,Hélder Costa,"£ 32,500","£ 1,690,000","£ 1,706,722",F,24,Portugal,Wolverhampton,Premier League,2018-2019
11,Rúben Vinagre,"£ 30,000","£ 1,560,000","£ 1,575,436",D,19,Portugal,Wolverhampton,Premier League,2018-2019
12,Ivan Cavaleiro,"£ 28,000","£ 1,456,000","£ 1,470,407",F,24,Portugal,Wolverhampton,Premier League,2018-2019
13,Romain Saïss,"£ 22,000","£ 1,144,000","£ 1,155,320",M,28,Morocco,Wolverhampton,Premier League,2018-2019
14,Ryan Bennett,"£ 20,000","£ 1,040,000","£ 1,050,291",D,28,England,Wolverhampton,Premier League,2018-2019
15,Conor Coady,"£ 15,000","£ 780,000","£ 787,718",D,25,England,Wolverhampton,Premier League,2018-2019
16,Matt Doherty,"£ 10,000","£ 520,000","£ 525,145",D,26,Ireland,Wolverhampton,Premier League,2018-2019
17,Kortney Hause,"£ 8,000","£ 416,000","£ 420,116",D,22,England,Wolverhampton,Premier League,2018-2019
18,Will Norris,"£ 3,000","£ 156,000","£ 157,544",K,24,England,Wolverhampton,Premier League,2018-2019
19,Ethan Ebanks-Landell,"£ 3,000","£ 156,000","£ 157,544",D,25,England,Wolverhampton,Premier League,2018-2019
20,Ryan Giles,"£ 2,500","£ 130,000","£ 131,286",M,18,England,Wolverhampton,Premier League,2018-2019
21,Morgan Gibbs-White,"£ 1,500","£ 78,000","£ 78,772",M,18,England,Wolverhampton,Premier League,2018-2019
22,Niall Ennis,"£ 1,192","£ 62,000","£ 62,613",F,19,England,Wolverhampton,Premier League,2018-2019
23,Max Kilman,"£ 1,000","£ 52,000","£ 52,515",D,21,England,Wolverhampton,Premier League,2018-2019
24,Cameron John,£ 288,"£ 15,000","£ 15,148",D,18,England,Wolverhampton,Premier League,2018-2019
25,Benny Ashley-Seal,£ 0,£ 0,£ 0,F,19,England,Wolverhampton,Premier League,2018-2019
26,Harry Burgoyne,£ 0,£ 0,£ 0,K,21,England,Wolverhampton,Premier League,2018-2019
27,Jack Ruddy,£ 0,£ 0,£ 0,K,20,Scotland,Wolverhampton,Premier League,2018-2019
28,Jonny Otto,£ 0,£ 0,£ 0,D,24,Spain,Wolverhampton,Premier League,2018-2019
29,Jordan Graham,£ 0,£ 0,£ 0,F,23,England,Wolverhampton,Premier League,2018-2019
30,Michal Zyro,£ 0,£ 0,£ 0,F,25,Poland,Wolverhampton,Premier League,2018-2019
31,Ming-Yang Yang,£ 0,£ 0,£ 0,M,22,Switzerland,Wolverhampton,Premier League,2018-2019
32,Pedro Gonçalves,£ 0,£ 0,£ 0,M,20,Portugal,Wolverhampton,Premier League,2018-2019
33,Phil Ofosu-Ayeh,£ 0,£ 0,£ 0,D,26,Ghana,Wolverhampton,Premier League,2018-2019
34,Rafa Mir,£ 0,£ 0,£ 0,F,21,Spain,Wolverhampton,Premier League,2018-2019
35,Connor Ronan,£ 0,£ 0,£ 0,M,20,Ireland,Wolverhampton,Premier League,2018-2019
36,Roderick Miranda,£ 0,£ 0,£ 0,D,27,Portugal,Wolverhampton,Premier League,2018-2019
37,Bright Enobakhare,£ 0,£ 0,£ 0,F,20,Nigeria,Wolverhampton,Premier League,2018-2019
38,Sylvain Deslandes,£ 0,£ 0,£ 0,D,21,France,Wolverhampton,Premier League,2018-2019
39,Elliot Watt,£ 0,£ 0,£ 0,M,18,Scotland,Wolverhampton,Premier League,2018-2019
