,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,Nathaniel Clyne,"£ 75,000","£ 3,900,000","£ 3,938,590",D,27,England,Bournemouth,Premier League,2018-2019
1,Asmir Begovic,"£ 70,000","£ 3,640,000","£ 3,676,017",K,31,Bosnia-Herzegovina,Bournemouth,Premier League,2018-2019
2,Jermain Defoe,"£ 65,000","£ 3,380,000","£ 3,413,445",F,35,England,Bournemouth,Premier League,2018-2019
3,Jefferson Lerma,"£ 50,000","£ 2,600,000","£ 2,625,727",M,23,Colombia,Bournemouth,Premier League,2018-2019
4,Joshua King,"£ 45,000","£ 2,340,000","£ 2,363,154",F,26,Norway,Bournemouth,Premier League,2018-2019
5,Steve Cook,"£ 45,000","£ 2,340,000","£ 2,363,154",D,27,England,Bournemouth,Premier League,2018-2019
6,Callum Wilson,"£ 40,000","£ 2,080,000","£ 2,100,581",F,26,England,Bournemouth,Premier League,2018-2019
7,Nathan Aké,"£ 40,000","£ 2,080,000","£ 2,100,581",D,23,Netherlands,Bournemouth,Premier League,2018-2019
8,Harry Arter,"£ 40,000","£ 2,080,000","£ 2,100,581",M,28,Ireland,Bournemouth,Premier League,2018-2019
9,Artur Boruc,"£ 40,000","£ 2,080,000","£ 2,100,581",K,38,Poland,Bournemouth,Premier League,2018-2019
10,Jordon Ibe,"£ 37,500","£ 1,950,000","£ 1,969,295",F,22,England,Bournemouth,Premier League,2018-2019
11,Diego Rico,"£ 35,000","£ 1,820,000","£ 1,838,009",D,25,Spain,Bournemouth,Premier League,2018-2019
12,Charlie Daniels,"£ 35,000","£ 1,820,000","£ 1,838,009",D,31,England,Bournemouth,Premier League,2018-2019
13,Dan Gosling,"£ 35,000","£ 1,820,000","£ 1,838,009",M,28,England,Bournemouth,Premier League,2018-2019
14,Adam Smith,"£ 35,000","£ 1,820,000","£ 1,838,009",D,27,England,Bournemouth,Premier League,2018-2019
15,Lewis Cook,"£ 35,000","£ 1,820,000","£ 1,838,009",M,21,England,Bournemouth,Premier League,2018-2019
16,Andrew Surman,"£ 35,000","£ 1,820,000","£ 1,838,009",M,31,England,Bournemouth,Premier League,2018-2019
17,Junior Stanislas,"£ 35,000","£ 1,820,000","£ 1,838,009",F,28,England,Bournemouth,Premier League,2018-2019
18,Marc Pugh,"£ 30,000","£ 1,560,000","£ 1,575,436",F,31,England,Bournemouth,Premier League,2018-2019
19,Simon Francis,"£ 30,000","£ 1,560,000","£ 1,575,436",D,33,England,Bournemouth,Premier League,2018-2019
20,Ryan Fraser,"£ 30,000","£ 1,560,000","£ 1,575,436",F,24,Scotland,Bournemouth,Premier League,2018-2019
21,Tyrone Mings,"£ 25,000","£ 1,300,000","£ 1,312,863",D,25,England,Bournemouth,Premier League,2018-2019
22,Dominic Solanke,"£ 25,000","£ 1,300,000","£ 1,312,863",F,20,England,Bournemouth,Premier League,2018-2019
23,Lys Mousset,"£ 25,000","£ 1,300,000","£ 1,312,863",F,22,France,Bournemouth,Premier League,2018-2019
24,David Brooks,"£ 20,000","£ 1,040,000","£ 1,050,291",M,20,Wales,Bournemouth,Premier League,2018-2019
25,Emerson Hyndman,"£ 15,000","£ 780,000","£ 787,718",M,22,United States,Bournemouth,Premier League,2018-2019
26,Chris Mepham,"£ 11,673","£ 607,000","£ 613,006",D,20,Wales,Bournemouth,Premier League,2018-2019
27,Jack Simpson,"£ 3,000","£ 156,000","£ 157,544",D,21,England,Bournemouth,Premier League,2018-2019
28,Aaron Ramsdale,"£ 2,500","£ 130,000","£ 131,286",K,20,England,Bournemouth,Premier League,2018-2019
29,Sam Surridge,"£ 1,500","£ 78,000","£ 78,772",F,19,England,Bournemouth,Premier League,2018-2019
30,Matt Butcher,£ 596,"£ 31,000","£ 31,307",M,21,England,Bournemouth,Premier League,2018-2019
31,Kyle Taylor,£ 500,"£ 26,000","£ 26,257",M,18,England,Bournemouth,Premier League,2018-2019
32,Mark Travers,£ 500,"£ 26,000","£ 26,257",K,19,Ireland,Bournemouth,Premier League,2018-2019
33,Nnamdi Ofoborh,£ 500,"£ 26,000","£ 26,257",M,18,Nigeria,Bournemouth,Premier League,2018-2019
34,Brad Smith,£ 0,£ 0,£ 0,D,24,Australia,Bournemouth,Premier League,2018-2019
35,Alex Dobre,£ 0,£ 0,£ 0,M,19,Romania,Bournemouth,Premier League,2018-2019
36,Connor Mahoney,£ 0,£ 0,£ 0,F,21,England,Bournemouth,Premier League,2018-2019
