,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Denis Suárez,,"€ 90,000","€ 4,680,000",AM,27,Starter,"Jun 30, 2023",3-yrs,"€ 14,040,000",Celta Vigo,La Liga,2020-2021
1,Nolito,,"€ 88,077","€ 4,580,000",LW,34,Starter,"Jun 30, 2021",1-yr,"€ 4,580,000",Celta Vigo,La Liga,2020-2021
2,Iago Aspas,,"€ 56,346","€ 2,930,000",CF,33,Starter,"Jun 30, 2023",3-yrs,"€ 8,790,000",Celta Vigo,La Liga,2020-2021
3,Hugo Mallo,,"€ 49,808","€ 2,590,000",RB,29,Starter,"Jun 30, 2023",3-yrs,"€ 7,770,000",Celta Vigo,La Liga,2020-2021
4,Rubén Blanco,,"€ 45,000","€ 2,340,000",GK,25,Starter,"Jun 30, 2023",3-yrs,"€ 7,020,000",Celta Vigo,La Liga,2020-2021
5,Jeison Murillo,,"€ 42,115","€ 2,190,000",CB,28,Starter,"Jun 30, 2021",1-yr,"€ 2,190,000",Celta Vigo,La Liga,2020-2021
6,Aarón Martín,,"€ 38,462","€ 2,000,000",LB,23,Starter,"Jun 30, 2021",1-yr,"€ 2,000,000",Celta Vigo,La Liga,2020-2021
7,Joseph Aidoo,,"€ 37,500","€ 1,950,000",CB,25,Reserve,"Jun 30, 2024",4-yrs,"€ 7,800,000",Celta Vigo,La Liga,2020-2021
8,Néstor Araújo,,"€ 35,385","€ 1,840,000",CB,29,Starter,"Jun 30, 2023",3-yrs,"€ 5,520,000",Celta Vigo,La Liga,2020-2021
9,Sergio Álvarez,,"€ 33,077","€ 1,720,000",GK,34,Reserve,"Jun 30, 2021",1-yr,"€ 1,720,000",Celta Vigo,La Liga,2020-2021
10,Santi Mina,,"€ 32,885","€ 1,710,000",CF,25,Starter,"Jun 30, 2024",4-yrs,"€ 6,840,000",Celta Vigo,La Liga,2020-2021
11,Brais Méndez,,"€ 25,962","€ 1,350,000",RW,24,Starter,"Jun 30, 2024",4-yrs,"€ 5,400,000",Celta Vigo,La Liga,2020-2021
12,Augusto Solari,,"€ 25,962","€ 1,350,000",RW,29,Reserve,"Jun 30, 2023",3-yrs,"€ 4,050,000",Celta Vigo,La Liga,2020-2021
13,David Costas,,"€ 23,462","€ 1,220,000",CB,25,Reserve,"Jun 30, 2022",2-yrs,"€ 2,440,000",Celta Vigo,La Liga,2020-2021
14,David Juncà,,"€ 21,538","€ 1,120,000",LB,27,Reserve,"Jun 30, 2023",3-yrs,"€ 3,360,000",Celta Vigo,La Liga,2020-2021
15,Jorge Sáenz,,"€ 21,154","€ 1,100,000",CB,24,Reserve,"Jun 30, 2021",1-yr,"€ 1,100,000",Celta Vigo,La Liga,2020-2021
16,Iván Villar,,"€ 19,038","€ 990,000",GK,23,Reserve,"Jun 30, 2023",3-yrs,"€ 2,970,000",Celta Vigo,La Liga,2020-2021
17,Emre Mor,,"€ 18,654","€ 970,000",RW,23,Reserve,"Jun 30, 2022",2-yrs,"€ 1,940,000",Celta Vigo,La Liga,2020-2021
18,Kevin Vázquez,,"€ 18,462","€ 960,000",RB,27,Reserve,"Jun 30, 2023",3-yrs,"€ 2,880,000",Celta Vigo,La Liga,2020-2021
19,Fran Beltrán,,"€ 17,308","€ 900,000",CM,21,Reserve,"Jun 30, 2023",3-yrs,"€ 2,700,000",Celta Vigo,La Liga,2020-2021
20,Miguel Baeza,,"€ 15,000","€ 780,000",AM,20,Reserve,"Jun 30, 2025",5-yrs,"€ 3,900,000",Celta Vigo,La Liga,2020-2021
21,Renato Tapia,,"€ 5,000","€ 260,000",DM,25,Starter,"Jun 30, 2024",4-yrs,"€ 1,040,000",Celta Vigo,La Liga,2020-2021
22,Miguel Rodríguez,,"€ 3,846","€ 200,000",RW,17,Reserve,"Jun 30, 2022",2-yrs,"€ 400,000",Celta Vigo,La Liga,2020-2021
23,Gabriel Veiga,,"€ 3,846","€ 200,000",CM,18,Reserve,"Jun 30, 2021",1-yr,"€ 200,000",Celta Vigo,La Liga,2020-2021
