,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Raúl García,,"€ 160,000","€ 8,320,000",CF,34,Starter,"Jun 30, 2022",2-yrs,"€ 16,640,000",Athletic Club,La Liga,2020-2021
1,Iñaki Williams,,"€ 114,808","€ 5,970,000",CF,26,Starter,"Jun 30, 2028",8-yrs,"€ 47,760,000",Athletic Club,La Liga,2020-2021
2,Iñigo Martínez,,"€ 96,154","€ 5,000,000",CB,29,Starter,"Jun 30, 2023",3-yrs,"€ 15,000,000",Athletic Club,La Liga,2020-2021
3,Iker Muniain,,"€ 84,615","€ 4,400,000",AM,28,Starter,"Jun 30, 2024",4-yrs,"€ 17,600,000",Athletic Club,La Liga,2020-2021
4,Unai Simón,,"€ 83,654","€ 4,350,000",GK,23,Starter,"Jun 30, 2025",5-yrs,"€ 21,750,000",Athletic Club,La Liga,2020-2021
5,Yuri Berchiche,,"€ 80,769","€ 4,200,000",LB,30,Starter,"Jun 30, 2022",2-yrs,"€ 8,400,000",Athletic Club,La Liga,2020-2021
6,Iago Herrerín,,"€ 61,154","€ 3,180,000",GK,33,Reserve,"Jun 30, 2021",1-yr,"€ 3,180,000",Athletic Club,La Liga,2020-2021
7,Álex Berenguer,,"€ 54,808","€ 2,850,000",LW,25,Reserve,"Jun 30, 2024",4-yrs,"€ 11,400,000",Athletic Club,La Liga,2020-2021
8,Dani García,,"€ 53,269","€ 2,770,000",CM,30,Starter,"Jun 30, 2022",2-yrs,"€ 5,540,000",Athletic Club,La Liga,2020-2021
9,Yeray Álvarez,,"€ 49,231","€ 2,560,000",CB,26,Starter,"Jun 30, 2026",6-yrs,"€ 15,360,000",Athletic Club,La Liga,2020-2021
10,Ibai Gómez,,"€ 48,846","€ 2,540,000",RW,31,Reserve,"Jun 30, 2022",2-yrs,"€ 5,080,000",Athletic Club,La Liga,2020-2021
11,Unai Núñez,,"€ 43,077","€ 2,240,000",CB,24,Reserve,"Jun 30, 2025",5-yrs,"€ 11,200,000",Athletic Club,La Liga,2020-2021
12,Jon Morcillo,,"€ 41,154","€ 2,140,000",LW,22,Starter,"Jun 30, 2023",3-yrs,"€ 6,420,000",Athletic Club,La Liga,2020-2021
13,Ander Capa,,"€ 38,462","€ 2,000,000",RB,28,Starter,"Jun 30, 2022",2-yrs,"€ 4,000,000",Athletic Club,La Liga,2020-2021
14,Óscar de Marcos,,"€ 35,577","€ 1,850,000",RB,31,Reserve,"Jun 30, 2022",2-yrs,"€ 3,700,000",Athletic Club,La Liga,2020-2021
15,Asier Villalibre,,"€ 34,038","€ 1,770,000",CF,23,Reserve,"Jun 30, 2023",3-yrs,"€ 5,310,000",Athletic Club,La Liga,2020-2021
16,Mikel Balenziaga,,"€ 31,731","€ 1,650,000",LB,32,Reserve,"Jun 30, 2021",1-yr,"€ 1,650,000",Athletic Club,La Liga,2020-2021
17,Jokin Ezkieta,,"€ 30,000","€ 1,560,000",GK,24,Reserve,"Jun 30, 2023",3-yrs,"€ 4,680,000",Athletic Club,La Liga,2020-2021
18,Iñigo Lekue,,"€ 29,808","€ 1,550,000",RB,27,Reserve,"Jun 30, 2023",3-yrs,"€ 4,650,000",Athletic Club,La Liga,2020-2021
19,Oier Zarraga,,"€ 28,846","€ 1,500,000",CM,22,Reserve,"Jun 30, 2023",3-yrs,"€ 4,500,000",Athletic Club,La Liga,2020-2021
20,Iñigo Vicente,,"€ 27,500","€ 1,430,000",LW,23,Reserve,"Jun 30, 2023",3-yrs,"€ 4,290,000",Athletic Club,La Liga,2020-2021
21,Oihan Sancet,,"€ 26,923","€ 1,400,000",AM,20,Reserve,"Jun 30, 2022",2-yrs,"€ 2,800,000",Athletic Club,La Liga,2020-2021
22,Unai López,,"€ 23,269","€ 1,210,000",CM,25,Starter,"Jun 30, 2022",2-yrs,"€ 2,420,000",Athletic Club,La Liga,2020-2021
23,Mikel Vesga,,"€ 11,538","€ 600,000",DM,27,Reserve,"Jun 30, 2024",4-yrs,"€ 2,400,000",Athletic Club,La Liga,2020-2021
24,Peru Nolaskoain,,"€ 8,462","€ 440,000",DM,22,Reserve,"Jun 30, 2024",4-yrs,"€ 1,760,000",Athletic Club,La Liga,2020-2021
25,Unai Vencedor,,"€ 4,615","€ 240,000",CM,20,Reserve,"Jun 30, 2023",3-yrs,"€ 720,000",Athletic Club,La Liga,2020-2021
