,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
11,Manu García,"€ 14,808","€ 770,000",DM,34,Reserve,"Jun 30, 2021",1-yr,"€ 770,000",Alaves,La Liga,2020-2021
12,Joselu,"€ 13,654","€ 710,000",CF,30,Reserve,"Jun 30, 2022",2-yrs,"€ 1,420,000",Alaves,La Liga,2020-2021
13,Víctor Laguardia,"€ 12,500","€ 650,000",CB,31,Starter,"Jun 30, 2022",2-yrs,"€ 1,300,000",Alaves,La Liga,2020-2021
14,Rubén Duarte,"€ 10,962","€ 570,000",LB,25,Starter,"Jun 30, 2023",3-yrs,"€ 1,710,000",Alaves,La Liga,2020-2021
15,John Guidetti,"€ 10,000","€ 520,000",CF,28,Reserve,"Jun 30, 2022",2-yrs,"€ 1,040,000",Alaves,La Liga,2020-2021
16,Edgar Méndez,"€ 9,615","€ 500,000",RW,31,Starter,"Jun 30, 2022",2-yrs,"€ 1,000,000",Alaves,La Liga,2020-2021
17,Burgui,"€ 9,231","€ 480,000",LW,27,Reserve,"Jun 30, 2021",1-yr,"€ 480,000",Alaves,La Liga,2020-2021
18,Rodrigo Ely,"€ 9,231","€ 480,000",CB,27,Reserve,"Jun 30, 2021",1-yr,"€ 480,000",Alaves,La Liga,2020-2021
19,Ximo Navarro,"€ 6,923","€ 360,000",RB,31,Starter,"Jun 30, 2021",1-yr,"€ 360,000",Alaves,La Liga,2020-2021
20,Martín Aguirregabiria,"€ 6,731","€ 350,000",RB,24,Reserve,"Jun 30, 2022",2-yrs,"€ 700,000",Alaves,La Liga,2020-2021
21,Antonio Sivera,"€ 3,846","€ 200,000",GK,24,Reserve,"Jun 30, 2021",1-yr,"€ 200,000",Alaves,La Liga,2020-2021
22,Tachi,"€ 1,923","€ 100,000",CB,23,Reserve,"Jun 30, 2023",3-yrs,"€ 300,000",Alaves,La Liga,2020-2021
23,Javi López,€ 769,"€ 40,000",LB,18,Reserve,"Jun 30, 2023",3-yrs,"€ 120,000",Alaves,La Liga,2020-2021
24,Borja Sainz,€ 769,"€ 40,000",LW,20,Reserve,"Jun 30, 2023",3-yrs,"€ 120,000",Alaves,La Liga,2020-2021
0,Raúl García,"€ 160,000","€ 8,320,000",CF,34,Starter,"Jun 30, 2022",2-yrs,"€ 16,640,000",Athletic Club,La Liga,2020-2021
1,Iñaki Williams,"€ 114,808","€ 5,970,000",CF,26,Starter,"Jun 30, 2028",8-yrs,"€ 47,760,000",Athletic Club,La Liga,2020-2021
2,Iñigo Martínez,"€ 96,154","€ 5,000,000",CB,29,Starter,"Jun 30, 2023",3-yrs,"€ 15,000,000",Athletic Club,La Liga,2020-2021
3,Iker Muniain,"€ 84,615","€ 4,400,000",AM,28,Starter,"Jun 30, 2024",4-yrs,"€ 17,600,000",Athletic Club,La Liga,2020-2021
