,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Tim Howard,"$ 38,462","$ 2,000,000","$ 2,111,714",K,37,United States,Colorado Rapids,Mls,2017
1,Shkelzen Gashi,"$ 30,288","$ 1,575,000","$ 1,662,974",F,27,Albania,Colorado Rapids,Mls,2017
2,Kevin Doyle,"$ 19,231","$ 1,000,000","$ 1,055,857",F,32,Ireland,Colorado Rapids,Mls,2017
3,Stefan Aigner,"$ 8,173","$ 425,000","$ 448,739",M,28,Germany,Colorado Rapids,Mls,2017
4,Bismark Adjei Boateng,"$ 5,769","$ 300,000","$ 316,757",M,23,Ghana,Colorado Rapids,Mls,2017
5,Alan Gordon,"$ 3,462","$ 180,000","$ 190,054",F,34,United States,Colorado Rapids,Mls,2017
6,Joshua Gatt,"$ 3,366","$ 175,008","$ 184,783",M,24,United States,Colorado Rapids,Mls,2017
7,Mohammed Saeid,"$ 3,077","$ 160,000","$ 168,937",M,25,Sweden,Colorado Rapids,Mls,2017
8,Zac MacMath,"$ 2,885","$ 150,000","$ 158,379",K,24,United States,Colorado Rapids,Mls,2017
9,Luis Gil,"$ 2,769","$ 144,000","$ 152,043",M,22,United States,Colorado Rapids,Mls,2017
10,Bobby Burling,"$ 2,308","$ 120,000","$ 126,703",D,31,United States,Colorado Rapids,Mls,2017
11,Marlon Hairston,"$ 2,115","$ 110,004","$ 116,148",D,22,United States,Colorado Rapids,Mls,2017
12,Michael Azira,"$ 2,115","$ 110,000","$ 116,144",M,29,Uganda,Colorado Rapids,Mls,2017
13,Mekeil Williams,"$ 2,115","$ 110,000","$ 116,144",D,25,Trinidad and Tobago,Colorado Rapids,Mls,2017
14,Axel Sjoberg,"$ 2,084","$ 108,350","$ 114,402",D,25,Sweden,Colorado Rapids,Mls,2017
15,Caleb Calvert,"$ 1,923","$ 100,000","$ 105,586",F,19,United States,Colorado Rapids,Mls,2017
16,Eric Miller,"$ 1,453","$ 75,554","$ 79,774",D,23,United States,Colorado Rapids,Mls,2017
17,Jared Watts,"$ 1,442","$ 75,000","$ 79,189",D,24,United States,Colorado Rapids,Mls,2017
18,Dillon Serna,"$ 1,396","$ 72,600","$ 76,655",M,22,United States,Colorado Rapids,Mls,2017
19,Kortne Ford,"$ 1,346","$ 69,996","$ 73,906",D,20,United States,Colorado Rapids,Mls,2017
20,John Berner,"$ 1,272","$ 66,150","$ 69,845",K,25,United States,Colorado Rapids,Mls,2017
21,Sam Hamilton,"$ 1,250","$ 65,004","$ 68,635",M,20,United States,Colorado Rapids,Mls,2017
22,Mike Da Fonte,"$ 1,250","$ 65,004","$ 68,635",D,25,United States,Colorado Rapids,Mls,2017
23,Dominique Badji,"$ 1,250","$ 65,000","$ 68,631",F,23,Senegal,Colorado Rapids,Mls,2017
24,Dennis Castillo,"$ 1,040","$ 54,075","$ 57,095",D,23,Costa Rica,Colorado Rapids,Mls,2017
25,Ricardo Perez,"$ 1,019","$ 53,004","$ 55,965",M,21,United States,Colorado Rapids,Mls,2017
