,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Giovani Dos Santos,"$ 72,115","$ 3,750,000","$ 3,959,463",F,27,Mexico,La Galaxy,Mls,2017
1,Jonathan Dos Santos,"$ 38,462","$ 2,000,000","$ 2,111,714",M,26,Mexico,La Galaxy,Mls,2017
2,Romain Alessandrini,"$ 32,104","$ 1,669,401","$ 1,762,648",M,27,France,La Galaxy,Mls,2017
3,Michael Ciani,"$ 11,538","$ 600,000","$ 633,514",D,32,France,La Galaxy,Mls,2017
4,Jermaine Jones,"$ 11,538","$ 600,000","$ 633,514",M,34,United States,La Galaxy,Mls,2017
5,Gyasi Zardes,"$ 11,106","$ 577,500","$ 609,757",F,24,United States,La Galaxy,Mls,2017
6,Ashley Cole,"$ 6,731","$ 350,000","$ 369,550",D,35,England,La Galaxy,Mls,2017
7,Jack McInerney,"$ 6,250","$ 325,000","$ 343,153",F,23,United States,La Galaxy,Mls,2017
8,Sebastian Lletget,"$ 4,423","$ 230,000","$ 242,847",M,23,United States,La Galaxy,Mls,2017
9,Robbie Rogers,"$ 4,327","$ 225,000","$ 237,568",M,29,United States,La Galaxy,Mls,2017
10,Pele Van Anholt,"$ 4,154","$ 216,000","$ 228,065",D,25,Netherlands,La Galaxy,Mls,2017
11,Baggio Husidic,"$ 3,365","$ 175,000","$ 184,775",M,29,Bosnia-Herzegovina,La Galaxy,Mls,2017
12,Brian Rowe,"$ 2,308","$ 120,000","$ 126,703",K,27,United States,La Galaxy,Mls,2017
13,Joao Pedro,"$ 2,308","$ 120,000","$ 126,703",M,23,Portugal,La Galaxy,Mls,2017
14,Emmanuel Boateng,"$ 2,212","$ 115,000","$ 121,424",F,22,Ghana,La Galaxy,Mls,2017
15,Jose Villarreal,"$ 2,019","$ 105,000","$ 110,865",F,22,United States,La Galaxy,Mls,2017
16,Daniel Steres,"$ 2,019","$ 105,000","$ 110,865",D,25,United States,La Galaxy,Mls,2017
17,Rafael Garcia,"$ 1,587","$ 82,500","$ 87,108",M,27,United States,La Galaxy,Mls,2017
18,Bradford Jamieson,"$ 1,272","$ 66,150","$ 69,845",F,20,United States,La Galaxy,Mls,2017
19,David Romney,"$ 1,272","$ 66,150","$ 69,845",D,23,United States,La Galaxy,Mls,2017
20,Jack McBean,"$ 1,262","$ 65,625","$ 69,291",F,21,United States,La Galaxy,Mls,2017
21,Raul Mendiola,"$ 1,262","$ 65,625","$ 69,291",F,22,Mexico,La Galaxy,Mls,2017
22,Clement Diop,"$ 1,262","$ 65,625","$ 69,291",K,22,Senegal,La Galaxy,Mls,2017
23,Jonathan Kempin,"$ 1,250","$ 65,004","$ 68,635",K,20,United States,La Galaxy,Mls,2017
24,Bradley Diallo,"$ 1,250","$ 65,004","$ 68,635",D,25,France,La Galaxy,Mls,2017
25,Hugo Arellano,"$ 1,250","$ 65,000","$ 68,631",D,18,United States,La Galaxy,Mls,2017
26,Ariel Lassiter,"$ 1,040","$ 54,075","$ 57,095",F,21,Costa Rica,La Galaxy,Mls,2017
27,Nathan Smith,"$ 1,019","$ 53,004","$ 55,965",D,21,United States,La Galaxy,Mls,2017
28,Jaime Villarreal,"$ 1,019","$ 53,004","$ 55,965",M,21,United States,La Galaxy,Mls,2017
