,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Federico Higuain,"$ 20,192","$ 1,050,000","$ 1,108,650",M,31,Argentina,Columbus Crew,Mls,2017
1,Jonathan Mensah,"$ 14,423","$ 750,000","$ 791,893",D,25,Ghana,Columbus Crew,Mls,2017
2,Pedro Santos,"$ 13,154","$ 684,000","$ 722,206",M,28,Portugal,Columbus Crew,Mls,2017
3,Gaston Sauro,"$ 11,250","$ 585,000","$ 617,676",D,26,Argentina,Columbus Crew,Mls,2017
4,Ola Kamara,"$ 8,654","$ 450,000","$ 475,136",F,26,Norway,Columbus Crew,Mls,2017
5,Justin Meram,"$ 5,769","$ 300,000","$ 316,757",M,27,Iraq,Columbus Crew,Mls,2017
6,Wil Trapp,"$ 5,769","$ 300,000","$ 316,757",M,23,United States,Columbus Crew,Mls,2017
7,Harrison Afful,"$ 5,385","$ 280,000","$ 295,640",D,29,Ghana,Columbus Crew,Mls,2017
8,Waylon Francis,"$ 4,375","$ 227,500","$ 240,207",D,25,Costa Rica,Columbus Crew,Mls,2017
9,Mohammed Abu,"$ 3,173","$ 165,000","$ 174,216",M,24,Ghana,Columbus Crew,Mls,2017
10,Hector Jimenez,"$ 2,885","$ 150,000","$ 158,379",M,27,United States,Columbus Crew,Mls,2017
11,Kekuta Manneh,"$ 2,671","$ 138,875","$ 146,632",M,21,United States,Columbus Crew,Mls,2017
12,Jukka Raitala,"$ 2,404","$ 125,004","$ 131,986",D,27,Finland,Columbus Crew,Mls,2017
13,Josh Williams,"$ 2,115","$ 110,004","$ 116,148",D,28,United States,Columbus Crew,Mls,2017
14,Zack Steffen,"$ 2,019","$ 105,000","$ 110,865",K,21,United States,Columbus Crew,Mls,2017
15,Adam Jahn,"$ 1,779","$ 92,500","$ 97,667",F,25,United States,Columbus Crew,Mls,2017
16,Ben Swanson,"$ 1,635","$ 85,000","$ 89,748",M,18,United States,Columbus Crew,Mls,2017
17,Alex Crognale,"$ 1,635","$ 84,996","$ 89,744",D,21,United States,Columbus Crew,Mls,2017
18,Brad Stuver,"$ 1,539","$ 80,004","$ 84,473",K,25,United States,Columbus Crew,Mls,2017
19,Artur De Lima Junior,"$ 1,539","$ 80,004","$ 84,473",M,21,Brazil,Columbus Crew,Mls,2017
20,Cristian Martinez,"$ 1,262","$ 65,633","$ 69,299",M,20,Panama,Columbus Crew,Mls,2017
21,Rodrigo Saravia,"$ 1,262","$ 65,625","$ 69,291",M,23,Guatemala,Columbus Crew,Mls,2017
22,Abuchi Obinwa,"$ 1,250","$ 65,004","$ 68,635",M,19,United States,Columbus Crew,Mls,2017
23,Alhassan Lalas Abubakar,"$ 1,250","$ 65,000","$ 68,631",D,23,Ghana,Columbus Crew,Mls,2017
24,Nikolaj Hansen,"$ 1,250","$ 65,000","$ 68,631",F,23,Denmark,Columbus Crew,Mls,2017
25,Marshall Hollingsworth,"$ 1,040","$ 54,075","$ 57,095",M,22,United States,Columbus Crew,Mls,2017
26,Logan Ketterer,"$ 1,019","$ 53,004","$ 55,965",K,22,United States,Columbus Crew,Mls,2017
27,Connor Maloney,"$ 1,019","$ 53,004","$ 55,965",D,21,United States,Columbus Crew,Mls,2017
