,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Vadim Demidov,"$ 10,577","$ 550,008","$ 580,730",D,29,Norway,Minnesota United,Mls,2017
1,Christian Ramirez,"$ 6,731","$ 350,004","$ 369,554",M,25,United States,Minnesota United,Mls,2017
2,Kevin Molino,"$ 6,731","$ 350,004","$ 369,554",M,26,Trinidad and Tobago,Minnesota United,Mls,2017
3,Francisco Calvo,"$ 5,769","$ 300,000","$ 316,757",D,23,Costa Rica,Minnesota United,Mls,2017
4,Sam Cronin,"$ 5,769","$ 300,000","$ 316,757",M,29,United States,Minnesota United,Mls,2017
5,Miguel Ibarra,"$ 5,577","$ 290,004","$ 306,203",M,26,United States,Minnesota United,Mls,2017
6,Ethan Finlay,"$ 5,577","$ 290,000","$ 306,198",M,25,United States,Minnesota United,Mls,2017
7,Sam Nicholson,"$ 4,519","$ 235,008","$ 248,135",M,21,Scotland,Minnesota United,Mls,2017
8,Collen Warner,"$ 4,423","$ 230,004","$ 242,851",M,28,United States,Minnesota United,Mls,2017
9,Michael Boxall,"$ 4,327","$ 225,000","$ 237,568",D,27,New Zealand,Minnesota United,Mls,2017
10,Johan Venegas,"$ 4,135","$ 215,000","$ 227,009",M,27,Costa Rica,Minnesota United,Mls,2017
11,Ibson,"$ 3,846","$ 200,004","$ 211,176",M,32,Brazil,Minnesota United,Mls,2017
12,Rasmus Schuller,"$ 3,846","$ 200,004","$ 211,176",M,25,Finland,Minnesota United,Mls,2017
13,Jerome Thiesson,"$ 3,288","$ 171,000","$ 180,552",D,28,Switzerland,Minnesota United,Mls,2017
14,Bobby Shuttleworth,"$ 2,981","$ 155,000","$ 163,658",K,29,United States,Minnesota United,Mls,2017
15,Marc Burch,"$ 2,596","$ 135,000","$ 142,541",D,32,United States,Minnesota United,Mls,2017
16,Jermaine Taylor,"$ 2,404","$ 125,004","$ 131,986",D,31,Jamaica,Minnesota United,Mls,2017
17,Abu Danladi,"$ 2,404","$ 125,000","$ 131,982",F,20,Ghana,Minnesota United,Mls,2017
18,Bernardo Anor,"$ 2,019","$ 105,000","$ 110,865",M,28,Venezuela,Minnesota United,Mls,2017
19,Kevin Venegas,"$ 1,635","$ 85,000","$ 89,748",D,26,United States,Minnesota United,Mls,2017
20,Collin Martin,"$ 1,635","$ 84,996","$ 89,744",M,21,United States,Minnesota United,Mls,2017
21,Justin Davis,"$ 1,538","$ 80,000","$ 84,469",D,28,United States,Minnesota United,Mls,2017
22,Patrick McLain,"$ 1,538","$ 80,000","$ 84,469",K,27,United States,Minnesota United,Mls,2017
23,Brandon Allen,"$ 1,262","$ 65,625","$ 69,291",F,22,United States,Minnesota United,Mls,2017
24,Ismaila Jome,"$ 1,250","$ 65,004","$ 68,635",M,21,The Gambia,Minnesota United,Mls,2017
25,Brent Kallman,"$ 1,250","$ 65,004","$ 68,635",D,25,United States,Minnesota United,Mls,2017
26,Joseph Greenspan,"$ 1,250","$ 65,000","$ 68,631",D,24,United States,Minnesota United,Mls,2017
27,Jose Leiton,"$ 1,019","$ 53,004","$ 55,965",F,22,Costa Rica,Minnesota United,Mls,2017
28,Thomas De Villardi,"$ 1,019","$ 53,004","$ 55,965",D,22,France,Minnesota United,Mls,2017
29,Alex Kapp,"$ 1,019","$ 53,004","$ 55,965",K,21,United States,Minnesota United,Mls,2017
