,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Xavier Kouassi,"$ 16,154","$ 840,000","$ 886,920",M,26,Cote d'Ivoire,Ne Revolution,Mls,2017
1,Kei Kamara,"$ 15,385","$ 800,000","$ 844,685",F,31,Sierra Leone,Ne Revolution,Mls,2017
2,Claude Dielna,"$ 15,000","$ 780,000","$ 823,568",D,28,France,Ne Revolution,Mls,2017
3,Benjamin Angoua,"$ 11,538","$ 600,000","$ 633,514",D,29,Cote d'Ivoire,Ne Revolution,Mls,2017
4,Krisztian Nemeth,"$ 10,523","$ 547,200","$ 577,765",F,27,Hungary,Ne Revolution,Mls,2017
5,Lee Nguyen,"$ 9,615","$ 500,000","$ 527,928",M,29,United States,Ne Revolution,Mls,2017
6,Juan Agudelo,"$ 9,135","$ 475,000","$ 501,532",F,23,United States,Ne Revolution,Mls,2017
7,Antonio Mlinar Delamea,"$ 7,692","$ 400,008","$ 422,351",D,26,Slovenia,Ne Revolution,Mls,2017
8,Teal Bunbury,"$ 4,135","$ 215,000","$ 227,009",F,26,United States,Ne Revolution,Mls,2017
9,Andrew Farrell,"$ 3,512","$ 182,600","$ 192,799",D,24,United States,Ne Revolution,Mls,2017
10,Kelyn Rowe,"$ 3,173","$ 165,000","$ 174,216",M,24,United States,Ne Revolution,Mls,2017
11,Diego Fagundez,"$ 3,077","$ 160,000","$ 168,937",M,21,Uruguay,Ne Revolution,Mls,2017
12,Je Vaughn Watson,"$ 2,885","$ 150,000","$ 158,379",D,32,Jamaica,Ne Revolution,Mls,2017
13,Chris Tierney,"$ 2,692","$ 140,000","$ 147,820",D,30,United States,Ne Revolution,Mls,2017
14,Gershon Koffie,"$ 2,308","$ 120,000","$ 126,703",M,24,Ghana,Ne Revolution,Mls,2017
15,Scott Caldwell,"$ 2,212","$ 115,000","$ 121,424",M,25,United States,Ne Revolution,Mls,2017
16,Brad Knighton,"$ 1,941","$ 100,910","$ 106,547",K,31,United States,Ne Revolution,Mls,2017
17,Daigo Kobayashi,"$ 1,346","$ 69,996","$ 73,906",M,33,Japan,Ne Revolution,Mls,2017
18,London Woodberry,"$ 1,333","$ 69,300","$ 73,171",D,25,United States,Ne Revolution,Mls,2017
19,Donnie Smith,"$ 1,272","$ 66,150","$ 69,845",M,25,United States,Ne Revolution,Mls,2017
20,Zachary Herivaux,"$ 1,262","$ 65,625","$ 69,291",M,20,Haiti,Ne Revolution,Mls,2017
21,Cody Cropper,"$ 1,262","$ 65,625","$ 69,291",F,23,United States,Ne Revolution,Mls,2017
22,Brian Wright,"$ 1,250","$ 65,000","$ 68,631",F,21,Canada,Ne Revolution,Mls,2017
23,Joshua Smith,"$ 1,250","$ 65,000","$ 68,631",D,24,United States,Ne Revolution,Mls,2017
24,Matt Turner,"$ 1,040","$ 54,075","$ 57,095",K,22,United States,Ne Revolution,Mls,2017
25,Femi Hollinger Janzen,"$ 1,040","$ 54,075","$ 57,095",F,22,Benin,Ne Revolution,Mls,2017
