,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,Jermain Defoe,"£ 80,000","£ 4,160,000","£ 4,372,183",F,33,England,Sunderland,Premier League,2016-2017
1,Fabio Borini,"£ 60,000","£ 3,120,000","£ 3,279,138",F,25,Italy,Sunderland,Premier League,2016-2017
2,Adnan Januzaj,"£ 60,000","£ 3,120,000","£ 3,279,138",F,21,Belgium,Sunderland,Premier League,2016-2017
3,Patrick van Aanholt,"£ 55,000","£ 2,860,000","£ 3,005,876",D,25,Netherlands,Sunderland,Premier League,2016-2017
4,Lee Cattermole,"£ 50,000","£ 2,600,000","£ 2,732,615",M,28,England,Sunderland,Premier League,2016-2017
5,John O'Shea,"£ 47,000","£ 2,444,000","£ 2,568,658",D,35,Ireland,Sunderland,Premier League,2016-2017
6,Lamine Koné,"£ 45,000","£ 2,340,000","£ 2,459,353",D,27,Cote d'Ivoire,Sunderland,Premier League,2016-2017
7,Wahbi Khazri,"£ 40,000","£ 2,080,000","£ 2,186,092",M,25,Tunisia,Sunderland,Premier League,2016-2017
8,Jack Rodwell,"£ 37,000","£ 1,924,000","£ 2,022,135",M,25,England,Sunderland,Premier League,2016-2017
9,Papy Djilobodji,"£ 35,000","£ 1,820,000","£ 1,912,830",D,27,Senegal,Sunderland,Premier League,2016-2017
10,Darron Gibson,"£ 35,000","£ 1,820,000","£ 1,912,830",M,28,Ireland,Sunderland,Premier League,2016-2017
11,Sebastian Larsson,"£ 35,000","£ 1,820,000","£ 1,912,830",M,31,Sweden,Sunderland,Premier League,2016-2017
12,Billy Jones,"£ 32,000","£ 1,664,000","£ 1,748,873",D,29,England,Sunderland,Premier League,2016-2017
13,Jan Kirchhoff,"£ 30,000","£ 1,560,000","£ 1,639,569",M,25,Germany,Sunderland,Premier League,2016-2017
14,Didier Ndong,"£ 30,000","£ 1,560,000","£ 1,639,569",M,22,Gabon,Sunderland,Premier League,2016-2017
15,Joleon Lescott,"£ 30,000","£ 1,560,000","£ 1,639,569",D,33,England,Sunderland,Premier League,2016-2017
16,Vito Mannone,"£ 28,000","£ 1,456,000","£ 1,530,264",K,28,Italy,Sunderland,Premier League,2016-2017
17,Jason Denayer,"£ 25,000","£ 1,300,000","£ 1,366,307",D,21,Belgium,Sunderland,Premier League,2016-2017
18,Bryan Oviedo,"£ 25,000","£ 1,300,000","£ 1,366,307",D,26,Costa Rica,Sunderland,Premier League,2016-2017
19,Duncan Watmore,"£ 20,000","£ 1,040,000","£ 1,093,046",F,22,England,Sunderland,Premier League,2016-2017
20,Paddy McNair,"£ 20,000","£ 1,040,000","£ 1,093,046",M,21,Northern Ireland,Sunderland,Premier League,2016-2017
21,Steven Pienaar,"£ 20,000","£ 1,040,000","£ 1,093,046",F,34,South Africa,Sunderland,Premier League,2016-2017
22,Victor Anichebe,"£ 20,000","£ 1,040,000","£ 1,093,046",F,28,Nigeria,Sunderland,Premier League,2016-2017
23,Jordan Pickford,"£ 20,000","£ 1,040,000","£ 1,093,046",K,22,England,Sunderland,Premier League,2016-2017
24,Mika,"£ 15,000","£ 780,000","£ 819,784",K,25,Portugal,Sunderland,Premier League,2016-2017
25,Donald Love,"£ 10,000","£ 520,000","£ 546,523",D,21,Scotland,Sunderland,Premier League,2016-2017
26,Lynden Gooch,"£ 5,000","£ 260,000","£ 273,261",F,20,United States,Sunderland,Premier League,2016-2017
27,Rees Greenwood,"£ 4,000","£ 208,000","£ 218,609",F,19,England,Sunderland,Premier League,2016-2017
28,Josh Robson,"£ 2,000","£ 104,000","£ 109,305",D,18,England,Sunderland,Premier League,2016-2017
29,Ethan Robson,"£ 1,000","£ 52,000","£ 54,652",M,19,England,Sunderland,Premier League,2016-2017
30,Joel Asoro,"£ 1,000","£ 52,000","£ 54,652",F,17,Sweden,Sunderland,Premier League,2016-2017
31,George Honeyman,£ 808,"£ 42,000","£ 44,142",M,21,England,Sunderland,Premier League,2016-2017
32,Elliot Embleton,£ 500,"£ 26,000","£ 27,326",M,17,England,Sunderland,Premier League,2016-2017
33,Michael Ledger,£ 192,"£ 10,000","£ 10,510",D,18,England,Sunderland,Premier League,2016-2017
34,Max Stryjek,£ 0,£ 0,£ 0,K,19,Poland,Sunderland,Premier League,2016-2017
35,Younès Kaboul,£ 0,£ 0,£ 0,D,30,France,Sunderland,Premier League,2016-2017
36,Adam Matthews,£ 0,£ 0,£ 0,D,24,Wales,Sunderland,Premier League,2016-2017
37,Josh Maja,£ 0,£ 0,£ 0,F,17,England,Sunderland,Premier League,2016-2017
38,Jeremain Lens,£ 0,£ 0,£ 0,F,28,Netherlands,Sunderland,Premier League,2016-2017
39,Javier Manquillo,£ 0,£ 0,£ 0,D,22,Spain,Sunderland,Premier League,2016-2017
40,Tommy Robson,£ 0,£ 0,£ 0,D,20,England,Sunderland,Premier League,2016-2017
41,Will Buckley,£ 0,£ 0,£ 0,F,26,England,Sunderland,Premier League,2016-2017
