,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,Saido Berahino,"£ 80,000","£ 4,160,000","£ 4,372,183",F,22,Burundi,West Bromwich,Premier League,2016-2017
1,Claudio Yacob,"£ 60,000","£ 3,120,000","£ 3,279,138",M,28,Argentina,West Bromwich,Premier League,2016-2017
2,Salomón Rondón,"£ 55,000","£ 2,860,000","£ 3,005,876",F,26,Venezuela,West Bromwich,Premier League,2016-2017
3,Nacer Chadli,"£ 55,000","£ 2,860,000","£ 3,005,876",F,26,Belgium,West Bromwich,Premier League,2016-2017
4,Darren Fletcher,"£ 52,000","£ 2,704,000","£ 2,841,919",M,32,Scotland,West Bromwich,Premier League,2016-2017
5,Ben Foster,"£ 50,000","£ 2,600,000","£ 2,732,615",K,33,England,West Bromwich,Premier League,2016-2017
6,Jonny Evans,"£ 47,000","£ 2,444,000","£ 2,568,658",D,28,Northern Ireland,West Bromwich,Premier League,2016-2017
7,Jonas Olsson,"£ 45,000","£ 2,340,000","£ 2,459,353",D,33,Sweden,West Bromwich,Premier League,2016-2017
8,Jake Livermore,"£ 36,000","£ 1,872,000","£ 1,967,483",M,26,England,West Bromwich,Premier League,2016-2017
9,Matt Phillips,"£ 35,000","£ 1,820,000","£ 1,912,830",F,25,Scotland,West Bromwich,Premier League,2016-2017
10,James Morrison,"£ 35,000","£ 1,820,000","£ 1,912,830",M,30,Scotland,West Bromwich,Premier League,2016-2017
11,Chris Brunt,"£ 32,000","£ 1,664,000","£ 1,748,873",M,31,Northern Ireland,West Bromwich,Premier League,2016-2017
12,Craig Dawson,"£ 30,000","£ 1,560,000","£ 1,639,569",D,26,England,West Bromwich,Premier League,2016-2017
13,Marc Wilson,"£ 30,000","£ 1,560,000","£ 1,639,569",D,28,Ireland,West Bromwich,Premier League,2016-2017
14,Gareth McAuley,"£ 26,000","£ 1,352,000","£ 1,420,960",D,36,Northern Ireland,West Bromwich,Premier League,2016-2017
15,James McClean,"£ 25,000","£ 1,300,000","£ 1,366,307",F,27,Ireland,West Bromwich,Premier League,2016-2017
16,Brendan Galloway,"£ 22,500","£ 1,170,000","£ 1,229,677",D,20,England,West Bromwich,Premier League,2016-2017
17,Allan Nyom,"£ 22,000","£ 1,144,000","£ 1,202,350",D,28,Cameroon,West Bromwich,Premier League,2016-2017
18,Hal Robson-Kanu,"£ 20,000","£ 1,040,000","£ 1,093,046",F,27,Wales,West Bromwich,Premier League,2016-2017
19,Boaz Myhill,"£ 18,500","£ 962,000","£ 1,011,067",K,33,Wales,West Bromwich,Premier League,2016-2017
20,Sam Field,"£ 6,500","£ 338,000","£ 355,240",M,18,England,West Bromwich,Premier League,2016-2017
21,Jonathan Leko,"£ 2,500","£ 130,000","£ 136,631",F,17,England,West Bromwich,Premier League,2016-2017
22,Jack Rose,"£ 2,500","£ 130,000","£ 136,631",K,21,England,West Bromwich,Premier League,2016-2017
23,Kane Wilson,£ 96,"£ 5,000","£ 5,255",D,16,England,West Bromwich,Premier League,2016-2017
24,Rekeem Harper,£ 96,"£ 5,000","£ 5,255",M,16,England,West Bromwich,Premier League,2016-2017
25,Sébastien Pocognoli,£ 0,£ 0,£ 0,D,28,Belgium,West Bromwich,Premier League,2016-2017
26,Callum McManaman,£ 0,£ 0,£ 0,F,25,England,West Bromwich,Premier League,2016-2017
27,Craig Gardner,£ 0,£ 0,£ 0,M,29,England,West Bromwich,Premier League,2016-2017
28,Rickie Lambert,£ 0,£ 0,£ 0,F,34,England,West Bromwich,Premier League,2016-2017
29,Alex Palmer,£ 0,£ 0,£ 0,K,19,England,West Bromwich,Premier League,2016-2017
