,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,Morgan Schneiderlin,"£ 120,000","£ 6,240,000","£ 6,558,275",M,26,France,Everton,Premier League,2016-2017
1,Romelu Lukaku,"£ 80,000","£ 4,160,000","£ 4,372,183",F,23,Belgium,Everton,Premier League,2016-2017
2,Yannick Bolasie,"£ 75,000","£ 3,900,000","£ 4,098,922",F,27,Democratic Republic of Congo,Everton,Premier League,2016-2017
3,Kevin Mirallas,"£ 70,000","£ 3,640,000","£ 3,825,660",F,28,Belgium,Everton,Premier League,2016-2017
4,Ashley Williams,"£ 70,000","£ 3,640,000","£ 3,825,660",D,31,Wales,Everton,Premier League,2016-2017
5,Leighton Baines,"£ 70,000","£ 3,640,000","£ 3,825,660",D,31,England,Everton,Premier League,2016-2017
6,Gareth Barry,"£ 60,000","£ 3,120,000","£ 3,279,138",M,35,England,Everton,Premier League,2016-2017
7,Oumar Niasse,"£ 55,000","£ 2,860,000","£ 3,005,876",F,26,Senegal,Everton,Premier League,2016-2017
8,Aaron Lennon,"£ 50,000","£ 2,600,000","£ 2,732,615",F,29,England,Everton,Premier League,2016-2017
9,James McCarthy,"£ 50,000","£ 2,600,000","£ 2,732,615",M,25,Ireland,Everton,Premier League,2016-2017
10,Phil Jagielka,"£ 50,000","£ 2,600,000","£ 2,732,615",D,33,England,Everton,Premier League,2016-2017
11,Tom Cleverley,"£ 50,000","£ 2,600,000","£ 2,732,615",M,26,England,Everton,Premier League,2016-2017
12,Ross Barkley,"£ 48,000","£ 2,496,000","£ 2,623,310",M,22,England,Everton,Premier League,2016-2017
13,Idrissa Gueye,"£ 45,000","£ 2,340,000","£ 2,459,353",M,26,Senegal,Everton,Premier League,2016-2017
14,Ramiro Funes Mori,"£ 40,000","£ 2,080,000","£ 2,186,092",D,25,Argentina,Everton,Premier League,2016-2017
15,Arouna Koné,"£ 40,000","£ 2,080,000","£ 2,186,092",F,32,Cote d'Ivoire,Everton,Premier League,2016-2017
16,Enner Valencia,"£ 40,000","£ 2,080,000","£ 2,186,092",F,26,Ecuador,Everton,Premier League,2016-2017
17,Seamus Coleman,"£ 38,000","£ 1,976,000","£ 2,076,787",D,27,Ireland,Everton,Premier League,2016-2017
18,Darron Gibson,"£ 35,000","£ 1,820,000","£ 1,912,830",M,28,Ireland,Everton,Premier League,2016-2017
19,Muhamed Besic,"£ 30,000","£ 1,560,000","£ 1,639,569",M,23,Bosnia-Herzegovina,Everton,Premier League,2016-2017
20,Maarten Stekelenburg,"£ 30,000","£ 1,560,000","£ 1,639,569",K,33,Netherlands,Everton,Premier League,2016-2017
21,Luke Garbutt,"£ 27,500","£ 1,430,000","£ 1,502,938",D,23,England,Everton,Premier League,2016-2017
22,Bryan Oviedo,"£ 25,000","£ 1,300,000","£ 1,366,307",D,26,Costa Rica,Everton,Premier League,2016-2017
23,Mason Holgate,"£ 25,000","£ 1,300,000","£ 1,366,307",D,19,England,Everton,Premier League,2016-2017
24,Ademola Lookman,"£ 23,000","£ 1,196,000","£ 1,257,003",F,18,England,Everton,Premier League,2016-2017
25,Brendan Galloway,"£ 22,500","£ 1,170,000","£ 1,229,677",D,20,England,Everton,Premier League,2016-2017
26,Joel Robles,"£ 20,000","£ 1,040,000","£ 1,093,046",K,26,Spain,Everton,Premier League,2016-2017
27,Tom Davies,"£ 6,000","£ 312,000","£ 327,914",M,18,England,Everton,Premier League,2016-2017
28,Matthew Pennington,"£ 3,000","£ 156,000","£ 163,957",D,21,England,Everton,Premier League,2016-2017
29,Dominic Calvert-Lewin,"£ 2,500","£ 130,000","£ 136,631",F,19,England,Everton,Premier League,2016-2017
30,Jonjoe Kenny,"£ 2,500","£ 130,000","£ 136,631",D,19,England,Everton,Premier League,2016-2017
31,Joe Williams,£ 808,"£ 42,000","£ 44,142",M,19,England,Everton,Premier League,2016-2017
32,Mateusz Hewelt,£ 750,"£ 39,000","£ 40,989",K,19,Poland,Everton,Premier League,2016-2017
33,Tyias Browning,£ 0,£ 0,£ 0,D,22,England,Everton,Premier League,2016-2017
34,Conor McAleny,£ 0,£ 0,£ 0,F,23,England,Everton,Premier League,2016-2017
35,Shani Tarashaj,£ 0,£ 0,£ 0,F,21,Switzerland,Everton,Premier League,2016-2017
36,Gerard Deulofeu,£ 0,£ 0,£ 0,F,22,Spain,Everton,Premier League,2016-2017
37,Aiden McGeady,£ 0,£ 0,£ 0,F,30,Ireland,Everton,Premier League,2016-2017
38,Leandro Rodríguez,£ 0,£ 0,£ 0,F,23,Uruguay,Everton,Premier League,2016-2017
