,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,Wilfried Bony,"£ 100,000","£ 5,200,000","£ 5,465,229",F,27,Cote d'Ivoire,Stoke City,Premier League,2016-2017
1,Saido Berahino,"£ 80,000","£ 4,160,000","£ 4,372,183",F,22,Burundi,Stoke City,Premier League,2016-2017
2,Xherdan Shaqiri,"£ 65,000","£ 3,380,000","£ 3,552,399",F,24,Switzerland,Stoke City,Premier League,2016-2017
3,Mame Diouf,"£ 65,000","£ 3,380,000","£ 3,552,399",F,28,Senegal,Stoke City,Premier League,2016-2017
4,Marko Arnautovic,"£ 50,000","£ 2,600,000","£ 2,732,615",F,27,Austria,Stoke City,Premier League,2016-2017
5,Joe Allen,"£ 50,000","£ 2,600,000","£ 2,732,615",M,26,Wales,Stoke City,Premier League,2016-2017
6,Giannelli Imbula,"£ 50,000","£ 2,600,000","£ 2,732,615",M,23,Democratic Republic of Congo,Stoke City,Premier League,2016-2017
7,Ryan Shawcross,"£ 45,000","£ 2,340,000","£ 2,459,353",D,28,England,Stoke City,Premier League,2016-2017
8,Erik Pieters,"£ 37,500","£ 1,950,000","£ 2,049,461",D,27,Netherlands,Stoke City,Premier League,2016-2017
9,Glen Johnson,"£ 35,000","£ 1,820,000","£ 1,912,830",D,31,England,Stoke City,Premier League,2016-2017
10,Ibrahim Afellay,"£ 35,000","£ 1,820,000","£ 1,912,830",M,30,Netherlands,Stoke City,Premier League,2016-2017
11,Jack Butland,"£ 35,000","£ 1,820,000","£ 1,912,830",K,23,England,Stoke City,Premier League,2016-2017
12,Geoff Cameron,"£ 35,000","£ 1,820,000","£ 1,912,830",M,30,United States,Stoke City,Premier League,2016-2017
13,Charlie Adam,"£ 35,000","£ 1,820,000","£ 1,912,830",M,30,Scotland,Stoke City,Premier League,2016-2017
14,Stephen Ireland,"£ 32,500","£ 1,690,000","£ 1,776,200",M,29,Ireland,Stoke City,Premier League,2016-2017
15,Marc Muniesa,"£ 32,500","£ 1,690,000","£ 1,776,200",D,24,Spain,Stoke City,Premier League,2016-2017
16,Phil Bardsley,"£ 31,000","£ 1,612,000","£ 1,694,221",D,31,Scotland,Stoke City,Premier League,2016-2017
17,Lee Grant,"£ 30,000","£ 1,560,000","£ 1,639,569",K,33,England,Stoke City,Premier League,2016-2017
18,Jonathan Walters,"£ 30,000","£ 1,560,000","£ 1,639,569",F,32,Ireland,Stoke City,Premier League,2016-2017
19,Peter Crouch,"£ 30,000","£ 1,560,000","£ 1,639,569",F,35,England,Stoke City,Premier League,2016-2017
20,Glenn Whelan,"£ 27,500","£ 1,430,000","£ 1,502,938",M,32,Ireland,Stoke City,Premier League,2016-2017
21,Ramadan Sobhi,"£ 23,000","£ 1,196,000","£ 1,257,003",F,19,Egypt,Stoke City,Premier League,2016-2017
22,Shay Given,"£ 20,000","£ 1,040,000","£ 1,093,046",K,40,Ireland,Stoke City,Premier League,2016-2017
23,Bruno Martins Indi,"£ 17,231","£ 896,000","£ 941,701",D,24,Netherlands,Stoke City,Premier League,2016-2017
24,Daniel Bachmann,"£ 2,500","£ 130,000","£ 136,631",K,21,Austria,Stoke City,Premier League,2016-2017
25,Julien Ngoy,"£ 1,500","£ 78,000","£ 81,978",F,18,Belgium,Stoke City,Premier League,2016-2017
26,Tom Edwards,£ 96,"£ 5,000","£ 5,255",D,17,England,Stoke City,Premier League,2016-2017
27,Thibaud Verlinden,£ 96,"£ 5,000","£ 5,255",F,16,Belgium,Stoke City,Premier League,2016-2017
28,Bojan Krkic,£ 0,£ 0,£ 0,F,25,Spain,Stoke City,Premier League,2016-2017
29,Joselu,£ 0,£ 0,£ 0,F,26,Spain,Stoke City,Premier League,2016-2017
30,Philipp Wollscheid,£ 0,£ 0,£ 0,D,27,Germany,Stoke City,Premier League,2016-2017
31,Joel Taylor,£ 0,£ 0,£ 0,D,20,England,Stoke City,Premier League,2016-2017
32,Ryan Sweeney,£ 0,£ 0,£ 0,D,19,Ireland,Stoke City,Premier League,2016-2017
33,Jakob Haugaard,£ 0,£ 0,£ 0,K,24,Denmark,Stoke City,Premier League,2016-2017
