,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,Álvaro Negredo,"£ 108,962","£ 5,666,000","£ 5,954,998",F,30,Spain,Middlesbrough,Premier League,2016-2017
1,Víctor Valdés,"£ 50,000","£ 2,600,000","£ 2,732,615",K,34,Spain,Middlesbrough,Premier League,2016-2017
2,Calum Chambers,"£ 45,000","£ 2,340,000","£ 2,459,353",D,21,England,Middlesbrough,Premier League,2016-2017
3,Antonio Barragán,"£ 40,000","£ 2,080,000","£ 2,186,092",D,29,Spain,Middlesbrough,Premier League,2016-2017
4,Adama Traoré,"£ 40,000","£ 2,080,000","£ 2,186,092",F,20,Spain,Middlesbrough,Premier League,2016-2017
5,Marten de Roon,"£ 40,000","£ 2,080,000","£ 2,186,092",M,25,Netherlands,Middlesbrough,Premier League,2016-2017
6,Rudy Gestede,"£ 35,000","£ 1,820,000","£ 1,912,830",F,27,Benin,Middlesbrough,Premier League,2016-2017
7,Patrick Bamford,"£ 35,000","£ 1,820,000","£ 1,912,830",F,22,England,Middlesbrough,Premier League,2016-2017
8,Stewart Downing,"£ 33,000","£ 1,716,000","£ 1,803,526",M,31,England,Middlesbrough,Premier League,2016-2017
9,Viktor Fischer,"£ 32,000","£ 1,664,000","£ 1,748,873",F,22,Denmark,Middlesbrough,Premier League,2016-2017
10,Cristhian Stuani,"£ 32,000","£ 1,664,000","£ 1,748,873",F,29,Uruguay,Middlesbrough,Premier League,2016-2017
11,Brad Guzan,"£ 30,000","£ 1,560,000","£ 1,639,569",K,31,United States,Middlesbrough,Premier League,2016-2017
12,Gastón Ramírez,"£ 30,000","£ 1,560,000","£ 1,639,569",M,25,Uruguay,Middlesbrough,Premier League,2016-2017
13,George Friend,"£ 25,000","£ 1,300,000","£ 1,366,307",D,28,England,Middlesbrough,Premier League,2016-2017
14,Ben Gibson,"£ 25,000","£ 1,300,000","£ 1,366,307",D,23,England,Middlesbrough,Premier League,2016-2017
15,Daniel Ayala,"£ 25,000","£ 1,300,000","£ 1,366,307",D,25,Spain,Middlesbrough,Premier League,2016-2017
16,Fábio,"£ 25,000","£ 1,300,000","£ 1,366,307",D,25,Brazil,Middlesbrough,Premier League,2016-2017
17,Grant Leadbitter,"£ 20,000","£ 1,040,000","£ 1,093,046",M,30,England,Middlesbrough,Premier League,2016-2017
18,Adam Forshaw,"£ 20,000","£ 1,040,000","£ 1,093,046",M,24,England,Middlesbrough,Premier League,2016-2017
19,Adam Clayton,"£ 20,000","£ 1,040,000","£ 1,093,046",M,27,England,Middlesbrough,Premier League,2016-2017
20,Adlène Guédioura,"£ 20,000","£ 1,040,000","£ 1,093,046",M,30,Algeria,Middlesbrough,Premier League,2016-2017
21,James Husband,"£ 14,000","£ 728,000","£ 765,132",D,22,England,Middlesbrough,Premier League,2016-2017
22,Dael Fry,"£ 2,500","£ 130,000","£ 136,631",D,18,England,Middlesbrough,Premier League,2016-2017
23,Carlos de Pena,£ 0,£ 0,£ 0,F,24,Uruguay,Middlesbrough,Premier League,2016-2017
24,Connor Ripley,£ 0,£ 0,£ 0,K,23,England,Middlesbrough,Premier League,2016-2017
25,Bernardo Espinosa,£ 0,£ 0,£ 0,D,26,Colombia,Middlesbrough,Premier League,2016-2017
26,Jordan Rhodes,£ 0,£ 0,£ 0,F,26,Scotland,Middlesbrough,Premier League,2016-2017
27,Julien de Sart,£ 0,£ 0,£ 0,M,21,Belgium,Middlesbrough,Premier League,2016-2017
28,Alex Baptiste,£ 0,£ 0,£ 0,D,30,England,Middlesbrough,Premier League,2016-2017
29,Albert Adomah,£ 0,£ 0,£ 0,F,28,Ghana,Middlesbrough,Premier League,2016-2017
30,Emilio Nsue,£ 0,£ 0,£ 0,D,26,Equatorial Guinea,Middlesbrough,Premier League,2016-2017
31,Adam Reach,£ 0,£ 0,£ 0,M,23,England,Middlesbrough,Premier League,2016-2017
32,Tomás Mejías,£ 0,£ 0,£ 0,K,27,Spain,Middlesbrough,Premier League,2016-2017
33,Dimitrios Konstantopoulos,£ 0,£ 0,£ 0,K,37,Greece,Middlesbrough,Premier League,2016-2017
34,David Nugent,£ 0,£ 0,£ 0,F,31,England,Middlesbrough,Premier League,2016-2017
