,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,Lazar Markovic,"£ 75,000","£ 3,900,000","£ 4,098,922",F,22,Serbia,Hull City,Premier League,2016-2017
1,Andrea Ranocchia,"£ 73,615","£ 3,828,000","£ 4,023,250",D,28,Italy,Hull City,Premier League,2016-2017
2,Oumar Niasse,"£ 55,000","£ 2,860,000","£ 3,005,876",F,26,Senegal,Hull City,Premier League,2016-2017
3,Dieumerci Mbokani,"£ 46,096","£ 2,397,000","£ 2,519,260",F,30,Democratic Republic of Congo,Hull City,Premier League,2016-2017
4,Ryan Mason,"£ 40,000","£ 2,080,000","£ 2,186,092",M,25,England,Hull City,Premier League,2016-2017
5,Abel Hernández,"£ 40,000","£ 2,080,000","£ 2,186,092",F,25,Uruguay,Hull City,Premier League,2016-2017
6,Robert Snodgrass,"£ 40,000","£ 2,080,000","£ 2,186,092",F,28,Scotland,Hull City,Premier League,2016-2017
7,Jake Livermore,"£ 36,000","£ 1,872,000","£ 1,967,483",M,26,England,Hull City,Premier League,2016-2017
8,Kamil Grosicki,"£ 35,000","£ 1,820,000","£ 1,912,830",F,28,Poland,Hull City,Premier League,2016-2017
9,Tom Huddlestone,"£ 32,000","£ 1,664,000","£ 1,748,873",M,29,England,Hull City,Premier League,2016-2017
10,David Marshall,"£ 32,000","£ 1,664,000","£ 1,748,873",K,31,Scotland,Hull City,Premier League,2016-2017
11,Michael Dawson,"£ 30,000","£ 1,560,000","£ 1,639,569",D,32,England,Hull City,Premier League,2016-2017
12,Curtis Davies,"£ 25,000","£ 1,300,000","£ 1,366,307",D,31,England,Hull City,Premier League,2016-2017
13,Ahmed Elmohamady,"£ 25,000","£ 1,300,000","£ 1,366,307",D,28,Egypt,Hull City,Premier League,2016-2017
14,Markus Henriksen,"£ 25,000","£ 1,300,000","£ 1,366,307",M,23,Norway,Hull City,Premier League,2016-2017
15,Andrew Robertson,"£ 23,000","£ 1,196,000","£ 1,257,003",D,22,Scotland,Hull City,Premier League,2016-2017
16,Evandro,"£ 23,000","£ 1,196,000","£ 1,257,003",M,29,Brazil,Hull City,Premier League,2016-2017
17,Shaun Maloney,"£ 20,000","£ 1,040,000","£ 1,093,046",M,33,Scotland,Hull City,Premier League,2016-2017
18,David Meyler,"£ 18,000","£ 936,000","£ 983,741",M,27,Ireland,Hull City,Premier League,2016-2017
19,Moses Odubajo,"£ 18,000","£ 936,000","£ 983,741",D,22,England,Hull City,Premier League,2016-2017
20,Harry Maguire,"£ 16,000","£ 832,000","£ 874,437",D,23,England,Hull City,Premier League,2016-2017
21,Sam Clucas,"£ 16,000","£ 832,000","£ 874,437",M,25,England,Hull City,Premier League,2016-2017
22,Adama Diomande,"£ 13,000","£ 676,000","£ 710,480",F,26,Norway,Hull City,Premier League,2016-2017
23,Eldin Jakupovic,"£ 12,000","£ 624,000","£ 655,828",K,31,Switzerland,Hull City,Premier League,2016-2017
24,Will Keane,"£ 12,000","£ 624,000","£ 655,828",F,23,England,Hull City,Premier League,2016-2017
25,Omar Elabdellaoui,"£ 11,385","£ 592,000","£ 622,195",D,24,Norway,Hull City,Premier League,2016-2017
26,Alfred N'Diaye,"£ 10,000","£ 520,000","£ 546,523",M,26,Senegal,Hull City,Premier League,2016-2017
27,Brian Lenihan,"£ 2,000","£ 104,000","£ 109,305",D,22,Ireland,Hull City,Premier League,2016-2017
28,Josh Tymon,"£ 2,000","£ 104,000","£ 109,305",D,17,England,Hull City,Premier League,2016-2017
29,Jarrod Bowen,"£ 1,500","£ 78,000","£ 81,978",F,19,England,Hull City,Premier League,2016-2017
30,Greg Olley,£ 692,"£ 36,000","£ 37,836",M,20,England,Hull City,Premier League,2016-2017
31,Ben Hinchliffe,£ 596,"£ 31,000","£ 32,581",M,18,England,Hull City,Premier League,2016-2017
32,Will Mannion,£ 596,"£ 31,000","£ 32,581",K,18,England,Hull City,Premier League,2016-2017
33,Daniel Batty,£ 500,"£ 26,000","£ 27,326",M,18,England,Hull City,Premier League,2016-2017
34,Greg Luer,£ 500,"£ 26,000","£ 27,326",F,21,England,Hull City,Premier League,2016-2017
35,Josh Clackstone,£ 0,£ 0,£ 0,D,19,England,Hull City,Premier League,2016-2017
36,Alex Bruce,£ 0,£ 0,£ 0,D,31,Northern Ireland,Hull City,Premier League,2016-2017
37,Johan Ter Horst,£ 0,£ 0,£ 0,F,21,England,Hull City,Premier League,2016-2017
38,Harvey Rodgers,£ 0,£ 0,£ 0,D,19,England,Hull City,Premier League,2016-2017
39,Dusan Kuciak,£ 0,£ 0,£ 0,K,31,Slovakia,Hull City,Premier League,2016-2017
40,James Weir,£ 0,£ 0,£ 0,M,20,England,Hull City,Premier League,2016-2017
41,Allan McGregor,£ 0,£ 0,£ 0,K,34,Scotland,Hull City,Premier League,2016-2017
