,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,Paul Pogba,"£ 290,000","£ 15,080,000","£ 15,849,165",M,23,France,Manchester United,Premier League,2016-2017
1,Bastian Schweinsteiger,"£ 240,000","£ 12,480,000","£ 13,116,550",M,31,Germany,Manchester United,Premier League,2016-2017
2,Wayne Rooney,"£ 235,000","£ 12,220,000","£ 12,843,289",F,30,England,Manchester United,Premier League,2016-2017
3,Zlatan Ibrahimovic,"£ 220,000","£ 11,440,000","£ 12,023,504",F,34,Sweden,Manchester United,Premier League,2016-2017
4,David de Gea,"£ 200,000","£ 10,400,000","£ 10,930,459",K,25,Spain,Manchester United,Premier League,2016-2017
5,Henrikh Mkhitaryan,"£ 180,000","£ 9,360,000","£ 9,837,413",M,27,Armenia,Manchester United,Premier League,2016-2017
6,Juan Mata,"£ 160,000","£ 8,320,000","£ 8,744,367",M,28,Spain,Manchester United,Premier League,2016-2017
7,Morgan Schneiderlin,"£ 120,000","£ 6,240,000","£ 6,558,275",M,26,France,Manchester United,Premier League,2016-2017
8,Ashley Young,"£ 120,000","£ 6,240,000","£ 6,558,275",D,30,England,Manchester United,Premier League,2016-2017
9,Ander Herrera,"£ 115,000","£ 5,980,000","£ 6,285,014",M,26,Spain,Manchester United,Premier League,2016-2017
10,Luke Shaw,"£ 110,000","£ 5,720,000","£ 6,011,752",D,20,England,Manchester United,Premier League,2016-2017
11,Marcos Rojo,"£ 110,000","£ 5,720,000","£ 6,011,752",D,26,Argentina,Manchester United,Premier League,2016-2017
12,Anthony Martial,"£ 110,000","£ 5,720,000","£ 6,011,752",F,20,France,Manchester United,Premier League,2016-2017
13,Marouane Fellaini,"£ 90,000","£ 4,680,000","£ 4,918,706",M,28,Belgium,Manchester United,Premier League,2016-2017
14,Antonio Valencia,"£ 85,000","£ 4,420,000","£ 4,645,445",D,30,Ecuador,Manchester United,Premier League,2016-2017
15,Michael Carrick,"£ 80,000","£ 4,160,000","£ 4,372,183",M,34,England,Manchester United,Premier League,2016-2017
16,Eric Bailly,"£ 80,000","£ 4,160,000","£ 4,372,183",D,22,Cote d'Ivoire,Manchester United,Premier League,2016-2017
17,Phil Jones,"£ 75,000","£ 3,900,000","£ 4,098,922",D,24,England,Manchester United,Premier League,2016-2017
18,Daley Blind,"£ 75,000","£ 3,900,000","£ 4,098,922",D,26,Netherlands,Manchester United,Premier League,2016-2017
19,Chris Smalling,"£ 70,000","£ 3,640,000","£ 3,825,660",D,26,England,Manchester United,Premier League,2016-2017
20,Sergio Romero,"£ 65,000","£ 3,380,000","£ 3,552,399",K,29,Argentina,Manchester United,Premier League,2016-2017
21,Adnan Januzaj,"£ 60,000","£ 3,120,000","£ 3,279,138",F,21,Belgium,Manchester United,Premier League,2016-2017
22,Matteo Darmian,"£ 45,000","£ 2,340,000","£ 2,459,353",D,26,Italy,Manchester United,Premier League,2016-2017
23,James Wilson,"£ 20,000","£ 1,040,000","£ 1,093,046",F,20,England,Manchester United,Premier League,2016-2017
24,Jesse Lingard,"£ 20,000","£ 1,040,000","£ 1,093,046",F,23,England,Manchester United,Premier League,2016-2017
25,Marcus Rashford,"£ 20,000","£ 1,040,000","£ 1,093,046",F,18,England,Manchester United,Premier League,2016-2017
26,Timothy Fosu-Mensah,"£ 15,000","£ 780,000","£ 819,784",D,18,Netherlands,Manchester United,Premier League,2016-2017
27,Joel Pereira,"£ 5,000","£ 260,000","£ 273,261",K,20,Portugal,Manchester United,Premier League,2016-2017
28,Axel Tuanzebe,"£ 5,000","£ 260,000","£ 273,261",D,18,England,Manchester United,Premier League,2016-2017
29,Josh Harrop,"£ 5,000","£ 260,000","£ 273,261",M,20,England,Manchester United,Premier League,2016-2017
30,Dean Henderson,"£ 1,000","£ 52,000","£ 54,652",K,19,England,Manchester United,Premier League,2016-2017
31,Zak Dearnley,£ 808,"£ 42,000","£ 44,142",F,17,England,Manchester United,Premier League,2016-2017
32,Demetri Mitchell,£ 750,"£ 39,000","£ 40,989",D,19,England,Manchester United,Premier League,2016-2017
33,Scott McTominay,£ 692,"£ 36,000","£ 37,836",M,19,Scotland,Manchester United,Premier League,2016-2017
34,Kieran O'Hara,£ 654,"£ 34,000","£ 35,734",K,20,Ireland,Manchester United,Premier League,2016-2017
35,Angel Gomes,£ 96,"£ 5,000","£ 5,255",M,15,England,Manchester United,Premier League,2016-2017
36,Memphis Depay,£ 0,£ 0,£ 0,F,22,Netherlands,Manchester United,Premier League,2016-2017
37,Andreas Pereira,£ 0,£ 0,£ 0,M,20,Brazil,Manchester United,Premier League,2016-2017
38,Matty Willock,£ 0,£ 0,£ 0,M,19,England,Manchester United,Premier League,2016-2017
39,Cameron Borthwick-Jackson,£ 0,£ 0,£ 0,D,19,England,Manchester United,Premier League,2016-2017
40,Sam Johnstone,£ 0,£ 0,£ 0,K,23,England,Manchester United,Premier League,2016-2017
41,Guillermo Varela,£ 0,£ 0,£ 0,D,23,Uruguay,Manchester United,Premier League,2016-2017
