,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,Camilo Zúñiga,"£ 93,000","£ 4,836,000","£ 5,082,663",D,30,Colombia,Watford,Premier League,2016-2017
1,Troy Deeney,"£ 60,000","£ 3,120,000","£ 3,279,138",F,28,England,Watford,Premier League,2016-2017
2,Mauro Zárate,"£ 50,000","£ 2,600,000","£ 2,732,615",F,29,Argentina,Watford,Premier League,2016-2017
3,Tom Cleverley,"£ 50,000","£ 2,600,000","£ 2,732,615",M,26,England,Watford,Premier League,2016-2017
4,Daryl Janmaat,"£ 45,000","£ 2,340,000","£ 2,459,353",D,26,Netherlands,Watford,Premier League,2016-2017
5,Nordin Amrabat,"£ 45,000","£ 2,340,000","£ 2,459,353",F,29,Morocco,Watford,Premier League,2016-2017
6,Roberto Pereyra,"£ 45,000","£ 2,340,000","£ 2,459,353",M,25,Argentina,Watford,Premier League,2016-2017
7,Valon Behrami,"£ 42,000","£ 2,184,000","£ 2,295,396",M,31,Switzerland,Watford,Premier League,2016-2017
8,Stefano Okaka,"£ 35,000","£ 1,820,000","£ 1,912,830",F,26,Italy,Watford,Premier League,2016-2017
9,José Holebas,"£ 30,000","£ 1,560,000","£ 1,639,569",D,32,Greece,Watford,Premier League,2016-2017
10,Christian Kabasele,"£ 30,000","£ 1,560,000","£ 1,639,569",D,25,Belgium,Watford,Premier League,2016-2017
11,Isaac Success,"£ 30,000","£ 1,560,000","£ 1,639,569",F,20,Nigeria,Watford,Premier League,2016-2017
12,Kenedy,"£ 25,000","£ 1,300,000","£ 1,366,307",M,20,Brazil,Watford,Premier League,2016-2017
13,Miguel Britos,"£ 25,000","£ 1,300,000","£ 1,366,307",D,30,Uruguay,Watford,Premier League,2016-2017
14,Heurelho Gomes,"£ 25,000","£ 1,300,000","£ 1,366,307",K,35,Brazil,Watford,Premier League,2016-2017
15,Costel Pantilimon,"£ 25,000","£ 1,300,000","£ 1,366,307",K,29,Romania,Watford,Premier League,2016-2017
16,Allan Nyom,"£ 22,000","£ 1,144,000","£ 1,202,350",D,28,Cameroon,Watford,Premier League,2016-2017
17,Sebastian Prödl,"£ 20,000","£ 1,040,000","£ 1,093,046",D,29,Austria,Watford,Premier League,2016-2017
18,Adlène Guédioura,"£ 20,000","£ 1,040,000","£ 1,093,046",M,30,Algeria,Watford,Premier League,2016-2017
19,Brice Dja Djédjé,"£ 20,000","£ 1,040,000","£ 1,093,046",M,25,Cote d'Ivoire,Watford,Premier League,2016-2017
20,Abdoulaye Doucouré,"£ 20,000","£ 1,040,000","£ 1,093,046",M,23,France,Watford,Premier League,2016-2017
21,Ben Watson,"£ 17,000","£ 884,000","£ 929,089",M,30,England,Watford,Premier League,2016-2017
22,Craig Cathcart,"£ 13,000","£ 676,000","£ 710,480",D,27,Northern Ireland,Watford,Premier League,2016-2017
23,Giedrius Arlauskis,"£ 10,000","£ 520,000","£ 546,523",K,28,Lithuania,Watford,Premier League,2016-2017
24,Adrian Mariappa,"£ 7,000","£ 364,000","£ 382,566",D,29,Jamaica,Watford,Premier League,2016-2017
25,Rene Gilmartin,"£ 1,846","£ 96,000","£ 100,897",K,29,Ireland,Watford,Premier League,2016-2017
26,Carl Stewart,£ 750,"£ 39,000","£ 40,989",M,19,England,Watford,Premier League,2016-2017
27,Charlie Rowan,£ 346,"£ 18,000","£ 18,918",D,18,England,Watford,Premier League,2016-2017
28,Andrew Eleftheriou,£ 308,"£ 16,000","£ 16,816",D,18,England,Watford,Premier League,2016-2017
29,Brandon Mason,£ 308,"£ 16,000","£ 16,816",D,18,England,Watford,Premier League,2016-2017
30,Dion Pereira,£ 96,"£ 5,000","£ 5,255",F,17,England,Watford,Premier League,2016-2017
31,Obbi Oulare,£ 0,£ 0,£ 0,F,20,Belgium,Watford,Premier League,2016-2017
32,Odion Ighalo,£ 0,£ 0,£ 0,F,27,Nigeria,Watford,Premier League,2016-2017
33,Steven Berghuis,£ 0,£ 0,£ 0,F,24,Netherlands,Watford,Premier League,2016-2017
34,Sven Kums,£ 0,£ 0,£ 0,M,28,Belgium,Watford,Premier League,2016-2017
35,Tommie Hoban,£ 0,£ 0,£ 0,D,22,Ireland,Watford,Premier League,2016-2017
36,Jerome Sinclair,£ 0,£ 0,£ 0,F,19,England,Watford,Premier League,2016-2017
37,Younès Kaboul,£ 0,£ 0,£ 0,D,30,France,Watford,Premier League,2016-2017
38,Juan Carlos Paredes,£ 0,£ 0,£ 0,D,28,Ecuador,Watford,Premier League,2016-2017
39,Ikechi Anya,£ 0,£ 0,£ 0,M,28,Scotland,Watford,Premier League,2016-2017
40,Mario Suárez,£ 0,£ 0,£ 0,M,29,Spain,Watford,Premier League,2016-2017
41,Matej Vydra,£ 0,£ 0,£ 0,F,24,Czech Republic,Watford,Premier League,2016-2017
42,Mathias Ranégie,£ 0,£ 0,£ 0,F,32,Sweden,Watford,Premier League,2016-2017
43,M'Baye Niang,£ 0,£ 0,£ 0,F,21,Senegal,Watford,Premier League,2016-2017
44,Michael Folivi,£ 0,£ 0,£ 0,F,18,England,Watford,Premier League,2016-2017
45,Étienne Capoue,£ 0,£ 0,£ 0,M,27,France,Watford,Premier League,2016-2017
