No.,satisfiedEventTypeName,satisfiedEventTypeId,satisfiedEventTypeNameCapital
1,shotSixYardBox,0,ShotSixYardBox
2,shotPenaltyArea,1,ShotPenaltyArea
3,shotOboxTotal,2,ShotOboxTotal
4,shotOpenPlay,3,ShotOpenPlay
5,shotCounter,4,ShotCounter
6,shotSetPiece,5,ShotSetPiece
7,shotDirectCorner,6,ShotDirectCorner
8,shotOffTarget,7,ShotOffTarget
9,shotOnPost,8,ShotOnPost
10,shotOnTarget,9,ShotOnTarget
11,shotsTotal,10,ShotsTotal
12,shotBlocked,11,ShotBlocked
13,shotRightFoot,12,ShotRightFoot
14,shotLeftFoot,13,ShotLeftFoot
15,shotHead,14,ShotHead
16,shotObp,15,ShotObp
17,goalSixYardBox,16,GoalSixYardBox
18,goalPenaltyArea,17,GoalPenaltyArea
19,goalObox,18,GoalOBox
20,goalOpenPlay,19,GoalOpenPlay
21,goalCounter,20,GoalCounter
22,goalSetPiece,21,GoalSetPiece
23,penaltyScored,22,PenaltyScored
24,goalOwn,23,GoalOwn
25,goalNormal,24,GoalNormal
26,goalRightFoot,25,GoalRightFoot
27,goalLeftFoot,26,GoalLeftFoot
28,goalHead,27,GoalHead
29,goalObp,28,GoalObp
30,shortPassInaccurate,29,ShortPassInaccurate
31,shortPassAccurate,30,ShortPassAccurate
32,passCorner,31,PassCorner
33,passCornerAccurate,32,PassCornerAccurate
34,passCornerInaccurate,33,PassCornerInaccurate
35,passFreekick,34,PassFreekick
36,passBack,35,PassBack
37,passForward,36,PassForward
38,passLeft,37,PassLeft
39,passRight,38,PassRight
40,keyPassLong,39,KeyPassLong
41,keyPassShort,40,KeyPassShort
42,keyPassCross,41,KeyPassCross
43,keyPassCorner,42,KeyPassCorner
44,keyPassThroughball,43,KeyPassThroughball
45,keyPassFreekick,44,KeyPassFreekick
46,keyPassThrowin,45,KeyPassThrowin
47,keyPassOther,46,KeyPassOther
48,assistCross,47,AssistCross
49,assistCorner,48,AssistCorner
50,assistThroughball,49,AssistThroughball
51,assistFreekick,50,AssistFreekick
52,assistThrowin,51,AssistThrowin
53,assistOther,52,AssistOther
54,dribbleLost,53,DribbleLost
55,dribbleWon,54,DribbleWon
56,challengeLost,55,ChallengeLost
57,interceptionWon,56,InterceptionWon
58,clearanceHead,57,ClearanceHead
59,outfielderBlock,58,OutfielderBlock
60,passCrossBlockedDefensive,59,PassCrossBlockedDefensive
61,outfielderBlockedPass,60,OutfielderBlockedPass
62,offsideGiven,61,OffsideGiven
63,offsideProvoked,62,OffsideProvoked
64,foulGiven,63,FoulGiven
65,foulCommitted,64,FoulCommitted
66,yellowCard,65,YellowCard
67,voidYellowCard,66,VoidYellowCard
68,secondYellow,67,SecondYellow
69,redCard,68,RedCard
70,turnover,69,Turnover
71,dispossessed,70,Dispossessed
72,saveLowLeft,71,SaveLowLeft
73,saveHighLeft,72,SaveHighLeft
74,saveLowCentre,73,SaveLowCentre
75,saveHighCentre,74,SaveHighCentre
76,saveLowRight,75,SaveLowRight
77,saveHighRight,76,SaveHighRight
78,saveHands,77,SaveHands
79,saveFeet,78,SaveFeet
80,saveObp,79,SaveObp
81,saveSixYardBox,80,SaveSixYardBox
82,savePenaltyArea,81,SavePenaltyArea
83,saveObox,82,SaveObox
84,keeperDivingSave,83,KeeperDivingSave
85,standingSave,84,StandingSave
86,closeMissHigh,85,CloseMissHigh
87,closeMissHighLeft,86,CloseMissHighLeft
88,closeMissHighRight,87,CloseMissHighRight
89,closeMissLeft,88,CloseMissLeft
90,closeMissRight,89,CloseMissRight
91,shotOffTargetInsideBox,90,ShotOffTargetInsideBox
92,touches,91,Touches
93,assist,92,Assist
94,ballRecovery,93,BallRecovery
95,clearanceEffective,94,ClearanceEffective
96,clearanceTotal,95,ClearanceTotal
97,clearanceOffTheLine,96,ClearanceOffTheLine
98,dribbleLastman,97,DribbleLastman
99,errorLeadsToGoal,98,ErrorLeadsToGoal
100,errorLeadsToShot,99,ErrorLeadsToShot
101,intentionalAssist,100,IntentionalAssist
102,interceptionAll,101,InterceptionAll
103,interceptionIntheBox,102,InterceptionIntheBox
104,keeperClaimHighLost,103,KeeperClaimHighLost
105,keeperClaimHighWon,104,KeeperClaimHighWon
106,keeperClaimLost,105,KeeperClaimLost
107,keeperClaimWon,106,KeeperClaimWon
108,keeperOneToOneWon,107,KeeperOneToOneWon
109,parriedDanger,108,ParriedDanger
110,parriedSafe,109,ParriedSafe
111,collected,110,Collected
112,keeperPenaltySaved,111,KeeperPenaltySaved
113,keeperSaveInTheBox,112,KeeperSaveInTheBox
114,keeperSaveTotal,113,KeeperSaveTotal
115,keeperSmother,114,KeeperSmother
116,keeperSweeperLost,115,KeeperSweeperLost
117,keeperMissed,116,KeeperMissed
118,passAccurate,117,PassAccurate
119,passBackZoneInaccurate,118,PassBackZoneInaccurate
120,passForwardZoneAccurate,119,PassForwardZoneAccurate
121,passInaccurate,120,PassInaccurate
122,passAccuracy,121,PassAccuracy
123,cornerAwarded,122,CornerAwarded
124,passKey,123,PassKey
125,passChipped,124,PassChipped
126,passCrossAccurate,125,PassCrossAccurate
127,passCrossInaccurate,126,PassCrossInaccurate
128,passLongBallAccurate,127,PassLongBallAccurate
129,passLongBallInaccurate,128,PassLongBallInaccurate
130,passThroughBallAccurate,129,PassThroughBallAccurate
131,passThroughBallInaccurate,130,PassThroughBallInaccurate
132,passThroughBallInacurate,131,PassThroughBallInacurate
133,passFreekickAccurate,132,PassFreekickAccurate
134,passFreekickInaccurate,133,PassFreekickInaccurate
135,penaltyConceded,134,PenaltyConceded
136,penaltyMissed,135,PenaltyMissed
137,penaltyWon,136,PenaltyWon
138,passRightFoot,137,PassRightFoot
139,passLeftFoot,138,PassLeftFoot
140,passHead,139,PassHead
141,sixYardBlock,140,SixYardBlock
142,tackleLastMan,141,TackleLastMan
143,tackleLost,142,TackleLost
144,tackleWon,143,TackleWon
145,cleanSheetGK,144,CleanSheetGK
146,cleanSheetDL,145,CleanSheetDL
147,cleanSheetDC,146,CleanSheetDC
148,cleanSheetDR,147,CleanSheetDR
149,cleanSheetDML,148,CleanSheetDML
150,cleanSheetDMC,149,CleanSheetDMC
151,cleanSheetDMR,150,CleanSheetDMR
152,cleanSheetML,151,CleanSheetML
153,cleanSheetMC,152,CleanSheetMC
154,cleanSheetMR,153,CleanSheetMR
155,cleanSheetAML,154,CleanSheetAML
156,cleanSheetAMC,155,CleanSheetAMC
157,cleanSheetAMR,156,CleanSheetAMR
158,cleanSheetFWL,157,CleanSheetFWL
159,cleanSheetFW,158,CleanSheetFW
160,cleanSheetFWR,159,CleanSheetFWR
161,cleanSheetSub,160,CleanSheetSub
162,goalConcededByTeamGK,161,GoalConcededByTeamGK
163,goalConcededByTeamDL,162,GoalConcededByTeamDL
164,goalConcededByTeamDC,163,GoalConcededByTeamDC
165,goalConcededByTeamDR,164,GoalConcededByTeamDR
166,goalConcededByTeamDML,165,GoalConcededByTeamDML
167,goalConcededByTeamDMC,166,GoalConcededByTeamDMC
168,goalConcededByTeamDMR,167,GoalConcededByTeamDMR
169,goalConcededByTeamML,168,GoalConcededByTeamML
170,goalConcededByTeamMC,169,GoalConcededByTeamMC
171,goalConcededByTeamMR,170,GoalConcededByTeamMR
172,goalConcededByTeamAML,171,GoalConcededByTeamAML
173,goalConcededByTeamAMC,172,GoalConcededByTeamAMC
174,goalConcededByTeamAMR,173,GoalConcededByTeamAMR
175,goalConcededByTeamFWL,174,GoalConcededByTeamFWL
176,goalConcededByTeamFW,175,GoalConcededByTeamFW
177,goalConcededByTeamFWR,176,GoalConcededByTeamFWR
178,goalConcededByTeamSub,177,GoalConcededByTeamSub
179,goalConcededOutsideBoxGoalkeeper,178,GoalConcededOutsideBoxGoalkeeper
180,goalScoredByTeamGK,179,GoalScoredByTeamGK
181,goalScoredByTeamDL,180,GoalScoredByTeamDL
182,goalScoredByTeamDC,181,GoalScoredByTeamDC
183,goalScoredByTeamDR,182,GoalScoredByTeamDR
184,goalScoredByTeamDML,183,GoalScoredByTeamDML
185,goalScoredByTeamDMC,184,GoalScoredByTeamDMC
186,goalScoredByTeamDMR,185,GoalScoredByTeamDMR
187,goalScoredByTeamML,186,GoalScoredByTeamML
188,goalScoredByTeamMC,187,GoalScoredByTeamMC
189,goalScoredByTeamMR,188,GoalScoredByTeamMR
190,goalScoredByTeamAML,189,GoalScoredByTeamAML
191,goalScoredByTeamAMC,190,GoalScoredByTeamAMC
192,goalScoredByTeamAMR,191,GoalScoredByTeamAMR
193,goalScoredByTeamFWL,192,GoalScoredByTeamFWL
194,goalScoredByTeamFW,193,GoalScoredByTeamFW
195,goalScoredByTeamFWR,194,GoalScoredByTeamFWR
196,goalScoredByTeamSub,195,GoalScoredByTeamSub
197,aerialSuccess,196,AerialSuccess
198,duelAerialWon,197,DuelAerialWon
199,duelAerialLost,198,DuelAerialLost
200,offensiveDuel,199,OffensiveDuel
201,defensiveDuel,200,DefensiveDuel
202,bigChanceMissed,201,BigChanceMissed
203,bigChanceScored,202,BigChanceScored
204,bigChanceCreated,203,BigChanceCreated
205,overrun,204,Overrun
206,successfulFinalThirdPasses,205,SuccessfulFinalThirdPasses
207,punches,206,Punches
208,penaltyShootoutScored,207,PenaltyShootoutScored
209,penaltyShootoutMissedOffTarget,208,PenaltyShootoutMissedOffTarget
210,penaltyShootoutSaved,209,PenaltyShootoutSaved
211,penaltyShootoutSavedGK,210,PenaltyShootoutSavedGK
212,penaltyShootoutConcededGK,211,PenaltyShootoutConcededGK
213,throwIn,212,ThrowIn
214,subOn,213,SubOn
215,subOff,214,SubOff
216,defensiveThird,215,DefensiveThird
217,midThird,216,MidThird
218,finalThird,217,FinalThird
219,pos,218,Pos
