index,competition,gsm_id,kickoffDate,kickoffTime,hometeam_team1,awayteam_team2,icon,chanceRating,team,type,time,player,location_x,location_y,bodyPart,shotQuality,defPressure,numDefPlayers,numAttPlayers,outcome,primaryPlayer,primaryType,primaryLocation_x,primaryLocation_y,secondaryPlayer,secondaryType
2444,AusAL,2238877,07/10/2016,08:50:00,Brisbane Roar,Melbourne Victory,verygoodchance,verygoodchance,Melbourne Victory,Open Play,15:57,Baro,3,28,Head,2,4,2,0,Missed,J. Troisi,Free Kick,-120,37,-,-
2445,AusAL,2238877,07/10/2016,08:50:00,Brisbane Roar,Melbourne Victory,poorchance,poorchance,Brisbane Roar,Open Play,00:52,B. Borello,1,79,Left,1,1,1,0,Missed,T. Broich,Open Play Pass,65,86,-,-
2446,AusAL,2238877,07/10/2016,08:50:00,Brisbane Roar,Melbourne Victory,poorchance,poorchance,Melbourne Victory,Open Play,06:16,F. Ben Khalfallah,-43,86,Right,1,3,3,0,Defended,-,-,-,-,-,-
2447,AusAL,2238877,07/10/2016,08:50:00,Brisbane Roar,Melbourne Victory,goodchance,goodchance,Melbourne Victory,Open Play,09:22,F. Ben Khalfallah,-26,41,Left,2,3,3,0,Defended,M. Austin,Cross High,103,32,-,-
2448,AusAL,2238877,07/10/2016,08:50:00,Brisbane Roar,Melbourne Victory,poorchance,poorchance,Melbourne Victory,Open Play,09:32,J. Troisi,-6,99,Right,2,2,3,0,Defended,-,-,-,-,-,-
2449,AusAL,2238877,07/10/2016,08:50:00,Brisbane Roar,Melbourne Victory,poorchance,poorchance,Melbourne Victory,Open Play,10:01,D. Georgievski,26,94,Left,2,3,5,0,Defended,-,-,-,-,-,-
2450,AusAL,2238877,07/10/2016,08:50:00,Brisbane Roar,Melbourne Victory,goal,Very Good,Melbourne Victory,Open play,82:18:00,M. Austin,0,47,Left,3,4,4,0,-,-,-,-,-,-,-
2451,AusAL,2238877,07/10/2016,08:50:00,Brisbane Roar,Melbourne Victory,verygoodchance,verygoodchance,Brisbane Roar,Open Play,32:40:00,B. Holman,13,34,Head,1,2,1,0,Missed,M. McKay,Cross High,-65,79,-,-
2452,AusAL,2238877,07/10/2016,08:50:00,Brisbane Roar,Melbourne Victory,poorchance,poorchance,Melbourne Victory,Open Play,78:57:00,Baro,6,118,Right,3,1,4,0,Saved,-,-,-,-,-,-
2453,AusAL,2238877,07/10/2016,08:50:00,Brisbane Roar,Melbourne Victory,fairlygoodchance,fairlygoodchance,Brisbane Roar,Open Play,34:22:00,B. Holman,-23,61,Left,1,4,4,0,Missed,-,-,-,-,-,-
2454,AusAL,2238877,07/10/2016,08:50:00,Brisbane Roar,Melbourne Victory,verygoodchance,verygoodchance,Brisbane Roar,Open Play,48:46:00,J. MacLaren,-29,59,Left,3,3,1,0,Saved,-,-,-,-,-,-
2455,AusAL,2238877,07/10/2016,08:50:00,Brisbane Roar,Melbourne Victory,goal,Fairly Good,Brisbane Roar,Open play,95:29:00,L. DeVere,-13,47,Right,4,4,3,0,-,-,-,-,-,-,-
2456,AusAL,2238877,07/10/2016,08:50:00,Brisbane Roar,Melbourne Victory,poorchance,poorchance,Melbourne Victory,Direct Free-Kick,46:52:00,J. Troisi,-106,34,Left,1,3,5,0,Missed,-,-,-,-,-,-
2385,AusAL,2238878,08/10/2016,06:35:00,Wellington Phoenix,Melbourne City,fairlygoodchance,fairlygoodchance,Wellington Phoenix,Open Play,73:35:00,D. Fox ,27,26,Head,1,1,3,0,Missed,Guilherme,Corner,-136,1,-,-
2391,AusAL,2238878,08/10/2016,06:35:00,Wellington Phoenix,Melbourne City,poorchance,poorchance,Melbourne City,Open Play,22:18,B. Fornaroli,19,104,Right,1,2,3,0,Saved,-,-,-,-,-,-
2392,AusAL,2238878,08/10/2016,06:35:00,Wellington Phoenix,Melbourne City,poorchance,poorchance,Wellington Phoenix,Direct Free-Kick,62:04:00,Guilherme,-43,89,Right,1,0,4,0,Missed,-,-,-,-,-,-
2393,AusAL,2238878,08/10/2016,06:35:00,Wellington Phoenix,Melbourne City,fairlygoodchance,fairlygoodchance,Melbourne City,Open Play,29:16:00,B. Kamau,-58,46,Right,1,1,2,0,Missed,B. Fornaroli,Open Play Pass,3,103,-,-
2394,AusAL,2238878,08/10/2016,06:35:00,Wellington Phoenix,Melbourne City,poorchance,poorchance,Wellington Phoenix,Open Play,78:17:00,Guilherme,41,92,Right,1,1,4,0,Defended,A. Parkhouse,Open Play Pass,103,98,-,-
2395,AusAL,2238878,08/10/2016,06:35:00,Wellington Phoenix,Melbourne City,goodchance,goodchance,Wellington Phoenix,Open Play,63:44:00,R. Krishna,-51,39,Right,3,1,1,0,Saved,R. Bonevacia,Open Play Pass,-42,120,-,-
2396,AusAL,2238878,08/10/2016,06:35:00,Wellington Phoenix,Melbourne City,poorchance,poorchance,Wellington Phoenix,Open Play,38:55:00,M. Rossi,-21,52,Head,0,2,2,1,Missed,Guilherme,Free Kick,-88,110,-,-
2397,AusAL,2238878,08/10/2016,06:35:00,Wellington Phoenix,Melbourne City,poorchance,poorchance,Melbourne City,Open Play,36:45:00,L. Brattan,-21,103,Right,1,1,3,0,Defended,-,-,-,-,-,-
2398,AusAL,2238878,08/10/2016,06:35:00,Wellington Phoenix,Melbourne City,fairlygoodchance,fairlygoodchance,Melbourne City,Open Play,34:27:00,B. Fornaroli,52,32,Right,1,2,3,0,Defended,N. Colazo,Open Play Pass,4,138,-,-
2399,AusAL,2238878,08/10/2016,06:35:00,Wellington Phoenix,Melbourne City,goodchance,goodchance,Melbourne City,Open Play,33:49:00,B. Fornaroli,23,51,Right,1,0,5,1,Missed,A. Caceres,Cross High,-87,40,-,-
2400,AusAL,2238878,08/10/2016,06:35:00,Wellington Phoenix,Melbourne City,fairlygoodchance,fairlygoodchance,Wellington Phoenix,Open Play,28:04:00,R. Krishna,-39,56,Right,2,2,1,0,Defended,V. Lia,Open Play Pass,-83,94,-,-
2401,AusAL,2238878,08/10/2016,06:35:00,Wellington Phoenix,Melbourne City,goodchance,goodchance,Melbourne City,Open Play,54:09:00,L. Brattan,-8,56,Right,2,1,5,3,Defended,N. Colazo,Corner,-136,0,-,-
2402,AusAL,2238878,08/10/2016,06:35:00,Wellington Phoenix,Melbourne City,greatchance,greatchance,Melbourne City,Open Play,25:08:00,B. Fornaroli,21,11,Head,3,1,1,0,Saved,L. Brattan,Cross High,-76,88,-,-
2403,AusAL,2238878,08/10/2016,06:35:00,Wellington Phoenix,Melbourne City,fairlygoodchance,fairlygoodchance,Melbourne City,Open Play,23:43,N. Colazo,10,78,Right,2,0,2,0,Missed,F. Brandán,Open Play Pass,99,120,-,-
2405,AusAL,2238878,08/10/2016,06:35:00,Wellington Phoenix,Melbourne City,goodchance,goodchance,Melbourne City,Open Play,17:44,N. Colazo,-15,47,Left,2,1,3,0,Defended,A. Caceres,Open Play Pass,-73,24,-,-
2406,AusAL,2238878,08/10/2016,06:35:00,Wellington Phoenix,Melbourne City,goodchance,goodchance,Melbourne City,Open Play,12:48,F. Brandan,30,31,Head,3,1,2,0,Saved,N. Colazo,Cross High,-71,14,-,-
2407,AusAL,2238878,08/10/2016,06:35:00,Wellington Phoenix,Melbourne City,fairlygoodchance,fairlygoodchance,Melbourne City,Open Play,08:39,B. Fornaroli,-56,71,Right,1,1,2,0,Missed,N. Colazo,Open Play Pass,2,127,-,-
2426,AusAL,2238878,08/10/2016,06:35:00,Wellington Phoenix,Melbourne City,goal,Superb,Melbourne City,Open play,30:43:00,A. Caceres,-2,7,Right,3,0,0,0,-,B. Kamau,Open Play Pass,-102,96,-,-
2373,AusAL,2238879,08/10/2016,08:50:00,Western Sydney Wanderers,Sydney,goodchance,goodchance,Sydney,Open Play,21:36,M. Ninkovic,-29,37,Head,1,3,3,0,Missed,J. Brillante,Cross High,-114,97,-,-
2374,AusAL,2238879,08/10/2016,08:50:00,Western Sydney Wanderers,Sydney,fairlygoodchance,fairlygoodchance,Western Sydney Wanderers,Open Play,33:13:00,S. Neville,-42,57,Right,1,4,2,0,Missed,-,-,-,-,-,-
2375,AusAL,2238879,08/10/2016,08:50:00,Western Sydney Wanderers,Sydney,goodchance,goodchance,Western Sydney Wanderers,Open Play,26:11:00,M. Nichols,-17,47,Head,1,1,1,0,Missed,S. Neville,Cross High,-121,75,-,-
2376,AusAL,2238879,08/10/2016,08:50:00,Western Sydney Wanderers,Sydney,goal,Great,Sydney,Open play,50:40:00,F. Holosko,-14,34,Right,3,3,1,0,-,M. Ninković,Open Play Pass,6,38,-,-
2377,AusAL,2238879,08/10/2016,08:50:00,Western Sydney Wanderers,Sydney,fairlygoodchance,fairlygoodchance,Sydney,Open Play,17:45,F. Holosko,-67,49,Right,1,4,2,0,Missed,Bobô,Open Play Pass,-4,117,-,-
2378,AusAL,2238879,08/10/2016,08:50:00,Western Sydney Wanderers,Sydney,goodchance,goodchance,Sydney,Open Play,15:50,R. Grant,-61,47,Right,3,3,3,0,Saved,F. Hološko,Open Play Pass,16,84,-,-
2379,AusAL,2238879,08/10/2016,08:50:00,Western Sydney Wanderers,Sydney,poorchance,poorchance,Sydney,Open Play,39:22:00,Bobo,69,92,Right,1,2,2,0,Missed,-,-,-,-,-,-
2380,AusAL,2238879,08/10/2016,08:50:00,Western Sydney Wanderers,Sydney,poorchance,poorchance,Western Sydney Wanderers,Open Play,62:25:00,M. Nichols,-24,90,Right,1,3,2,0,Missed,-,-,-,-,-,-
2381,AusAL,2238879,08/10/2016,08:50:00,Western Sydney Wanderers,Sydney,fairlygoodchance,fairlygoodchance,Western Sydney Wanderers,Open Play,15:01,M. Nichols,57,57,Right,2,4,6,0,Defended,-,-,-,-,-,-
2382,AusAL,2238879,08/10/2016,08:50:00,Western Sydney Wanderers,Sydney,greatchance,greatchance,Western Sydney Wanderers,Open Play,66:14:00,K. Bulut,-14,31,Head,3,1,1,0,Saved,N. Martínez,Cross High,47,41,-,-
2383,AusAL,2238879,08/10/2016,08:50:00,Western Sydney Wanderers,Sydney,poorchance,poorchance,Western Sydney Wanderers,Open Play,43:32:00,K. Bulut,47,89,Right,1,3,3,0,Missed,J. Kusukami,Open Play Pass,10,114,-,-
2384,AusAL,2238879,08/10/2016,08:50:00,Western Sydney Wanderers,Sydney,greatchance,greatchance,Western Sydney Wanderers,Open Play,46:58:00,K. Bulut,52,37,Right,3,3,1,0,Saved,M. Nichols,Open Play Pass,58,88,-,-
2386,AusAL,2238879,08/10/2016,08:50:00,Western Sydney Wanderers,Sydney,verygoodchance,verygoodchance,Western Sydney Wanderers,Open Play,71:20:00,M. Nichols,3,60,Left,2,4,2,0,Saved,-,-,-,-,-,-
2387,AusAL,2238879,08/10/2016,08:50:00,Western Sydney Wanderers,Sydney,poorchance,poorchance,Western Sydney Wanderers,Open Play,74:31:00,K. Baccus,-32,70,Head,2,1,4,0,Saved,-,-,-,-,-,-
2388,AusAL,2238879,08/10/2016,08:50:00,Western Sydney Wanderers,Sydney,goodchance,goodchance,Sydney,Open Play,75:42:00,R. Grant,-54,42,Right,3,4,2,0,Woodwork,B. O'Neill,Open Play Pass,64,122,-,-
2389,AusAL,2238879,08/10/2016,08:50:00,Western Sydney Wanderers,Sydney,poorchance,poorchance,Western Sydney Wanderers,Open Play,76:43:00,J. Kusukami,-9,100,Right,3,2,3,0,Saved,-,-,-,-,-,-
2390,AusAL,2238879,08/10/2016,08:50:00,Western Sydney Wanderers,Sydney,poorchance,poorchance,Sydney,Open Play,64:07:00,D. Carney,-3,111,Left,3,3,3,0,Saved,-,-,-,-,-,-
2422,AusAL,2238879,08/10/2016,08:50:00,Western Sydney Wanderers,Sydney,goal,Superb,Sydney,Open play,88:18:00,A. Brosque,-2,19,Left,3,0,0,0,-,Bobô,Shot (Opposition Rebound),32,46,-,-
2423,AusAL,2238879,08/10/2016,08:50:00,Western Sydney Wanderers,Sydney,goal,Poor,Sydney,Direct free kick,84:22:00,B. O'Neill,-2,79,Right,4,3,7,0,-,A. Brosque,Free Kick Won,0,77,-,-
2424,AusAL,2238879,08/10/2016,08:50:00,Western Sydney Wanderers,Sydney,goal,Superb,Sydney,Open play,54:26:00,Bobo,2,26,Right,3,0,0,0,-,F. Hološko,Cross Low,-52,4,-,-
2404,AusAL,2238880,08/10/2016,11:00:00,Perth Glory,Central Coast Mariners,verygoodchance,verygoodchance,Perth Glory,Open Play,89:22:00,A. Keogh,-33,42,Right,3,1,2,0,Saved,N. Marinković,Open Play Pass,60,146,D. Dulbic,Open Play Pass
2408,AusAL,2238880,08/10/2016,11:00:00,Perth Glory,Central Coast Mariners,fairlygoodchance,fairlygoodchance,Central Coast Mariners,Open Play,90:15:00,B. Powell,14,102,Right,3,1,5,2,Missed,N. Montgomery,Open Play Pass,86,114,C. Pain,Open Play Pass
2409,AusAL,2238880,08/10/2016,11:00:00,Perth Glory,Central Coast Mariners,fairlygoodchance,fairlygoodchance,Perth Glory,Open Play,60:10:00,R. Williams,14,86,Right,2,1,3,1,Missed,-,-,-,-,-,-
2410,AusAL,2238880,08/10/2016,11:00:00,Perth Glory,Central Coast Mariners,poorchance,poorchance,Perth Glory,Open Play,81:35:00,J. Knowles,-6,115,Right,2,3,4,0,Missed,R. Griffiths,Open Play Pass,-26,118,J. Knowles,Open Play Pass
2411,AusAL,2238880,08/10/2016,11:00:00,Perth Glory,Central Coast Mariners,poorchance,poorchance,Perth Glory,Open Play,22:39,B. Wilson,17,99,Right,4,0,10,4,Woodwork,-,-,-,-,-,-
2412,AusAL,2238880,08/10/2016,11:00:00,Perth Glory,Central Coast Mariners,poorchance,poorchance,Perth Glory,Open Play,78:44:00,R. Griffiths,-27,125,Right,3,0,4,1,Defended,-,-,-,-,-,-
2413,AusAL,2238880,08/10/2016,11:00:00,Perth Glory,Central Coast Mariners,greatchance,greatchance,Perth Glory,Open Play,63:41:00,A. Keogh,-43,37,Right,3,0,1,0,Saved,Diego Castro,Open Play Pass,-33,162,-,-
2414,AusAL,2238880,08/10/2016,11:00:00,Perth Glory,Central Coast Mariners,goodchance,goodchance,Perth Glory,Open Play,72:18:00,N. Marinkovic,30,50,Right,3,1,3,1,Defended,A. Keogh,Cross Low,-91,37,Diego Castro,Open Play Pass
2415,AusAL,2238880,08/10/2016,11:00:00,Perth Glory,Central Coast Mariners,goal,Penalty,Central Coast Mariners,Penalty,85:56:00,R. O'Donovan,1,45,Right,4,0,1,0,-,R. O'Donovan,Penalty Earned,-33,70,C. Pain,Open Play Pass
2416,AusAL,2238880,08/10/2016,11:00:00,Perth Glory,Central Coast Mariners,goal,Superb,Central Coast Mariners,Open play,55:55:00,R. O'Donovan,22,17,Right,3,0,0,0,-,T. Buhagiar,Cross Low,-71,43,S. Roux,Open Play Pass
2417,AusAL,2238880,08/10/2016,11:00:00,Perth Glory,Central Coast Mariners,goal,Great,Perth Glory,Open play,03:03,A. Taggart,-7,25,Head,3,0,1,0,-,Diego Castro,Cross High,102,69,A. Keogh,Free Kick
2418,AusAL,2238880,08/10/2016,11:00:00,Perth Glory,Central Coast Mariners,goal,Great,Perth Glory,Open play,26:13:00,A. Taggart,-4,18,Right,3,1,1,0,-,M. Warren,Cross Low,110,50,A. Keogh,Open Play Pass
