,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Timo Werner,"€ 134,615","€ 7,000,000","€ 7,000,000",F,23,Germany,Leipzig,Bundesliga,2019-2020
1,Patrik Schick,"€ 86,923","€ 4,520,000","€ 4,520,000",F,23,Czech Republic,Leipzig,Bundesliga,2019-2020
2,Marcel Sabitzer,"€ 86,538","€ 4,500,000","€ 4,500,000",F,25,Austria,Leipzig,Bundesliga,2019-2020
3,Emil Forsberg,"€ 76,923","€ 4,000,000","€ 4,000,000",F,27,Sweden,Leipzig,Bundesliga,2019-2020
4,Yussuf Poulsen,"€ 76,923","€ 4,000,000","€ 4,000,000",F,25,Denmark,Leipzig,Bundesliga,2019-2020
5,Angeliño,"€ 69,615","€ 3,620,000","€ 3,620,000",D,23,Spain,Leipzig,Bundesliga,2019-2020
6,Kevin Kampl,"€ 67,308","€ 3,500,000","€ 3,500,000",M,28,Slovenia,Leipzig,Bundesliga,2019-2020
7,Péter Gulácsi,"€ 67,308","€ 3,500,000","€ 3,500,000",K,29,Hungary,Leipzig,Bundesliga,2019-2020
8,Marcel Halstenberg,"€ 57,692","€ 3,000,000","€ 3,000,000",D,27,Germany,Leipzig,Bundesliga,2019-2020
9,Konrad Laimer,"€ 57,500","€ 2,990,000","€ 2,990,000",M,22,Austria,Leipzig,Bundesliga,2019-2020
10,Matheus Cunha,"€ 57,500","€ 2,990,000","€ 2,990,000",F,20,Brazil,Leipzig,Bundesliga,2019-2020
11,Willi Orban,"€ 48,077","€ 2,500,000","€ 2,500,000",D,26,Hungary,Leipzig,Bundesliga,2019-2020
12,Dayot Upamecano,"€ 48,077","€ 2,500,000","€ 2,500,000",D,20,France,Leipzig,Bundesliga,2019-2020
13,Nordi Mukiele,"€ 48,077","€ 2,500,000","€ 2,500,000",D,21,France,Leipzig,Bundesliga,2019-2020
14,Diego Demme,"€ 45,962","€ 2,390,000","€ 2,390,000",M,27,Germany,Leipzig,Bundesliga,2019-2020
15,Stefan Ilsanker,"€ 38,269","€ 1,990,000","€ 1,990,000",M,30,Austria,Leipzig,Bundesliga,2019-2020
16,Yvon Mvogo,"€ 28,846","€ 1,500,000","€ 1,500,000",K,25,Switzerland,Leipzig,Bundesliga,2019-2020
17,Marcelo Saracchi,"€ 28,846","€ 1,500,000","€ 1,500,000",D,21,Uruguay,Leipzig,Bundesliga,2019-2020
18,Lukas Klostermann,"€ 28,846","€ 1,500,000","€ 1,500,000",D,23,Germany,Leipzig,Bundesliga,2019-2020
19,Ademola Lookman,"€ 26,923","€ 1,400,000","€ 1,400,000",F,21,England,Leipzig,Bundesliga,2019-2020
20,Dani Olmo,"€ 23,077","€ 1,200,000","€ 1,200,000",F,21,Spain,Leipzig,Bundesliga,2019-2020
21,Luan Cândido,"€ 23,077","€ 1,200,000","€ 1,200,000",D,18,Brazil,Leipzig,Bundesliga,2019-2020
22,Ethan Ampadu,"€ 22,115","€ 1,150,000","€ 1,150,000",D,18,Wales,Leipzig,Bundesliga,2019-2020
23,Christopher Nkunku,"€ 19,231","€ 1,000,000","€ 1,000,000",M,21,France,Leipzig,Bundesliga,2019-2020
24,Amadou Haidara,"€ 19,231","€ 1,000,000","€ 1,000,000",M,21,Mali,Leipzig,Bundesliga,2019-2020
25,Ibrahima Konaté,"€ 19,231","€ 1,000,000","€ 1,000,000",D,20,France,Leipzig,Bundesliga,2019-2020
26,Tyler Adams,"€ 19,231","€ 1,000,000","€ 1,000,000",M,20,United States,Leipzig,Bundesliga,2019-2020
27,Philipp Tschauner,"€ 12,115","€ 630,000","€ 630,000",K,33,Germany,Leipzig,Bundesliga,2019-2020
28,Hannes Wolf,"€ 11,538","€ 600,000","€ 600,000",F,20,Austria,Leipzig,Bundesliga,2019-2020
29,Mads Bidstrup,"€ 3,462","€ 180,000","€ 180,000",M,18,Denmark,Leipzig,Bundesliga,2019-2020
30,Tom Krauß,"€ 1,538","€ 80,000","€ 80,000",M,18,Germany,Leipzig,Bundesliga,2019-2020
31,Malik Talabidi,"€ 1,154","€ 60,000","€ 60,000",D,18,Germany,Leipzig,Bundesliga,2019-2020
32,Fabrice Hartmann,€ 962,"€ 50,000","€ 50,000",F,18,Germany,Leipzig,Bundesliga,2019-2020
33,Oliver Bias,€ 962,"€ 50,000","€ 50,000",F,18,Germany,Leipzig,Bundesliga,2019-2020
34,Max Winter,€ 962,"€ 50,000","€ 50,000",M,18,Germany,Leipzig,Bundesliga,2019-2020
35,Anton Rücker,€ 962,"€ 50,000","€ 50,000",D,18,Germany,Leipzig,Bundesliga,2019-2020
36,Frederik Jäkel,€ 769,"€ 40,000","€ 40,000",D,18,Germany,Leipzig,Bundesliga,2019-2020
37,Jacob Ruhner,€ 0,€ 0,€ 0,F,18,Germany,Leipzig,Bundesliga,2019-2020
