Rank,Club,Country,Domestic Division,Elo,Year,Season
None,Girona,ESP,2,1549.08581543,2020,2020/2021
None,Girona,ESP,2,1596.02246094,2021,2021/2022
88,Granada,ESP,1,1620.7956543,2015,2015/2016
89,Granada,ESP,1,1620.04516602,2016,2016/2017
None,Granada,ESP,2,1572.52526855,2017,2017/2018
None,Granada,ESP,2,1586.83789062,2018,2018/2019
69,Granada,ESP,1,1648.42456055,2019,2019/2020
42,Granada,ESP,1,1710.01525879,2020,2020/2021
68,Granada,ESP,1,1657.7779541,2021,2021/2022
None,Huesca,ESP,2,1508.71813965,2015,2015/2016
None,Huesca,ESP,2,1557.85302734,2016,2016/2017
90,Huesca,ESP,2,1608.26953125,2017,2017/2018
None,Huesca,ESP,1,1571.27307129,2018,2018/2019
98,Huesca,ESP,2,1593.58618164,2019,2019/2020
None,Huesca,ESP,1,1586.6060791,2020,2020/2021
86,Huesca,ESP,2,1612.53552246,2021,2021/2022
None,Ibiza Eivissa,ESP,2,1469.29492188,2021,2021/2022
76,Las Palmas,ESP,1,1636.40576172,2015,2015/2016
43,Las Palmas,ESP,1,1696.14477539,2016,2016/2017
None,Las Palmas,ESP,1,1569.79052734,2017,2017/2018
None,Las Palmas,ESP,2,1512.55773926,2018,2018/2019
None,Las Palmas,ESP,2,1522.31079102,2019,2019/2020
None,Las Palmas,ESP,2,1497.41931152,2020,2020/2021
None,Las Palmas,ESP,2,1523.25,2021,2021/2022
None,Leganes,ESP,2,1570.84558105,2015,2015/2016
90,Leganes,ESP,1,1619.02307129,2016,2016/2017
60,Leganes,ESP,1,1648.23254395,2017,2017/2018
57,Leganes,ESP,1,1666.24707031,2018,2018/2019
77,Leganes,ESP,1,1638.04443359,2019,2019/2020
82,Leganes,ESP,2,1625.50634766,2020,2020/2021
None,Leganes,ESP,2,1578.97509766,2021,2021/2022
None,Leonesa,ESP,2,1455.12817383,2017,2017/2018
None,Leonesa,ESP,2,1475.96630859,2018,2018/2019
89,Levante,ESP,1,1620.07739258,2015,2015/2016
73,Levante,ESP,2,1648.56616211,2016,2016/2017
70,Levante,ESP,1,1636.02929688,2017,2017/2018
46,Levante,ESP,1,1693.25317383,2018,2018/2019
38,Levante,ESP,1,1700.42333984,2019,2019/2020
47,Levante,ESP,1,1699.11376953,2020,2020/2021
66,Levante,ESP,1,1663.10620117,2021,2021/2022
None,Llagostera,ESP,2,1505.06994629,2015,2015/2016
None,Llagostera,ESP,2,1545.51599121,2016,2016/2017
None,Logrones,ESP,2,1443.62731934,2020,2020/2021
None,Logrones,ESP,2,1417.48461914,2021,2021/2022
None,Lorca FC,ESP,2,1423.07275391,2017,2017/2018
None,Lorca FC,ESP,2,1407.00024414,2018,2018/2019
None,Lugo,ESP,2,1543.19311523,2015,2015/2016
None,Lugo,ESP,2,1532.16186523,2016,2016/2017
None,Lugo,ESP,2,1521.66418457,2017,2017/2018
None,Lugo,ESP,2,1478.48400879,2018,2018/2019
None,Lugo,ESP,2,1460.35668945,2019,2019/2020
None,Lugo,ESP,2,1502.52502441,2020,2020/2021
None,Lugo,ESP,2,1450.88220215,2021,2021/2022
None,Majadahonda,ESP,2,1445.78796387,2018,2018/2019
None,Majadahonda,ESP,2,1432.93737793,2019,2019/2020
40,Malaga,ESP,1,1708.19384766,2015,2015/2016
32,Malaga,ESP,1,1722.79443359,2016,2016/2017
69,Malaga,ESP,1,1636.14086914,2017,2017/2018
97,Malaga,ESP,2,1594.01123047,2018,2018/2019
None,Malaga,ESP,2,1536.13647461,2019,2019/2020
None,Malaga,ESP,2,1522.91589355,2020,2020/2021
None,Malaga,ESP,2,1502.62316895,2021,2021/2022
None,Mallorca,ESP,2,1496.48742676,2015,2015/2016
None,Mallorca,ESP,2,1495.79724121,2016,2016/2017
None,Mallorca,ESP,2,1500.07958984,2017,2017/2018
None,Mallorca,ESP,2,1511.69934082,2018,2018/2019
None,Mallorca,ESP,1,1573.33349609,2019,2019/2020
75,Mallorca,ESP,2,1644.94055176,2020,2020/2021
72,Mallorca,ESP,1,1645.0949707,2021,2021/2022
None,Mirandes,ESP,2,1556.62658691,2015,2015/2016
None,Mirandes,ESP,2,1488.81384277,2016,2016/2017
None,Mirandes,ESP,2,1460.00341797,2017,2017/2018
None,Mirandes,ESP,2,1490.73474121,2019,2019/2020
None,Mirandes,ESP,2,1504.60473633,2020,2020/2021
None,Mirandes,ESP,2,1485.75170898,2021,2021/2022
None,Numancia,ESP,2,1526.03820801,2015,2015/2016
None,Numancia,ESP,2,1544.0057373,2016,2016/2017
None,Numancia,ESP,2,1541.31652832,2017,2017/2018
None,Numancia,ESP,2,1519.48510742,2018,2018/2019
None,Numancia,ESP,2,1531.25769043,2019,2019/2020
None,Numancia,ESP,2,1468.44616699,2020,2020/2021
None,Osasuna,ESP,2,1551.53088379,2015,2015/2016
None,Osasuna,ESP,1,1563.60119629,2016,2016/2017
None,Osasuna,ESP,2,1553.81176758,2017,2017/2018
None,Osasuna,ESP,2,1578.8425293,2018,2018/2019
51,Osasuna,ESP,1,1682.34960938,2019,2019/2020
74,Osasuna,ESP,1,1645.15600586,2020,2020/2021
59,Osasuna,ESP,1,1687.05187988,2021,2021/2022
None,Oviedo,ESP,2,1556.93798828,2015,2015/2016
None,Oviedo,ESP,2,1521.48620605,2016,2016/2017
None,Oviedo,ESP,2,1565.76000977,2017,2017/2018
None,Oviedo,ESP,2,1518.09655762,2018,2018/2019
None,Oviedo,ESP,2,1502.29980469,2019,2019/2020
None,Oviedo,ESP,2,1517.70007324,2020,2020/2021
None,Oviedo,ESP,2,1503.79675293,2021,2021/2022
None,Ponferradina,ESP,2,1553.65637207,2015,2015/2016
None,Ponferradina,ESP,2,1515.6862793,2016,2016/2017
None,Ponferradina,ESP,2,1489.8918457,2019,2019/2020
None,Ponferradina,ESP,2,1484.94604492,2020,2020/2021
None,Ponferradina,ESP,2,1512.37683105,2021,2021/2022
73,Rayo Vallecano,ESP,1,1639.83703613,2015,2015/2016
None,Rayo Vallecano,ESP,2,1599.49230957,2016,2016/2017
97,Rayo Vallecano,ESP,2,1589.05993652,2017,2017/2018
100,Rayo Vallecano,ESP,1,1588.79919434,2018,2018/2019
None,Rayo Vallecano,ESP,2,1564.17895508,2019,2019/2020
None,Rayo Vallecano,ESP,2,1572.96350098,2020,2020/2021
93,Rayo Vallecano,ESP,1,1607.53442383,2021,2021/2022
2,Real Madrid,ESP,1,2017.73010254,2015,2015/2016
1,Real Madrid,ESP,1,2048.73144531,2016,2016/2017
2,Real Madrid,ESP,1,2006.81237793,2017,2017/2018
6,Real Madrid,ESP,1,1926.90527344,2018,2018/2019
6,Real Madrid,ESP,1,1875.40698242,2019,2019/2020
6,Real Madrid,ESP,1,1901.66784668,2020,2020/2021
4,Real Madrid,ESP,1,1938.27758789,2021,2021/2022
None,Recreativo,ESP,2,1480.42248535,2015,2015/2016
None,Reus Deportiu,ESP,2,1503.94628906,2016,2016/2017
None,Reus Deportiu,ESP,2,1487.79992676,2017,2017/2018
None,Reus Deportiu,ESP,2,1437.23864746,2018,2018/2019
None,Reus Deportiu,ESP,2,1447.92602539,2019,2019/2020
None,Sabadell,ESP,2,1478.67004395,2015,2015/2016
None,Sabadell,ESP,2,1426.15185547,2020,2020/2021
None,Sabadell,ESP,2,1469.19543457,2021,2021/2022
None,Santander,ESP,2,1507.31628418,2015,2015/2016
None,Santander,ESP,2,1439.10461426,2019,2019/2020
None,Santander,ESP,2,1408.87036133,2020,2020/2021
9,Sevilla,ESP,1,1835.68481445,2015,2015/2016
12,Sevilla,ESP,1,1831.52526855,2016,2016/2017
15,Sevilla,ESP,1,1771.90893555,2017,2017/2018
16,Sevilla,ESP,1,1804.46337891,2018,2018/2019
21,Sevilla,ESP,1,1786.23535156,2019,2019/2020
14,Sevilla,ESP,1,1843.52685547,2020,2020/2021
12,Sevilla,ESP,1,1847.8203125,2021,2021/2022
None,Sevilla B,ESP,2,1502.87011719,2016,2016/2017
None,Sevilla B,ESP,2,1441.47351074,2017,2017/2018
None,Sevilla B,ESP,2,1418.57531738,2018,2018/2019
42,Sociedad,ESP,1,1701.89160156,2015,2015/2016
23,Sociedad,ESP,1,1772.00183105,2016,2016/2017
30,Sociedad,ESP,1,1723.05187988,2017,2017/2018
41,Sociedad,ESP,1,1707.60668945,2018,2018/2019
27,Sociedad,ESP,1,1764.66064453,2019,2019/2020
33,Sociedad,ESP,1,1750.48400879,2020,2020/2021
30,Sociedad,ESP,1,1761.6809082,2021,2021/2022
None,Sociedad B,ESP,2,1466.15930176,2021,2021/2022
None,Tarragona,ESP,2,1547.91186523,2015,2015/2016
None,Tarragona,ESP,2,1526.4654541,2016,2016/2017
None,Tarragona,ESP,2,1498.62414551,2017,2017/2018
None,Tarragona,ESP,2,1438.00109863,2018,2018/2019
None,Tarragona,ESP,2,1414.14318848,2019,2019/2020
None,Tenerife,ESP,2,1522.88183594,2015,2015/2016
None,Tenerife,ESP,2,1546.3338623,2016,2016/2017
None,Tenerife,ESP,2,1549.93249512,2017,2017/2018
None,Tenerife,ESP,2,1513.55883789,2018,2018/2019
None,Tenerife,ESP,2,1470.52148438,2019,2019/2020
None,Tenerife,ESP,2,1497.85107422,2020,2020/2021
None,Tenerife,ESP,2,1524.67333984,2021,2021/2022
None,UCAM Murcia,ESP,2,1462.6529541,2016,2016/2017
None,UCAM Murcia,ESP,2,1493.29821777,2017,2017/2018
12,Valencia,ESP,1,1799.93310547,2015,2015/2016
51,Valencia,ESP,1,1689.38110352,2016,2016/2017
17,Valencia,ESP,1,1768.27783203,2017,2017/2018
17,Valencia,ESP,1,1785.54821777,2018,2018/2019
15,Valencia,ESP,1,1817.11364746,2019,2019/2020
44,Valencia,ESP,1,1704.94567871,2020,2020/2021
43,Valencia,ESP,1,1712.86755371,2021,2021/2022
None,Valladolid,ESP,2,1591.03967285,2015,2015/2016
None,Valladolid,ESP,2,1549.74121094,2016,2016/2017
None,Valladolid,ESP,2,1538.52978516,2017,2017/2018
66,Valladolid,ESP,1,1647.17687988,2018,2018/2019
67,Valladolid,ESP,1,1650.36450195,2019,2019/2020
77,Valladolid,ESP,1,1640.64611816,2020,2020/2021
83,Valladolid,ESP,2,1618.77001953,2021,2021/2022
19,Villarreal,ESP,1,1789.81884766,2015,2015/2016
22,Villarreal,ESP,1,1773.57531738,2016,2016/2017
20,Villarreal,ESP,1,1757.74230957,2017,2017/2018
37,Villarreal,ESP,1,1713.0994873,2018,2018/2019
33,Villarreal,ESP,1,1734.39880371,2019,2019/2020
23,Villarreal,ESP,1,1783.35974121,2020,2020/2021
19,Villarreal,ESP,1,1814.47644043,2021,2021/2022
None,Zaragoza,ESP,2,1579.68249512,2015,2015/2016
None,Zaragoza,ESP,2,1563.64562988,2016,2016/2017
None,Zaragoza,ESP,2,1502.68432617,2017,2017/2018
None,Zaragoza,ESP,2,1518.49121094,2018,2018/2019
None,Zaragoza,ESP,2,1537.11437988,2019,2019/2020
None,Zaragoza,ESP,2,1455.91687012,2020,2020/2021
None,Zaragoza,ESP,2,1473.07995605,2021,2021/2022
None,Ajaccio,FRA,2,1377.35083008,2015,2015/2016
None,Ajaccio,FRA,2,1378.84020996,2016,2016/2017
None,Ajaccio,FRA,2,1428.30847168,2017,2017/2018
None,Ajaccio,FRA,2,1397.14929199,2018,2018/2019
None,Ajaccio,FRA,2,1407.51989746,2019,2019/2020
None,Ajaccio,FRA,2,1380.89160156,2020,2020/2021
None,Ajaccio,FRA,2,1406.12036133,2021,2021/2022
None,Amiens,FRA,2,1406.7668457,2016,2016/2017
None,Amiens,FRA,1,1475.7322998,2017,2017/2018
None,Amiens,FRA,1,1486.45043945,2018,2018/2019
None,Amiens,FRA,1,1481.47229004,2019,2019/2020
None,Amiens,FRA,2,1445.17736816,2020,2020/2021
None,Amiens,FRA,2,1363.25134277,2021,2021/2022
None,Angers,FRA,1,1566.26269531,2015,2015/2016
None,Angers,FRA,1,1535.84838867,2016,2016/2017
None,Angers,FRA,1,1535.55310059,2017,2017/2018
None,Angers,FRA,1,1533.47302246,2018,2018/2019
None,Angers,FRA,1,1570.00170898,2019,2019/2020
None,Angers,FRA,1,1571.93518066,2020,2020/2021
None,Angers,FRA,1,1564.50732422,2021,2021/2022
None,Arles-Avignon,FRA,2,1343.93493652,2015,2015/2016
None,Auxerre,FRA,2,1442.48742676,2015,2015/2016
None,Auxerre,FRA,2,1400.34790039,2016,2016/2017
None,Auxerre,FRA,2,1353.28833008,2017,2017/2018
None,Auxerre,FRA,2,1384.68786621,2018,2018/2019
None,Auxerre,FRA,2,1352.4486084,2019,2019/2020
None,Auxerre,FRA,2,1420.2532959,2020,2020/2021
None,Auxerre,FRA,2,1456.74597168,2021,2021/2022
None,Bastia,FRA,1,1553.85510254,2015,2015/2016
None,Bastia,FRA,1,1568.00915527,2016,2016/2017
None,Bastia,FRA,1,1537.56152344,2017,2017/2018
None,Bastia,FRA,2,1303.55822754,2021,2021/2022
None,Beziers,FRA,2,1324.41918945,2018,2018/2019
None,Beziers,FRA,2,1334.43066406,2019,2019/2020
None,Bordeaux,FRA,1,1590.44958496,2015,2015/2016
None,Bordeaux,FRA,1,1590.23742676,2016,2016/2017
None,Bordeaux,FRA,1,1562.85986328,2017,2017/2018
88,Bordeaux,FRA,1,1608.24304199,2018,2018/2019
None,Bordeaux,FRA,1,1574.05761719,2019,2019/2020
None,Bordeaux,FRA,1,1568.07580566,2020,2020/2021
None,Bordeaux,FRA,1,1512.22839355,2021,2021/2022
None,Bourg-Peronnas,FRA,2,1351.46801758,2015,2015/2016
None,Bourg-Peronnas,FRA,2,1388.7578125,2016,2016/2017
None,Bourg-Peronnas,FRA,2,1314.06323242,2017,2017/2018
None,Bourg-Peronnas,FRA,2,1309.99511719,2018,2018/2019
None,Brest,FRA,2,1455.65002441,2015,2015/2016
None,Brest,FRA,2,1453.51513672,2016,2016/2017
None,Brest,FRA,2,1472.98498535,2017,2017/2018
None,Brest,FRA,2,1494.70983887,2018,2018/2019
None,Brest,FRA,1,1522.94592285,2019,2019/2020
None,Brest,FRA,1,1535.1373291,2020,2020/2021
None,Brest,FRA,1,1507.27124023,2021,2021/2022
None,Caen,FRA,1,1588.18737793,2015,2015/2016
None,Caen,FRA,1,1551.91369629,2016,2016/2017
None,Caen,FRA,1,1505.71337891,2017,2017/2018
None,Caen,FRA,1,1478.69775391,2018,2018/2019
None,Caen,FRA,2,1407.5177002,2019,2019/2020
None,Caen,FRA,2,1400.41784668,2020,2020/2021
None,Caen,FRA,2,1354.19665527,2021,2021/2022
None,Chambly Oise,FRA,2,1308.11938477,2019,2019/2020
None,Chambly Oise,FRA,2,1322.43103027,2020,2020/2021
None,Chambly Oise,FRA,2,1314.60632324,2021,2021/2022
None,Chateauroux,FRA,2,1338.96728516,2015,2015/2016
None,Chateauroux,FRA,2,1374.22460938,2017,2017/2018
None,Chateauroux,FRA,2,1367.86584473,2018,2018/2019
None,Chateauroux,FRA,2,1341.36999512,2019,2019/2020
None,Chateauroux,FRA,2,1296.12878418,2020,2020/2021
None,Chateauroux,FRA,2,1256.36755371,2021,2021/2022
None,Clermont,FRA,2,1450.59887695,2015,2015/2016
None,Clermont,FRA,2,1440.94348145,2016,2016/2017
None,Clermont,FRA,2,1417.98852539,2017,2017/2018
None,Clermont,FRA,2,1452.87646484,2018,2018/2019
None,Clermont,FRA,2,1416.16137695,2019,2019/2020
None,Clermont,FRA,2,1466.67028809,2020,2020/2021
None,Clermont,FRA,1,1532.3515625,2021,2021/2022
None,Creteil,FRA,2,1355.55932617,2015,2015/2016
None,Creteil,FRA,2,1319.88818359,2016,2016/2017
None,Dijon,FRA,2,1512.32543945,2015,2015/2016
None,Dijon,FRA,1,1534.56469727,2016,2016/2017
None,Dijon,FRA,1,1526.54577637,2017,2017/2018
None,Dijon,FRA,1,1480.74047852,2018,2018/2019
None,Dijon,FRA,1,1495.81030273,2019,2019/2020
None,Dijon,FRA,1,1486.82434082,2020,2020/2021
None,Dijon,FRA,2,1366.70495605,2021,2021/2022
None,Dunkerque,FRA,2,1304.54516602,2020,2020/2021
None,Dunkerque,FRA,2,1296.67272949,2021,2021/2022
None,Evian TG,FRA,2,1456.57385254,2015,2015/2016
None,Evian TG,FRA,2,1415.22644043,2016,2016/2017
None,Gazelec,FRA,1,1532.29833984,2015,2015/2016
None,Gazelec,FRA,2,1460.64916992,2016,2016/2017
None,Gazelec,FRA,2,1381.15686035,2017,2017/2018
None,Gazelec,FRA,2,1321.23425293,2018,2018/2019
None,Gazelec,FRA,2,1302.38671875,2019,2019/2020
None,Grenoble,FRA,2,1395.29516602,2018,2018/2019
None,Grenoble,FRA,2,1385.25939941,2019,2019/2020
None,Grenoble,FRA,2,1434.29101562,2020,2020/2021
None,Grenoble,FRA,2,1382.50964355,2021,2021/2022
None,Guingamp,FRA,1,1530.73876953,2015,2015/2016
93,Guingamp,FRA,1,1614.27185059,2016,2016/2017
None,Guingamp,FRA,1,1565.54760742,2017,2017/2018
None,Guingamp,FRA,1,1484.24267578,2018,2018/2019
None,Guingamp,FRA,2,1448.73681641,2019,2019/2020
None,Guingamp,FRA,2,1371.12731934,2020,2020/2021
None,Guingamp,FRA,2,1405.40332031,2021,2021/2022
None,Laval,FRA,2,1438.0715332,2015,2015/2016
None,Laval,FRA,2,1387.98828125,2016,2016/2017
None,Laval,FRA,2,1349.24194336,2017,2017/2018
None,Le Havre,FRA,2,1470.09741211,2015,2015/2016
None,Le Havre,FRA,2,1475.33447266,2016,2016/2017
None,Le Havre,FRA,2,1483.95812988,2017,2017/2018
None,Le Havre,FRA,2,1459.70275879,2018,2018/2019
None,Le Havre,FRA,2,1438.54077148,2019,2019/2020
None,Le Havre,FRA,2,1391.4395752,2020,2020/2021
None,Le Havre,FRA,2,1390.88684082,2021,2021/2022
None,Le Mans,FRA,2,1310.87695312,2019,2019/2020
None,Le Mans,FRA,2,1303.45629883,2020,2020/2021
None,Lens,FRA,2,1453.60913086,2015,2015/2016
None,Lens,FRA,2,1486.70178223,2016,2016/2017
None,Lens,FRA,2,1451.62927246,2017,2017/2018
None,Lens,FRA,2,1424.65539551,2018,2018/2019
None,Lens,FRA,2,1490.8223877,2019,2019/2020
None,Lens,FRA,1,1531.38769531,2020,2020/2021
None,Lens,FRA,1,1578.65112305,2021,2021/2022
84,Lille,FRA,1,1627.8762207,2015,2015/2016
96,Lille,FRA,1,1611.67382812,2016,2016/2017
None,Lille,FRA,1,1549.03100586,2017,2017/2018
None,Lille,FRA,1,1579.54125977,2018,2018/2019
79,Lille,FRA,1,1634.85009766,2019,2019/2020
41,Lille,FRA,1,1715.58728027,2020,2020/2021
40,Lille,FRA,1,1719.96704102,2021,2021/2022
None,Lorient,FRA,1,1581.40869141,2015,2015/2016
None,Lorient,FRA,1,1520.61157227,2016,2016/2017
None,Lorient,FRA,2,1501.1574707,2017,2017/2018
None,Lorient,FRA,2,1448.61120605,2018,2018/2019
None,Lorient,FRA,2,1480.91833496,2019,2019/2020
None,Lorient,FRA,1,1451.42163086,2020,2020/2021
None,Lorient,FRA,1,1526.01757812,2021,2021/2022
64,Lyon,FRA,1,1653.80664062,2015,2015/2016
26,Lyon,FRA,1,1730.53198242,2016,2016/2017
23,Lyon,FRA,1,1753.08325195,2017,2017/2018
30,Lyon,FRA,1,1731.21289062,2018,2018/2019
46,Lyon,FRA,1,1690.34423828,2019,2019/2020
34,Lyon,FRA,1,1741.91967773,2020,2020/2021
44,Lyon,FRA,1,1708.77075195,2021,2021/2022
57,Marseille,FRA,1,1667.30456543,2015,2015/2016
71,Marseille,FRA,1,1656.03637695,2016,2016/2017
45,Marseille,FRA,1,1688.97888184,2017,2017/2018
72,Marseille,FRA,1,1634.17663574,2018,2018/2019
59,Marseille,FRA,1,1667.76501465,2019,2019/2020
70,Marseille,FRA,1,1652.38671875,2020,2020/2021
79,Marseille,FRA,1,1631.46154785,2021,2021/2022
None,Metz,FRA,2,1449.94152832,2015,2015/2016
None,Metz,FRA,1,1505.31091309,2016,2016/2017
None,Metz,FRA,1,1460.43920898,2017,2017/2018
None,Metz,FRA,2,1495.26196289,2018,2018/2019
None,Metz,FRA,1,1503.74169922,2019,2019/2020
None,Metz,FRA,1,1557.80236816,2020,2020/2021
None,Metz,FRA,1,1533.42614746,2021,2021/2022
50,Monaco,FRA,1,1690.1315918,2015,2015/2016
20,Monaco,FRA,1,1777.79174805,2016,2016/2017
18,Monaco,FRA,1,1764.94543457,2017,2017/2018
None,Monaco,FRA,1,1583.61169434,2018,2018/2019
97,Monaco,FRA,1,1594.34020996,2019,2019/2020
None,Monaco,FRA,1,1591.52819824,2020,2020/2021
60,Monaco,FRA,1,1673.35449219,2021,2021/2022
None,Montpellier,FRA,1,1588.30480957,2015,2015/2016
95,Montpellier,FRA,1,1612.97314453,2016,2016/2017
None,Montpellier,FRA,1,1565.17431641,2017,2017/2018
84,Montpellier,FRA,1,1610.3848877,2018,2018/2019
87,Montpellier,FRA,1,1619.5513916,2019,2019/2020
94,Montpellier,FRA,1,1596.8939209,2020,2020/2021
None,Montpellier,FRA,1,1593.06140137,2021,2021/2022
None,Nancy,FRA,2,1547.95410156,2015,2015/2016
None,Nancy,FRA,1,1568.82312012,2016,2016/2017
None,Nancy,FRA,2,1428.85876465,2017,2017/2018
None,Nancy,FRA,2,1319.02893066,2018,2018/2019
None,Nancy,FRA,2,1394.10852051,2019,2019/2020
None,Nancy,FRA,2,1328.33728027,2020,2020/2021
None,Nancy,FRA,2,1335.15039062,2021,2021/2022
None,Nantes,FRA,1,1555.96142578,2015,2015/2016
None,Nantes,FRA,1,1539.77624512,2016,2016/2017
93,Nantes,FRA,1,1598.27539062,2017,2017/2018
None,Nantes,FRA,1,1554.98327637,2018,2018/2019
None,Nantes,FRA,1,1570.62524414,2019,2019/2020
None,Nantes,FRA,1,1518.52868652,2020,2020/2021
None,Nantes,FRA,1,1558.72912598,2021,2021/2022
98,Nice,FRA,1,1605.99377441,2015,2015/2016
35,Nice,FRA,1,1711.41345215,2016,2016/2017
71,Nice,FRA,1,1635.69958496,2017,2017/2018
96,Nice,FRA,1,1594.92077637,2018,2018/2019
None,Nice,FRA,1,1592.08679199,2019,2019/2020
None,Nice,FRA,1,1553.40942383,2020,2020/2021
87,Nice,FRA,1,1612.20617676,2021,2021/2022
None,Nimes,FRA,2,1365.91418457,2015,2015/2016
None,Nimes,FRA,2,1434.81652832,2016,2016/2017
None,Nimes,FRA,2,1510.65771484,2017,2017/2018
None,Nimes,FRA,1,1536.16186523,2018,2018/2019
None,Nimes,FRA,1,1502.68139648,2019,2019/2020
None,Nimes,FRA,1,1462.14941406,2020,2020/2021
None,Nimes,FRA,2,1500.33959961,2021,2021/2022
None,Niort,FRA,2,1420.86425781,2015,2015/2016
None,Niort,FRA,2,1421.87475586,2016,2016/2017
None,Niort,FRA,2,1385.72521973,2017,2017/2018
None,Niort,FRA,2,1394.76916504,2018,2018/2019
None,Niort,FRA,2,1314.80383301,2019,2019/2020
None,Niort,FRA,2,1330.18676758,2020,2020/2021
None,Niort,FRA,2,1306.37658691,2021,2021/2022
None,Orleans,FRA,2,1360.48828125,2015,2015/2016
None,Orleans,FRA,2,1321.98291016,2016,2016/2017
None,Orleans,FRA,2,1353.16918945,2017,2017/2018
None,Orleans,FRA,2,1349.1541748,2018,2018/2019
None,Orleans,FRA,2,1318.67346191,2019,2019/2020
None,Orleans,FRA,2,1297.98669434,2020,2020/2021
None,Paris FC,FRA,2,1321.0411377,2015,2015/2016
None,Paris FC,FRA,2,1310.21777344,2016,2016/2017
None,Paris FC,FRA,2,1407.47106934,2017,2017/2018
None,Paris FC,FRA,2,1440.14147949,2018,2018/2019
None,Paris FC,FRA,2,1344.71923828,2019,2019/2020
None,Paris FC,FRA,2,1394.90234375,2020,2020/2021
None,Paris FC,FRA,2,1472.28051758,2021,2021/2022
5,Paris SG,FRA,1,1915.97363281,2015,2015/2016
10,Paris SG,FRA,1,1850.01257324,2016,2016/2017
9,Paris SG,FRA,1,1901.38891602,2017,2017/2018
9,Paris SG,FRA,1,1896.90905762,2018,2018/2019
7,Paris SG,FRA,1,1870.6998291,2019,2019/2020
8,Paris SG,FRA,1,1869.92053223,2020,2020/2021
10,Paris SG,FRA,1,1870.35925293,2021,2021/2022
None,Pau,FRA,2,1295.26965332,2020,2020/2021
None,Pau,FRA,2,1377.69567871,2021,2021/2022
None,Red Star,FRA,2,1400.63745117,2015,2015/2016
None,Red Star,FRA,2,1390.97937012,2016,2016/2017
None,Red Star,FRA,2,1358.01074219,2017,2017/2018
None,Red Star,FRA,2,1303.85693359,2018,2018/2019
None,Red Star,FRA,2,1295.41271973,2019,2019/2020
None,Reims,FRA,1,1523.12280273,2015,2015/2016
None,Reims,FRA,2,1517.97912598,2016,2016/2017
None,Reims,FRA,2,1515.43713379,2017,2017/2018
None,Reims,FRA,1,1563.85949707,2018,2018/2019
91,Reims,FRA,1,1609.55029297,2019,2019/2020
None,Reims,FRA,1,1579.74157715,2020,2020/2021
None,Reims,FRA,1,1560.67224121,2021,2021/2022
None,Rennes,FRA,1,1596.29370117,2015,2015/2016
None,Rennes,FRA,1,1596.96728516,2016,2016/2017
None,Rennes,FRA,1,1577.47412109,2017,2017/2018
90,Rennes,FRA,1,1606.66235352,2018,2018/2019
82,Rennes,FRA,1,1628.41491699,2019,2019/2020
87,Rennes,FRA,1,1620.75,2020,2020/2021
84,Rennes,FRA,1,1617.38427734,2021,2021/2022
None,Rodez,FRA,2,1312.02453613,2019,2019/2020
None,Rodez,FRA,2,1296.89880371,2020,2020/2021
None,Rodez,FRA,2,1359.40673828,2021,2021/2022
62,Saint-Etienne,FRA,1,1661.32666016,2015,2015/2016
69,Saint-Etienne,FRA,1,1659.41149902,2016,2016/2017
None,Saint-Etienne,FRA,1,1538.32092285,2017,2017/2018
75,Saint-Etienne,FRA,1,1622.11999512,2018,2018/2019
100,Saint-Etienne,FRA,1,1593.29589844,2019,2019/2020
None,Saint-Etienne,FRA,1,1522.2322998,2020,2020/2021
None,Saint-Etienne,FRA,1,1547.51123047,2021,2021/2022
None,Sochaux,FRA,2,1422.10754395,2015,2015/2016
None,Sochaux,FRA,2,1467.84777832,2016,2016/2017
None,Sochaux,FRA,2,1392.52026367,2017,2017/2018
None,Sochaux,FRA,2,1324.2355957,2018,2018/2019
None,Sochaux,FRA,2,1366.54077148,2019,2019/2020
None,Sochaux,FRA,2,1381.89855957,2020,2020/2021
None,Sochaux,FRA,2,1401.76428223,2021,2021/2022
None,Strasbourg,FRA,2,1412.48730469,2016,2016/2017
None,Strasbourg,FRA,1,1502.23193359,2017,2017/2018
None,Strasbourg,FRA,1,1531.97155762,2018,2018/2019
None,Strasbourg,FRA,1,1565.3458252,2019,2019/2020
None,Strasbourg,FRA,1,1535.95373535,2020,2020/2021
None,Strasbourg,FRA,1,1548.90490723,2021,2021/2022
None,Toulouse,FRA,1,1523.81408691,2015,2015/2016
None,Toulouse,FRA,1,1587.08459473,2016,2016/2017
None,Toulouse,FRA,1,1522.51171875,2017,2017/2018
None,Toulouse,FRA,1,1510.00024414,2018,2018/2019
None,Toulouse,FRA,1,1440.91577148,2019,2019/2020
None,Toulouse,FRA,2,1441.18322754,2020,2020/2021
None,Toulouse,FRA,2,1507.03320312,2021,2021/2022
None,Tours,FRA,2,1428.16967773,2015,2015/2016
None,Tours,FRA,2,1382.32495117,2016,2016/2017
None,Tours,FRA,2,1276.38818359,2017,2017/2018
None,Tours,FRA,2,1308.17895508,2018,2018/2019
None,Troyes,FRA,1,1476.08837891,2015,2015/2016
None,Troyes,FRA,2,1458.2598877,2016,2016/2017
None,Troyes,FRA,1,1487.05847168,2017,2017/2018
None,Troyes,FRA,2,1441.03088379,2018,2018/2019
