,Player,,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN GBP),Team,League,Season
0,David Raya,,"£ 25,000","£ 1,300,000",GK,25,,"Jun 30, 2024",3-yrs,"£ 4,558,289",Brentford,Premier League,2021-2022
1,Pontus Jansson,,"£ 25,000","£ 1,300,000",CB,30,,"Jun 30, 2022",1-yr,"£ 1,519,430",Brentford,Premier League,2021-2022
2,Mathias Jensen,,"£ 20,000","£ 1,040,000",CM,25,,"Jun 30, 2023",2-yrs,"£ 2,431,087",Brentford,Premier League,2021-2022
3,Bryan Mbeumo,,"£ 20,000","£ 1,040,000",RW,21,,"Jun 30, 2024",3-yrs,"£ 3,646,631",Brentford,Premier League,2021-2022
4,Christian Nörgaard,,"£ 17,500","£ 910,000",CM,27,,"Jun 30, 2024",3-yrs,"£ 3,190,802",Brentford,Premier League,2021-2022
5,Sergi Canós,,"£ 16,538","£ 860,000",RW,24,,"Jun 30, 2023",2-yrs,"£ 2,010,322",Brentford,Premier League,2021-2022
6,Saman Ghoddos,,"£ 14,808","£ 770,000",AM,27,,"Jun 30, 2023",2-yrs,"£ 1,799,940",Brentford,Premier League,2021-2022
7,Shandon Baptiste,,"£ 11,923","£ 620,000",CM,23,,"Jun 30, 2024",3-yrs,"£ 2,173,953",Brentford,Premier League,2021-2022
8,Rico Henry,,"£ 11,923","£ 620,000",LB,24,,"Jun 30, 2023",2-yrs,"£ 1,449,302",Brentford,Premier League,2021-2022
9,Vitaly Janelt,,"£ 10,000","£ 520,000",DM,23,,"Jun 30, 2024",3-yrs,"£ 1,823,316",Brentford,Premier League,2021-2022
10,Ethan Pinnock,,"£ 10,000","£ 520,000",CB,28,,"Jun 30, 2025",4-yrs,"£ 2,431,087",Brentford,Premier League,2021-2022
11,Ivan Toney,,"£ 10,000","£ 520,000",CF,25,,"Jun 30, 2025",4-yrs,"£ 2,431,087",Brentford,Premier League,2021-2022
12,Marcus Forss,,"£ 5,577","£ 290,000",CF,22,,"Jun 30, 2026",5-yrs,"£ 1,694,748",Brentford,Premier League,2021-2022
13,Fin Stevens,,"£ 5,385","£ 280,000",RB,18,,"Jun 30, 2024",3-yrs,"£ 981,785",Brentford,Premier League,2021-2022
14,Tariqe Fosu,,"£ 5,000","£ 260,000",LW,25,,"Jun 30, 2023",2-yrs,"£ 607,772",Brentford,Premier League,2021-2022
15,Luka Racic,,"£ 5,000","£ 260,000",CB,22,,"Jun 30, 2023",2-yrs,"£ 607,772",Brentford,Premier League,2021-2022
16,Josh Dasilva,,"£ 4,423","£ 230,000",DM,22,,"Jun 30, 2024",3-yrs,"£ 806,466",Brentford,Premier League,2021-2022
17,Dominic Thompson,,"£ 3,500","£ 182,000",LB,20,,"Jun 30, 2022",1-yr,"£ 212,720",Brentford,Premier League,2021-2022
18,Mads Bech Sörensen,,"£ 3,269","£ 170,000",CB,22,,"Jun 30, 2023",2-yrs,"£ 397,389",Brentford,Premier League,2021-2022
19,Jan Zamburek,,"£ 3,077","£ 160,000",CM,20,,"Jun 30, 2023",2-yrs,"£ 374,013",Brentford,Premier League,2021-2022
20,Charlie Goode,,"£ 2,692","£ 140,000",CB,25,,"Jun 30, 2024",3-yrs,"£ 490,893",Brentford,Premier League,2021-2022
21,Mads Roerslev Rasmussen,,"£ 1,538","£ 80,000",RB,22,,"Jun 30, 2024",3-yrs,"£ 280,510",Brentford,Premier League,2021-2022
22,Patrik Gunnarsson,,£ 0,£ 0,GK,20,,"Jun 30, 2023",2-yrs,£ 0,Brentford,Premier League,2021-2022
23,Mads Bidstrup,,£ 0,£ 0,CM,20,,"Jun 30, 2023",2-yrs,£ 0,Brentford,Premier League,2021-2022
24,Julian Jeanvier,,£ 0,£ 0,CB,29,,"Jun 30, 2022",1-yr,£ 0,Brentford,Premier League,2021-2022
25,Joel Valencia,,£ 0,£ 0,LW,26,,"Jun 30, 2023",2-yrs,£ 0,Brentford,Premier League,2021-2022
26,Halil Dervisoglu,,£ 0,£ 0,CF,21,,"Jun 30, 2024",3-yrs,£ 0,Brentford,Premier League,2021-2022
