,Player,,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN GBP),Team,League,Season
0,Theo Walcott,,"£ 100,000","£ 5,200,000",RW,32,,"Jun 30, 2023",2-yrs,"£ 12,155,437",Southampton,Premier League,2021-2022
1,Danny Ings,,"£ 75,000","£ 3,900,000",CF,28,,"Jun 30, 2022",1-yr,"£ 4,558,289",Southampton,Premier League,2021-2022
2,Fraser Forster,,"£ 70,000","£ 3,640,000",GK,33,,"Jun 30, 2022",1-yr,"£ 4,254,403",Southampton,Premier League,2021-2022
3,Oriol Romeu,,"£ 65,000","£ 3,380,000",DM,29,,"Jun 30, 2023",2-yrs,"£ 7,901,034",Southampton,Premier League,2021-2022
4,Nathan Redmond,,"£ 60,000","£ 3,120,000",LW,27,,"Jun 30, 2023",2-yrs,"£ 7,293,262",Southampton,Premier League,2021-2022
5,Shane Long,,"£ 60,000","£ 3,120,000",CF,34,,"Jun 30, 2022",1-yr,"£ 3,646,631",Southampton,Premier League,2021-2022
6,Jannik Vestergaard,,"£ 60,000","£ 3,120,000",CB,28,,"Jun 30, 2022",1-yr,"£ 3,646,631",Southampton,Premier League,2021-2022
7,Mohamed Elyounoussi,,"£ 60,000","£ 3,120,000",LW,26,,"Jun 30, 2023",2-yrs,"£ 7,293,262",Southampton,Premier League,2021-2022
8,Moussa Djenepo,,"£ 55,000","£ 2,860,000",LW,23,,"Jun 30, 2023",2-yrs,"£ 6,685,490",Southampton,Premier League,2021-2022
9,Alex McCarthy,,"£ 50,000","£ 2,600,000",GK,31,,"Jun 30, 2022",1-yr,"£ 3,038,859",Southampton,Premier League,2021-2022
10,Stuart Armstrong,,"£ 50,000","£ 2,600,000",CM,29,,"Jun 30, 2024",3-yrs,"£ 9,116,578",Southampton,Premier League,2021-2022
11,Jack Stephens,,"£ 47,885","£ 2,490,000",CB,27,,"Jun 30, 2022",1-yr,"£ 2,910,292",Southampton,Premier League,2021-2022
12,James Ward-Prowse,,"£ 45,000","£ 2,340,000",CM,26,,"Jun 30, 2025",4-yrs,"£ 10,939,893",Southampton,Premier League,2021-2022
13,Ché Adams,,"£ 30,000","£ 1,560,000",CF,25,,"Jun 30, 2024",3-yrs,"£ 5,469,947",Southampton,Premier League,2021-2022
14,Kyle Walker-Peters,,"£ 20,000","£ 1,040,000",RB,24,,"Jun 30, 2025",4-yrs,"£ 4,862,175",Southampton,Premier League,2021-2022
15,Jan Bednarek,,"£ 20,000","£ 1,040,000",CB,25,,"Jun 30, 2025",4-yrs,"£ 4,862,175",Southampton,Premier League,2021-2022
16,Mohammed Salisu,,"£ 17,500","£ 910,000",CB,22,,"Jun 30, 2024",3-yrs,"£ 3,190,802",Southampton,Premier League,2021-2022
17,Michael Obafemi,,"£ 16,923","£ 880,000",CF,21,,"Jun 30, 2022",1-yr,"£ 1,028,537",Southampton,Premier League,2021-2022
18,Ibrahima Diallo,,"£ 16,500","£ 858,000",DM,22,,"Jun 30, 2024",3-yrs,"£ 3,008,471",Southampton,Premier League,2021-2022
19,Harry Lewis,,"£ 4,500","£ 234,000",GK,23,,"Jun 30, 2022",1-yr,"£ 273,497",Southampton,Premier League,2021-2022
20,Yan Valery,,"£ 1,923","£ 100,000",RB,22,,"Jun 30, 2023",2-yrs,"£ 233,758",Southampton,Premier League,2021-2022
21,Will Smallbone,,"£ 1,500","£ 78,000",CM,21,,"Jun 30, 2024",3-yrs,"£ 273,497",Southampton,Premier League,2021-2022
22,Dan N'Lundulu,,"£ 1,346","£ 70,000",CF,22,,"Jun 30, 2022",1-yr,"£ 81,815",Southampton,Premier League,2021-2022
23,Nathan Tella,,"£ 1,000","£ 52,000",RW,22,,"Jun 30, 2023",2-yrs,"£ 121,554",Southampton,Premier League,2021-2022
24,Romain Perraud,,£ 0,£ 0,LB,23,,"Jun 30, 2025",4-yrs,£ 0,Southampton,Premier League,2021-2022
