,Player,,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN GBP),Team,League,Season
0,Thiago,,"£ 200,000","£ 10,400,000",CM,30,,"Jun 30, 2024",3-yrs,"£ 36,466,310",Liverpool,Premier League,2021-2022
1,Mohamed Salah,,"£ 200,000","£ 10,400,000",RW,29,,"Jun 30, 2023",2-yrs,"£ 24,310,874",Liverpool,Premier League,2021-2022
2,Roberto Firmino,,"£ 180,000","£ 9,360,000",CF,29,,"Jun 30, 2023",2-yrs,"£ 21,879,786",Liverpool,Premier League,2021-2022
3,Virgil van Dijk,,"£ 180,000","£ 9,360,000",CB,30,,"Jun 30, 2023",2-yrs,"£ 21,879,786",Liverpool,Premier League,2021-2022
4,James Milner,,"£ 140,000","£ 7,280,000",CM,35,,"Jun 30, 2022",1-yr,"£ 8,508,806",Liverpool,Premier League,2021-2022
5,Jordan Henderson,,"£ 140,000","£ 7,280,000",CM,31,,"Jun 30, 2023",2-yrs,"£ 17,017,612",Liverpool,Premier League,2021-2022
6,Alex Oxlade-Chamberlain,,"£ 120,000","£ 6,240,000",CM,27,,"Jun 30, 2023",2-yrs,"£ 14,586,524",Liverpool,Premier League,2021-2022
7,Naby Keïta,,"£ 120,000","£ 6,240,000",CM,26,,"Jun 30, 2023",2-yrs,"£ 14,586,524",Liverpool,Premier League,2021-2022
8,Fabinho,,"£ 100,000","£ 5,200,000",DM,27,,"Jun 30, 2023",2-yrs,"£ 12,155,437",Liverpool,Premier League,2021-2022
9,Joel Matip,,"£ 100,000","£ 5,200,000",CB,29,,"Jun 30, 2024",3-yrs,"£ 18,233,155",Liverpool,Premier League,2021-2022
10,Sadio Mané,,"£ 100,000","£ 5,200,000",LW,29,,"Jun 30, 2023",2-yrs,"£ 12,155,437",Liverpool,Premier League,2021-2022
11,Diogo Jota,,"£ 90,000","£ 4,680,000",LW,24,,"Jun 30, 2025",4-yrs,"£ 21,879,786",Liverpool,Premier League,2021-2022
12,Alisson,,"£ 90,000","£ 4,680,000",GK,28,,"Jun 30, 2024",3-yrs,"£ 16,409,840",Liverpool,Premier League,2021-2022
13,Xherdan Shaqiri,,"£ 80,000","£ 4,160,000",RW,29,,"Jun 30, 2023",2-yrs,"£ 9,724,349",Liverpool,Premier League,2021-2022
14,Takumi Minamino,,"£ 75,000","£ 3,900,000",LW,26,,"Jun 30, 2024",3-yrs,"£ 13,674,866",Liverpool,Premier League,2021-2022
15,Ibrahima Konaté,,"£ 70,000","£ 3,640,000",CB,22,,"Jun 30, 2026",5-yrs,"£ 21,272,014",Liverpool,Premier League,2021-2022
16,Nathaniel Phillips,,"£ 64,615","£ 3,360,000",CB,24,,"Jun 30, 2023",2-yrs,"£ 7,854,282",Liverpool,Premier League,2021-2022
17,Ben Davies,,"£ 60,000","£ 3,120,000",CB,25,,"Jun 30, 2025",4-yrs,"£ 14,586,524",Liverpool,Premier League,2021-2022
18,Konstantinos Tsimikas,,"£ 60,000","£ 3,120,000",LB,25,,"Jun 30, 2025",4-yrs,"£ 14,586,524",Liverpool,Premier League,2021-2022
19,Divock Origi,,"£ 60,000","£ 3,120,000",CF,26,,"Jun 30, 2024",3-yrs,"£ 10,939,893",Liverpool,Premier League,2021-2022
20,Adrián,,"£ 55,000","£ 2,860,000",GK,34,,"Jun 30, 2022",1-yr,"£ 3,342,745",Liverpool,Premier League,2021-2022
21,Andrew Robertson,,"£ 50,000","£ 2,600,000",LB,27,,"Jun 30, 2024",3-yrs,"£ 9,116,578",Liverpool,Premier League,2021-2022
22,Trent Alexander-Arnold,,"£ 40,000","£ 2,080,000",RB,22,,"Jun 30, 2024",3-yrs,"£ 7,293,262",Liverpool,Premier League,2021-2022
23,Joe Gomez,,"£ 28,077","£ 1,460,000",CB,24,,"Jun 30, 2024",3-yrs,"£ 5,119,309",Liverpool,Premier League,2021-2022
24,Neco Williams,,"£ 25,000","£ 1,300,000",RB,20,,"Jun 30, 2025",4-yrs,"£ 6,077,718",Liverpool,Premier League,2021-2022
25,Ben Woodburn,,"£ 11,923","£ 620,000",AM,21,,"Jun 30, 2022",1-yr,"£ 724,651",Liverpool,Premier League,2021-2022
26,Curtis Jones,,"£ 7,500","£ 390,000",CM,20,,"Jun 30, 2025",4-yrs,"£ 1,823,316",Liverpool,Premier League,2021-2022
27,Caoimhin Kelleher,,"£ 5,962","£ 310,000",GK,22,,"Jun 30, 2026",5-yrs,"£ 1,811,628",Liverpool,Premier League,2021-2022
28,Rhys Williams,,"£ 1,538","£ 80,000",CB,20,,"Jun 30, 2023",2-yrs,"£ 187,007",Liverpool,Premier League,2021-2022
29,Sheyi Ojo,,£ 0,£ 0,RW,24,,"Jun 30, 2023",2-yrs,£ 0,Liverpool,Premier League,2021-2022
30,Loris Karius,,£ 0,£ 0,GK,28,,"Jun 30, 2022",1-yr,£ 0,Liverpool,Premier League,2021-2022
31,Harvey Elliott,,£ 0,£ 0,RW,18,,"Jun 30, 2022",1-yr,£ 0,Liverpool,Premier League,2021-2022
