,Player,,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN GBP),Team,League,Season
0,Bernard,,"£ 120,000","£ 6,240,000",LW,28,,"Jun 30, 2022",1-yr,"£ 7,293,262",Everton,Premier League,2021-2022
1,Yerry Mina,,"£ 120,000","£ 6,240,000",CB,26,,"Jun 30, 2023",2-yrs,"£ 14,586,524",Everton,Premier League,2021-2022
2,Lucas Digne,,"£ 119,000","£ 6,188,000",LB,27,,"Jun 30, 2025",4-yrs,"£ 28,929,940",Everton,Premier League,2021-2022
3,André Gomes,,"£ 112,308","£ 5,840,000",CM,27,,"Jun 30, 2024",3-yrs,"£ 20,477,236",Everton,Premier League,2021-2022
4,Gylfi Sigurdsson,,"£ 100,000","£ 5,200,000",AM,31,,"Jun 30, 2022",1-yr,"£ 6,077,718",Everton,Premier League,2021-2022
5,Jordan Pickford,,"£ 100,000","£ 5,200,000",GK,27,,"Jun 30, 2024",3-yrs,"£ 18,233,155",Everton,Premier League,2021-2022
6,James Rodríguez,,"£ 90,000","£ 4,680,000",AM,30,,"Jun 30, 2022",1-yr,"£ 5,469,947",Everton,Premier League,2021-2022
7,Richarlison,,"£ 90,000","£ 4,680,000",CF,24,,"Jun 30, 2024",3-yrs,"£ 16,409,840",Everton,Premier League,2021-2022
8,Abdoulaye Doucouré,,"£ 82,500","£ 4,290,000",CM,28,,"Jun 30, 2023",2-yrs,"£ 10,028,235",Everton,Premier League,2021-2022
9,Fabian Delph,,"£ 80,000","£ 4,160,000",CM,31,,"Jun 30, 2022",1-yr,"£ 4,862,175",Everton,Premier League,2021-2022
10,Jean-Philippe Gbamin,,"£ 75,000","£ 3,900,000",DM,25,,"Jun 30, 2024",3-yrs,"£ 13,674,866",Everton,Premier League,2021-2022
11,Seamus Coleman,,"£ 70,000","£ 3,640,000",RB,32,,"Jun 30, 2022",1-yr,"£ 4,254,403",Everton,Premier League,2021-2022
12,Allan,,"£ 70,000","£ 3,640,000",CM,30,,"Jun 30, 2023",2-yrs,"£ 8,508,806",Everton,Premier League,2021-2022
13,Michael Keane,,"£ 65,000","£ 3,380,000",CB,28,,"Jun 30, 2025",4-yrs,"£ 15,802,068",Everton,Premier League,2021-2022
14,Cenk Tosun,,"£ 60,000","£ 3,120,000",CF,30,,"Jun 30, 2022",1-yr,"£ 3,646,631",Everton,Premier League,2021-2022
15,Alex Iwobi,,"£ 50,000","£ 2,600,000",LW,25,,"Jun 30, 2024",3-yrs,"£ 9,116,578",Everton,Premier League,2021-2022
16,Tom Davies,,"£ 25,000","£ 1,300,000",CM,23,,"Jun 30, 2023",2-yrs,"£ 3,038,859",Everton,Premier League,2021-2022
17,Mason Holgate,,"£ 25,000","£ 1,300,000",CB,24,,"Jun 30, 2025",4-yrs,"£ 6,077,718",Everton,Premier League,2021-2022
18,Dominic Calvert-Lewin,,"£ 20,000","£ 1,040,000",CF,24,,"Jun 30, 2025",4-yrs,"£ 4,862,175",Everton,Premier League,2021-2022
19,Jonjoe Kenny,,"£ 15,000","£ 780,000",RB,24,,"Jun 30, 2022",1-yr,"£ 911,658",Everton,Premier League,2021-2022
20,Jarrad Branthwaite,,"£ 15,000","£ 780,000",CB,19,,"Jun 30, 2022",1-yr,"£ 911,658",Everton,Premier League,2021-2022
21,Anthony Gordon,,"£ 10,000","£ 520,000",LW,20,,"Jun 30, 2025",4-yrs,"£ 2,431,087",Everton,Premier League,2021-2022
22,Beni Baningime,,"£ 8,077","£ 420,000",CM,22,,"Jun 30, 2022",1-yr,"£ 490,893",Everton,Premier League,2021-2022
23,João Virgínia,,"£ 7,500","£ 390,000",GK,21,,"Jun 30, 2024",3-yrs,"£ 1,367,487",Everton,Premier League,2021-2022
24,Ben Godfrey,,"£ 5,000","£ 260,000",CB,23,,"Jun 30, 2025",4-yrs,"£ 1,215,544",Everton,Premier League,2021-2022
25,Niels Nkounkou,,"£ 4,500","£ 234,000",LB,20,,"Jun 30, 2023",2-yrs,"£ 546,995",Everton,Premier League,2021-2022
