,Player,,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN GBP),Team,League,Season
0,Jamie Vardy,,"£ 140,000","£ 7,280,000",CF,34,,"Jun 30, 2023",2-yrs,"£ 17,017,612",Leicester,Premier League,2021-2022
1,Kasper Schmeichel,,"£ 130,000","£ 6,760,000",GK,34,,"Jun 30, 2023",2-yrs,"£ 15,802,068",Leicester,Premier League,2021-2022
2,James Maddison,,"£ 110,000","£ 5,720,000",AM,24,,"Jun 30, 2024",3-yrs,"£ 20,056,471",Leicester,Premier League,2021-2022
3,Jonny Evans,,"£ 80,000","£ 4,160,000",CB,33,,"Jun 30, 2023",2-yrs,"£ 9,724,349",Leicester,Premier League,2021-2022
4,Dennis Praet,,"£ 75,000","£ 3,900,000",CM,27,,"Jun 30, 2024",3-yrs,"£ 13,674,866",Leicester,Premier League,2021-2022
5,Wilfred Ndidi,,"£ 75,000","£ 3,900,000",DM,24,,"Jun 30, 2024",3-yrs,"£ 13,674,866",Leicester,Premier League,2021-2022
6,Ricardo Pereira,,"£ 70,000","£ 3,640,000",RB,27,,"Jun 30, 2023",2-yrs,"£ 8,508,806",Leicester,Premier League,2021-2022
7,Timothy Castagne,,"£ 63,000","£ 3,276,000",RB,25,,"Jun 30, 2025",4-yrs,"£ 15,315,850",Leicester,Premier League,2021-2022
8,Kelechi Iheanacho,,"£ 60,000","£ 3,120,000",CF,24,,"Jun 30, 2024",3-yrs,"£ 10,939,893",Leicester,Premier League,2021-2022
9,Nampalys Mendy,,"£ 50,000","£ 2,600,000",DM,29,,"Jun 30, 2023",2-yrs,"£ 6,077,718",Leicester,Premier League,2021-2022
10,Ayoze Pérez,,"£ 45,000","£ 2,340,000",SS,27,,"Jun 30, 2023",2-yrs,"£ 5,469,947",Leicester,Premier League,2021-2022
11,Caglar Söyüncü,,"£ 45,000","£ 2,340,000",CB,25,,"Jun 30, 2023",2-yrs,"£ 5,469,947",Leicester,Premier League,2021-2022
12,Marc Albrighton,,"£ 45,000","£ 2,340,000",RM,31,,"Jun 30, 2022",1-yr,"£ 2,734,973",Leicester,Premier League,2021-2022
13,Rachid Ghezzal,,"£ 45,000","£ 2,340,000",RW,29,,"Jun 30, 2022",1-yr,"£ 2,734,973",Leicester,Premier League,2021-2022
14,Youri Tielemans,,"£ 33,077","£ 1,720,000",CM,24,,"Jun 30, 2023",2-yrs,"£ 4,020,644",Leicester,Premier League,2021-2022
15,James Justin,,"£ 30,000","£ 1,560,000",RB,23,,"Jun 30, 2024",3-yrs,"£ 5,469,947",Leicester,Premier League,2021-2022
16,Eldin Jakupovic,,"£ 23,077","£ 1,200,000",GK,36,,"Jun 30, 2022",1-yr,"£ 1,402,550",Leicester,Premier League,2021-2022
17,Daniel Amartey,,"£ 20,962","£ 1,090,000",DM,26,,"Jun 30, 2022",1-yr,"£ 1,273,983",Leicester,Premier League,2021-2022
18,Danny Ward,,"£ 20,000","£ 1,040,000",GK,28,,"Jun 30, 2025",4-yrs,"£ 4,862,175",Leicester,Premier League,2021-2022
19,Luke Thomas,,"£ 11,538","£ 600,000",LB,20,,"Jun 30, 2024",3-yrs,"£ 2,103,826",Leicester,Premier League,2021-2022
20,Harvey Barnes,,"£ 10,000","£ 520,000",LM,23,,"Jun 30, 2024",3-yrs,"£ 1,823,316",Leicester,Premier League,2021-2022
21,Hamza Choudhury,,"£ 7,500","£ 390,000",CM,23,,"Jun 30, 2023",2-yrs,"£ 911,658",Leicester,Premier League,2021-2022
22,Wesley Fofana,,"£ 5,250","£ 273,000",CB,20,,"Jun 30, 2025",4-yrs,"£ 1,276,321",Leicester,Premier League,2021-2022
23,Patson Daka,,£ 0,£ 0,CF,22,,"Jun 30, 2026",5-yrs,£ 0,Leicester,Premier League,2021-2022
24,Boubakary Soumaré,,£ 0,£ 0,DM,22,,"Jun 30, 2026",5-yrs,£ 0,Leicester,Premier League,2021-2022
25,Filip Benkovic,,£ 0,£ 0,CB,24,,"Jun 30, 2023",2-yrs,£ 0,Leicester,Premier League,2021-2022
