,Player,,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN GBP),Team,League,Season
0,Romelu Lukaku,,"£ 419,615","£ 21,820,000",CF,28,,"Jun 30, 2026",5-yrs,"£ 127,515,207",Chelsea,Premier League,2021-2022
1,Saúl Ñíguez,,"£ 198,269","£ 10,310,000",CM,26,,"Jun 30, 2022",1-yr,"£ 12,050,246",Chelsea,Premier League,2021-2022
2,Ben Chilwell,,"£ 190,000","£ 9,880,000",LB,24,,"Jun 30, 2025",4-yrs,"£ 46,190,660",Chelsea,Premier League,2021-2022
3,Callum Hudson-Odoi,,"£ 180,000","£ 9,360,000",LW,20,,"Jun 30, 2024",3-yrs,"£ 32,819,679",Chelsea,Premier League,2021-2022
4,Timo Werner,,"£ 170,000","£ 8,840,000",CF,25,,"Jun 30, 2025",4-yrs,"£ 41,328,485",Chelsea,Premier League,2021-2022
5,Christian Pulisic,,"£ 158,654","£ 8,250,000",RW,22,,"Jun 30, 2024",3-yrs,"£ 28,927,602",Chelsea,Premier League,2021-2022
6,Kepa,,"£ 150,000","£ 7,800,000",GK,26,,"Jun 30, 2025",4-yrs,"£ 36,466,310",Chelsea,Premier League,2021-2022
7,César Azpilicueta,,"£ 145,000","£ 7,540,000",RB,31,,"Jun 30, 2022",1-yr,"£ 8,812,692",Chelsea,Premier League,2021-2022
8,N'Golo Kanté,,"£ 144,231","£ 7,500,000",DM,30,,"Jun 30, 2023",2-yrs,"£ 17,531,880",Chelsea,Premier League,2021-2022
9,Kai Havertz,,"£ 140,000","£ 7,280,000",AM,22,,"Jun 30, 2025",4-yrs,"£ 34,035,223",Chelsea,Premier League,2021-2022
10,Malang Sarr,,"£ 120,000","£ 6,240,000",CB,22,,"Jun 30, 2025",4-yrs,"£ 29,173,048",Chelsea,Premier League,2021-2022
11,Jorginho,,"£ 110,000","£ 5,720,000",DM,29,,"Jun 30, 2023",2-yrs,"£ 13,370,980",Chelsea,Premier League,2021-2022
12,Thiago Silva,,"£ 110,000","£ 5,720,000",CB,36,,"Jun 30, 2022",1-yr,"£ 6,685,490",Chelsea,Premier League,2021-2022
13,Danny Drinkwater,,"£ 100,000","£ 5,200,000",CM,31,,"Jun 30, 2022",1-yr,"£ 6,077,718",Chelsea,Premier League,2021-2022
14,Reece James,,"£ 100,000","£ 5,200,000",RB,21,,"Jun 30, 2025",4-yrs,"£ 24,310,874",Chelsea,Premier League,2021-2022
15,Antonio Rüdiger,,"£ 100,000","£ 5,200,000",CB,28,,"Jun 30, 2022",1-yr,"£ 6,077,718",Chelsea,Premier League,2021-2022
16,Hakim Ziyech,,"£ 100,000","£ 5,200,000",AM,28,,"Jun 30, 2025",4-yrs,"£ 24,310,874",Chelsea,Premier League,2021-2022
17,Marcos Alonso,,"£ 100,000","£ 5,200,000",LB,30,,"Jun 30, 2023",2-yrs,"£ 12,155,437",Chelsea,Premier League,2021-2022
18,Mateo Kovacic,,"£ 100,000","£ 5,200,000",CM,27,,"Jun 30, 2024",3-yrs,"£ 18,233,155",Chelsea,Premier League,2021-2022
19,Ross Barkley,,"£ 96,154","£ 5,000,000",CM,27,,"Jun 30, 2023",2-yrs,"£ 11,687,920",Chelsea,Premier League,2021-2022
20,Abdul Rahman Baba,,"£ 94,615","£ 4,920,000",LB,27,,"Jun 30, 2022",1-yr,"£ 5,750,457",Chelsea,Premier League,2021-2022
21,Michy Batshuayi,,"£ 90,000","£ 4,680,000",CF,27,,"Jun 30, 2022",1-yr,"£ 5,469,947",Chelsea,Premier League,2021-2022
22,Mason Mount,,"£ 88,462","£ 4,600,000",AM,22,,"Jun 30, 2024",3-yrs,"£ 16,129,330",Chelsea,Premier League,2021-2022
23,Andreas Christensen,,"£ 80,000","£ 4,160,000",CB,25,,"Jun 30, 2022",1-yr,"£ 4,862,175",Chelsea,Premier League,2021-2022
24,Emerson,,"£ 75,000","£ 3,900,000",LB,26,,"Jun 30, 2022",1-yr,"£ 4,558,289",Chelsea,Premier League,2021-2022
25,Edouard Mendy,,"£ 65,000","£ 3,380,000",GK,29,,"Jun 30, 2025",4-yrs,"£ 15,802,068",Chelsea,Premier League,2021-2022
26,Ruben Loftus-Cheek,,"£ 60,000","£ 3,120,000",CM,25,,"Jun 30, 2024",3-yrs,"£ 10,939,893",Chelsea,Premier League,2021-2022
27,Lewis Baker,,"£ 43,269","£ 2,250,000",CM,26,,"Jun 30, 2022",1-yr,"£ 2,629,782",Chelsea,Premier League,2021-2022
28,Charly Musonda Jr,,"£ 40,000","£ 2,080,000",AM,24,,"Jun 30, 2022",1-yr,"£ 2,431,087",Chelsea,Premier League,2021-2022
29,Ethan Ampadu,,"£ 7,500","£ 390,000",CB,20,,"Jun 30, 2023",2-yrs,"£ 911,658",Chelsea,Premier League,2021-2022
30,Conor Gallagher,,"£ 5,000","£ 260,000",CM,21,,"Jun 30, 2025",4-yrs,"£ 1,215,544",Chelsea,Premier League,2021-2022
