,Player,,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN GBP),Team,League,Season
0,Ben Mee,,"£ 55,000","£ 2,860,000",CB,31,,"Jun 30, 2022",1-yr,"£ 3,342,745",Burnley,Premier League,2021-2022
1,Chris Wood,,"£ 50,000","£ 2,600,000",CF,29,,"Jun 30, 2023",2-yrs,"£ 6,077,718",Burnley,Premier League,2021-2022
2,James Tarkowski,,"£ 50,000","£ 2,600,000",CB,28,,"Jun 30, 2022",1-yr,"£ 3,038,859",Burnley,Premier League,2021-2022
3,Ashley Barnes,,"£ 40,000","£ 2,080,000",CF,31,,"Jun 30, 2022",1-yr,"£ 2,431,087",Burnley,Premier League,2021-2022
4,Josh Brownhill,,"£ 40,000","£ 2,080,000",CM,25,,"Jun 30, 2024",3-yrs,"£ 7,293,262",Burnley,Premier League,2021-2022
5,Jack Cork,,"£ 38,077","£ 1,980,000",DM,32,,"Jun 30, 2022",1-yr,"£ 2,314,208",Burnley,Premier League,2021-2022
6,Dale Stephens,,"£ 37,500","£ 1,950,000",CM,32,,"Jun 30, 2022",1-yr,"£ 2,279,144",Burnley,Premier League,2021-2022
7,Ashley Westwood,,"£ 36,000","£ 1,872,000",DM,31,,"Jun 30, 2023",2-yrs,"£ 4,375,957",Burnley,Premier League,2021-2022
8,Jay Rodríguez,,"£ 35,000","£ 1,820,000",CF,31,,"Jun 30, 2022",1-yr,"£ 2,127,201",Burnley,Premier League,2021-2022
9,Matej Vydra,,"£ 35,000","£ 1,820,000",CF,29,,"Jun 30, 2022",1-yr,"£ 2,127,201",Burnley,Premier League,2021-2022
10,Nick Pope,,"£ 35,000","£ 1,820,000",GK,29,,"Jun 30, 2023",2-yrs,"£ 4,254,403",Burnley,Premier League,2021-2022
11,Jóhann Berg Gudmundsson,,"£ 30,000","£ 1,560,000",RW,30,,"Jun 30, 2023",2-yrs,"£ 3,646,631",Burnley,Premier League,2021-2022
12,Charlie Taylor,,"£ 25,000","£ 1,300,000",LB,27,,"Jun 30, 2024",3-yrs,"£ 4,558,289",Burnley,Premier League,2021-2022
13,Phil Bardsley,,"£ 25,000","£ 1,300,000",RB,36,,"Jun 30, 2022",1-yr,"£ 1,519,430",Burnley,Premier League,2021-2022
14,Matthew Lowton,,"£ 25,000","£ 1,300,000",RB,32,,"Jun 30, 2023",2-yrs,"£ 3,038,859",Burnley,Premier League,2021-2022
15,Erik Pieters,,"£ 25,000","£ 1,300,000",LB,32,,"Jun 30, 2022",1-yr,"£ 1,519,430",Burnley,Premier League,2021-2022
16,Kevin Long,,"£ 23,077","£ 1,200,000",CB,30,,"Jun 30, 2023",2-yrs,"£ 2,805,101",Burnley,Premier League,2021-2022
17,Bailey Peacock-Farrell,,"£ 22,500","£ 1,170,000",GK,24,,"Jun 30, 2024",3-yrs,"£ 4,102,460",Burnley,Premier League,2021-2022
18,Will Norris,,"£ 16,500","£ 858,000",GK,27,,"Jun 30, 2023",2-yrs,"£ 2,005,647",Burnley,Premier League,2021-2022
19,Dwight McNeil,,"£ 5,000","£ 260,000",LW,21,,"Jun 30, 2024",3-yrs,"£ 911,658",Burnley,Premier League,2021-2022
20,Lukas Jensen,,"£ 1,250","£ 65,000",GK,22,,"Jun 30, 2022",1-yr,"£ 75,971",Burnley,Premier League,2021-2022
21,Nathan Collins,,£ 0,£ 0,CB,20,,"Jun 30, 2025",4-yrs,£ 0,Burnley,Premier League,2021-2022
