,Player,,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN GBP),Team,League,Season
0,Cristiano Ronaldo,,"£ 874,038","£ 45,450,000",CF,36,,"Jun 30, 2023",2-yrs,"£ 106,243,193",Manchester United,Premier League,2021-2022
1,David de Gea,,"£ 375,000","£ 19,500,000",GK,30,,"Jun 30, 2023",2-yrs,"£ 45,582,888",Manchester United,Premier League,2021-2022
2,Jadon Sancho,,"£ 350,000","£ 18,200,000",RW,21,,"Jun 30, 2026",5-yrs,"£ 106,360,072",Manchester United,Premier League,2021-2022
3,Raphaël Varane,,"£ 340,000","£ 17,680,000",CB,28,,"Jun 30, 2026",5-yrs,"£ 103,321,213",Manchester United,Premier League,2021-2022
4,Paul Pogba,,"£ 290,000","£ 15,080,000",CM,28,,"Jun 30, 2022",1-yr,"£ 17,625,383",Manchester United,Premier League,2021-2022
5,Anthony Martial,,"£ 250,000","£ 13,000,000",CF,25,,"Jun 30, 2024",3-yrs,"£ 45,582,888",Manchester United,Premier League,2021-2022
6,Edinson Cavani,,"£ 210,000","£ 10,920,000",CF,34,,"Jun 30, 2022",1-yr,"£ 12,763,209",Manchester United,Premier League,2021-2022
7,Marcus Rashford,,"£ 200,000","£ 10,400,000",LW,23,,"Jun 30, 2023",2-yrs,"£ 24,310,874",Manchester United,Premier League,2021-2022
8,Harry Maguire,,"£ 190,000","£ 9,880,000",CB,28,,"Jun 30, 2025",4-yrs,"£ 46,190,660",Manchester United,Premier League,2021-2022
9,Juan Mata,,"£ 160,000","£ 8,320,000",AM,33,,"Jun 30, 2022",1-yr,"£ 9,724,349",Manchester United,Premier League,2021-2022
10,Luke Shaw,,"£ 150,000","£ 7,800,000",LB,26,,"Jun 30, 2023",2-yrs,"£ 18,233,155",Manchester United,Premier League,2021-2022
11,Victor Lindelöf,,"£ 120,000","£ 6,240,000",CB,26,,"Jun 30, 2024",3-yrs,"£ 21,879,786",Manchester United,Premier League,2021-2022
12,Donny van de Beek,,"£ 120,000","£ 6,240,000",CM,24,,"Jun 30, 2025",4-yrs,"£ 29,173,048",Manchester United,Premier League,2021-2022
13,Fred,,"£ 120,000","£ 6,240,000",CM,28,,"Jun 30, 2023",2-yrs,"£ 14,586,524",Manchester United,Premier League,2021-2022
14,Nemanja Matic,,"£ 120,000","£ 6,240,000",DM,32,,"Jun 30, 2023",2-yrs,"£ 14,586,524",Manchester United,Premier League,2021-2022
15,Dean Henderson,,"£ 100,000","£ 5,200,000",GK,24,,"Jun 30, 2025",4-yrs,"£ 24,310,874",Manchester United,Premier League,2021-2022
16,Bruno Fernandes,,"£ 100,000","£ 5,200,000",AM,26,,"Jun 30, 2025",4-yrs,"£ 24,310,874",Manchester United,Premier League,2021-2022
17,Aaron Wan-Bissaka,,"£ 90,000","£ 4,680,000",RB,23,,"Jun 30, 2024",3-yrs,"£ 16,409,840",Manchester United,Premier League,2021-2022
18,Eric Bailly,,"£ 80,000","£ 4,160,000",CB,27,,"Jun 30, 2024",3-yrs,"£ 14,586,524",Manchester United,Premier League,2021-2022
19,Phil Jones,,"£ 75,000","£ 3,900,000",CB,29,,"Jun 30, 2023",2-yrs,"£ 9,116,578",Manchester United,Premier League,2021-2022
20,Jesse Lingard,,"£ 75,000","£ 3,900,000",AM,28,,"Jun 30, 2022",1-yr,"£ 4,558,289",Manchester United,Premier League,2021-2022
21,Mason Greenwood,,"£ 75,000","£ 3,900,000",RW,19,,"Jun 30, 2025",4-yrs,"£ 18,233,155",Manchester United,Premier League,2021-2022
22,Alex Telles,,"£ 69,231","£ 3,600,000",LB,28,,"Jun 30, 2024",3-yrs,"£ 12,622,954",Manchester United,Premier League,2021-2022
23,Brandon Williams,,"£ 65,000","£ 3,380,000",RB,20,,"Jun 30, 2024",3-yrs,"£ 11,851,551",Manchester United,Premier League,2021-2022
24,Scott McTominay,,"£ 60,000","£ 3,120,000",CM,24,,"Jun 30, 2025",4-yrs,"£ 14,586,524",Manchester United,Premier League,2021-2022
25,Axel Tuanzebe,,"£ 50,000","£ 2,600,000",CB,23,,"Jun 30, 2022",1-yr,"£ 3,038,859",Manchester United,Premier League,2021-2022
26,Daniel James,,"£ 45,000","£ 2,340,000",LW,23,,"Jun 30, 2024",3-yrs,"£ 8,204,920",Manchester United,Premier League,2021-2022
27,Lee Grant,,"£ 30,000","£ 1,560,000",GK,38,,"Jun 30, 2022",1-yr,"£ 1,823,316",Manchester United,Premier League,2021-2022
28,Amad Diallo,,"£ 28,846","£ 1,500,000",RW,19,,"Jun 30, 2025",4-yrs,"£ 7,012,752",Manchester United,Premier League,2021-2022
29,Diogo Dalot,,"£ 25,000","£ 1,300,000",RB,22,,"Jun 30, 2023",2-yrs,"£ 3,038,859",Manchester United,Premier League,2021-2022
30,Facundo Pellistri,,"£ 19,231","£ 1,000,000",RW,19,,"Jun 30, 2025",4-yrs,"£ 4,675,168",Manchester United,Premier League,2021-2022
31,Tom Heaton,,£ 0,£ 0,GK,35,,"Jun 30, 2023",2-yrs,£ 0,Manchester United,Premier League,2021-2022
