,Player,,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN GBP),Team,League,Season
0,Billy Gilmour,,"£ 43,269","£ 2,250,000",CM,20,,"Jun 30, 2022",1-yr,"£ 2,629,782",Norwich,Premier League,2021-2022
1,Ben Gibson,,"£ 40,000","£ 2,080,000",CB,28,,"Jun 30, 2024",3-yrs,"£ 7,293,262",Norwich,Premier League,2021-2022
2,Todd Cantwell,,"£ 25,000","£ 1,300,000",LM,23,,"Jun 30, 2022",1-yr,"£ 1,519,430",Norwich,Premier League,2021-2022
3,Tim Krul,,"£ 25,000","£ 1,300,000",GK,33,,"Jun 30, 2024",3-yrs,"£ 4,558,289",Norwich,Premier League,2021-2022
4,Teemu Pukki,,"£ 25,000","£ 1,300,000",CF,31,,"Jun 30, 2022",1-yr,"£ 1,519,430",Norwich,Premier League,2021-2022
5,Kenny McLean,,"£ 25,000","£ 1,300,000",CM,29,,"Jun 30, 2023",2-yrs,"£ 3,038,859",Norwich,Premier League,2021-2022
6,Angus Gunn,,"£ 24,038","£ 1,250,000",GK,25,,"Jun 30, 2025",4-yrs,"£ 5,843,960",Norwich,Premier League,2021-2022
7,Lukas Rupp,,"£ 22,500","£ 1,170,000",CM,30,,"Jun 30, 2022",1-yr,"£ 1,367,487",Norwich,Premier League,2021-2022
8,Max Aarons,,"£ 22,500","£ 1,170,000",RB,21,,"Jun 30, 2024",3-yrs,"£ 4,102,460",Norwich,Premier League,2021-2022
9,Onel Hernández,,"£ 21,923","£ 1,140,000",LW,28,,"Jun 30, 2023",2-yrs,"£ 2,664,846",Norwich,Premier League,2021-2022
10,Sam Byram,,"£ 20,000","£ 1,040,000",RB,27,,"Jun 30, 2023",2-yrs,"£ 2,431,087",Norwich,Premier League,2021-2022
11,Timm Klose,,"£ 20,000","£ 1,040,000",CB,33,,"Jun 30, 2022",1-yr,"£ 1,215,544",Norwich,Premier League,2021-2022
12,Christoph Zimmermann,,"£ 19,423","£ 1,010,000",CB,28,,"Jun 30, 2023",2-yrs,"£ 2,360,960",Norwich,Premier League,2021-2022
13,Grant Hanley,,"£ 19,423","£ 1,010,000",CB,29,,"Jun 30, 2023",2-yrs,"£ 2,360,960",Norwich,Premier League,2021-2022
14,Louis Thompson,,"£ 15,000","£ 780,000",DM,26,,"Jun 30, 2022",1-yr,"£ 911,658",Norwich,Premier League,2021-2022
15,Jacob Lungi Sörensen,,"£ 10,000","£ 520,000",LB,23,,"Jun 30, 2023",2-yrs,"£ 1,215,544",Norwich,Premier League,2021-2022
16,Michael McGovern,,"£ 8,077","£ 420,000",GK,37,,"Jun 30, 2023",2-yrs,"£ 981,785",Norwich,Premier League,2021-2022
17,Tom Trybull,,"£ 7,500","£ 390,000",DM,28,,"Jun 30, 2022",1-yr,"£ 455,829",Norwich,Premier League,2021-2022
18,Dimitrios Giannoulis,,"£ 7,500","£ 390,000",LB,25,,"Jun 30, 2024",3-yrs,"£ 1,367,487",Norwich,Premier League,2021-2022
19,Kieran Dowell,,"£ 7,500","£ 390,000",AM,23,,"Jun 30, 2023",2-yrs,"£ 911,658",Norwich,Premier League,2021-2022
20,Przemyslaw Placheta,,"£ 6,154","£ 320,000",LW,23,,"Jun 30, 2024",3-yrs,"£ 1,122,040",Norwich,Premier League,2021-2022
21,Adam Idah,,"£ 5,000","£ 260,000",CF,20,,"Jun 30, 2024",3-yrs,"£ 911,658",Norwich,Premier League,2021-2022
22,Melvin Sitti,,"£ 4,038","£ 210,000",CM,21,,"Jun 30, 2024",3-yrs,"£ 736,339",Norwich,Premier League,2021-2022
23,Bali Mumba,,"£ 2,308","£ 120,000",RB,19,,"Jun 30, 2024",3-yrs,"£ 420,765",Norwich,Premier League,2021-2022
24,Aston Oxborough,,"£ 1,538","£ 80,000",GK,23,,"Jun 30, 2022",1-yr,"£ 93,503",Norwich,Premier League,2021-2022
25,Andrew Omobamidele,,£ 0,£ 0,CB,19,,"Jun 30, 2024",3-yrs,£ 0,Norwich,Premier League,2021-2022
26,Jordan Hugill,,£ 0,£ 0,CF,29,,"Jun 30, 2023",2-yrs,£ 0,Norwich,Premier League,2021-2022
27,Pierre Lees Melou,,£ 0,£ 0,CM,28,,"Jun 30, 2024",3-yrs,£ 0,Norwich,Premier League,2021-2022
28,Rocky Bushiri,,£ 0,£ 0,CB,21,,"Jun 30, 2023",2-yrs,£ 0,Norwich,Premier League,2021-2022
29,Milot Rashica,,£ 0,£ 0,RW,25,,"Jun 30, 2025",4-yrs,£ 0,Norwich,Premier League,2021-2022
30,Flynn Clarke,,£ 0,£ 0,AM,18,,"Jun 30, 2022",1-yr,£ 0,Norwich,Premier League,2021-2022
