,Player,,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN GBP),Team,League,Season
0,Joelinton,,"£ 80,000","£ 4,160,000",CF,24,,"Jun 30, 2025",4-yrs,"£ 19,448,699",Newcastle,Premier League,2021-2022
1,Jonjo Shelvey,,"£ 70,000","£ 3,640,000",CM,29,,"Jun 30, 2023",2-yrs,"£ 8,508,806",Newcastle,Premier League,2021-2022
2,Allan Saint-Maximin,,"£ 65,000","£ 3,380,000",LW,24,,"Jun 30, 2026",5-yrs,"£ 19,752,585",Newcastle,Premier League,2021-2022
3,Callum Wilson,,"£ 60,000","£ 3,120,000",CF,29,,"Jun 30, 2024",3-yrs,"£ 10,939,893",Newcastle,Premier League,2021-2022
4,Yoshinori Muto,,"£ 54,038","£ 2,810,000",CF,28,,"Jun 30, 2022",1-yr,"£ 3,284,306",Newcastle,Premier League,2021-2022
5,Matt Ritchie,,"£ 45,000","£ 2,340,000",LB,31,,"Jun 30, 2023",2-yrs,"£ 5,469,947",Newcastle,Premier League,2021-2022
6,Federico Fernández,,"£ 43,077","£ 2,240,000",CB,32,,"Jun 30, 2023",2-yrs,"£ 5,236,188",Newcastle,Premier League,2021-2022
7,Miguel Almirón,,"£ 42,308","£ 2,200,000",AM,27,,"Jun 30, 2024",3-yrs,"£ 7,714,027",Newcastle,Premier League,2021-2022
8,Fabian Schär,,"£ 40,000","£ 2,080,000",CB,29,,"Jun 30, 2022",1-yr,"£ 2,431,087",Newcastle,Premier League,2021-2022
9,Jamaal Lascelles,,"£ 40,000","£ 2,080,000",CB,27,,"Jun 30, 2024",3-yrs,"£ 7,293,262",Newcastle,Premier League,2021-2022
10,Dwight Gayle,,"£ 40,000","£ 2,080,000",CF,31,,"Jun 30, 2022",1-yr,"£ 2,431,087",Newcastle,Premier League,2021-2022
11,Jamal Lewis,,"£ 38,462","£ 2,000,000",LB,23,,"Jun 30, 2025",4-yrs,"£ 9,350,336",Newcastle,Premier League,2021-2022
12,Florian Lejeune,,"£ 38,077","£ 1,980,000",CB,30,,"Jun 30, 2022",1-yr,"£ 2,314,208",Newcastle,Premier League,2021-2022
13,Martin Dubravka,,"£ 38,077","£ 1,980,000",GK,32,,"Jun 30, 2025",4-yrs,"£ 9,256,833",Newcastle,Premier League,2021-2022
14,Ciaran Clark,,"£ 35,000","£ 1,820,000",CB,31,,"Jun 30, 2023",2-yrs,"£ 4,254,403",Newcastle,Premier League,2021-2022
15,Ryan Fraser,,"£ 35,000","£ 1,820,000",LW,27,,"Jun 30, 2025",4-yrs,"£ 8,508,806",Newcastle,Premier League,2021-2022
16,Paul Dummett,,"£ 35,000","£ 1,820,000",LB,29,,"Jun 30, 2022",1-yr,"£ 2,127,201",Newcastle,Premier League,2021-2022
17,Javier Manquillo,,"£ 35,000","£ 1,820,000",RB,27,,"Jun 30, 2024",3-yrs,"£ 6,381,604",Newcastle,Premier League,2021-2022
18,Jeff Hendrick,,"£ 35,000","£ 1,820,000",CM,29,,"Jun 30, 2024",3-yrs,"£ 6,381,604",Newcastle,Premier League,2021-2022
19,Emil Krafth,,"£ 30,000","£ 1,560,000",RB,26,,"Jun 30, 2023",2-yrs,"£ 3,646,631",Newcastle,Premier League,2021-2022
20,Jacob Murphy,,"£ 25,000","£ 1,300,000",RW,26,,"Jun 30, 2027",6-yrs,"£ 9,116,578",Newcastle,Premier League,2021-2022
21,Karl Darlow,,"£ 25,000","£ 1,300,000",GK,30,,"Jun 30, 2025",4-yrs,"£ 6,077,718",Newcastle,Premier League,2021-2022
22,Isaac Hayden,,"£ 21,923","£ 1,140,000",DM,26,,"Jun 30, 2026",5-yrs,"£ 6,662,114",Newcastle,Premier League,2021-2022
23,Mark Gillespie,,"£ 15,500","£ 806,000",GK,29,,"Jun 30, 2023",2-yrs,"£ 1,884,093",Newcastle,Premier League,2021-2022
24,Matthew Longstaff,,"£ 7,500","£ 390,000",CM,21,,"Jun 30, 2022",1-yr,"£ 455,829",Newcastle,Premier League,2021-2022
25,Sean Longstaff,,£ 962,"£ 50,000",CM,23,,"Jun 30, 2022",1-yr,"£ 58,440",Newcastle,Premier League,2021-2022
26,Freddie Woodman,,£ 0,£ 0,GK,24,,"Jun 30, 2023",2-yrs,£ 0,Newcastle,Premier League,2021-2022
