,Player,,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN GBP),Team,League,Season
0,Thomas Partey,,"£ 250,000","£ 13,000,000",DM,28,,"Jun 30, 2025",4-yrs,"£ 60,777,184",Arsenal,Premier League,2021-2022
1,Pierre-Emerick Aubameyang,,"£ 250,000","£ 13,000,000",CF,32,,"Jun 30, 2023",2-yrs,"£ 30,388,592",Arsenal,Premier League,2021-2022
2,Alexandre Lacazette,,"£ 182,115","£ 9,470,000",CF,30,,"Jun 30, 2022",1-yr,"£ 11,068,460",Arsenal,Premier League,2021-2022
3,Héctor Bellerín,,"£ 110,000","£ 5,720,000",RB,26,,"Jun 30, 2023",2-yrs,"£ 13,370,980",Arsenal,Premier League,2021-2022
4,Nicolas Pépé,,"£ 100,000","£ 5,200,000",RW,26,,"Jun 30, 2024",3-yrs,"£ 18,233,155",Arsenal,Premier League,2021-2022
5,Bernd Leno,,"£ 100,000","£ 5,200,000",GK,29,,"Jun 30, 2023",2-yrs,"£ 12,155,437",Arsenal,Premier League,2021-2022
6,Granit Xhaka,,"£ 100,000","£ 5,200,000",DM,28,,"Jun 30, 2023",2-yrs,"£ 12,155,437",Arsenal,Premier League,2021-2022
7,Sead Kolasinac,,"£ 100,000","£ 5,200,000",LB,28,,"Jun 30, 2022",1-yr,"£ 6,077,718",Arsenal,Premier League,2021-2022
8,Gabriel Martinelli,,"£ 90,000","£ 4,680,000",LW,20,,"Jun 30, 2024",3-yrs,"£ 16,409,840",Arsenal,Premier League,2021-2022
9,Kieran Tierney,,"£ 80,769","£ 4,200,000",LB,24,,"Jun 30, 2026",5-yrs,"£ 24,544,632",Arsenal,Premier League,2021-2022
10,Lucas Torreira,,"£ 75,000","£ 3,900,000",DM,25,,"Jun 30, 2023",2-yrs,"£ 9,116,578",Arsenal,Premier League,2021-2022
11,Mohamed Elneny,,"£ 50,000","£ 2,600,000",DM,29,,"Jun 30, 2022",1-yr,"£ 3,038,859",Arsenal,Premier League,2021-2022
12,Calum Chambers,,"£ 50,000","£ 2,600,000",CB,26,,"Jun 30, 2022",1-yr,"£ 3,038,859",Arsenal,Premier League,2021-2022
13,William Saliba,,"£ 40,000","£ 2,080,000",CB,20,,"Jun 30, 2024",3-yrs,"£ 7,293,262",Arsenal,Premier League,2021-2022
14,Ainsley Maitland-Niles,,"£ 35,000","£ 1,820,000",RM,23,,"Jun 30, 2023",2-yrs,"£ 4,254,403",Arsenal,Premier League,2021-2022
15,Gabriel Magalhães,,"£ 27,500","£ 1,430,000",CB,23,,"Jun 30, 2025",4-yrs,"£ 6,685,490",Arsenal,Premier League,2021-2022
16,Nuno Tavares,,"£ 27,000","£ 1,404,000",LB,21,,"Jun 30, 2022",1-yr,"£ 1,640,984",Arsenal,Premier League,2021-2022
17,Cédric Soares,,"£ 26,500","£ 1,378,000",RB,29,,"Jun 30, 2024",3-yrs,"£ 4,831,786",Arsenal,Premier League,2021-2022
18,Rob Holding,,"£ 25,000","£ 1,300,000",CB,25,,"Jun 30, 2024",3-yrs,"£ 4,558,289",Arsenal,Premier League,2021-2022
19,Joe Willock,,"£ 20,000","£ 1,040,000",CM,21,,"Jun 30, 2023",2-yrs,"£ 2,431,087",Arsenal,Premier League,2021-2022
20,Pablo Marí,,"£ 16,923","£ 880,000",CB,27,,"Jun 30, 2024",3-yrs,"£ 3,085,611",Arsenal,Premier League,2021-2022
21,Reiss Nelson,,"£ 15,000","£ 780,000",RW,21,,"Jun 30, 2023",2-yrs,"£ 1,823,316",Arsenal,Premier League,2021-2022
22,Emile Smith Rowe,,"£ 15,000","£ 780,000",AM,20,,"Jun 30, 2023",2-yrs,"£ 1,823,316",Arsenal,Premier League,2021-2022
23,Eddie Nketiah,,"£ 15,000","£ 780,000",CF,22,,"Jun 30, 2022",1-yr,"£ 911,658",Arsenal,Premier League,2021-2022
24,Rúnar Alex Rúnarsson,,"£ 15,000","£ 780,000",GK,26,,"Jun 30, 2024",3-yrs,"£ 2,734,973",Arsenal,Premier League,2021-2022
25,Bukayo Saka,,"£ 10,000","£ 520,000",LM,19,,"Jun 30, 2024",3-yrs,"£ 1,823,316",Arsenal,Premier League,2021-2022
26,Dejan Iliev,,"£ 5,769","£ 300,000",GK,26,,"Jun 30, 2022",1-yr,"£ 350,638",Arsenal,Premier League,2021-2022
