,Player,,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN GBP),Team,League,Season
0,Wilfried Zaha,,"£ 130,000","£ 6,760,000",LW,28,,"Jun 30, 2023",2-yrs,"£ 15,802,068",Crystal Palace,Premier League,2021-2022
1,Christian Benteke,,"£ 120,000","£ 6,240,000",CF,30,,"Jun 30, 2023",2-yrs,"£ 14,586,524",Crystal Palace,Premier League,2021-2022
2,Cheikhou Kouyaté,,"£ 65,000","£ 3,380,000",CB,31,,"Jun 30, 2022",1-yr,"£ 3,950,517",Crystal Palace,Premier League,2021-2022
3,Vicente Guaita,,"£ 60,000","£ 3,120,000",GK,34,,"Jun 30, 2023",2-yrs,"£ 7,293,262",Crystal Palace,Premier League,2021-2022
4,Jeffrey Schlupp,,"£ 55,962","£ 2,910,000",LM,28,,"Jun 30, 2022",1-yr,"£ 3,401,185",Crystal Palace,Premier League,2021-2022
5,Jairo Riedewald,,"£ 55,000","£ 2,860,000",DM,24,,"Jun 30, 2024",3-yrs,"£ 10,028,235",Crystal Palace,Premier League,2021-2022
6,James McArthur,,"£ 55,000","£ 2,860,000",CM,33,,"Jun 30, 2022",1-yr,"£ 3,342,745",Crystal Palace,Premier League,2021-2022
7,Luka Milivojevic,,"£ 55,000","£ 2,860,000",DM,30,,"Jun 30, 2023",2-yrs,"£ 6,685,490",Crystal Palace,Premier League,2021-2022
8,James Tomkins,,"£ 50,000","£ 2,600,000",CB,32,,"Jun 30, 2022",1-yr,"£ 3,038,859",Crystal Palace,Premier League,2021-2022
9,Jack Butland,,"£ 45,000","£ 2,340,000",GK,28,,"Jun 30, 2023",2-yrs,"£ 5,469,947",Crystal Palace,Premier League,2021-2022
10,Jordan Ayew,,"£ 32,500","£ 1,690,000",CF,29,,"Jun 30, 2022",1-yr,"£ 1,975,258",Crystal Palace,Premier League,2021-2022
11,Jean-Philippe Mateta,,"£ 31,538","£ 1,640,000",CF,24,,"Jun 30, 2022",1-yr,"£ 1,916,819",Crystal Palace,Premier League,2021-2022
12,Eberechi Eze,,"£ 30,000","£ 1,560,000",AM,23,,"Jun 30, 2025",4-yrs,"£ 7,293,262",Crystal Palace,Premier League,2021-2022
13,Tyrick Mitchell,,"£ 28,846","£ 1,500,000",LB,21,,"Jun 30, 2025",4-yrs,"£ 7,012,752",Crystal Palace,Premier League,2021-2022
14,Nathan Ferguson,,"£ 26,500","£ 1,378,000",CB,20,,"Jun 30, 2023",2-yrs,"£ 3,221,191",Crystal Palace,Premier League,2021-2022
15,Martin Kelly,,"£ 25,000","£ 1,300,000",RB,31,,"Jun 30, 2022",1-yr,"£ 1,519,430",Crystal Palace,Premier League,2021-2022
16,Michael Olise,,£ 0,£ 0,AM,19,,"Jun 30, 2026",5-yrs,£ 0,Crystal Palace,Premier League,2021-2022
17,Remi Matthews,,£ 0,£ 0,GK,27,,"Jun 30, 2023",2-yrs,£ 0,Crystal Palace,Premier League,2021-2022
18,Jaroslaw Jach,,£ 0,£ 0,CB,27,,"Jun 30, 2022",1-yr,£ 0,Crystal Palace,Premier League,2021-2022
