,Player,,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN GBP),Team,League,Season
0,João Moutinho,,"£ 100,000","£ 5,200,000",CM,34,,"Jun 30, 2022",1-yr,"£ 6,077,718",Wolverhampton,Premier League,2021-2022
1,Nélson Semedo,,"£ 92,500","£ 4,810,000",RB,27,,"Jun 30, 2023",2-yrs,"£ 11,243,779",Wolverhampton,Premier League,2021-2022
2,Leander Dendoncker,,"£ 90,000","£ 4,680,000",DM,26,,"Jun 30, 2023",2-yrs,"£ 10,939,893",Wolverhampton,Premier League,2021-2022
3,Fábio Silva,,"£ 80,000","£ 4,160,000",CF,18,,"Jun 30, 2025",4-yrs,"£ 19,448,699",Wolverhampton,Premier League,2021-2022
4,Daniel Podence,,"£ 60,000","£ 3,120,000",RW,25,,"Jun 30, 2024",3-yrs,"£ 10,939,893",Wolverhampton,Premier League,2021-2022
5,Conor Coady,,"£ 55,000","£ 2,860,000",CB,28,,"Jun 30, 2025",4-yrs,"£ 13,370,980",Wolverhampton,Premier League,2021-2022
6,Pedro Neto,,"£ 50,000","£ 2,600,000",LW,21,,"Jun 30, 2025",4-yrs,"£ 12,155,437",Wolverhampton,Premier League,2021-2022
7,Willy Boly,,"£ 50,000","£ 2,600,000",CB,30,,"Jun 30, 2023",2-yrs,"£ 6,077,718",Wolverhampton,Premier League,2021-2022
8,Rúben Neves,,"£ 50,000","£ 2,600,000",DM,24,,"Jun 30, 2024",3-yrs,"£ 9,116,578",Wolverhampton,Premier League,2021-2022
9,Adama Traoré,,"£ 43,077","£ 2,240,000",RW,25,,"Jun 30, 2023",2-yrs,"£ 5,236,188",Wolverhampton,Premier League,2021-2022
10,Raúl Jiménez,,"£ 41,154","£ 2,140,000",CF,30,,"Jun 30, 2024",3-yrs,"£ 7,503,645",Wolverhampton,Premier League,2021-2022
11,Oskar Buur,,"£ 38,462","£ 2,000,000",RB,23,,"Jun 30, 2023",2-yrs,"£ 4,675,168",Wolverhampton,Premier League,2021-2022
12,Jonny Otto,,"£ 36,673","£ 1,907,000",LB,27,,"Jun 30, 2025",4-yrs,"£ 8,915,545",Wolverhampton,Premier League,2021-2022
13,Marçal,,"£ 35,000","£ 1,820,000",LB,32,,"Jun 30, 2022",1-yr,"£ 2,127,201",Wolverhampton,Premier League,2021-2022
14,Romain Saïss,,"£ 21,923","£ 1,140,000",CB,31,,"Jun 30, 2022",1-yr,"£ 1,332,423",Wolverhampton,Premier League,2021-2022
15,Leonardo Campana,,"£ 20,000","£ 1,040,000",CF,20,,"Jun 30, 2023",2-yrs,"£ 2,431,087",Wolverhampton,Premier League,2021-2022
16,Max Kilman,,"£ 15,000","£ 780,000",CB,24,,"Jun 30, 2025",4-yrs,"£ 3,646,631",Wolverhampton,Premier League,2021-2022
17,Ki-Jana Hoever,,"£ 7,500","£ 390,000",RB,19,,"Jun 30, 2025",4-yrs,"£ 1,823,316",Wolverhampton,Premier League,2021-2022
18,John Ruddy,,"£ 5,769","£ 300,000",GK,34,,"Jun 30, 2022",1-yr,"£ 350,638",Wolverhampton,Premier League,2021-2022
19,Rayan Aït Nouri,,"£ 4,500","£ 234,000",LB,20,,"Jun 30, 2026",5-yrs,"£ 1,367,487",Wolverhampton,Premier League,2021-2022
20,Morgan Gibbs-White,,"£ 1,500","£ 78,000",CM,21,,"Jun 30, 2023",2-yrs,"£ 182,332",Wolverhampton,Premier League,2021-2022
21,Owen Otasowie,,"£ 1,500","£ 78,000",DM,20,,"Jun 30, 2022",1-yr,"£ 91,166",Wolverhampton,Premier League,2021-2022
22,Bruno Jordão,,£ 0,£ 0,CM,22,,"Jun 30, 2024",3-yrs,£ 0,Wolverhampton,Premier League,2021-2022
23,José Sá,,£ 0,£ 0,GK,28,,"Jun 30, 2026",5-yrs,£ 0,Wolverhampton,Premier League,2021-2022
24,Yerson Mosquera,,£ 0,£ 0,CB,20,,"Jun 30, 2026",5-yrs,£ 0,Wolverhampton,Premier League,2021-2022
25,Connor Ronan,,£ 0,£ 0,CM,23,,"Jun 30, 2024",3-yrs,£ 0,Wolverhampton,Premier League,2021-2022
26,Trincão,,£ 0,£ 0,RW,21,,"Jun 30, 2022",1-yr,£ 0,Wolverhampton,Premier League,2021-2022
